"id","institution","period","euro","doi","is_hybrid","publisher"
105,"Martin Luther Universitaet Halle-Wittenberg",2023,1907,"10.1186/s12884-022-05014-1","false","Springer_Nature"
106,"Martin Luther Universitaet Halle-Wittenberg",2023,2854,"10.3389/fevo.2023.1066022","false","Frontiers_MEDIA_SA"
107,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41597-022-01688-6","false","Springer_Nature"
108,"Martin Luther Universitaet Halle-Wittenberg",2023,2656,"10.1186/s12964-022-00977-2","false","Springer_Nature"
109,"Martin Luther Universitaet Halle-Wittenberg",2023,1295,"10.1186/s13104-022-06213-x","false","Springer_Nature"
110,"Martin Luther Universitaet Halle-Wittenberg",2023,2122,"10.3389/fpsyg.2022.1060091","false","Frontiers_MEDIA_SA"
111,"Martin Luther Universitaet Halle-Wittenberg",2023,1012,"10.1016/j.inat.2022.101714","false","Elsevier_BV"
112,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41598-022-22937-z","false","Springer_Nature"
113,"Martin Luther Universitaet Halle-Wittenberg",2023,2453,"10.1186/s12967-022-03733-9","false","Springer_Nature"
114,"Martin Luther Universitaet Halle-Wittenberg",2023,1534,"10.3390/data7110150","false","MDPI_Basel"
115,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41598-022-24738-w","false","Springer_Nature"
116,"Martin Luther Universitaet Halle-Wittenberg",2023,3362,"10.3389/fpsyt.2023.1088747","false","Frontiers_MEDIA_SA"
117,"Martin Luther Universitaet Halle-Wittenberg",2023,1894,"10.1186/s13019-022-02036-w","false","Springer_Nature"
118,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41598-022-24237-y","false","Springer_Nature"
119,"Martin Luther Universitaet Halle-Wittenberg",2023,1956,"10.3390/insects13121100","false","MDPI_Basel"
120,"Martin Luther Universitaet Halle-Wittenberg",2023,2621,"10.1186/s13195-022-01122-4","false","Springer_Nature"
121,"Martin Luther Universitaet Halle-Wittenberg",2023,1723,"10.1186/s13102-022-00591-2","false","Springer_Nature"
122,"Martin Luther Universitaet Halle-Wittenberg",2023,2029,"10.1186/s12888-022-04370-8","false","Springer_Nature"
123,"Martin Luther Universitaet Halle-Wittenberg",2023,2001,"10.1038/s41597-022-01847-9","false","Springer_Nature"
124,"Martin Luther Universitaet Halle-Wittenberg",2023,3362,"10.3389/fmed.2023.1103065","false","Frontiers_MEDIA_SA"
125,"Martin Luther Universitaet Halle-Wittenberg",2023,2213,"10.1186/s12889-022-14700-w","false","Springer_Nature"
126,"Martin Luther Universitaet Halle-Wittenberg",2023,5579,"10.1038/s41467-022-35308-z","false","Springer_Nature"
127,"Martin Luther Universitaet Halle-Wittenberg",2023,1047,"10.3390/ijms24010524","false","MDPI_Basel"
128,"Martin Luther Universitaet Halle-Wittenberg",2023,2182,"10.3389/fresc.2023.1114666","false","Frontiers_MEDIA_SA"
129,"Martin Luther Universitaet Halle-Wittenberg",2023,2361,"10.1111/ecog.06604","false","Wiley-Blackwell"
130,"Martin Luther Universitaet Halle-Wittenberg",2023,2276,"10.3390/biom12121873","false","MDPI_Basel"
131,"Martin Luther Universitaet Halle-Wittenberg",2023,2760,"g/10.1136/bmjopen-2022-067073","false","BMJ"
132,"Martin Luther Universitaet Halle-Wittenberg",2023,5579,"10.1038/s41467-022-35282-6","false","Springer_Nature"
133,"Martin Luther Universitaet Halle-Wittenberg",2023,3333,"10.3389/fonc.2023.1119436","false","Frontiers_MEDIA_SA"
134,"Martin Luther Universitaet Halle-Wittenberg",2023,2856,"10.1136/bmjopen-2022-064481","false","BMJ"
135,"Martin Luther Universitaet Halle-Wittenberg",2023,1828,"10.1002/ece3.9585","false","Wiley-Blackwell"
136,"Martin Luther Universitaet Halle-Wittenberg",2023,1868,"10.3390/insects14020172","false","MDPI_Basel"
137,"Martin Luther Universitaet Halle-Wittenberg",2023,686,"10.3390/ani13020224","false","MDPI_Basel"
138,"Martin Luther Universitaet Halle-Wittenberg",2023,2272,"10.3390/cells12010029","false","MDPI_Basel"
139,"Martin Luther Universitaet Halle-Wittenberg",2023,3362,"10.3389/fbioe.2023.1124131","false","Frontiers_MEDIA_SA"
140,"Martin Luther Universitaet Halle-Wittenberg",2023,1934,"10.1371/journal.pone.0280878","false","Public_Library_of_Science (PLoS)"
