DOI;Name des Verlags, der Plattform, des Server, …;Publikationsform;CC-Lizenz;Euro netto;Euro brutto;Kostensplitting;Gebührenart;Zuordnung zu Transformationsvertrag;Rechnungsjahr / Lizenzjahr;Publikationsjahr
10.1016/j.jpsychires.2024.03.019;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.compstruct.2024.118084;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1038/s41431-024-01608-9;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1111/sjos.12714;Wiley;journal article;CC BY-NC-ND;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1063/5.0191237;AIP;journal article;CC BY;0;0;;hybrid-oa;AIP (TIB) 2024-2026;2024;2024
10.1016/j.ic.2024.105164;Elsevier;journal article;CC BY-NC;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1145/3610978.3640591;ACM;journal article;CC BY;0;0;;hybrid-oa;ACM (hebis) 2021-2028;2024;2024
10.1057/s41272-024-00486-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.landusepol.2024.107159;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s42048-024-00183-4;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.cbi.2024.111006;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.lindif.2024.102446;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s11623-024-1922-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11060-024-04688-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00423-024-03328-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1002/rfe.1196;Wiley;journal article;CC BY-NC;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1016/j.cie.2024.110176;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1063/5.0213755;AIP;journal article;CC BY;0;0;;hybrid-oa;AIP (TIB) 2024-2026;2024;2024
10.1038/s41431-024-01612-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.tips.2024.04.011;Elsevier / CPTL;journal article;CC BY;6.450,00;6.901,50;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00208-024-02883-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11616-024-00841-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00394-024-03411-0;Springer;journal article;CC BY-NC;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.cor.2024.106686;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s11623-024-1924-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11623-024-1926-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11623-024-1938-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11623-024-1925-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11623-024-1927-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11623-024-1923-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.matt.2024.04.024;Elsevier / CPTL;journal article;CC BY-NC-ND;6.450,00;6.901,50;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00291-024-00768-w;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1063/5.0209216;AIP;journal article;CC BY;0;0;;hybrid-oa;AIP (TIB) 2024-2026;2024;2024
10.1016/j.envdev.2024.101004;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.bpg.2024.101918;Elsevier;journal article;CC BY-NC;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1017/apr.2023.52;de Gruyter;journal article;CC BY;0;0;;hybrid-oa;Walter de Gruyter (SUB Göttingen) 2023-2024;2024;2024
10.1515/jjzg-2024-0003;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;CUP (BSB) 2022-2024;2024;2024
10.1016/j.learninstruc.2024.101948;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.dam.2024.04.016;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1111/bjep.12697;Wiley;journal article;CC BY-NC-ND;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s00403-024-03130-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s42278-024-00207-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jclepro.2024.142721;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00526-024-02752-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1111/1365-2664.14689;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1038/s41567-024-02566-1;Springer;journal article;CC BY;9.500,00;11.305,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00393-024-01531-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11156-024-01310-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00270-024-03777-y;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00277-024-05850-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00062-024-01427-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00405-024-08772-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1515/jcde-2024-2002;de Gruyter;journal article;CC BY;0;0;;hybrid-oa;Walter de Gruyter (SUB Göttingen) 2023-2024;2024;2024
10.1007/s11060-024-04691-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00113-024-01455-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s10212-024-00874-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.aip.2024.102187;Elsevier;journal article;CC BY-NC;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00259-024-06834-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jri.2024.104296;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s10845-024-02452-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1515/ip-2024-4004;De Gruyter;journal article;CC BY;0;0;;hybrid-oa;Walter de Gruyter (SUB Göttingen) 2023-2024;2024;2024
10.1007/s00405-024-08869-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jco.2024.101887;Elsevier;journal article;CC BY-NC;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s12254-024-00987-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1111/all.16247;Wiley;journal article;CC BY-NC;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s10648-024-09931-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.gie.2024.08.001;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.jpsychires.2024.08.008;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1002/hed.27910;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1016/j.lingua.2024.103794;Elsevier;journal article;CC BY-NC;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1002/ejp.4709;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s00108-024-01773-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s10869-024-09980-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s10955-024-03325-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1111/aas.14515;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s11573-024-01201-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11142-024-09850-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.ejrad.2024.111677;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00392-024-02532-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jedc.2024.104929;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s42520-024-00600-3;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1096/fj.202400628rr;Wiley;journal article;CC BY-NC;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1016/j.bpobgyn.2024.102548;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s11306-024-02166-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00350-024-6855-z;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00115-024-01733-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11618-024-01276-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11616-024-00857-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1017/S0956792524000718;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;CUP (BSB) 2022-2024;2024;2024
10.1007/s00406-024-01914-9;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.cor.2024.106827;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1002/ajh.27496;Wiley;journal article;CC BY-NC-ND;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1016/j.emj.2024.09.002;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.learninstruc.2024.102009;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1002/asia.202400717;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1002/pamm.202400011;Wiley;journal article;CC BY-NC-ND;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1016/j.lindif.2024.102561;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s11846-024-00812-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s12519-024-00853-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00423-024-03517-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jri.2024.104385;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s10955-024-03362-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00548-024-00953-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11127-024-01214-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1002/adfm.202415376;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s42520-024-00603-0;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1111/stan.12366;Wiley;journal article;CC BY-NC-ND;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1192/bjo.2024.826;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;CUP (BSB) 2022-2024;2024;2024
10.1007/s00259-024-06959-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s41980-024-00946-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s42597-024-00131-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s10049-024-01410-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s10013-024-00722-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00423-024-03546-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.compositesa.2024.108562;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.clnu.2024.11.004;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1109/TAFFC.2024.3501400;IEEE;journal article;CC BY;0;0;;hybrid-oa;;2024;2024
10.1016/j.scico.2024.103227;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00418-024-02340-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11523-024-01109-1;Springer;journal article;CC BY;2.500,00;2.975,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1002/rfe.1221;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s10143-024-03127-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.compositesa.2024.108340;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1002/chem.202403574;Wiley;journal article;CC BY-NC-ND;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s00404-024-07840-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.jri.2024.104400;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s11403-024-00437-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00105-024-05437-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s40629-024-00316-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00062-024-01480-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.pragma.2024.11.002;Elsevier;journal article;CC BY-NC-ND;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1002/andp.202400344;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1063/5.0237659;AIP;journal article;CC BY;0;0;;hybrid-oa;AIP (TIB) 2024-2026;2024;2024
10.1016/j.najef.2024.102309;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1057/s41260-024-00389-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s00283-024-10394-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.apenergy.2024.124975;Elsevier;journal article;CC BY-NC;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s00270-024-03929-0;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1111/ecin.13272;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2024;2024
10.1007/s41682-024-00197-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.cma.2024.117617;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1007/s12519-024-00870-7;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1007/s11019-024-10245-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2024;2024
10.1016/j.tra.2024.104360;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1016/j.scs.2024.106091;Elsevier;journal article;CC BY;2.500,00;2.675,00;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2024
10.1109/TEVC.2024.3524505;IEEE;journal article;CC BY;0;0;;hybrid-oa;;2024;2024
10.1075/ip.00109.fet;Benjamins;journal article;CC BY;0;0;;hybrid-oa;John Benjamins (UB Augsburg) 2024-2024;2024;2024
10.1075/prag.24024.fet;Benjamins;journal article;CC BY;0;0;;hybrid-oa;John Benjamins (UB Augsburg) 2024-2024;2024;2024
10.1075/bjl.00079.mei;Benjamins;journal article;CC BY;0;0;;hybrid-oa;John Benjamins (UB Augsburg) 2024-2024;2024;2024
10.1186/s42466-024-00310-x;Springer;journal article;CC BY;1.432,00;1.532,24;;gold-oa;Springer (DEAL) 2024-2028;2024;2024
