Institution;DOI;Name des Verlags;Publikationsform;CC-Lizenz;Euro netto;Euro brutto;Kostensplitting;Geb�hrenart;agreement;Rechnungsjahr / Lizenzjahr;Publikationsjahr;is_hybrid
Augsburg U;10.1016/j.isci.2024.110136;Elsevier / CPTL;journal article;CC BY;2.397,00;2.564,79;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1038/s41598-024-60988-6;Springer;journal article;CC BY;1.801,60;1.927,71;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s12885-024-12519-9;Springer;journal article;CC BY;1.835,10;1.963,56;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s12885-024-12596-w;Springer;journal article;CC BY;1.835,10;1.963,56;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1038/s41598-024-66069-y;Springer;journal article;CC BY;1.801,60;1.927,71;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s40170-024-00349-z;Springer;journal article;CC BY;1.872,74;2.003,83;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1038/s41378-024-00738-w;Springer;journal article;CC BY-NC;3.392,66;3.630,15;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s12916-024-03533-6;Springer;journal article;CC BY;2.552,00;2.730,64;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1038/s41698-024-00662-2;Springer;journal article;CC BY;1.164,71;1.246,24;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1038/s41598-024-69287-6;Springer;journal article;CC BY;1.801,60;1.927,71;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1038/s43856-024-00589-6;Springer;journal article;CC BY;2.881,59;3.083,30;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1111/srt.13632;Wiley;journal article;CC BY-NC-ND;2.000,00;2.140,00;;gold-oa;Wiley (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s12883-024-03828-4;Springer;journal article;CC BY;1.765,07;1.888,62;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1016/j.ijcha.2024.101524;Elsevier;journal article;CC BY-NC;2.288,00;2.448,16;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1186/s12967-024-05765-9;Springer;journal article;CC BY-NC;2.208,56;2.363,16;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1186/s12913-024-11791-6;Springer;journal article;CC BY;1.872,00;2.003,04;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1002/advs.202407028;Wiley;journal article;CC BY;4.104,00;4.391,28;;gold-oa;Wiley (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1002/jvc2.492;Wiley;journal article;CC BY-NC-ND;720;856,8;;gold-oa;Wiley (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1016/j.chbr.2024.100540;Elsevier;journal article;CC BY-NC-ND;1.288,00;1.378,16;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1016/j.ajpc.2024.100899;Elsevier;journal article;CC BY-NC;1.304,00;1.395,28;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1186/s12911-024-02800-z;Springer;journal article;CC BY;1.676,37;1.793,72;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1002/cam4.7417;Wiley;journal article;CC BY;2.584,00;2764,88;;gold-oa;Wiley (DEAL) 2024-2028;2024;2024;FALSE
Augsburg U;10.1016/j.nicl.2024.103597;Elsevier;journal article;CC BY-NC-ND;2.480,00;2.653,60;;gold-oa;Elsevier (DEAL) 2023-2028;2024;2024;FALSE
Augsburg U;10.1186/s12885-023-11771-9;Springer;journal article;CC BY;1.773,05;2.109,93;;gold-oa;Springer (DEAL) 2024-2028;2024;2024;FALSE
