"epub_id","EURO","Period","Publisher","Journal","doi","issn.1","issn.2"
"28830","357","2013","Pensoft Publications (Sofia)","ZooKeys","10.3897/zookeys.301.4913" 
"27514","941.93","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0052499" 
"27510","1240.19","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0054085" 
"28815","1232.92","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0056360" 
"28792","1119.25","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0058338" 
"28809","1252.83","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0059298" 
"28801","1236.43","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0065388" 
"28787","1238.34","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0060644" 
"28782","2074.62","2013","Public Library of Science","PLoS Genetics","10.1371/journal.pgen.1003500" 
"28795","1120.81","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0065134" 
"28800","1236.53","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0068412" 
"28831","1204.01","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0070525" 
"28808","1226.81","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0059739" 
"29515","2010.89","2013","Public Library of Science","PLoS Genetics","10.1371/journal.pgen.1003786" 
"29519","1206.54","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0073277" 
"29546","1093.19","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0075278" 
"29537","1206.72","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0075612" 
"28434","1206.72","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0073961" 
"28838","1206.72","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0074660" 
"29539","1173.13","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0082780" 
"29545","1191.06","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0066987" 
"29103","1069.81","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0078935" 
"29518","1197.27","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0082166" 
"28978","1197.27","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0079450" 
"29525","1173.14 ","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0083917" 
"29531","1173.13","2013","Public Library of Science","PLoS ONE","10.1371/journal.pone.0084911" 
"29507","383.11","2013","Scientific Research Publ.","Journal of Analytical Science,Methods and Instrumentation","10.4236/jasmi.2013.34030" 
"28743","833","2013","Society for Publication of Acta Dermato-Venereologica ","Acta Dermato-Venereologica","10.2340/00015555-1632" 
"29506","840","2013","Springer","EURASIP Journal on Advances in Signal Processing","10.1186/1687-6180-2013-172" 
"29512","1239.47","2013","The Feinstein Institute for Medical Research","Molecular Medicine","10.2119/molmed.2013.00027" 
"29524","1344.70","2013","Wiley ; The American Physiological Society and The Physiological Society","Physiological Reports","10.1002/phy2.132" 
