"doi","ut"
"10.1186/1471-2105-12-236","ut:000293162500001"
"10.1186/1471-2105-12-270","ut:000292919600001"
"10.1186/1471-2105-12-418","ut:000297353000001"
"10.1186/1471-2105-12-441","ut:000298165400001"
"10.1186/1471-2105-12-55","ut:000288179800001"
"10.1186/1471-2105-13-251","ut:000316181400001"
"10.1186/1471-2105-13-262","ut:000313010800001"
"10.1186/1471-2105-13-56","ut:000308800100001"
"10.1186/1471-2105-13-57","NA"
"10.1186/1471-2105-13-85","ut:000307763000002"
"10.1186/1471-2105-14-292","ut:000325435100001"
"10.1186/1471-2105-14-349","ut:000329903500003"
"10.1186/1471-2105-14-56","ut:000318672300001"
"10.1186/1471-2105-14-77","ut:000316396200001"
"10.1186/1471-2105-15-264","ut:000340062200001"
"10.1186/1471-2105-15-39","ut:000334468400003"
"10.1186/1471-2105-15-99","ut:000335987100001"
"10.1186/1471-2105-8-454","ut:000252551900001"
"10.1186/1471-2105-9-152","ut:000256034200001"
"10.1186/1471-2105-9-165","ut:000255284000003"
"10.1186/1471-2105-9-177","ut:000255284400001"
"10.1186/1471-2105-9-274","ut:000257832000001"
"10.1186/1471-2105-9-278","ut:000257653900001"
"10.1186/1471-2105-9-32","ut:000253159800001"
"10.1186/1471-2105-9-342","ut:000259016700002"
"10.1186/1471-2105-9-423","ut:000260890200001"
"10.1186/1471-2105-9-459","ut:000262596500001"
"10.1186/1471-2105-9-465","ut:000262158700001"
"10.1186/1471-2105-9-497","ut:000262998300002"
"10.1186/1471-2105-9-517","ut:000262998900001"
"10.1186/1471-2105-9-9","ut:000253685600002"
"10.1186/1471-2105-9-90","ut:000254638200001"
"10.1186/1471-2121-10-71","ut:000271203700001"
"10.1186/1471-2121-11-21","ut:000276333600001"
"10.1186/1471-2121-12-42","ut:000296107000001"
"10.1186/1471-2121-13-26","ut:000313802400001"
"10.1186/1471-213X-11-52","ut:000295264200001"
"10.1186/1471-213X-11-55","ut:000295725500001"
"10.1186/1471-213X-8-23","ut:000254282000001"
"10.1186/1471-213X-8-55","ut:000256488500001"
"10.1186/1471-213X-9-35","ut:000268538000002"
"10.1186/1471-2148-10-156","ut:000279829100001"
"10.1186/1471-2148-10-186","ut:000280368400003"
"10.1186/1471-2148-10-187","ut:000282745000001"
"10.1186/1471-2148-10-285","ut:000282770000004"
"10.1186/1471-2148-10-286","ut:000282770000005"
"10.1186/1471-2148-10-325","ut:000285339200002"
"10.1186/1471-2148-10-55","ut:000275256200001"
"10.1186/1471-2148-10-60","ut:000275832300001"
"10.1186/1471-2148-11-13","ut:000289407000002"
"10.1186/1471-2148-11-134","ut:000292049000001"
"10.1186/1471-2148-11-239","ut:000294952000001"
"10.1186/1471-2148-11-268","ut:000295728200001"
"10.1186/1471-2148-11-3","ut:000289406200001"
"10.1186/1471-2148-11-306","ut:000296764800001"
"10.1186/1471-2148-11-309","ut:000296764900001"
"10.1186/1471-2148-11-327","ut:000297650800001"
"10.1186/1471-2148-11-328","ut:000298583400001"
"10.1186/1471-2148-11-85","ut:000289622500001"
"10.1186/1471-2148-12-150","ut:000308816900001"
"10.1186/1471-2148-12-160","ut:000315454100001"
"10.1186/1471-2148-12-62","ut:000308077500001"
"10.1186/1471-2148-12-95","ut:000312334700001"
"10.1186/1471-2148-13-202","ut:000325339100001"
"10.1186/1471-2148-13-229","ut:000326621200001"
"10.1186/1471-2148-13-254","ut:000328461500001"
"10.1186/1471-2148-13-82","ut:000318368000001"
"10.1186/1471-2148-14-18","ut:000334379000001"
"10.1186/1471-2148-14-98","ut:000336227300001"
"10.1186/1471-2148-8-110","ut:000255713600001"
"10.1186/1471-2148-8-220","ut:000259096500001"
"10.1186/1471-2148-8-30","ut:000253542200001"
"10.1186/1471-2148-9-117","ut:000267758400002"
"10.1186/1471-2148-9-186","ut:000270355900001"
"10.1186/1471-2148-9-19","ut:000264072500001"
"10.1186/1471-2148-9-212","ut:000270357700001"
"10.1186/1471-2148-9-269","ut:000272354300001"
"10.1186/1471-2148-9-4","ut:000263054800001"
"10.1186/1471-2148-9-57","ut:000264932000001"
"10.1186/1471-2148-9-7","ut:000263055000001"
"10.1186/1471-2148-9-9","ut:000264072100001"
"10.1186/1471-2156-11-33","ut:000279858300001"
"10.1186/1471-2156-12-49","ut:000292141800001"
"10.1186/1471-2156-9-38","ut:000256925600001"
"10.1186/1471-2164-10-144","ut:000265793500003"
"10.1186/1471-2164-10-161","ut:000265794200001"
"10.1186/1471-2164-10-173","ut:000265794700001"
"10.1186/1471-2164-10-209","ut:000266859800001"
"10.1186/1471-2164-10-314","ut:000268755700001"
"10.1186/1471-2164-10-410","ut:000270394400003"
"10.1186/1471-2164-10-446","ut:000271153200002"
"10.1186/1471-2164-10-464","ut:000271879400002"
"10.1186/1471-2164-10-95","ut:000265791000001"
"10.1186/1471-2164-11-115","ut:000275628800001"
"10.1186/1471-2164-11-188","ut:000276365400001"
"10.1186/1471-2164-11-264","ut:000277992600001"
"10.1186/1471-2164-11-270","ut:000279861100001"
"10.1186/1471-2164-11-29","ut:000274643400002"
"10.1186/1471-2164-11-393","ut:000279870100001"
"10.1186/1471-2164-11-4","ut:000274641900001"
"10.1186/1471-2164-11-409","ut:000280399400001"
"10.1186/1471-2164-11-411","ut:000279870700001"
"10.1186/1471-2164-11-546","ut:000283324200001"
"10.1186/1471-2164-11-68","ut:000275625800001"
"10.1186/1471-2164-12-158","ut:000289419200001"
"10.1186/1471-2164-12-203","ut:000290795300001"
"10.1186/1471-2164-12-229","ut:000291423300001"
"10.1186/1471-2164-12-273","ut:000291730900001"
"10.1186/1471-2164-12-357","ut:000292986200001"
"10.1186/1471-2164-12-382","ut:000294425700002"
"10.1186/1471-2164-12-483","ut:000296318000001"
"10.1186/1471-2164-12-484","ut:000296766200001"
"10.1186/1471-2164-12-575","ut:000297856000001"
"10.1186/1471-2164-12-599","ut:000299087600001"
"10.1186/1471-2164-12-624","ut:000299219800001"
"10.1186/1471-2164-12-7","ut:000286425300002"
"10.1186/1471-2164-12-91","ut:000287413200001"
"10.1186/1471-2164-13-116","ut:000302900700001"
"10.1186/1471-2164-13-281","ut:000308935100001"
"10.1186/1471-2164-13-395","ut:000309927600001"
"10.1186/1471-2164-13-510","ut:000315739900001"
"10.1186/1471-2164-13-579","ut:000314646600002"
"10.1186/1471-2164-13-587","NA"
"10.1186/1471-2164-14-117","ut:000317411400001"
"10.1186/1471-2164-14-132","ut:000316985400001"
"10.1186/1471-2164-14-380","ut:000320118300001"
"10.1186/1471-2164-14-773","ut:000328639800005"
"10.1186/1471-2164-14-793","ut:000328641000005"
"10.1186/1471-2164-14-906","ut:000329613200001"
"10.1186/1471-2164-15-115","ut:000331118600001"
"10.1186/1471-2164-15-139","ut:000332601300003"
"10.1186/1471-2164-15-411","ut:000338681800001"
"10.1186/1471-2164-15-53","ut:000331114400002"
"10.1186/1471-2164-15-537","ut:000338592600001"
"10.1186/1471-2164-15-557","ut:000339294200001"
"10.1186/1471-2164-9-118","ut:000254891600001"
"10.1186/1471-2164-9-182","ut:000256398200001"
"10.1186/1471-2164-9-30","ut:000253541000001"
"10.1186/1471-2164-9-306","ut:000257742300001"
"10.1186/1471-2164-9-310","ut:000258551800001"
"10.1186/1471-2164-9-346","ut:000258235400001"
"10.1186/1471-2164-9-356","ut:000207491700001"
"10.1186/1471-2164-9-422","NA"
"10.1186/1471-2164-9-68","ut:000253541500001"
"10.1186/1471-2172-10-18","ut:000265764700001"
"10.1186/1471-2172-9-63","ut:000261241300001"
"10.1186/1471-2180-10-230","ut:000281804600001"
"10.1186/1471-2180-11-111","ut:000292088900001"
"10.1186/1471-2180-12-192","ut:000310876600001"
"10.1186/1471-2180-12-272","ut:000315463100001"
"10.1186/1471-2180-13-189","ut:000323167700001"
"10.1186/1471-2180-13-204","ut:000324650100001"
"10.1186/1471-2180-14-56","ut:000335404100002"
"10.1186/1471-2180-9-56","ut:000265029000002"
"10.1186/1471-2199-11-40","ut:000279931400001"
"10.1186/1471-2199-12-42","ut:000295449500001"
"10.1186/1471-2199-8-105","ut:000253463600001"
"10.1186/1471-2199-9-18","ut:000253538300002"
"10.1186/1471-2199-9-21","ut:000253538400001"
"10.1186/1471-2202-10-22","ut:000265060100001"
"10.1186/1471-2202-10-40","ut:000267985100001"
"10.1186/1471-2202-10-89","ut:000269559300001"
"10.1186/1471-2202-11-118","ut:000283243300002"
"10.1186/1471-2202-12-100","ut:000296639500001"
"10.1186/1471-2202-12-110","ut:000297674900001"
"10.1186/1471-2202-12-14","ut:000287415800001"
"10.1186/1471-2202-12-29","ut:000288992900001"
"10.1186/1471-2202-12-45","ut:000291969300001"
"10.1186/1471-2202-12-93","ut:000297057700001"
"10.1186/1471-2202-13-1","ut:000302360200001"
"10.1186/1471-2202-15-38","ut:000334945400001"
"10.1186/1471-2202-9-18","ut:000254404000001"
"10.1186/1471-2202-9-40","ut:000256221800001"
"10.1186/1471-2202-9-58","ut:000258350500002"
"10.1186/1471-2210-10-5","NA"
"10.1186/1471-2229-10-164","ut:000281839100001"
"10.1186/1471-2229-10-171","ut:000281840500006"
"10.1186/1471-2229-10-216","ut:000283871500001"
"10.1186/1471-2229-10-271","ut:000285722600001"
"10.1186/1471-2229-10-285","ut:000286511300001"
"10.1186/1471-2229-10-31","ut:000275663800001"
"10.1186/1471-2229-10-66","ut:000278022900001"
"10.1186/1471-2229-12-131","ut:000308695600001"
"10.1186/1471-2229-12-172","ut:000310919300001"
"10.1186/1471-2229-12-209","ut:000311644400001"
"10.1186/1471-2229-12-213","ut:000312208100001"
"10.1186/1471-2229-12-56","ut:000311947200001"
"10.1186/1471-2229-12-60","ut:000307241400001"
"10.1186/1471-2229-12-84","ut:000307905400001"
"10.1186/1471-2229-12-97","ut:000310379300001"
"10.1186/1471-2229-13-101","ut:000322452100001"
"10.1186/1471-2229-13-113","ut:000322888400001"
"10.1186/1471-2229-13-15","ut:000314886200001"
"10.1186/1471-2229-13-164","ut:000332239100001"
"10.1186/1471-2229-13-213","ut:000330065100001"
"10.1186/1471-2229-13-73","ut:000319019800001"
"10.1186/1471-2229-13-82","ut:000320045400001"
"10.1186/1471-2229-13-99","ut:000321928400001"
"10.1186/1471-2229-14-12","ut:000330074800001"
"10.1186/1471-2229-8-109","ut:000262304800001"
"10.1186/1471-2229-9-20","ut:000265062100001"
"10.1186/1471-2350-11-110","ut:000283192700001"
"10.1186/1471-2350-12-10","ut:000286614800001"
"10.1186/1471-2407-12-38","ut:000303599400001"
"10.1186/1471-2407-9-301","ut:000270308800002"
"10.1186/1471-2407-9-447","ut:000273538900002"
"10.1186/1471-244X-10-91","ut:000285350800001"
"10.1186/1471-244X-13-218","ut:000323839300001"
"10.1186/1471-244X-9-17","ut:000266867200001"
"10.1186/1472-6750-12-79","ut:000311494600001"
"10.1186/1472-6750-13-12","ut:000315807400001"
"10.1186/1472-6750-14-72","ut:000339918500001"
"10.1186/1472-6750-8-27","ut:000254876100001"
"10.1186/1472-6750-8-45","ut:000256446500001"
"10.1186/1472-6750-8-55","ut:000258229600001"
"10.1186/1472-6785-10-11","NA"
"10.1186/1472-6785-10-13","NA"
"10.1186/1472-6785-10-23","NA"
"10.1186/1472-6785-11-3","NA"
"10.1186/1472-6785-14-21","ut:000339575700001"
"10.1186/1472-6785-8-10","NA"
"10.1186/1472-6785-8-12","NA"
"10.1186/1472-6785-8-5","NA"
"10.1186/1472-6785-9-15","NA"
"10.1186/1472-6807-11-33","ut:000295033000001"
"10.1186/1472-6807-12-12","ut:000309975100001"
"10.1186/1472-6807-8-53","ut:000263337300001"
"10.1186/1472-6807-9-68","ut:000272233900001"
"10.1186/1472-6947-11-30","ut:000291529300001"
"10.1186/1475-2859-11-97","ut:000307468200001"
"10.1186/1476-4598-10-109","ut:000295528900001"
"10.1186/1476-4598-10-54","ut:000292199600001"
"10.1186/1476-4598-6-79","ut:000252997700001"
"10.1186/1476-4598-8-22","ut:000265255900001"
"10.1186/1476-4598-9-18","NA"
"10.1186/1476-4598-9-60","ut:000276413800001"
"10.1186/1477-5956-10-28","ut:000305289200001"
"10.1186/1477-5956-11-40","ut:000323905100001"
"10.1186/1477-5956-6-22","ut:000258960300001"
"10.1186/1477-5956-6-33","ut:000262407700001"
"10.1186/1477-5956-8-33","ut:000280282800001"
"10.1186/1477-5956-8-6","ut:000275040700001"
"10.1186/1477-5956-9-7","ut:000287523800001"
"10.1186/1477-7525-11-68","ut:000318241700001"
"10.1186/1478-7954-10-3","ut:000302234400001"
"10.1186/1478-811X-10-11","ut:000311318900001"
"10.1186/1478-811X-11-43","ut:000321119400001"
"10.1186/1478-811X-8-5","ut:000276459800001"
"10.1186/1478-811X-8-6","ut:000278267800001"
"10.1186/1532-429X-15-79","ut:000324495800001"
"10.1186/1556-276X-6-214","ut:000292283500004"
"10.1186/1556-276X-7-255","ut:000307536700001"
"10.1186/1559-4106-8-28","ut:000334053100001"
"10.1186/1559-4106-8-32","ut:000334053900001"
"10.1186/1559-4106-8-36","ut:000334054600001"
"10.1186/1687-6180-2013-55","ut:000318786500001"
"10.1186/1740-3391-6-3","NA"
"10.1186/1740-3391-6-5","NA"
"10.1186/1741-7007-12-16","ut:000333515200001"
"10.1186/1741-7007-12-21","ut:000338789100001"
"10.1186/1741-7007-5-56","ut:000252972300001"
"10.1186/1741-7007-6-37","ut:000260109300001"
"10.1186/1741-7007-7-37","ut:000268451700001"
"10.1186/1741-7007-8-154","ut:000286313100001"
"10.1186/1741-7007-8-24","ut:000278052100001"
"10.1186/1741-7007-8-66","ut:000278362900001"
"10.1186/1741-7007-9-27","ut:000291932000001"
"10.1186/1741-7015-6-21","ut:000258689600001"
"10.1186/1741-7015-9-82","ut:000293472600001"
"10.1186/1742-4682-10-44","ut:000322043200001"
"10.1186/1742-4682-11-1","ut:000331732700001"
"10.1186/1742-4682-9-22","ut:000313164500001"
"10.1186/1742-4690-10-130","ut:000329045100001"
"10.1186/1742-4690-9-60","ut:000307822600001"
"10.1186/1742-6405-8-26","ut:000208614500026"
"10.1186/1742-9994-10-3","ut:000316322900001"
"10.1186/1742-9994-10-42","ut:000322713800001"
"10.1186/1742-9994-10-60","ut:000325315100001"
"10.1186/1742-9994-10-79","ut:000329523800001"
"10.1186/1742-9994-10-8","ut:000318070400001"
"10.1186/1742-9994-11-11","ut:000332042300001"
"10.1186/1742-9994-6-5","ut:000264401700001"
"10.1186/1742-9994-6-7","ut:000268166100001"
"10.1186/1742-9994-7-15","ut:000278792200001"
"10.1186/1742-9994-7-25","ut:000282294200001"
"10.1186/1742-9994-8-16","ut:000293060700001"
"10.1186/1742-9994-8-26","ut:000297319300001"
"10.1186/1742-9994-9-6","ut:000304099400001"
"10.1186/1743-0003-11-24","ut:000334701900004"
"10.1186/1743-0003-7-34","ut:000283161300001"
"10.1186/1744-8069-6-98","ut:000286384400001"
"10.1186/1745-6150-3-31","ut:000258514800001"
"10.1186/1745-6150-8-2","ut:000315729000002"
"10.1186/1746-4811-4-11","ut:000263278200001"
"10.1186/1746-4811-4-12","ut:000263278300001"
"10.1186/1746-4811-4-18","ut:000263279200001"
"10.1186/1746-4811-5-17","ut:000272288900001"
"10.1186/1746-4811-5-3","ut:000265597000001"
"10.1186/1746-4811-5-4","ut:000266423700001"
"10.1186/1746-4811-6-4","ut:000275503500001"
"10.1186/1746-4811-7-34","ut:000296725700001"
"10.1186/1746-4811-7-35","ut:000297406800001"
"10.1186/1748-7188-3-11","ut:000259705300001"
"10.1186/1748-7188-3-12","ut:000259705300002"
"10.1186/1748-7188-3-14","ut:000261508000001"
"10.1186/1748-7188-4-10","ut:000269354700001"
"10.1186/1748-7188-5-20","ut:000277431700001"
"10.1186/1748-7188-5-25","ut:000279692000002"
"10.1186/1748-7188-6-4","ut:000289229100001"
"10.1186/1748-7188-7-17","ut:000306952200001"
"10.1186/1748-7188-8-14","ut:000321834300001"
"10.1186/1749-8104-7-1","ut:000300366100001"
"10.1186/1749-8104-7-39","ut:000315088300001"
"10.1186/1749-8104-8-16","ut:000324056800001"
"10.1186/1750-0680-4-4","NA"
"10.1186/1750-0680-5-2","NA"
"10.1186/1750-0680-7-12","NA"
"10.1186/1750-0680-8-3","NA"
"10.1186/1752-0509-1-51","ut:000253051000001"
"10.1186/1752-0509-2-100","ut:000262309400001"
"10.1186/1752-0509-2-43","ut:000257557500001"
"10.1186/1752-0509-2-78","ut:000260333600001"
"10.1186/1752-0509-2-91","ut:000263340000001"
"10.1186/1752-0509-3-83","ut:000269748000001"
"10.1186/1752-0509-4-159","ut:000285479500001"
"10.1186/1752-0509-4-164","ut:000285723200001"
"10.1186/1752-0509-4-165","ut:000285882000001"
"10.1186/1752-0509-4-27","ut:000276871600001"
"10.1186/1752-0509-4-30","ut:000276871700002"
"10.1186/1752-0509-5-135","ut:000295458200001"
"10.1186/1752-0509-5-150","ut:000296440900001"
"10.1186/1752-0509-6-148","ut:000315260500001"
"10.1186/1752-0509-6-16","ut:000304673300001"
"10.1186/1752-0509-7-73","ut:000324628000001"
"10.1186/1752-153X-2-16","ut:000259067800001"
"10.1186/1752-153X-3-11","ut:000270753000001"
"10.1186/1752-153X-4-11","ut:000279949400001"
"10.1186/1752-153X-4-3","ut:000275424200001"
"10.1186/1752-153X-6-144","ut:000313956300001"
"10.1186/1754-1611-7-22","ut:000334096700021"
"10.1186/1755-7682-4-26","NA"
"10.1186/1755-8417-3-2","NA"
"10.1186/1755-8794-1-22","ut:000272682800001"
"10.1186/1755-8794-1-41","ut:000272705100001"
"10.1186/1755-8794-1-49","ut:000272706100001"
"10.1186/1755-8794-4-68","ut:000295887300001"
"10.1186/1756-0381-2-4","ut:000208761000004"
"10.1186/1756-0381-4-9","ut:000208761200009"
"10.1186/1756-0500-1-109","NA"
"10.1186/1756-0500-1-19","NA"
"10.1186/1756-0500-2-35","NA"
"10.1186/1756-0500-3-337","NA"
"10.1186/1756-0500-4-265","NA"
"10.1186/1756-0500-4-314","NA"
"10.1186/1756-0500-4-338","NA"
"10.1186/1756-0500-4-470","NA"
"10.1186/1756-0500-4-483","NA"
"10.1186/1756-0500-5-1","NA"
"10.1186/1756-0500-5-358","NA"
"10.1186/1756-0500-5-88","NA"
"10.1186/1756-0500-6-144","NA"
"10.1186/1756-0500-6-483","NA"
"10.1186/1756-3305-5-90","ut:000307337800001"
"10.1186/1756-3305-6-33","ut:000315455800001"
"10.1186/1756-6606-3-2","ut:000208457200002"
"10.1186/1756-6606-5-29","ut:000312591500001"
"10.1186/1756-8935-3-7","ut:000283773700001"
"10.1186/1756-8935-4-11","ut:000294493300001"
"10.1186/1757-5036-3-12","NA"
"10.1186/1757-5036-3-4","NA"
"10.1186/1757-5036-3-7","NA"
"10.1186/1757-5036-3-9","NA"
"10.1186/2041-1480-1-4","ut:000209108300004"
"10.1186/2041-9139-3-23","ut:000311379400002"
"10.1186/2041-9139-3-27","ut:000314986000001"
"10.1186/2042-1001-1-17","NA"
"10.1186/2042-5783-1-9","NA"
"10.1186/2046-1682-4-11","ut:000299411000001"
"10.1186/2046-1682-6-9","ut:000322397200001"
"10.1186/2051-3933-1-4","NA"
"10.1186/2051-3933-2-5","NA"
"10.1186/2190-8567-4-22","NA"
"10.1186/2192-2853-1-7","NA"
"10.1186/2193-1801-1-6","NA"
"10.1186/2193-1801-1-9","NA"
"10.1186/2193-9616-1-13","NA"
"10.1186/2194-3206-2-2","NA"
"10.1186/bcr3046","ut:000298928100020"
"10.1186/cc6772","ut:000254812500048"
"10.1186/gb-2007-8-11-r249","ut:000252101100023"
"10.1186/gb-2007-8-11-r250","ut:000252101100024"
"10.1186/gb-2007-8-12-r256","ut:000253451800014"
"10.1186/gb-2008-9-1-r16","ut:000253779800024"
"10.1186/gb-2008-9-11-r167","ut:000261273100012"
"10.1186/gb-2008-9-7-r112","ut:000258773600013"
"10.1186/gb-2008-9-8-r124","ut:000259701400009"
"10.1186/gb-2009-10-10-r105","ut:000272227000007"
"10.1186/gb-2009-10-2-r14","ut:000266345600011"
"10.1186/gb-2009-10-8-r83","ut:000269672900009"
"10.1186/gb-2009-10-9-r98","ut:000271425300019"
"10.1186/gb-2010-11-5-r47","ut:000279631000012"
"10.1186/gb-2011-12-1-r8","ut:000289437000012"
"10.1186/gb-2011-12-2-r19","ut:000289365600015"
"10.1186/gb-2011-12-8-r76","ut:000296649500006"
"10.1186/gb-2012-13-10-r96","ut:000313183900015"
"10.1186/gb-2012-13-12-r117","ut:000315869800006"
"10.1186/gb-2012-13-3-r17","ut:000308544200002"
"10.1186/gb-2012-13-5-r34","ut:000308545500001"
"10.1186/gb-2012-13-7-r63","ut:000315186500007"
"10.1186/gb-2013-14-2-r16","ut:000322388800006"
"10.1186/gb-2013-14-6-r61","ut:000328194200009"
"10.1186/gb-2013-14-8-r84","ut:000328195400002"
"10.1186/gb-2014-15-2-r34","ut:000336256600017"
"10.1186/gm473","ut:000324301000001"
"10.1186/jbiol61","NA"
