"","publisher","journal","ISSN.1","ISSN.2","doi"
"46","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/10/105007"
"47","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/10/105019"
"48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/11/115007"
"49","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/11/113029"
"50","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/11/113059"
"51","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/125005"
"52","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123008"
"53","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123021"
"54","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123028"
"55","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123033"
"56","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123034"
"57","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/125024"
"58","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055505"
"59","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055662"
"60","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056000"
"61","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055442"
"62","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056768"
"63","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056049"
"64","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055366"
"65","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003177"
"66","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057133"
"67","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056717"
"68","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056871"
"69","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055846"
"70","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055415"
"71","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057311"
"72","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056889"
"73","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057530"
"74","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057868"
"75","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057795"
"76","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057508"
"77","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056162"
"78","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057731"
"79","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002933"
"80","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058457"
"81","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057070"
"82","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059008"
"83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058889"
"84","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001505"
"85","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003221"
"86","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058906"
"87","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003245"
"88","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058839"
"89","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002985"
"90","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002977"
"91","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060219"
"92","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003281"
"93","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058259"
"94","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059252"
"95","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003374"
"96","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003303"
"97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064498"
"98","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064115"
"99","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060887"
"100","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061096"
"101","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060773"
"102","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064195"
"103","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061173"
"104","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061569"
"105","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063400"
"106","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063582"
"107","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064823"
"108","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061403"
"109","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003029"
"110","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060582"
"111","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063994"
"112","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063518"
"113","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001577"
"114","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060325"
"115","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062974"
"116","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064947"
"117","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061106"
"118","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002987"
"119","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059780"
"120","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063203"
"121","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059110"
"122","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063859"
"123","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063637"
"124","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0065839"
"125","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062263"
"126","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0066490"
"127","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062520"
"128","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068015"
"129","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0066544"
"130","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067269"
"131","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067461"
"132","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067714"
"133","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0065357"
"134","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003122"
"135","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001589"
"136","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001596"
"137","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062814"
"138","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067340"
"139","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0066868"
"140","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067362"
"141","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061813"
"142","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061577"
"143","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068124"
"144","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003170"
"145","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068594"
"146","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003651"
"147","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0069899"
"148","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0069990"
"149","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003650"
"150","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068377"
"151","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070141"
"152","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070646"
"153","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070116"
"154","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068645"
"155","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068879"
"156","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003168"
"157","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003219"
"158","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003712"
"159","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073343"
"160","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072288"
"161","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003204"
"162","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073039"
"163","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072500"
"164","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072771"
"165","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072627"
"166","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073257"
"167","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072629"
"168","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072136"
"169","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070902"
"170","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0071540"
"171","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072805"
"172","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0071097"
"173","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073444"
"174","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003793"
"175","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003209"
"176","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003228"
"177","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003232"
"178","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003802"
"179","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074767"
"180","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074362"
"181","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075853"
"182","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075024"
"183","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074177"
"184","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075298"
"185","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074292"
"186","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073826"
"187","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0076355"
"188","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075060"
"189","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073852"
"190","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074894"
"191","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003663"
"192","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070710"
"193","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074681"
"194","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003307"
"195","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003303"
"196","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077135"
"197","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077554"
"198","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077876"
"199","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078007"
"200","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078433"
"201","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078781"
"202","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078966"
"203","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078745"
"204","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077074"
"205","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0076512"
"206","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078384"
"207","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078758"
"208","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078273"
"209","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077886"
"210","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078469"
"211","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077687"
"212","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003368"
"213","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003372"
"214","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003378"
"215","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003381"
"216","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1004015"
"217","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0081687"
"218","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0080945"
"219","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0079600"
"220","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0079796"
"221","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0079487"
"222","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0080335"
"223","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0079406"
"224","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0080910"
"225","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0081094"
"226","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0081936"
"227","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0081517"
"228","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003980"
"229","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003503"
"230","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1004047"
"231","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1004080"
"232","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0081518"
"233","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0084196"
"234","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0084914"
"235","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0084037"
"236","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0084085"
"237","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0083840"
"238","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0083570"
"239","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0084560"
"240","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0083218"
"241","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0082473"
"242","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0083870"
"243","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0084461"
"244","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0082605"
"245","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0084592"
"246","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003866"
"247","Public Library of Science (PLoS)","PLoS Pathogens","1553-7374",NA,"10.1371/journal.ppat.1003881"
"248","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003250"
"249","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0054421"
"250","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055251"
"251","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0054778"
"252","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053715"
"253","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053656"
"254","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053833"
"255","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053743"
"256","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053590"
"257","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0054247"
"258","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055009"
"259","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055189"
"260","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0052229"
"261","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003255"
"262","Wiley-Blackwell","ChemistryOpen","2191-1363",NA,"10.1002/open.201200045"
"263","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.707"
"264","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.670"
"265","Wiley-Blackwell","Brain and Behavior","2162-3279",NA,"10.1002/brb3.180"
"266","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.500"
"267","Wiley-Blackwell","MicrobiologyOpen","2045-8827",NA,"10.1002/mbo3.128"
"268","EMBO","EMBO Mol Med","1757-4676",NA,"10.1002/emmm.201200230 "
"269","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.889"
"270","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.902"
"271","Wiley-Blackwell","Ecol Evol","2045-7758",NA,"10.1002/ece3.907"
