*****CSV file analysis*****
CSV dialect sniffing:
--- Analysing line 12 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('2304') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 13 ---
   - Empty DOI, line deleted
--- Analysing line 14 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1676.55') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1351.5) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 15 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1676.55') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1351.5) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 16 ---
   - Empty DOI, line deleted
--- Analysing line 17 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1923.29') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1550.4) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 18 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('2258.19') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3000) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 19 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1972.41') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1590) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 20 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('2530.64') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2040) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 21 ---
   - Drop mark found, line deleted
--- Analysing line 22 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('2530.64') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2040) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 23 ---
   - Created period field ('2014') by parsing value '2014' in column 'Date of APC payment'
   - Created euro field ('1676.55') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1351.5) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 24 ---
   - Empty DOI, line deleted
--- Analysing line 25 ---
   - Created period field ('2014') by parsing value '2014-09-25' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1230.14') by dividing the value in 'APC paid (£) including VAT if charged' (960) by 0.7804 (EUR -> GBP conversion rate on 2014-09-25) [fixer.io]
--- Analysing line 26 ---
   - Drop mark found, line deleted
--- Analysing line 27 ---
   - Created period field ('2014') by parsing value '2014-10-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2975.03') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3800) by 1.2773 (EUR -> USD conversion rate on 2014-10-20) [fixer.io]
--- Analysing line 28 ---
   - Created period field ('2014') by parsing value '2014-10-14' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1072.37') by dividing the value in 'APC paid (£) including VAT if charged' (852) by 0.7945 (EUR -> GBP conversion rate on 2014-10-14) [fixer.io]
--- Analysing line 29 ---
   - Created period field ('2014') by parsing value '2014-11-14' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1072.51') by dividing the value in 'APC paid (£) including VAT if charged' (852) by 0.7944 (EUR -> GBP conversion rate on 2014-11-14) [fixer.io]
--- Analysing line 30 ---
   - Created period field ('2014') by parsing value '2014-12-09' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2278.05') by dividing the value in 'APC paid (£) including VAT if charged' (1800) by 0.79015 (EUR -> GBP conversion rate on 2014-12-09) [fixer.io]
--- Analysing line 31 ---
   - Empty DOI, line deleted
--- Analysing line 32 ---
   - Empty DOI, line deleted
--- Analysing line 33 ---
   - Created period field ('2014') by parsing value '2014-11-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3755.16') by dividing the value in 'APC paid (£) including VAT if charged' (3000) by 0.7989 (EUR -> GBP conversion rate on 2014-11-20) [fixer.io]
--- Analysing line 34 ---
   - Created period field ('2014') by parsing value '2014-11-25' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1175.94') by dividing the value in 'APC paid (£) including VAT if charged' (932.4) by 0.7929 (EUR -> GBP conversion rate on 2014-11-25) [fixer.io]
--- Analysing line 35 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
   - Created euro field ('2629.66') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 36 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2671.08') by dividing the value in 'APC paid (£) including VAT if charged' (2100) by 0.7862 (EUR -> GBP conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 37 ---
   - Created period field ('2014') by parsing value '2014-12-04' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1096.58') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1350) by 1.2311 (EUR -> USD conversion rate on 2014-12-04) [fixer.io]
--- Analysing line 38 ---
   - Created period field ('2014') by parsing value '2014-12-15' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1590.73') by dividing the value in 'APC paid (£) including VAT if charged' (1262.4) by 0.7936 (EUR -> GBP conversion rate on 2014-12-15) [fixer.io]
--- Analysing line 39 ---
   - Created period field ('2014') by parsing value '2014-12-15' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2603.41') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3235) by 1.2426 (EUR -> USD conversion rate on 2014-12-15) [fixer.io]
--- Analysing line 40 ---
   - Empty DOI, line deleted
--- Analysing line 41 ---
   - Created period field ('2014') by parsing value '2014-03-03' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 42 ---
   - Created period field ('2014') by parsing value '2014-03-13' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 43 ---
   - Created period field ('2014') by parsing value '2014-06-24' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2670.38') by dividing the value in 'APC paid (£) including VAT if charged' (2140.31) by 0.8015 (EUR -> GBP conversion rate on 2014-06-24) [fixer.io]
--- Analysing line 44 ---
   - Drop mark found, line deleted
--- Analysing line 45 ---
   - Created period field ('2014') by parsing value '2014-05-01' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 46 ---
   - Created period field ('2014') by parsing value '2014-06-04' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 47 ---
   - Created period field ('2014') by parsing value '2014-11-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2689.38') by dividing the value in 'APC paid (£) including VAT if charged' (2100) by 0.78085 (EUR -> GBP conversion rate on 2014-11-03) [fixer.io]
--- Analysing line 48 ---
   - Created period field ('2014') by parsing value '2014-08-13' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3361.12') by dividing the value in 'APC paid (£) including VAT if charged' (2687.89) by 0.7997 (EUR -> GBP conversion rate on 2014-08-13) [fixer.io]
--- Analysing line 49 ---
   - Drop mark found, line deleted
--- Analysing line 50 ---
   - Created period field ('2015') by parsing value '2015-01-29' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2869.41') by dividing the value in 'APC paid (£) including VAT if charged' (2145.6) by 0.74775 (EUR -> GBP conversion rate on 2015-01-29) [fixer.io]
--- Analysing line 51 ---
   - Empty DOI, line deleted
--- Analysing line 52 ---
   - Drop mark found, line deleted
--- Analysing line 53 ---
   - Drop mark found, line deleted
--- Analysing line 54 ---
   - Created period field ('2014') by parsing value '2014-10-23' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 55 ---
   - Drop mark found, line deleted
--- Analysing line 56 ---
   - Drop mark found, line deleted
--- Analysing line 57 ---
   - Empty DOI, line deleted
--- Analysing line 58 ---
   - Drop mark found, line deleted
--- Analysing line 59 ---
   - Empty DOI, line deleted
--- Analysing line 60 ---
   - Drop mark found, line deleted
--- Analysing line 61 ---
   - Drop mark found, line deleted
--- Analysing line 62 ---
   - Empty DOI, line deleted
--- Analysing line 63 ---
   - Created period field ('2014') by parsing value '2014-11-28' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 64 ---
   - Created period field ('2014') by parsing value '2014-12-01' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 65 ---
   - Created period field ('2014') by parsing value '2014-12-23' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2695.92') by dividing the value in 'APC paid (£) including VAT if charged' (2120.88) by 0.7867 (EUR -> GBP conversion rate on 2014-12-23) [fixer.io]
--- Analysing line 66 ---
   - Drop mark found, line deleted
--- Analysing line 67 ---
   - Drop mark found, line deleted
--- Analysing line 68 ---
   - Drop mark found, line deleted
--- Analysing line 69 ---
   - Drop mark found, line deleted
--- Analysing line 70 ---
   - Drop mark found, line deleted
--- Analysing line 71 ---
   - Drop mark found, line deleted
--- Analysing line 72 ---
   - Empty DOI, line deleted
--- Analysing line 73 ---
   - Drop mark found, line deleted
--- Analysing line 74 ---
   - Drop mark found, line deleted
--- Analysing line 75 ---
   - Drop mark found, line deleted
--- Analysing line 76 ---
   - Empty DOI, line deleted
--- Analysing line 77 ---
   - Created period field ('2014') by parsing value '2014-05-06' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 78 ---
   - Created period field ('2014') by parsing value '2014-09-09' in column 'Date of initial application by author'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 79 ---
   - Empty DOI, line deleted
--- Analysing line 80 ---
   - Empty DOI, line deleted
--- Analysing line 81 ---
   - Empty DOI, line deleted
--- Analysing line 82 ---
   - Created period field ('2014') by parsing value '2014-05-27' in column 'Date of APC payment'
   - Created euro field ('666.42') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 83 ---
   - Created period field ('2014') by parsing value '2014-01-02' in column 'Date of initial application by author'
   - Created euro field ('2530.64') by dividing the value in 'APC paid (£) including VAT if charged' (2040) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 84 ---
   - Created period field ('2014') by parsing value '2014-01-06' in column 'Date of initial application by author'
   - Created euro field ('524.95') by dividing the value in 'APC paid (£) including VAT if charged' (423.17) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 85 ---
   - Created period field ('2014') by parsing value '2014-01-14' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 86 ---
   - Created period field ('2014') by parsing value '2014-01-17' in column 'Date of initial application by author'
   - Created euro field ('2640') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 87 ---
   - Created period field ('2014') by parsing value '2014-01-17' in column 'Date of initial application by author'
   - Created euro field ('2964.96') by dividing the value in 'APC paid (£) including VAT if charged' (2390.11) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 88 ---
   - Created period field ('2014') by parsing value '2014-01-22' in column 'Date of initial application by author'
   - Created euro field ('2530.64') by dividing the value in 'APC paid (£) including VAT if charged' (2040) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 89 ---
   - Created period field ('2014') by parsing value '2014-01-23' in column 'Date of initial application by author'
   - Created euro field ('1563.04') by dividing the value in 'APC paid (£) including VAT if charged' (1260) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 90 ---
   - Created period field ('2014') by parsing value '2014-01-27' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 91 ---
   - Created period field ('2014') by parsing value '2014-01-28' in column 'Date of initial application by author'
   - Created euro field ('2982.74') by dividing the value in 'APC paid (£) including VAT if charged' (2404.45) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 92 ---
   - Created period field ('2014') by parsing value '2014-01-28' in column 'Date of initial application by author'
   - Created euro field ('1211.82') by dividing the value in 'APC paid (£) including VAT if charged' (976.87) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 93 ---
   - Created period field ('2014') by parsing value '2014-01-31' in column 'Date of initial application by author'
   - Created euro field ('1563.04') by dividing the value in 'APC paid (£) including VAT if charged' (1260) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 94 ---
   - Created period field ('2014') by parsing value '2014-02-03' in column 'Date of initial application by author'
   - Created euro field ('3161.8') by dividing the value in 'APC paid (£) including VAT if charged' (2548.79) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 95 ---
   - Created period field ('2014') by parsing value '2014-02-03' in column 'Date of initial application by author'
   - Created euro field ('248.1') by dividing the value in 'APC paid (£) including VAT if charged' (200) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 96 ---
   - Created period field ('2014') by parsing value '2014-02-04' in column 'Date of initial application by author'
   - Created euro field ('2618') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 97 ---
   - Created period field ('2014') by parsing value '2014-02-06' in column 'Date of initial application by author'
   - Created euro field ('1080') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 98 ---
   - Created period field ('2014') by parsing value '2014-02-06' in column 'Date of initial application by author'
   - Created euro field ('2310.26') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 99 ---
   - Empty DOI, line deleted
--- Analysing line 100 ---
   - Created period field ('2014') by parsing value '2014-02-11' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 101 ---
   - Created period field ('2014') by parsing value '2014-02-11' in column 'Date of initial application by author'
   - Created euro field ('447.12') by dividing the value in 'APC paid (actual currency) including VAT if charged' (594) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 102 ---
   - Created period field ('2014') by parsing value '2014-02-14' in column 'Date of initial application by author'
   - Created euro field ('3763.64') by dividing the value in 'APC paid (actual currency) including VAT if charged' (5000) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 103 ---
   - Created period field ('2014') by parsing value '2014-02-17' in column 'Date of initial application by author'
   - Created euro field ('1670.15') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2218.8) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 104 ---
   - Created period field ('2014') by parsing value '2014-02-17' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 105 ---
   - Created period field ('2014') by parsing value '2014-02-20' in column 'Date of initial application by author'
   - Created euro field ('1505.46') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2000) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 106 ---
   - Created period field ('2014') by parsing value '2014-02-21' in column 'Date of initial application by author'
   - Created euro field ('2221.4') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 107 ---
   - Created period field ('2014') by parsing value '2014-02-24' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 108 ---
   - Created period field ('2014') by parsing value '2014-02-25' in column 'Date of initial application by author'
   - Created euro field ('1599.42') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 109 ---
   - Created period field ('2014') by parsing value '2014-02-27' in column 'Date of initial application by author'
   - Created euro field ('2665.69') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 110 ---
   - Created period field ('2014') by parsing value '2014' in column 'Year of publication'
   - Created euro field ('1996.23') by dividing the value in 'APC paid (£) including VAT if charged' (1609.2) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 111 ---
   - Created period field ('2014') by parsing value '2014' in column 'Year of publication'
   - Created euro field ('2158.49') by dividing the value in 'APC paid (£) including VAT if charged' (1740) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 112 ---
   - Created period field ('2014') by parsing value '2014-03-06' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 113 ---
   - Created period field ('2014') by parsing value '2014-03-10' in column 'Date of initial application by author'
   - Created euro field ('248.1') by dividing the value in 'APC paid (£) including VAT if charged' (200) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 114 ---
   - Created period field ('2014') by parsing value '2014-03-13' in column 'Date of initial application by author'
   - Created euro field ('2932.26') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 115 ---
   - Created period field ('2014') by parsing value '2014-03-14' in column 'Date of initial application by author'
   - Created euro field ('2530.64') by dividing the value in 'APC paid (£) including VAT if charged' (2040) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 116 ---
   - Created period field ('2014') by parsing value '2014-03-14' in column 'Date of initial application by author'
   - Created euro field ('2665.69') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 117 ---
   - Created period field ('2014') by parsing value '2014' in column 'Year of publication'
   - Created euro field ('2032.37') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2700) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 118 ---
   - Created period field ('2014') by parsing value '2014-03-21' in column 'Date of initial application by author'
   - Created euro field ('248.1') by dividing the value in 'APC paid (£) including VAT if charged' (200) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 119 ---
   - Created period field ('2014') by parsing value '2014-03-24' in column 'Date of initial application by author'
   - Created euro field ('1954.84') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 120 ---
   - Created period field ('2014') by parsing value '2014-03-24' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 121 ---
   - Created period field ('2014') by parsing value '2014-03-24' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 122 ---
   - Created period field ('2014') by parsing value '2014-03-26' in column 'Date of initial application by author'
   - Created euro field ('602.18') by dividing the value in 'APC paid (actual currency) including VAT if charged' (800) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 123 ---
   - Created period field ('2014') by parsing value '2014-01-13' in column 'Date of initial application by author'
   - Created euro field ('2467.37') by dividing the value in 'APC paid (£) including VAT if charged' (1989) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 124 ---
   - Created period field ('2014') by parsing value '2014' in column 'Year of publication'
   - Created euro field ('3163.3') by dividing the value in 'APC paid (£) including VAT if charged' (2550) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 125 ---
   - Created period field ('2014') by parsing value '2014-01-31' in column 'Date of initial application by author'
   - Created euro field ('3163.3') by dividing the value in 'APC paid (£) including VAT if charged' (2550) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 126 ---
   - Created period field ('2014') by parsing value '2014' in column 'Year of publication'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 127 ---
   - Created period field ('2014') by parsing value '2014-02-14' in column 'Date of initial application by author'
   - Created euro field ('1674.69') by dividing the value in 'APC paid (£) including VAT if charged' (1350) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 128 ---
   - Created period field ('2014') by parsing value '2014-02-14' in column 'Date of initial application by author'
   - Created euro field ('1242.35') by dividing the value in 'APC paid (£) including VAT if charged' (1001.48) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 129 ---
   - Created period field ('2014') by parsing value '2014' in column 'Year of publication'
   - Created euro field ('2649.78') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 130 ---
   - Created period field ('2014') by parsing value '2014-03-03' in column 'Date of initial application by author'
   - Created euro field ('1988.49') by dividing the value in 'APC paid (£) including VAT if charged' (1602.96) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 131 ---
   - Created period field ('2014') by parsing value '2014-03-28' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 132 ---
   - Created period field ('2014') by parsing value '2014-03-31' in column 'Date of initial application by author'
   - Created euro field ('451.64') by dividing the value in 'APC paid (actual currency) including VAT if charged' (600) by 1.3285 (avg EUR -> USD conversion rate in 2014) [ECB]
--- Analysing line 133 ---
   - Created period field ('2014') by parsing value '2014-04-03' in column 'Date of initial application by author'
   - Created euro field ('1873.37') by dividing the value in 'APC paid (£) including VAT if charged' (1510.16) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 134 ---
   - Created period field ('2014') by parsing value '2014-04-03' in column 'Date of initial application by author'
   - Created euro field ('2648.09') by dividing the value in 'APC paid (£) including VAT if charged' (2134.68) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 135 ---
   - Created period field ('2014') by parsing value '2014-04-03' in column 'Date of initial application by author'
   - Created euro field ('2056.15') by dividing the value in 'APC paid (£) including VAT if charged' (1657.5) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 136 ---
   - Created period field ('2014') by parsing value '2014-04-04' in column 'Date of initial application by author'
   - Created euro field ('4465.84') by dividing the value in 'APC paid (£) including VAT if charged' (3600) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 137 ---
   - Created period field ('2014') by parsing value '2014-04-04' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 138 ---
   - Created period field ('2014') by parsing value '2014-04-07' in column 'Date of initial application by author'
   - Created euro field ('1328.51') by dividing the value in 'APC paid (£) including VAT if charged' (1070.94) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 139 ---
   - Created period field ('2014') by parsing value '2014-04-07' in column 'Date of initial application by author'
   - Created euro field ('2982.74') by dividing the value in 'APC paid (£) including VAT if charged' (2404.45) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 140 ---
   - Created period field ('2014') by parsing value '2014-04-07' in column 'Date of initial application by author'
   - Created euro field ('1211.82') by dividing the value in 'APC paid (£) including VAT if charged' (976.87) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 141 ---
   - Created period field ('2014') by parsing value '2014-04-09' in column 'Date of initial application by author'
   - Created euro field ('4339.3') by dividing the value in 'APC paid (£) including VAT if charged' (3498) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 142 ---
   - Created period field ('2014') by parsing value '2014-04-10' in column 'Date of initial application by author'
   - Created euro field ('2287.2') by dividing the value in 'APC paid (£) including VAT if charged' (1843.76) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 143 ---
   - Empty DOI, line deleted
--- Analysing line 144 ---
   - Created period field ('2014') by parsing value '2014-04-14' in column 'Date of initial application by author'
   - Created euro field ('2158.49') by dividing the value in 'APC paid (£) including VAT if charged' (1740) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 145 ---
   - Created period field ('2014') by parsing value '2014-04-15' in column 'Date of initial application by author'
   - Created euro field ('1860.77') by dividing the value in 'APC paid (£) including VAT if charged' (1500) by 0.80612 (avg EUR -> GBP conversion rate in 2014) [ECB]
--- Analysing line 146 ---
   - Empty DOI, line deleted
--- Analysing line 147 ---
   - Created period field ('2014') by parsing value '2014-04-23' in column 'Date of initial application by author'
