"doi","Institution","Period","EURO","Publisher","Journal","issn.1","issn.2","pmid","pmcid"
10.1186/1471-2105-11-9,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20053276,"PMC2823712"
10.1186/1471-2105-11-90,"MPG",2009,"1018.37","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",20163709,"PMC2836306"
10.1186/1471-2105-12-124,"MPG",2010,"1225.73","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",21526987,"PMC3114741"
10.1186/1471-2105-12-141,"MPG",2010,"1244.16","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",21554720,"PMC3098182"
10.1186/1471-2105-12-210,"MPG",2010,"1225.73","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",21615913,"PMC3128034"
10.1186/1471-2105-12-236,"MPG",2011,"1276.42","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",21676263,"PMC3144024"
10.1186/1471-2105-12-270,"MPG",2011,"1239.55","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",21718515,"PMC3228551"
10.1186/1471-2105-12-418,"MPG",2011,"1234.94","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",22032770,"PMC3224779"
10.1186/1471-2105-12-441,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",22078312,"PMC3240574"
10.1186/1471-2105-12-55,"MPG",2010,"1253.38","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",21324185,"PMC3051901"
10.1186/1471-2105-13-251,"MPG",2012,"1354.75","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",23020215,"PMC3598730"
10.1186/1471-2105-13-262,"MPG",2012,"1354.75","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",23050565,"PMC3532186"
10.1186/1471-2105-13-56,"MPG",2011,"1267.2","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",22507266,"PMC3439685"
10.1186/1471-2105-13-57,"MPG",2011,"1267.2","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",22524245,"PMC3515416"
10.1186/1471-2105-13-85,"MPG",2011,"1267.2","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",22568834,"PMC3424966"
10.1186/1471-2105-14-292,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",24090185,"PMC3851277"
10.1186/1471-2105-14-349,"MPG",2013,"1391.62","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",24299066,"NA"
10.1186/1471-2105-14-56,"MPG",2012,"1437.7","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",23418672,"PMC3651328"
10.1186/1471-2105-14-77,"MPG",2012,"1423.87","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",23496949,"PMC3605371"
10.1186/1471-2105-9-177,"MPG",2008,"1248.48","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",18380896,"PMC2311307"
10.1186/1471-2105-9-274,"MPG",2008,"1258.27","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",18547401,"PMC2474621"
10.1186/1471-2105-9-278,"MPG",2008,"1238.69","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",18554390,"PMC2442105"
10.1186/1471-2105-9-342,"MPG",2008,"1219.1","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",18706080,"PMC2529325"
10.1186/1471-2105-9-423,"MPG",2008,"1189.73","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",18842122,"PMC2577660"
10.1186/1471-2105-9-459,"MPG",2008,"1170.14","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",18957118,"PMC2615450"
10.1186/1471-2105-9-465,"MPG",2008,"1179.94","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",18976492,"PMC2612009"
10.1186/1471-2105-9-497,"MPG",2008,"1170.14","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",19038021,"PMC2632677"
10.1186/1471-2105-9-517,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA",19055796,"PMC2632678"
10.1186/1471-2121-10-71,"MPG",2009,"1018.37","Springer Science + Business Media","BMC Cell Biology","1471-2121","NA",19781079,"PMC2760528"
10.1186/1471-2121-11-21,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Cell Biology","1471-2121","NA",20233427,"PMC2848210"
10.1186/1471-2121-12-42,"MPG",2011,"1230.34","Springer Science + Business Media","BMC Cell Biology","1471-2121","NA",21982379,"PMC3199247"
10.1186/1471-2121-13-26,"MPG",2012,"1400.83","Springer Science + Business Media","BMC Cell Biology","1471-2121","NA",23107381,"PMC3551632"
10.1186/1471-213X-11-52,"MPG",2011,"1216.51","Springer Science + Business Media","BMC Dev Biol","1471-213X","NA","NA","NA"
10.1186/1471-213X-11-55,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Dev Biol","1471-213X","NA","NA","NA"
10.1186/1471-213X-9-35,"MPG",2008,"1110.53","Springer Science + Business Media","BMC Dev Biol","1471-213X","NA","NA","NA"
10.1186/1471-2148-10-156,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20500887,"PMC2891723"
10.1186/1471-2148-10-186,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20565842,"PMC2906474"
10.1186/1471-2148-10-187,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20565875,"PMC2927911"
10.1186/1471-2148-10-285,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20846425,"PMC2955028"
10.1186/1471-2148-10-286,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20846426,"PMC2949874"
10.1186/1471-2148-10-325,"MPG",2010,"1253.38","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20977744,"PMC3087545"
10.1186/1471-2148-10-55,"MPG",2010,"1161.22","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20170508,"PMC2831893"
10.1186/1471-2148-10-60,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",20181249,"PMC2841170"
10.1186/1471-2148-11-13,"MPG",2010,"1267.2","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",21232122,"PMC3032686"
10.1186/1471-2148-11-134,"MPG",2011,"1271.81","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",21599892,"PMC3121625"
10.1186/1471-2148-11-239,"MPG",2011,"1230.34","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",21843315,"PMC3175473"
10.1186/1471-2148-11-268,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",21943019,"PMC3203266"
10.1186/1471-2148-11-3,"MPG",2010,"1253.38","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",21208429,"PMC3025853"
10.1186/1471-2148-11-306,"MPG",2011,"1216.51","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22008647,"PMC3213108"
10.1186/1471-2148-11-309,"MPG",2011,"1216.51","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22011306,"PMC3212827"
10.1186/1471-2148-11-327,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22067225,"PMC3229482"
10.1186/1471-2148-11-328,"MPG",2011,"1198.08","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22082251,"PMC3247663"
10.1186/1471-2148-11-85,"MPG",2010,"1239.55","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",21457536,"PMC3078889"
10.1186/1471-2148-12-150,"MPG",2012,"1391.62","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22909292,"PMC3444420"
10.1186/1471-2148-12-160,"MPG",2012,"1354.75","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22935138,"PMC3584813"
10.1186/1471-2148-12-62,"MPG",2011,"1248.77","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22577775,"PMC3428666"
10.1186/1471-2148-12-95,"MPG",2012,"1359.36","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",22726940,"PMC3583065"
10.1186/1471-2148-13-202,"MPG",2013,"1405.44","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",24053117,"PMC3850447"
10.1186/1471-2148-13-229,"MPG",2013,"1400.83","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",24148262,"PMC4015765"
10.1186/1471-2148-13-254,"MPG",2013,"1396.22","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",24252104,"NA"
10.1186/1471-2148-13-82,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",23586586,"PMC3637282"
10.1186/1471-2148-8-220,"MPG",2008,"1170.14","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",18662376,"PMC2518930"
10.1186/1471-2148-9-117,"MPG",2008,"1128.96","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19467156,"PMC2701422"
10.1186/1471-2148-9-186,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19656365,"PMC2739198"
10.1186/1471-2148-9-19,"MPG",2008,"1078.27","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19166604,"PMC2639358"
10.1186/1471-2148-9-212,"MPG",2009,"1041.41","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19703296,"PMC2737313"
10.1186/1471-2148-9-269,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19930637,"PMC2788554"
10.1186/1471-2148-9-4,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19128480,"PMC2627829"
10.1186/1471-2148-9-57,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19291291,"PMC2662802"
10.1186/1471-2148-9-7,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19134175,"PMC2631508"
10.1186/1471-2148-9-9,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA",19134215,"PMC2651853"
10.1186/1471-2156-11-33,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Genetics","1471-2156","NA",20433762,"PMC2888750"
10.1186/1471-2156-12-49,"MPG",2010,"1211.9","Springer Science + Business Media","BMC Genetics","1471-2156","NA",21599938,"PMC3124415"
10.1186/1471-2156-9-38,"MPG",2008,"1248.48","Springer Science + Business Media","BMC Genetics","1471-2156","NA",18510744,"PMC2424074"
10.1186/1471-2164-10-144,"MPG",2008,"1110.53","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19335913,"PMC2671526"
10.1186/1471-2164-10-161,"MPG",2008,"1078.27","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19371429,"PMC2676304"
10.1186/1471-2164-10-173,"MPG",2008,"1147.39","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19383156,"PMC2674883"
10.1186/1471-2164-10-209,"MPG",2009,"1069.06","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19409111,"PMC2688524"
10.1186/1471-2164-10-314,"MPG",2009,"1069.06","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19604364,"PMC2714862"
10.1186/1471-2164-10-410,"MPG",2009,"1041.41","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19725962,"PMC2754498"
10.1186/1471-2164-10-446,"MPG",2009,"1069.06","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19772566,"PMC2758906"
10.1186/1471-2164-10-464,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19814823,"PMC2770079"
10.1186/1471-2164-10-95,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Genomics","1471-2164","NA",19254371,"PMC2672089"
10.1186/1471-2164-11-115,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20163733,"PMC2837032"
10.1186/1471-2164-11-188,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20302660,"PMC2850358"
10.1186/1471-2164-11-264,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20420673,"PMC2875238"
10.1186/1471-2164-11-270,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20426822,"PMC2888827"
10.1186/1471-2164-11-29,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20074338,"PMC2820457"
10.1186/1471-2164-11-393,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20565991,"PMC2897811"
10.1186/1471-2164-11-4,"MPG",2009,"1078.27","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20047682,"PMC2823690"
10.1186/1471-2164-11-409,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20591156,"PMC2996937"
10.1186/1471-2164-11-411,"MPG",2010,"1170.43","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20594336,"PMC2996939"
10.1186/1471-2164-11-546,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20932279,"PMC3091695"
10.1186/1471-2164-11-68,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Genomics","1471-2164","NA",20105308,"PMC2837037"
10.1186/1471-2164-12-158,"MPG",2010,"1267.2","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21435219,"PMC3074554"
10.1186/1471-2164-12-203,"MPG",2010,"1239.55","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21510861,"PMC3097165"
10.1186/1471-2164-12-229,"MPG",2010,"1225.73","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21569303,"PMC3110572"
10.1186/1471-2164-12-273,"MPG",2010,"1193.47","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21627783,"PMC3117857"
10.1186/1471-2164-12-357,"MPG",2011,"1290.24","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21740565,"PMC3141678"
10.1186/1471-2164-12-382,"MPG",2011,"1290.24","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21801405,"PMC3163567"
10.1186/1471-2164-12-483,"MPG",2011,"1234.94","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21970648,"PMC3202273"
10.1186/1471-2164-12-484,"MPG",2011,"1230.34","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21970685,"PMC3213064"
10.1186/1471-2164-12-575,"MPG",2011,"1234.94","Springer Science + Business Media","BMC Genomics","1471-2164","NA",22111916,"PMC3235194"
10.1186/1471-2164-12-599,"MPG",2011,"1234.94","Springer Science + Business Media","BMC Genomics","1471-2164","NA",22151890,"PMC3258412"
10.1186/1471-2164-12-624,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Genomics","1471-2164","NA",22185324,"PMC3262029"
10.1186/1471-2164-12-7,"MPG",2010,"1244.16","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21208436,"PMC3023753"
10.1186/1471-2164-12-91,"MPG",2010,"1253.38","Springer Science + Business Media","BMC Genomics","1471-2164","NA",21284834,"PMC3040151"
10.1186/1471-2164-13-116,"MPG",2011,"1262.59","Springer Science + Business Media","BMC Genomics","1471-2164","NA",22453055,"PMC3328248"
10.1186/1471-2164-13-281,"MPG",2012,"1354.75","Springer Science + Business Media","BMC Genomics","1471-2164","NA",22726880,"PMC3442993"
10.1186/1471-2164-13-395,"MPG",2012,"1354.75","Springer Science + Business Media","BMC Genomics","1471-2164","NA",22897796,"PMC3472199"
10.1186/1471-2164-13-510,"MPG",2012,"1419.26","Springer Science + Business Media","BMC Genomics","1471-2164","NA",23013516,"PMC3582582"
10.1186/1471-2164-13-579,"MPG",2011,"1239.55","Springer Science + Business Media","BMC Genomics","1471-2164","NA",23114097,"PMC3557225"
10.1186/1471-2164-13-587,"MPG",2012,"1437.7","Springer Science + Business Media","BMC Genomics","1471-2164","NA",23116131,"PMC3505185"
10.1186/1471-2164-14-117,"MPG",2012,"1414.66","Springer Science + Business Media","BMC Genomics","1471-2164","NA",23433480,"PMC3616865"
10.1186/1471-2164-14-132,"MPG",2012,"1405.44","Springer Science + Business Media","BMC Genomics","1471-2164","NA",23442375,"PMC3614465"
10.1186/1471-2164-14-380,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Genomics","1471-2164","NA",23758669,"PMC3679864"
10.1186/1471-2164-14-773,"MPG",2013,"1396.22","Springer Science + Business Media","BMC Genomics","1471-2164","NA",24206569,"PMC3840567"
10.1186/1471-2164-14-793,"MPG",2012,"1423.87","Springer Science + Business Media","BMC Genomics","1471-2164","NA",24228715,"PMC3832907"
10.1186/1471-2164-14-906,"MPG",2013,"1396.22","Springer Science + Business Media","BMC Genomics","1471-2164","NA",24359412,"PMC3890597"
10.1186/1471-2164-9-306,"MPG",2008,"1219.1","Springer Science + Business Media","BMC Genomics","1471-2164","NA",18582369,"PMC2459194"
10.1186/1471-2164-9-346,"MPG",2008,"1238.69","Springer Science + Business Media","BMC Genomics","1471-2164","NA",18651963,"PMC2500034"
10.1186/1471-2164-9-356,"MPG",2008,"1238.69","Springer Science + Business Media","BMC Genomics","1471-2164","NA",18667059,"PMC2566320"
10.1186/1471-2164-9-422,"MPG",2008,"1170.14","Springer Science + Business Media","BMC Genomics","1471-2164","NA",18801164,"PMC2644328"
10.1186/1471-2172-10-18,"MPG",2008,"1013.76","Springer Science + Business Media","BMC Immunology","1471-2172","NA",19341462,"PMC2674038"
10.1186/1471-2172-9-63,"MPG",2008,"1170.14","Springer Science + Business Media","BMC Immunology","1471-2172","NA",18980671,"PMC2584624"
10.1186/1471-2180-10-230,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",20799957,"PMC3224659"
10.1186/1471-2180-11-111,"MPG",2011,"1271.81","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",21599925,"PMC3224222"
10.1186/1471-2180-12-192,"MPG",2012,"1354.75","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",22947208,"PMC3490891"
10.1186/1471-2180-12-272,"MPG",2012,"1437.7","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",23171228,"PMC3579733"
10.1186/1471-2180-13-189,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",23927486,"PMC3751510"
10.1186/1471-2180-13-204,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",24025115,"PMC3848470"
10.1186/1471-2180-9-56,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",19291314,"PMC2666748"
10.1186/1471-2199-11-40,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Mol Biol","1471-2199","NA",20509863,"PMC2894021"
10.1186/1471-2199-12-42,"MPG",2011,"1230.34","Springer Science + Business Media","BMC Mol Biol","1471-2199","NA",21929791,"PMC3184054"
10.1186/1471-2202-10-22,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",19292892,"PMC2662862"
10.1186/1471-2202-10-40,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",19400967,"PMC2697147"
10.1186/1471-2202-10-89,"MPG",2009,"1050.62","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",19640301,"PMC2726980"
10.1186/1471-2202-11-118,"MPG",2010,"1253.38","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",20846444,"PMC2955045"
10.1186/1471-2202-12-100,"MPG",2010,"1225.73","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",21989414,"PMC3208608"
10.1186/1471-2202-12-110,"MPG",2011,"1230.34","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",22047102,"PMC3228710"
10.1186/1471-2202-12-14,"MPG",2010,"1234.94","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",21269486,"PMC3040141"
10.1186/1471-2202-12-29,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",21435199,"PMC3068984"
10.1186/1471-2202-12-45,"MPG",2011,"1271.81","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",21592344,"PMC3118964"
10.1186/1471-2202-12-93,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",21943192,"PMC3217851"
10.1186/1471-2202-13-1,"MPG",2011,"1239.55","Springer Science + Business Media","BMC Neurosci","1471-2202","NA",22214384,"PMC3320525"
10.1186/1471-2210-10-5,"MPG",2009,"1078.27","Springer Science + Business Media","BMC Pharmacology","1471-2210","NA",20487539,"PMC2883539"
10.1186/1471-2229-10-164,"MPG",2010,"1211.9","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",20696061,"PMC3095298"
10.1186/1471-2229-10-171,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",20701756,"PMC3017789"
10.1186/1471-2229-10-216,"MPG",2010,"1193.47","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",20925912,"PMC3017833"
10.1186/1471-2229-10-271,"MPG",2010,"1267.2","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",21143910,"PMC3012049"
10.1186/1471-2229-10-285,"MPG",2010,"1244.16","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",21176196,"PMC3023791"
10.1186/1471-2229-10-31,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",20170486,"PMC2844067"
10.1186/1471-2229-10-66,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",20398280,"PMC3095340"
10.1186/1471-2229-12-131,"MPG",2012,"1382.4","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",22863402,"PMC3464606"
10.1186/1471-2229-12-172,"MPG",2012,"1359.36","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23006446,"PMC3489836"
10.1186/1471-2229-12-209,"MPG",2012,"1446.91","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23134682,"PMC3502350"
10.1186/1471-2229-12-213,"MPG",2012,"1382.4","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23148462,"PMC3519580"
10.1186/1471-2229-12-56,"MPG",2011,"1239.55","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",22545925,"PMC3511189"
10.1186/1471-2229-12-60,"MPG",2012,"1336.32","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",22548747,"PMC3413612"
10.1186/1471-2229-12-84,"MPG",2012,"1373.18","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",22682202,"PMC3423072"
10.1186/1471-2229-12-97,"MPG",2011,"1230.34","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",22720803,"PMC3478166"
10.1186/1471-2229-13-101,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23848992,"PMC3728157"
10.1186/1471-2229-13-113,"MPG",2013,"1377.79","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23919263,"PMC3750364"
10.1186/1471-2229-13-15,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23363415,"PMC3570303"
10.1186/1471-2229-13-164,"MPG",2013,"1396.22","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",24138055,"PMC3923269"
10.1186/1471-2229-13-213,"MPG",2013,"1396.22","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",24330725,"PMC3881016"
10.1186/1471-2229-13-73,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23634896,"PMC3655906"
10.1186/1471-2229-13-82,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23679580,"PMC3679836"
10.1186/1471-2229-13-99,"MPG",2013,"1405.44","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",23837904,"PMC3716894"
10.1186/1471-2229-8-109,"MPG",2008,"1170.14","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",18950524,"PMC2613890"
10.1186/1471-2229-9-20,"MPG",2008,"1013.76","Springer Science + Business Media","BMC Plant Biology","1471-2229","NA",19216774,"PMC2661892"
10.1186/1471-2350-11-110,"MPG",2010,"1184.26","Springer Science + Business Media","BMC Med Genet","1471-2350","NA",20618940,"PMC2912259"
10.1186/1471-2350-12-10,"MPG",2010,"1244.16","Springer Science + Business Media","BMC Med Genet","1471-2350","NA",21244673,"PMC3025936"
10.1186/1471-2407-12-38,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Cancer","1471-2407","NA",22277058,"PMC3342885"
10.1186/1471-2407-9-301,"MPG",2008,"1059.84","Springer Science + Business Media","BMC Cancer","1471-2407","NA",19712451,"PMC3087338"
