"","Period.","Teilbrutto.EURO.","publisher","journal","ISSN.1","ISSN.2","DOI"
"19",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/11/113029"
"20",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/11/113059"
"21",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/11/115007"
"22",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123008"
"23",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123021"
"24",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123028"
"25",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123033"
"26",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/123034"
"27",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/125005"
"28",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/12/125024"
"29",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/2/023007"
"30",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/2/023019"
"31",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/2/023030"
"32",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/033019"
"33",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/033028"
"34",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/033034"
"35",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/3/035008"
"36",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043004"
"37",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043013"
"38",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043020"
"39",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/043039"
"40",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/045005"
"41",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/045019"
"42",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/4/045027"
"43",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053013"
"44",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053042"
"45",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053046"
"46",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053049"
"47",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/5/053050"
"48",2013,"933,12","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063019"
"49",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063021"
"50",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063034"
"51",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063035"
"52",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/063038"
"53",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/065001"
"54",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/6/065004"
"55",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/7/073031"
"56",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/7/073034"
"57",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/7/073039"
"58",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083003"
"59",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083006"
"60",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083009"
"61",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/083055"
"62",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/085003"
"63",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/085014"
"64",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/8/085032"
"65",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/9/093003"
"66",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/9/093032"
"67",2013,"1140,48","IOP Publishing","New J. Phys.","1367-2630",NA,"10.1088/1367-2630/15/9/095017"
"68",2013,"2597,2","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001505"
"69",2013,"2593,6","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001577"
"70",2013,"2530,92","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001589"
"71",2013,"2530,92","Public Library of Science (PLoS)","PLoS Biol","1545-7885",NA,"10.1371/journal.pbio.1001596"
"72",2013,"2015,07","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002933"
"73",2013,"2015,07","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002977"
"74",2013,"2015,07","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002985"
"75",2013,"2012,27","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1002987"
"76",2013,"2012,27","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003029"
"77",2013,"1963,65","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003122"
"78",2013,"1963,65","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003168"
"79",2013,"1963,65","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003170"
"80",2013,"1914,71","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003204"
"81",2013,"1914,71","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003209"
"82",2013,"1914,71","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003219"
"83",2013,"1909,94","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003228"
"84",2013,"1909,94","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003232"
"85",2013,"1910,38","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003303"
"86",2013,"1910,38","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003307"
"87",2013,"1918","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003368"
"88",2013,"1918","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003372"
"89",2013,"1918","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003378"
"90",2013,"1918","Public Library of Science (PLoS)","PLoS Computational Biology","1553-7358",NA,"10.1371/journal.pcbi.1003381"
"91",2013,"1948,28","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003250"
"92",2013,"1948,28","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003255"
"93",2013,"2015,07","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003374"
"94",2013,"1963,65","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003650"
"95",2013,"1963,65","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003651"
"96",2013,"1914,71","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003712"
"97",2013,"1914,71","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003793"
"98",2013,"1909,94","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003802"
"99",2013,"1918","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1003980"
"100",2013,"1918","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1004015"
"101",2013,"1883,45","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1004047"
"102",2013,"1883,45","Public Library of Science (PLoS)","PLoS Genetics","1553-7404",NA,"10.1371/journal.pgen.1004080"
"103",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0052229"
"104",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053590"
"105",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053656"
"106",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053715"
"107",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053743"
"108",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0053833"
"109",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0054247"
"110",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0054421"
"111",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0054778"
"112",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055009"
"113",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055189"
"114",2013,"1168,97","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055251"
"115",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055366"
"116",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055415"
"117",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055442"
"118",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055505"
"119",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055662"
"120",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0055846"
"121",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056000"
"122",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056049"
"123",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056162"
"124",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056717"
"125",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056768"
"126",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056871"
"127",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0056889"
"128",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057070"
"129",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057133"
"130",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057311"
"131",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057508"
"132",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057530"
"133",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057731"
"134",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057795"
"135",2013,"1201,39","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0057868"
"136",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058259"
"137",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058457"
"138",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058839"
"139",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058889"
"140",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0058906"
"141",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059008"
"142",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059110"
"143",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059252"
"144",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0059780"
"145",2013,"1209,04","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060219"
"146",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060325"
"147",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060582"
"148",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060773"
"149",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0060887"
"150",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061096"
"151",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061106"
"152",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061173"
"153",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061403"
"154",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061569"
"155",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061577"
"156",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0061813"
"157",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062263"
"158",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062520"
"159",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062814"
"160",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0062974"
"161",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063203"
"162",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063400"
"163",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063518"
"164",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063582"
"165",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063637"
"166",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063859"
"167",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0063994"
"168",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064115"
"169",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064195"
"170",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064498"
"171",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064823"
"172",2013,"1207,36","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0064947"
"173",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0065357"
"174",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0065839"
"175",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0066490"
"176",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0066544"
"177",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0066868"
"178",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067269"
"179",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067340"
"180",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067362"
"181",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067461"
"182",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0067714"
"183",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068015"
"184",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068124"
"185",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068377"
"186",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068594"
"187",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068645"
"188",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0068879"
"189",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0069899"
"190",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0069990"
"191",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070116"
"192",2013,"1178,19","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070141"
"193",2013,"1060,37","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070646"
"194",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070710"
"195",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0070902"
"196",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0071097"
"197",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0071540"
"198",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072136"
"199",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072288"
"200",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072500"
"201",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072627"
"202",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072629"
"203",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072771"
"204",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0072805"
"205",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073039"
"206",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073257"
"207",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073343"
"208",2013,"1148,83","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073444"
"209",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073826"
"210",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0073852"
"211",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074177"
"212",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074292"
"213",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074362"
"214",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074681"
"215",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074767"
"216",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0074894"
"217",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075024"
"218",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075060"
"219",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075298"
"220",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0075853"
"221",2013,"1145,96","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0076355"
"222",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0076512"
"223",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077074"
"224",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077135"
"225",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077554"
"226",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077687"
"227",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077876"
"228",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0077886"
"229",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078007"
"230",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078273"
"231",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078384"
"232",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078433"
"233",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078469"
"234",2013,"1146,23","Public Library of Science (PLoS)","PLoS ONE","1932-6203",NA,"10.1371/journal.pone.0078745"
