Institution,"Period","EURO","publisher","journal_full_title","issn","issn_print","issn_electronic","doi","indexed_in_CrossRef","pmid","pmcid","base.url","record.id","ut","DOAJ","license_ref"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2012.00395","TRUE",23226143,"PMC3508403","NA","NA","NA","TRUE","NA"
MPG,2012,"1474.56","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2012.00410","TRUE",23227024,"PMC3514610","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Microbiology","1664302X","NA","1664302X","10.3389/fmicb.2013.00111","TRUE",23658555,"PMC3647119","NA","NA","NA","FALSE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2013.00207","TRUE",23898326,"PMC3723108","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00018","TRUE",24550891,"PMC3907716","NA","NA","NA","TRUE","NA"
MPG,2014,"887.04","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00034","TRUE","NA","NA","NA","NA","NA","TRUE","NA"
MPG,2014,"662.4","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00257","TRUE",24926288,"PMC4045173","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00346","TRUE",25076942,"PMC4097962","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00356","TRUE",25101063,"PMC4102909","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00406","TRUE",25147548,"PMC4123731","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00459","TRUE",25228899,"PMC4151041","NA","NA","NA","TRUE","NA"
MPG,2014,"887.04","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00550","TRUE",25374565,"PMC4205850","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00601","TRUE",25452747,"PMC4231947","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Microbiology","1664-302X","NA","1664-302X","10.3389/fmicb.2014.00660","TRUE",25601856,"PMC4283448","NA","NA","NA","TRUE","NA"
MPG,2014,"1474.56","Frontiers Media SA","Frontiers in Aging Neuroscience","1663-4365","NA","1663-4365","10.3389/fnagi.2014.00242","TRUE",25278876,"PMC4165288","NA","NA","NA","TRUE","NA"
MPG,2012,"1474.56","Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129","NA","1662-5129","10.3389/fnana.2012.00014","TRUE",22590455,"PMC3349268","NA","NA","NA","TRUE","NA"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129","NA","1662-5129","10.3389/fnana.2012.00037","TRUE",22973199,"PMC3433728","NA","NA","NA","TRUE","NA"
MPG,2013,"887.04","Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129","NA","1662-5129","10.3389/fnana.2013.00002","TRUE",23576960,"PMC3620502","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129","NA","1662-5129","10.3389/fnana.2013.00016","TRUE",23805079,"PMC3693069","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129","NA","1662-5129","10.3389/fnana.2013.00019","TRUE",23882187,"PMC3712268","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Neuroanatomy","1662-5129","NA","1662-5129","10.3389/fnana.2014.00035","TRUE",24904304,"PMC4032999","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2012.00004","TRUE",22363272,"PMC3275787","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2012.00087","TRUE",23293591,"PMC3530747","NA","NA","NA","TRUE","NA"
MPG,2013,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2013.00060","TRUE",23750131,"PMC3668327","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2013.00063","TRUE",23781179,"PMC3678104","NA","NA","NA","TRUE","NA"
MPG,2013,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2013.00103","TRUE",23966915,"PMC3744008","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2013.00139","TRUE",24115923,"PMC3792618","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2014.00068","TRUE",24672442,"PMC3949137","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2014.00087","TRUE",24672450,"PMC3957683","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2014.00181","TRUE",24904333,"PMC4032889","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2014.00245","TRUE",25076879,"PMC4100438","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2014.00367","TRUE",25368561,"PMC4202704","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2014.00377","TRUE",25400563,"PMC4214228","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","1662-5153","10.3389/fnbeh.2014.00424","TRUE",25538589,"PMC4260514","NA","NA","NA","TRUE","NA"
MPG,2012,"662.4","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2012.00048","TRUE",23112762,"PMC3481119","NA","NA","NA","TRUE","NA"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2012.00054","TRUE",23162431,"PMC3499765","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2013.00250","TRUE",24391538,"PMC3866589","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2014.00002","TRUE",24478627,"PMC3898519","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2014.00226","TRUE",25177269,"PMC4132298","NA","NA","NA","TRUE","NA"
MPG,2014,"1474.56","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2014.00261","TRUE",25221476,"PMC4147393","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2014.00274","TRUE",25249937,"PMC4155794","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2014.00305","TRUE",25309332,"PMC4176457","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2012.00064","TRUE",22988432,"PMC3439738","NA","NA","NA","TRUE","NA"
MPG,2013,"1843.2","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2013.00013","TRUE",23403725,"PMC3566547","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2013.00049","TRUE",23616748,"PMC3627980","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2013.00082","TRUE",23653595,"PMC3644639","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2013.00086","TRUE",23675322,"PMC3650304","NA","NA","NA","TRUE","NA"
MPG,2013,"662.4","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2013.00089","TRUE",23717263,"PMC3650670","NA","NA","NA","TRUE","NA"
MPG,2013,"1843.2","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2013.00167","TRUE",24155695,"PMC3805139","NA","NA","NA","TRUE","NA"
MPG,2013,"1474.56","Frontiers Media SA","Frontiers in Neural Circuits","1662-5110","NA","1662-5110","10.3389/fncir.2013.00184","TRUE",24367294,"PMC3853882","NA","NA","NA","TRUE","NA"
MPG,2011,"1843.2","Frontiers Media SA","Frontiers in Computational Neuroscience",16625188,"NA",16625188,"10.3389/fncom.2011.00047","TRUE",22203799,"PMC3214727","NA","NA","NA","FALSE","NA"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2012.00026","TRUE",22661939,"PMC3357528","NA","NA","NA","TRUE","NA"
MPG,2012,"1036.8","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2012.00033","TRUE",22783183,"PMC3389610","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2012.00036","TRUE",22719724,"PMC3376471","NA","NA","NA","TRUE","NA"
MPG,2013,"887.04","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2013.00078","TRUE",23840188,"PMC3699761","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2013.00087","TRUE",23898261,"PMC3721048","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2013.00153","TRUE",24298251,"PMC3828753","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2014.00026","TRUE",24639644,"PMC3945936","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188","NA","1662-5188","10.3389/fncom.2014.00121","TRUE",25324770,"PMC4179744","NA","NA","NA","TRUE","NA"
MPG,2012,"207.36","Frontiers Media SA","Frontiers in Neuroengineering","1662-6443","NA","1662-6443","10.3389/fneng.2012.00019","TRUE",23316159,"PMC3539730","NA","NA","NA","TRUE","NA"
MPG,2012,"887.04","Frontiers Media SA","Frontiers in Neurology","1664-2295","NA",16642295,"10.3389/fneur.2012.00067","TRUE",22557992,"PMC3338067","NA","NA","NA","FALSE","NA"
MPG,2012,"829.44","Frontiers Media SA","Frontiers in Neurology","1664-2295","NA","1664-2295","10.3389/fneur.2012.00080","TRUE",22629253,"PMC3354331","NA","NA","NA","TRUE","NA"
MPG,2014,"662.4","Frontiers Media SA","Frontiers in Neurology","1664-2295","NA","1664-2295","10.3389/fneur.2014.00130","TRUE",25071715,"PMC4094909","NA","NA","NA","TRUE","NA"
MPG,2011,"1036.8","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA",16625161,"10.3389/fnhum.2011.00161","TRUE",22162968,"PMC3232713","NA","NA","NA","FALSE","NA"
MPG,2012,"1036.8","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00026","TRUE",22375113,"PMC3288575","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00045","TRUE",22416228,"PMC3298857","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00064","TRUE",22470331,"PMC3313480","NA","NA","NA","TRUE","NA"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00101","TRUE",22557954,"PMC3340942","NA","NA","NA","TRUE","NA"
MPG,2012,"829.44","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00133","TRUE",22615691,"PMC3351800","NA","NA","NA","TRUE","NA"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00141","TRUE",22615692,"PMC3351801","NA","NA","NA","TRUE","NA"
MPG,2012,"829.44","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00144","TRUE",22654748,"PMC3358755","NA","NA","NA","TRUE","NA"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00185","TRUE",22754517,"PMC3384290","NA","NA","NA","TRUE","NA"
MPG,2012,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00190","TRUE",22737120,"PMC3380416","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00291","TRUE",23125827,"PMC3486689","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2012.00312","TRUE",23226120,"PMC3509332","NA","NA","NA","TRUE","NA"
MPG,2013,"887.04","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00014","TRUE",23382714,"PMC3563042","NA","NA","NA","TRUE","NA"
MPG,2013,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00035","TRUE",23450277,"PMC3583105","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00157","TRUE",23637655,"PMC3636511","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00183","TRUE",23675337,"PMC3646257","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00234","TRUE",23761745,"PMC3671173","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00253","TRUE",23772211,"PMC3677131","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00340","TRUE",23847509,"PMC3701864","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00369","TRUE",23882204,"PMC3714569","NA","NA","NA","TRUE","NA"
MPG,2013,"662.4","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00374","TRUE",23898247,"PMC3721046","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00380","TRUE",23970857,"PMC3748321","NA","NA","NA","TRUE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00424","TRUE",23914167,"PMC3729979","NA","NA","NA","TRUE","NA"
MPG,2013,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00550","TRUE",24027521,"PMC3759854","NA","NA","NA","TRUE","NA"
MPG,2013,"1474.56","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00734","TRUE",24282397,"PMC3825257","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2013.00878","TRUE",24391571,"PMC3870283","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00102","TRUE",24616689,"PMC3935359","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00168","TRUE",24744716,"PMC3978291","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00195","TRUE",24860458,"PMC4018560","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00200","TRUE",24782737,"PMC3986557","NA","NA","NA","TRUE","NA"
MPG,2014,"887.04","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00206","TRUE",24795592,"PMC3997035","NA","NA","NA","TRUE","NA"
MPG,2014,"662.4","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00350","TRUE",24904385,"PMC4035601","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00445","TRUE",24994979,"PMC4063192","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00462","TRUE",25071503,"PMC4076796","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00473","TRUE",25013396,"PMC4076884","NA","NA","NA","TRUE","NA"
MPG,2014,"887.04","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00494","TRUE",25071522,"PMC4083221","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00501","TRUE",25071529,"PMC4093940","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00531","TRUE",25104929,"PMC4109437","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00587","TRUE",25136310,"PMC4120761","NA","NA","NA","TRUE","NA"
MPG,2014,"662.4","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00619","TRUE",25202250,"PMC4142807","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00658","TRUE",25228867,"PMC4151507","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00759","TRUE",25324757,"PMC4179381","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","1662-5161","10.3389/fnhum.2014.00815","TRUE",25352801,"PMC4195271","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Neuroinformatics","1662-5196","NA","1662-5196","10.3389/fninf.2012.00018","TRUE",22661942,"PMC3357495","NA","NA","NA","TRUE","NA"
MPG,2012,"1843.2","Frontiers Media SA","Frontiers in Neuroscience","1662453X","NA","1662453X","10.3389/fnins.2012.00061","TRUE",22593730,"PMC3350871","NA","NA","NA","FALSE","NA"
MPG,2013,"1105.92","Frontiers Media SA","Frontiers in Neuroscience","1662-453X","NA","1662-453X","10.3389/fnins.2013.00053","TRUE",23616741,"PMC3627975","NA","NA","NA","TRUE","NA"
MPG,2014,"1105.92","Frontiers Media SA","Frontiers in Neuroscience","1662-453X","NA","1662-453X","10.3389/fnins.2013.00253","TRUE",24399925,"PMC3871973","NA","NA","NA","TRUE","NA"
MPG,2014,"1843.2","Frontiers Media SA","Frontiers in Neuroscience","1662-453X","NA","1662-453X","10.3389/fnins.2013.00266","TRUE",24478616,"PMC3897217","NA","NA","NA","TRUE","NA"
MPG,2014,"1474.56","Frontiers Media SA","Frontiers in Neuroscience","1662-453X","NA","1662-453X","10.3389/fnins.2014.00015","TRUE",24624052,"PMC3941704","NA","NA","NA","TRUE","NA"
