,Institution,Period,EURO,publisher,journal_full_title,issn,issn_print,issn_electronic,doi,indexed_in_CrossRef,pmid,pmcid,base.url,record.id,ut,DOAJ,license_ref,is_hybrid
27,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/023017,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
28,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/023019,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
29,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025007,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
30,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
31,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025014,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
32,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025016,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
33,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025018,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
34,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025020,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
35,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025024,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
36,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/2/025025,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
37,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/3/033032,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
38,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/3/033036,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
39,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/3/033037,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
40,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/043001,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
41,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/043021,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
42,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/043028,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
43,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/043041,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
44,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/045003,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
45,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/045010,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
46,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/045017,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
47,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/045018,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
48,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/4/045030,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
49,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/5/053017,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
50,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/5/053018,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
51,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/5/053020,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
52,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/5/053037,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
53,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/5/055009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
54,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/6/063001,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
55,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/6/063010,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
56,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/6/063018,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
57,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/6/063024,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
58,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/7/073034,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
59,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/8/083002,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
60,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/8/083003,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
61,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/8/083015,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
62,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/8/083044,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
63,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/093001,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
64,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/093004,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
65,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/093015,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
66,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/093017,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
67,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/093018,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
68,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/093022,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
69,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/093027,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
70,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/095007,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
71,MPG,2008,"1002,24",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/10/9/095015,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
72,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/1/013006,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
73,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/1/013012,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
74,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/1/013027,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
75,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/1/013040,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
76,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/1/013053,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
77,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/1/013054,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
78,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/10/103013,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
79,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/10/103032,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
80,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/10/103054,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
81,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/10/105017,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
82,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/10/105045,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
83,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/113015,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
84,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/113023,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
85,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/113034,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
86,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/113041,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
87,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/113051,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
88,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/115012,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
89,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/115013,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
90,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/115019,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
91,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/11/115023,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
92,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/12/123001,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
93,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/12/123024,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
94,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/12/125009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
95,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/12/125018,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
96,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/2/023001,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
97,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/2/023019,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
98,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/2/023023,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
99,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/2/023026,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
100,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/2/023032,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
101,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/2/025023,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
102,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/3/033034,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
103,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/3/035002,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
104,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/4/043012,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
105,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/4/043023,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
106,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/4/045014,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
107,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/053005,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
108,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/053009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
109,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/053011,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
110,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/053015,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
111,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/053017,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
112,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/055024,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
113,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/055030,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
114,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/055055,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
115,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/5/055068,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
116,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/6/063004,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
117,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/6/063005,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
118,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/6/063006,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
119,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/6/063010,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
120,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/6/063026,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
121,MPG,2009,"853,63",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/6/065001,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
122,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/7/073007,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
123,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/7/073013,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
124,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/7/073018,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
125,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/7/073032,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
126,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/7/073045,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
127,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/7/075012,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
128,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/8/083002,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
129,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/8/083010,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
130,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/8/083014,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
131,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/8/083026,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
132,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/8/083029,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
133,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/8/083031,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
134,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/9/093007,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
135,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/9/093009,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
136,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/9/093028,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
137,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/9/093035,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
138,MPG,2009,"841,54",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/11/9/095006,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
139,MPG,2011,"894,09",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/12/10/103022,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
140,MPG,2011,"894,09",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/12/10/103029,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
141,MPG,2011,"894,09",IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,10.1088/1367-2630/12/10/103035,TRUE,NA,NA,NA,NA,NA,TRUE,NA,FALSE
