,"Institution","Period","EURO","Publisher","Journal","issn.1","issn.2","doi","indexed_in_CrossRef"
14,"KIT",2012,1207.85,"Copernicus GmbH","Atmos. Chem. Phys.","1680-7324","NA","10.5194/acp-13-4593-2013","TRUE"
15,"KIT",2012,2036.09,"Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-23135-2012","TRUE"
16,"KIT",2012,"2598.96","Copernicus GmbH","Atmos. Chem. Phys. Discuss.","1680-7375","NA","10.5194/acpd-12-12531-2012","TRUE"
17,"KIT",2012,949.62,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-5-1459-2012","TRUE"
18,"KIT",2012,862.75,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-5-1355-2012 ","TRUE"
19,"KIT",2012,971.04,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-5-5691-2012","TRUE"
20,"KIT",2012,1770.72,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-5-5357-2012","TRUE"
21,"KIT",2012,2312.17,"Copernicus GmbH","Biogeosciences","1726-4189","NA","10.5194/bg-10-2193-2013","TRUE"
22,"KIT",2012,885.36,"Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938","NA","10.5194/hess-17-3141-2013","TRUE"
23,"KIT",2012,1656.48,"Copernicus GmbH","Hydrology and Earth System Sciences Discussions","1812-2116","NA","10.5194/hessd-9-10595-2012","TRUE"
24,"KIT",2012,1138.83,"Copernicus GmbH","Hydrology and Earth System Sciences Discussions","1812-2116","NA","10.5194/hessd-9-5355-2012","TRUE"
25,"KIT",2012,2105.11,"Copernicus GmbH","Hydrology and Earth System Sciences Discussions","1812-2116","NA","10.5194/hessd-9-4333-2012","TRUE"
26,"KIT",2012,916.30,"Frontiers Media SA","Frontiers in Neuroscience","1662-4548","NA","10.3389/fnins.2012.00076","TRUE"
27,"KIT",2012,1600.00,"Frontiers Media SA","Frontiers in Physiology","1664-042X","NA","10.3389/fphys.2012.00487","TRUE"
28,"KIT",2012,943.38,"Hindawi Publishing Corporation","Advances in Hematology","1687-9104","1687-9112","10.1155/2012/541471","TRUE"
29,"KIT",2012,360.58,"Hindawi Publishing Corporation","Advances in High Energy Physics","1687-7357","1687-7365","10.1155/2013/293986","TRUE"
30,"KIT",2012,397.85,"Hindawi Publishing Corporation","Chromatography Research International","2090-3502","2090-3510","10.1155/2013/310269","TRUE"
31,"KIT",2012,589.77,"Hindawi Publishing Corporation","International Journal of Reconfigurable Computing","1687-7195","1687-7209","10.1155/2012/832531","TRUE"
32,"KIT",2012,240.51,"Hindawi Publishing Corporation","International Journal of Reconfigurable Computing","1687-7195","1687-7209","10.1155/2012/298561","TRUE"
33,"KIT",2012,510.47,"Hindawi Publishing Corporation","International Journal of Reconfigurable Computing","1687-7195","1687-7209","10.1155/2012/729786","TRUE"
34,"KIT",2012,353.91,"Hindawi Publishing Corporation","ISRN Mathematical Physics","2090-4681","NA","10.5402/2012/236783","TRUE"
35,"KIT",2012,366.63,"Hindawi Publishing Corporation","ISRN Mathematical Physics","2090-4681","NA","10.5402/2012/601749","TRUE"
36,"KIT",2012,786.81,"Hindawi Publishing Corporation","Science and Technology of Nuclear Installations","1687-6075","1687-6083","10.1155/2012/465059","TRUE"
37,"KIT",2012,659.27,"Hindawi Publishing Corporation","Science and Technology of Nuclear Installations","1687-6075","1687-6083","10.1155/2012/247482","TRUE"
38,"KIT",2012,626.68,"Hindawi Publishing Corporation","Science and Technology of Nuclear Installations","1687-6075","1687-6083","10.1155/2013/293792","TRUE"


41,"KIT",2012,605.00,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/14/2/023013","TRUE"
42,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000025641","FALSE"
43,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000028749","FALSE"
44,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000027144","FALSE"
45,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000027106","FALSE"
46,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000027215","FALSE"
47,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000027301","FALSE"
48,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000029041","FALSE"
49,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000028492","FALSE"
50,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000028510","FALSE"
51,"KIT",2012,69.00,"KIT Scientific Publishing","Journal of new frontiers in spatial concepts","1868-6648","NA","10.5445/KSP/1000027221","FALSE"
52,"KIT",2012,413.55,"MDPI AG","Pharmaceuticals","1424-8247","NA","10.3390/ph5121265","TRUE"
53,"KIT",2012,416.45,"MDPI AG","Sustainability","2071-1050","NA","10.3390/su4061274","TRUE"
54,"KIT",2012,2038.23,"OMICS Publishing Group","J Bioproces Biotechniq","2155-9821","NA","10.4172/2155-9821.1000113","TRUE"
55,"KIT",2012,498.62,"Optical Society of America (OSA)","Optical Materials Express","2159-3930","NA","10.1364/OME.2.000629","TRUE"
56,"KIT",2012,920.10,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.006170","TRUE"
57,"KIT",2012,1631.03,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.006357","TRUE"
58,"KIT",2012,1598.92,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.006496","TRUE"
59,"KIT",2012,1598.92,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.006439","TRUE"
60,"KIT",2012,1731.01,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.009657","TRUE"
61,"KIT",2012,1598.68,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.011357","TRUE"
62,"KIT",2012,1652.26,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.012326","TRUE"
63,"KIT",2012,1713.01,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.014451","TRUE"
64,"KIT",2012,2032.45,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.015359","TRUE"
65,"KIT",2012,1740.49,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.017093","TRUE"
66,"KIT",2012,3731.09,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.017319","TRUE"
67,"KIT",2012,1710.27,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.017467","TRUE"
68,"KIT",2012,1349.30,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.000317","TRUE"
69,"KIT",2012,1350.64,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.00B587","TRUE"
70,"KIT",2012,1434.51,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.017667","TRUE"
71,"KIT",2012,805.54,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.022012","TRUE"
72,"KIT",2012,1350.64,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.028330","TRUE"
73,"KIT",2012,1358.15,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.028683","TRUE"
74,"KIT",2012,1354.19,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.028855","TRUE"
75,"KIT",2012,1869.21,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.021413","TRUE"
76,"KIT",2012,1417.30,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.020506","TRUE"
77,"KIT",2012,1645.68,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.026012","TRUE"
78,"KIT",2012,1355.63,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.20.00A932","TRUE"
79,"KIT",2012,1950.98,"Public Library of Science (PLoS)","PLoS Genetics","1553-7404","NA","10.1371/journal.pgen.1002815","TRUE"
80,"KIT",2012,1273.70,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0030976","TRUE"
81,"KIT",2012,1244.01,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0034203","TRUE"
82,"KIT",2012,1289.39,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0040564","TRUE"
83,"KIT",2012,1303.16,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0040860","TRUE"
84,"KIT",2012,1326.49,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0042612","TRUE"
85,"KIT",2012,1042.43,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0049551","TRUE"
86,"KIT",2012,1051.67,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0050124","TRUE"
87,"KIT",2012,1070.00,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0051278","TRUE"
88,"KIT",2012,1088.54,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0045690","TRUE"
89,"KIT",2012,675.17,"Scientific Research Publishing, Inc,","Journal of Modern Physics","2153-1196","2153-120X","10.4236/jmp.2012.310177","TRUE"
90,"KIT",2012,1785.00,"Springer Science + Business Media","AMB Express","2191-0855","NA","10.1186/2191-0855-2-11","TRUE"
91,"KIT",2012,1785.00,"Springer Science + Business Media","AMB Express","2191-0855","NA","10.1186/2191-0855-2-28","TRUE"
92,"KIT",2012,952.00,"Springer Science + Business Media","Energy, Sustainability and Society","2192-0567","NA","10.1186/2192-0567-2-3","TRUE"
93,"KIT",2012,952.00,"Springer Science + Business Media","Energy, Sustainability and Society","2192-0567","NA","10.1186/2192-0567-2-8","TRUE"
94,"KIT",2012,1190.00,"Springer Science + Business Media","EURASIP J Wirel Commun Netw","1687-1499","NA","10.1186/1687-1499-2012-8","TRUE"
95,"KIT",2012,952.00,"Springer Science + Business Media","Nanoscale Res Lett","1556-276X","NA","10.1186/1556-276X-7-248","TRUE"
