"Institution";"Period";"EURO";"publisher";"journal";"issn";"DOI";"url"
"KIT";2014;1342;32;"Copernicus";"Atmospheric Measurement Techniques Discussions";"1867-8610";"10.5194/amtd-7-9869-2014";""
"KIT";2014;1685;04;"Copernicus";"Atmospheric Measurement Techniques Discussions";"1867-8610";"10.5194/amtd-7-12735-2014";""
"KIT";2014;931;77;"Copernicus";"Atmospheric Measurement Techniques Discussions";"1867-8610";"10.5194/amtd-7-12691-2014";""
"KIT";2014;1587;46;"Copernicus";"Atmospheric Measurement Techniques Discussions";"1867-8610";"10.5194/amtd-7-10965-2014";""
"KIT";2014;1313;76;"Copernicus";"Atmospheric Measurement Techniques Discussions";"1867-8610";"10.5194/amtd-7-10513-2014";""
"KIT";2014;1311;38;"Copernicus";"Biogeosciences Discussions";"1810-6277";"10.5194/bgd-11-2189-2014";""
"KIT";2014;1170;96;"Copernicus";"Biogeosciences Discussions";"1810-6277";"10.5194/bgd-11-551-2014";""
"KIT";2014;1518;44;"Copernicus";"Biogeosciences Discussions";"1810-6277";"10.5194/bgd-11-8399-2014";""
"KIT";2014;1207;85;"Copernicus";"Biogeosciences Discussions";"1810-6277";"10.5194/bgd-11-15149-2014";""
"KIT";2014;2000;"Copernicus";"Hydrology and Earth System Sciences Discussions";"1812-2116";"10.5194/hessd-11-3249-2014";""
"KIT";2014;1113;84;"Copernicus";"Hydrology and Earth System Sciences Discussions";"1812-2116";"10.5194/hessd-11-7189-2014";""
"KIT";2014;1497;02;"Copernicus";"Hydrology and Earth System Sciences Discussions";"1812-2116";"10.5194/hessd-11-6805-2014";""
"KIT";2014;1069;81;"Copernicus";"Hydrology and Earth System Sciences Discussions";"1812-2116";"10.5194/hessd-11-4131-2014";""
"KIT";2014;1276;87;"Copernicus";"Hydrology and Earth System Sciences Discussions";"1812-2116";"10.5194/hessd-11-3637-2014";""
"KIT";2014;828;24;"Copernicus";"Hydrology and Earth System Sciences Discussions";"1812-2116";"10.5194/hessd-11-12291-2014";""
"KIT";2014;500;"ESG";"International Journal of Electrochemical Science";"1452-3981";"NA";"http://www.electrochemsci.org/papers/vol9/90703602.pdf"
"KIT";2014;762;67;"F1000 Research";"F1000Research";"2046-1402";"10.12688/f1000research.5836.1";""
"KIT";2014;960;"Frontiers Media SA";"Frontiers in Aging Neuroscience";"1663-4365";"10.3389/fnagi.2014.00099";""
"KIT";2014;1600;"Frontiers Media SA";"Frontiers in Human Neuroscience";"1662-5161";"10.3389/fnhum.2014.00231";""
"KIT";2014;960;"Frontiers Media SA";"Frontiers in Neuroscience";"1662-453X";"10.3389/fnins.2014.00373";""
"KIT";2014;1342;61;"Hindawi";"BioMed Research International";"2314-6133";"10.1155/2014/930308";""
"KIT";2014;1307;66;"Hindawi";"BioMed Research International";"2314-6133";"10.1155/2014/251814";""
"KIT";2014;895;71;"Hindawi";"Science and Technology of Nuclear Installations";"1687-6075";"10.1155/2014/185950";""
"KIT";2014;794;97;"Hindawi";"Science and Technology of Nuclear Installations";"1687-6075";"10.1155/2014/294648";""
"KIT";2014;1108;67;"IEEE Operations Center";"IEEE Photonic Journal";"1943-0655";"10.1109/JPHOT.2014.2314113";""
"KIT";2014;120;"IGIP";"International Journal of Engineering Pedagogy";"2192-4880";"NA";"http://www.online-journals.org/index.php/i-jep/article/view/3068"
"KIT";2014;1080;"IOP Publishing";"Environmental Research Letters";"1748-9326";"10.1088/1748-9326/9/10/105009";""
"KIT";2014;924;"IOP Publishing";"New Journal of Physics";"1367-2630";"10.1088/1367-2630/15/12/123030";""
"KIT";2014;1320;"IOP Publishing";"New Journal of Physics";"1367-2630";"10.1088/1367-2630/16/1/013019";""
"KIT";2014;1320;"IOP Publishing";"New Journal of Physics";"1367-2630";"10.1088/1367-2630/16/1/013017";""
"KIT";2014;990;"IOP Publishing";"New Journal of Physics";"1367-2630";"10.1088/1367-2630/16/3/033032";""
"KIT";2014;263;1;"MDPI AG";"Agriculture";"2077-0472";"10.3390/agriculture4020079";""
"KIT";2014;288;9;"MDPI AG";"Algorithms";"1999-4893";"10.3390/a7010166";""
"KIT";2014;887;76;"MDPI AG";"Energies";"1996-1073";"10.3390/en7074221";""
"KIT";2014;898;96;"MDPI AG";"Polymers";"2073-4360";"10.3390/polym6122896";""
"KIT";2014;892;4;"MDPI AG";"Remote Sensing";"2072-4292";"10.3390/rs6098779";""
"KIT";2014;2000;"Nature Publishing Group";"Light: Science and Applications";"2047-7538";"10.1038/lsa.2014.56";""
"KIT";2014;2000;"Nature Publishing Group";"Light: Science and Applications";"2047-7538";"10.1038/lsa.2014.54";""
"KIT";2014;1032;1;"Optical Society of America";"Optical Materials Express";"2159-3930";"10.1364/OME.4.001895";""
"KIT";2014;1613;95;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.000193";""
"KIT";2014;1625;98;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.001342";""
"KIT";2014;1597;59;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.003629";""
"KIT";2014;1714;37;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.009344";""
"KIT";2014;1609;75;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.009404";""
"KIT";2014;1734;41;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.010923";""
"KIT";2014;1687;87;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.017854";""
"KIT";2014;1378;21;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.019936";""
"KIT";2014;826;86;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.028240";""
"KIT";2014;1474;36;"Optical Society of America";"Optics Express";"1094-4087";"10.1364/OE.22.029927";""
"KIT";2014;2003;26;"Public Library of Science";"PLoS Genetics";"1553-7390";"10.1371/journal.pgen.1004046";""
"KIT";2014;1662;75;"Public Library of Science";"PLoS Genetics";"1553-7390";"10.1371/journal.pgen.1004586";""
"KIT";2014;1186;3;"Public Library of Science";"PLoS ONE";"1932-6203";"10.1371/journal.pone.0086373";""
"KIT";2014;1201;51;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0090036";""
"KIT";2014;1196;14;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0090606";""
"KIT";2014;1170;74;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0093123";""
"KIT";2014;1184;39;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0094546";""
"KIT";2014;1176;16;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0097549";""
"KIT";2014;993;74;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0099653";""
"KIT";2014;997;65;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0102355";""
"KIT";2014;1009;93;"Public Library of Science";"PloS One";"1932-6203";"10.1371/journal.pone.0106411";""
"KIT";2014;1052;18;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0025977";""
"KIT";2014;1063;39;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0109428";""
"KIT";2014;1152;07;"Public Library of Science";"PLoS One";"1932-6203";"10.1371/journal.pone.0114030";""
"KIT";2014;240;38;"RonPub UG";"Open Journal of Information Systems (OJIS)";"2198-9281";"NA";"http://www.ronpub.com/publications/OJIS-2014v1i2n01_Stackelberg.pdf"
"KIT";2014;1330;"Schweizerbartïsche Verlagsbuchhandlung";"Meteorologische Zeitschrift";"1610-1227";"10.1127/0941-2948/2014/0551";""
"KIT";2014;1211;"Schweizerbartïsche Verlagsbuchhandlung";"Meteorologische Zeitschrift";"1610-1227";"10.1127/0941-2948/2014/0543";""
"KIT";2014;1200;"SpringerOpen";"AMB Express";"2191-0855";"10.1186/s13568-014-0024-0";""
"KIT";2014;499;78;"SpringerOpen";"Earth; Planets and Space";"1880-5981";"10.1186/1880-5981-66-79";""
"KIT";2014;737;17;"SpringerOpen";"Energy; Sustainability and Society";"2192-0567";"10.1186/2192-0567-4-12";""
"KIT";2014;737;17;"SpringerOpen";"Energy; Sustainability and Society";"2192-0567";"10.1186/s13705-014-0021-9";""
"KIT";2014;634;67;"SpringerOpen";"Geothermal Energy";"2195-9706";"10.1186/s40517-014-0012-2";""
"KIT";2014;634;67;"SpringerOpen";"Geothermal Energy";"2195-9706";"10.1186/s40517-014-0007-z";""
