,"Institution","Period","EURO","Publisher","Journal","issn.1","issn.2","doi","indexed_in_CrossRef","url"
17,"KIT",2013,1056.72,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-6-9225-2013","TRUE",""
18,"KIT",2013,1428.00,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-5-6763-2012","TRUE",""
19,"KIT",2013,913.92,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-6-3611-2013","TRUE",""
20,"KIT",2013,885.36,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-6-3407-2013","TRUE",""
21,"KIT",2013,999.60,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-6-3545-2013","TRUE",""
22,"KIT",2013,1069.81,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-6-7185-2013","TRUE",""
23,"KIT",2013,856.80,"Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-6-4371-2013","TRUE",""
24,"KIT",2013,1345.89,"Copernicus GmbH","Biogeosciences Discussions","1810-6285","NA","10.5194/bgd-10-927-2013","TRUE",""
25,"KIT",2013,999.60,"Copernicus GmbH","Geosci. Model Dev. Discuss.","1991-962X","NA","10.5194/gmdd-6-5711-2013","TRUE",""
26,"KIT",2013,1863.54,"Copernicus GmbH","Hydrology and Earth System Sciences Discussions","1812-2116","NA","10.5194/hessd-10-8581-2013","TRUE",""
27,"KIT",2013,862.75,"Copernicus GmbH","Hydrology and Earth System Sciences Discussions","1812-2116","NA","10.5194/hessd-10-11311-2013","TRUE",""
28,"KIT",2013,1449.42,"Copernicus GmbH","Hydrology and Earth System Sciences Discussions","1812-2116","NA","10.5194/hessd-10-6473-2013","TRUE",""
29,"KIT",2013,535.50,"Copernicus GmbH","Natural Hazards and Earth System Sciences Discussions","2195-9269","NA","10.5194/nhessd-1-1913-2013","TRUE",""
30,"KIT",2013,813.96,"Copernicus GmbH","Natural Hazards and Earth System Sciences Discussions","2195-9269","NA","10.5194/nhessd-1-625-2013","TRUE",""
31,"KIT",2013,500.00,"ESG","International Journal of Electrochemical Science","1452-3981","NA","NA","FALSE","http://www.electrochemsci.org/papers/vol8/80506212.pdf"
32,"KIT",2013,500.00,"ESG","International Journal of Electrochemical Science","1452-3981","NA","NA","FALSE","http://www.electrochemsci.org/papers/vol8/80810170.pdf"
33,"KIT",2013,960.00,"Frontiers Media SA","Front. Hum. Neurosci.","1662-5161","NA","10.3389/fnhum.2013.00935","TRUE",""
34,"KIT",2013,575.00,"Frontiers Media SA","Front. Pharmacol.","1663-9812","NA","10.3389/fphar.2013.00010","TRUE",""
35,"KIT",2013,960.00,"Frontiers Media SA","Frontiers in Physiology","1664-042X","NA","10.3389/fphys.2013.00290","TRUE",""
36,"KIT",2013,770.00,"Frontiers Media SA","Front. Psychology","1664-1078","NA","10.3389/fpsyg.2012.00596","TRUE",""
37,"KIT",2013,960.00,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2013.00163","TRUE",""
38,"KIT",2013,960.00,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2013.00411","TRUE",""
39,"KIT",2013,1600.00,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2013.00479","TRUE",""
40,"KIT",2013,382.95,"Hindawi Publishing Corporation","ISRN Mechanical Engineering","2090-5130","NA","10.1155/2013/249035","TRUE",""
41,"KIT",2013,309.38,"Hindawi Publishing Corporation","Science and Technology of Nuclear Installations","1687-6075","1687-6083","10.1155/2013/573697","TRUE",""
42,"KIT",2013,618.81,"Hindawi Publishing Corporation","Science and Technology of Nuclear Installations","1687-6075","1687-6083","10.1155/2013/565246","TRUE",""
43,"KIT",2013,751.87,"Hindawi Publishing Corporation","Science and Technology of Nuclear Installations","1687-6075","1687-6083","10.1155/2013/610598","TRUE",""
44,"KIT",2013,1181.37,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Photonics J.","1943-0655","NA","10.1109/JPHOT.2013.2239283","TRUE",""
45,"KIT",2013,1219.15,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Photonics J.","1943-0655","NA","10.1109/JPHOT.2013.2258142","TRUE",""
46,"KIT",2013,120.00,"IGIP","International Journal of Engineering Pedagogy","2192-4880","NA","NA","FALSE","http://www.online-journals.org/index.php/i-jep/article/view/3068"
47,"KIT",2013,148.46,"International Union of Crystallography (IUCr)","Acta Cryst E Struct Rep Online","1600-5368","NA","10.1107/S1600536812011051","TRUE",""
48,"KIT",2013,742.50,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/14/10/103046","TRUE",""
49,"KIT",2013,990.00,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/15/2/025031","TRUE",""
50,"KIT",2013,990.00,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/15/2/023029","TRUE",""
51,"KIT",2013,742.50,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/15/1/013058","TRUE",""
52,"KIT",2013,742.50,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/15/5/055009","TRUE",""
53,"KIT",2013,990.00,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/15/8/083040","TRUE",""
54,"KIT",2013,990.00,"IOP Publishing","New J. Phys.","1367-2630","NA","10.1088/1367-2630/15/8/083025","TRUE",""
55,"KIT",2013,313.57,"MDPI AG","Algorithms","1999-4893","NA","10.3390/a6020245","TRUE",""
56,"KIT",2013,1157.39,"MDPI AG","Energies","1996-1073","NA","10.3390/en6105333","TRUE",""
57,"KIT",2013,313.61,"MDPI AG","Future Internet","1999-5903","NA","10.3390/fi5020113","TRUE",""
58,"KIT",2013,2856.00,"Nature Publishing Group","Cell Death Dis","2041-4889","NA","10.1038/cddis.2013.364","TRUE",""
59,"KIT",2013,3570.00,"Nature Publishing Group","Light: Science & Applications","2047-7538","NA","10.1038/lsa.2013.38","TRUE",""
60,"KIT",2013,1046.00,"Nature Publishing Group","Scientific Reports","2045-2322","NA","10.1038/srep02817","TRUE",""
61,"KIT",2013,1280.70,"Optical Society of America (OSA)","Optical Materials Express","2159-3930","NA","10.1364/OME.3.000556","TRUE",""
62,"KIT",2013,1765.79,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.027734","TRUE",""
63,"KIT",2013,1613.95,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.22.000193","TRUE",""
64,"KIT",2013,1344.56,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.000594","TRUE",""
65,"KIT",2013,1653.11,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.007304","TRUE",""
66,"KIT",2013,1656.29,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.009457","TRUE",""
67,"KIT",2013,970.32,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.011031","TRUE",""
68,"KIT",2013,1675.61,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.013219","TRUE",""
69,"KIT",2013,1675.61,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.013293","TRUE",""
70,"KIT",2013,1625.67,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.014683","TRUE",""
71,"KIT",2013,1627.01,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.014351","TRUE",""
72,"KIT",2013,1623.83,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.022540","TRUE",""
73,"KIT",2013,1593.20,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.022683","TRUE",""
74,"KIT",2013,1817.12,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.026244","TRUE",""
75,"KIT",2013,1605.31,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.027697","TRUE",""
76,"KIT",2013,1598.28,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.028941","TRUE",""
77,"KIT",2013,931.34,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.029921","TRUE",""
78,"KIT",2013,1565.75,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.031678","TRUE",""
79,"KIT",2013,2198.60,"Optical Society of America (OSA)","Opt. Express","1094-4087","NA","10.1364/OE.21.026742","TRUE",""
80,"KIT",2013,2534.70,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","1362-4962","10.1093/nar/gkt1213","TRUE",""
81,"KIT",2013,2003.26,"Public Library of Science (PLoS)","PLoS Genetics","1553-7404","NA","10.1371/journal.pgen.1004046","TRUE",""
82,"KIT",2013,1041.40,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0054850","TRUE",""
83,"KIT",2013,1267.60,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0058774","TRUE",""
84,"KIT",2013,1262.17,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0062357","TRUE",""
85,"KIT",2013,1247.69,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0067858","TRUE",""
86,"KIT",2013,1221.62,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0073998","TRUE",""
87,"KIT",2013,1202.05,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0080560","TRUE",""
88,"KIT",2013,1205.05,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0082137","TRUE",""
89,"KIT",2013,1210.12,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0082240","TRUE",""
90,"KIT",2013,1177.58,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0085717","TRUE",""
91,"KIT",2013,1186.30,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0086373","TRUE",""
92,"KIT",2013,718.54,"Scientific Research Publishing, Inc,","SGRE","2151-481X","2151-4844","10.4236/sgre.2013.45046","TRUE",""
93,"KIT",2013,952.00,"Springer Science + Business Media","Biointerphases","1559-4106","NA","10.1186/1559-4106-8-29","TRUE",""
94,"KIT",2013,952.00,"Springer Science + Business Media","Biointerphases","1559-4106","NA","10.1186/1559-4106-8-26","TRUE",""
95,"KIT",2013,799.68,"Springer Science + Business Media","Energy, Sustainability and Society","2192-0567","NA","10.1186/2192-0567-3-7","TRUE",""
96,"KIT",2013,761.60,"Springer Science + Business Media","Environ Sci Eur","2190-4715","NA","10.1186/2190-4715-25-5       ","TRUE",""
97,"KIT",2013,749.70,"Springer Science + Business Media","J Cloud Comput Adv Syst Appl","2192-113X","NA","10.1186/2192-113X-2-14","TRUE",""
98,"KIT",2013,1779.05,"Springer Science + Business Media","EURASIP J Wirel Commun Netw","1687-1499","NA","10.1186/1687-1499-2013-207","TRUE",""
99,"KIT",2013,979.00,"Wiley-Blackwell","Ecol Evol","2045-7758","NA","10.1002/ece3.848","TRUE",""
