Institution;Period;Euro;Publisher;Journal;ISSN;DOI;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5
KIT;2017;1542,24;Copernicus;Natural Hazards and Earth System Sciences;1684-9981;10.5194/nhess-17-1319-2017;;;;;
KIT;2017;221,34;Copernicus ;Advances in Science and Research;1992-0636;10.5194/asr-14-157-2017;;;;;
KIT;2017;1138,83;Copernicus ;Atmospheric Chemistry and Physics;1680-7324;10.5194/acp-17-7827-2017;;;;;
KIT;2017;1760,01;Copernicus ;Atmospheric Chemistry and Physics;1680-7324;10.5194/acp-17-7635-2017;;;;;
KIT;2017;1028,16;Copernicus ;Atmospheric Chemistry and Physics;1680-7324;10.5194/acp-17-6693-2017;;;;;
KIT;2017;2000,00;Copernicus ;Atmospheric Measurement Techniques;1867-8548;10.5194/amt-10-2703-2017;;;;;
KIT;2017;2000,00;Copernicus ;Atmospheric Measurement Techniques;1867-8548;10.5194/amt-10-1111-2017;;;;;
KIT;2017;685,44;Copernicus ;Atmospheric Measurement Techniques;1867-8548;10.5194/amt-10-1511-2017;;;;;
KIT;2017;1449,42;Copernicus ;Geoscientific Model Development;1991-9603;10.5194/gmd-10-1607-2017;;;;;
KIT;2017;2000,00;Copernicus ;Geoscientific Model Development;1991-9603;10.5194/gmd-10-2471-2017;;;;;
KIT;2017;1199,52;Copernicus ;Hydrology and Earth System Sciences;1607-7938;10.5194/hess-21-2987-2017;;;;;
KIT;2017;2000,00;Copernicus ;Hydrology and Earth System Sciences;1607-7938;10.5194/hess-21-2817-2017;;;;;
KIT;2017;1113,84;Copernicus ;Natural Hazards and Earth System Sciences;1684-9981;10.5194/nhess-17-957-2017;;;;;
KIT;2017;1428,00;Copernicus ;Solid Earth;1869-9529;10.5194/se-8-515-2017;;;;;
KIT;2017;2000,00;Copernicus   ;Atmospheric Chemistry and Physics;1680-7324;10.5194/acp-17-1985-2017;;;;;
KIT;2017;2000,00;"Copernicus";Hydrology and Earth System Sciences;1607-7938;10.5194/hess-21-3749-2017;;;;;
KIT;2017;1500,00;deGruyter;Nanophotonics;2192-8614;10.1515/nanoph-2017-0044;;;;;
KIT;2017;2000,00;eLife Sciences Publ.;elife;2050-084X;10.7554/eLife.25533.001;;;;;
KIT;2017;1848,46;Elsevier;Journal of Hydrology: Regional Studies;2214-5818;10.1016/j.ejrh.2017.05.010;;;;;
KIT;2017;1921,50;Elsevier;Journal of Hydrology: Regional Studies;2214-5818;10.1016/j.ejrh.2017.07.008;;;;;
KIT;2017;747,25;Elsevier;Nuclear Materials and Energy;2352-1791;10.1016/j.nme.2017.05.015;;;;;
KIT;2017;1267,99;Frontiers;Frontiers in Chemistry;2296-2646;10.3389/fchem.2017.00025;;;;;
KIT;2017;862,90;Frontiers;Frontiers in Built Environment;2297-3362;10.3389/fbuil.2017.00030;;;;;
KIT;2017;1677,23;Frontiers;Frontiers in Bioengineering and Biotechnology;2296-4185;10.3389/fbioe.2017.00072;;;;;
KIT;2017;2000,00;Frontiers;Frontiers in Human Neuroscience;1662-5161;10.3389/fnhum.2017.00403;;;;;
KIT;2017;2000,00;Frontiers;Frontiers in Microbiology;1664-302X;10.3389/fmicb.2017.01282;;;;;
KIT;2017;1868,36;Frontiers;Frontiers in Microbiology;1664-302X;10.3389/fmicb.2017.02311;;;;;
KIT;2017;1868,36;Frontiers;Frontiers in Plant Science;1664-462X;10.3389/fpls.2017.01903;;;;;
KIT;2017;2000,00;Hindawi;BioMed Research International;1110-7251;10.1155/2017/1785217;;;;;
KIT;2017;1962,04;Hindawi;Computational and Mathematical Methods in Medicine;1748-6718;10.1155/2017/1686290;;;;;
KIT;2017;1962,59;Hindawi;Computational and Mathematical Methods in Medicine;1748-6718;10.1155/2017/9295029;;;;;
KIT;2017;1668,55;Hindawi;Scanning;1932-8745;10.1155/2017/4907457;;;;;
KIT;2017;226,10;"IACSS (deGruyter)";International Journal of Computer Science in Sport;1684-4769;10.1515/ijcss-2017-0009;;;;;
KIT;2017;181,61;International Journal of Engineering Research and Development ;International Journal of Engineering Research and Development;2278-067X;10.5445/IR/1000065256;;;;;
KIT;2017;1856,40;IOP;Environmental Research Letters;1748-9326;10.1088/1748-9326/aa5fb0;;;;;
KIT;2017;1862,99;IOP;Environmental Research Letters;1748-9326;10.1088/1748-9326/aa5f46;;;;;
KIT;2017;1392,30;IOP;New Journal of Physics;1367-2630;10.1088/1367-2630/aa5e7f;;;;;
KIT;2017;508,72;Ivyspring;Journal of Genomics;1839-9940;10.7150/jgen.22986 ;;;;;
KIT;2017;2000,00;JMIR Publications;JMIR Research Protocols;1929-0748;10.2196/resprot.6792;;;;;
KIT;2017;602,97;MDPI;Biomolecules;2218-273X;10.3390/biom7020044;;;;;
KIT;2017;364,04;MDPI;Catalysts;2073-4344;10.3390/catal7090279;;;;;
KIT;2017;1394,72;MDPI;Energies;1996-1073;10.3390/en10070941;;;;;
KIT;2017;1395,30;MDPI;Entropy;1099-4300;10.3390/e19060264;;;;;
KIT;2017;1148,37;MDPI;Forests;1999-4907;10.3390/f8050167;;;;;
KIT;2017;1145,86;MDPI;Forests;1999-4907;10.3390/f8060181;;;;;
KIT;2017;1441,88;MDPI;International Journal of Environmental Research and Public Health ; 1660-4601;10.3390/ijerph14111375;;;;;
KIT;2017;959,27;MDPI;Materials;1996-1944;10.3390/ma11010049;;;;;
KIT;2017;1241,39;MDPI;Polymers;2073-4360;10.3390/polym9100489;;;;;
KIT;2017;1542,09;MDPI;Remote sensing;2072-4292;10.3390/rs9030277;;;;;
KIT;2017;693,53;MDPI;Remote Sensing;2072-4292;10.3390/rs10010002;;;;;
KIT;2017;1318,11;MDPI;Sensors;1424-8220;10.3390/s17112529;;;;;
KIT;2017;1295,59;MDPI;Sustainability;2071-1050;10.3390/su9061031;;;;;
KIT;2017;981,40;MDPI;Sustainability;2071-1050;10.3390/su9091623;;;;;
KIT;2017;1164,42;MDPI;Water;2073-4441;10.3390/w9040239;;;;;
KIT;2017;861,44;"MDPI";Micromachines;2072-666X;10.3390/mi8090285;;;;;
KIT;2017;896,89;MedCrave;Advances in Tissue Engineering and Regenerative Medicine;2572-8490;10.15406/atroa.2017.02.00042;;;;;
KIT;2017;2000,00;Public Library of Science;PLOS Genetics;1553-7404;10.1371/journal.pgen.1006512;;;;;
KIT;2017;1645,32;Public Library of Science;Plos One;1932-6203;10.1371/journal.pone.0175003;;;;;
KIT;2017;1607,92;Public Library of Science;Plos One;1932-6203;10.1371/journal.pone.0176594;;;;;
KIT;2017;1616,47;Public Library of Science;PLoS One;1932-6203;10.1371/journal.pone.0178430;;;;;
KIT;2017;1519,82;Public Library of Science;PLOS ONE;1932-6203;10.1371/JOURNAL.PONE.0182779;;;;;
KIT;2017;1281,44;Public Library of Science;Plos One;1932-6203;10.1371/journal.pone.0187535;;;;;
KIT;2017;1801,35;Remedy Publications;Annals of Pharmacology and Pharmaceutics;2573-6051;10.5445/IR/1000073679;;;;;
KIT;2017;665,41;Royal Society of Chemistry;RSC Advances;2046-2069;10.1039/C7RA05385A;;;;;
KIT;2017;674,69;Royal Society of Chemistry;RSC Advances;2046-2069;10.1039/C6RA26546D;;;;;
KIT;2017;1449,00;Schweizerbart;Meteorologische Zeitschrift;1610-1227;10.1127/metz/2017/0819;;;;;
KIT;2017;1330,00;Schweizerbart;Meteorologische Zeitschrift;1610-1227;10.1127/metz/2017/0828;;;;;
KIT;2017;2000,00;Schweizerbart;Meteorologische Zeitschrift;1610-1227;10.1127/metz/2017/0811;;;;;
KIT;2017;1372,88;Scientific Research Publishing ;Journal of Biomedical Science and Engineering;1937-688X;10.4236/jbise.2017.105016;;;;;
KIT;2017;2000,00;SpringerNature;Light: Science & Applications;2047-7538;10.1038/lsa.2016.224;;;;;
KIT;2017;2000,00;SpringerNature;Nature Communications;2041-1723;10.1038/s41467-017-00894-w;;;;;
KIT;2017;2000,00;SpringerNature;Nature Communications;2041-1723;10.1038/s41467-017-02608-8;;;;;
KIT;2017;2000,00;SpringerNature;Nature Communications;2041-1723;10.1038/s41467-017-01879-5;;;;;
KIT;2017;1305,00;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-15287-8;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/srep42345;;;;;
KIT;2017;1242,36;SpringerNature;Scientific Reports;2045-2322;10.1038/srep42982;;;;;
KIT;2017;1386,35;SpringerNature;Scientific Reports;2045-2322;10.1038/srep41413;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/srep44324;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/srep46637;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-01128-1;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-01413-z;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-04808-0;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-07630-w;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-06250-8;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-15192-0;;;;;
KIT;2017;1305,00;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-17493-w;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-07474-4;;;;;
KIT;2017;1552,95;SpringerNature;Scientific Reports;2045-2322;10.1038/s41598-017-12599-7;;;;;
KIT;2017;2000,00;"SpringerNature";Nature Communications;2041-1723;10.1038/ncomms15339;;;;;
KIT;2017;2000,00;"SpringerNature";Nature Communications;2041-1723;10.1038/ncomms16053;;;;;
KIT;2017;2000,00;"SpringerNature";Nature Communications;2041-1723;10.1038/s41467-017-00712-3;;;;;
KIT;2017;2000,00;"SpringerNature";Nature Communications;2041-1723;10.1038/s41467-017-02676-w;;;;;
KIT;2017;2000,00;"SpringerNature";Nature Communications;2041-1723;10.1038/ncomms14672;;;;;
KIT;2017;2000,00;"SpringerNature";Nature Communications;2041-1723;10.1038/ncomms14442;;;;;
KIT;2017;2000,00;"SpringerNature";NPG Asia Materials;1884-4057;10.1038/am.2017.41;;;;;
KIT;2017;1552,95;"SpringerNature";Scientific Reports;2045-2322;10.1038/s41598-017-13348-6;;;;;
KIT;2017;1552,95;"SpringerNature";Scientific Reports;2045-2322;10.1038/s41598-017-13261-y;;;;;
KIT;2017;940,10;Taylor & Francis;Advances in Physics X;2374-6149;10.1080/23746149.2017.1296372;;;;;
KIT;2017;1713,60;WileyOpen;ChemistryOpen;2191-1363;10.1002/open.201600153;;;;;
KIT;2017;1769,53;WileyOpen;GCB Bioenergy;1757-1707;10.1111/gcbb.12454;;;;;
KIT;2017;1538,67;WileyOpen;Remote Sensing in Ecology and Conservation;2056-3485;10.1002/rse2.68;;;;;
