DOI;Endbetrag (Euro);Institution
10.3390/polym15163406;2.839,76;KIT
10.3390/ijms241713300;3.057,37;KIT
10.3897/rio.8.e94113;259,30;KIT
10.1039/D3RA03527A;990,03;KIT
10.3390/make5040074;1.041,16;KIT
10.1159/000532088;1.011,77;KIT
10.5334/dsj-2023-021;757,04;KIT
10.3390/separations10090462;2.741,09;KIT
10.1016/j.envc.2023.100742;1.463,70;KIT
10.1038/s41467-023-40031-4;4.852,64;KIT
10.5194/bg-20-3395-2023;2.520,00;KIT
10.3390/ph16071014;2.282,27;KIT
10.3390/pr11072076;2.071,79;KIT
10.5194/acp-23-6989-2023;900,00;KIT
10.3390/polym15173544;2.530,24;KIT
10.1039/d3ra02784h;989,97;KIT
10.1021/jacsau.3c00167;2.200,72;KIT
10.1016/j.eti.2023.103214;2.190,00;KIT
10.3390/cryst13071046;1.734,11;KIT
10.1038/s43247-023-00893-4;2.217,43;KIT
10.3390/atmos14071095;2.070,52;KIT
10.1127/metz/2023/1165;1.729,42;KIT
10.3390/app13137383;2.003,99;KIT
10.1002/advs.202304038;3.832,00;KIT
10.1371/journal.pone.0286372;1.981,50;KIT
10.3390/infrastructures8090129;1.562,79;KIT
10.3390/smartcities6040089;1.348,73;KIT
10.1038/s41534-023-00731-7;3.677,10;KIT
10.3390/su151813288;1.644,14;KIT
10.3390/app13137534;1.892,22;KIT
10.3390/nano13121893;2.708,08;KIT
10.3390/fluids8070213;1.659,84;KIT
10.1016/j.crfs.2023.100542;2.713,20;KIT
10.1038/s41598-023-36414-8;1.740,68;KIT
10.1002/aesr.202300092;2.144,00;KIT
10.7752/jpes.2023.10291;178,50;KIT
10.3390/en16165899;2.320,07;KIT
10.3390/ijms241814395;3.065,35;KIT
10.1016/j.dib.2023.109279;571,20;KIT
10.1016/j.nme.2023.101451;1.070,77;KIT
10.1109/OJPEL.2023.3283035;1.763,43;KIT
10.1186/s12966-023-01473-7;2.290,41;KIT
10.5194/hess-27-2535-2023;2.463,30;KIT
10.1186/s12870-023-04311-x;2.029,40;KIT
10.1038/s41467-023-39003-5;5.774,64;KIT
10.1038/s41524-023-01055-y;2.405,90;KIT
10.1002/admi.202300329;2.080,00;KIT
10.1002/celc.202300226;1.999,20;KIT
10.5194/acp-23-7611-2023;1.725,00;KIT
10.1038/s42004-023-00905-6;2.870,88;KIT
10.1109/ACCESS.2023.3281529;1.798,89;KIT
10.3390/rs15133281;1.729,77;KIT
10.3390/pr11061847;2.083,14;KIT
10.3390/gels9060473;1.748,71;KIT
10.3390/vehicles5020034;1.452,56;KIT
10.1038/s41598-023-35574-x;1.740,68;KIT
10.5194/amt-16-2753-2023;1.275,00;KIT
10.1103/PhysRevResearch.5.033016;2.932,21;KIT
10.1016/j.nme.2023.101444;1.370,00;KIT
10.1109/ACCESS.2023.3278836;1.777,90;KIT
10.5194/acp-23-6789-2023;2.070,00;KIT
10.3390/ijms241210392;2.537,46;KIT
10.37544/1436-4980-2023-07-08-12;1.800,00;KIT
10.1371/journal.pone.0283828;1.660,84;KIT
10.1016/j.matdes.2023.111991;3.034,50;KIT
10.3390/colloids7020045;1.666,73;KIT
10.3390/s23094559;2.464,22;KIT
10.1109/ACCESS.2023.3271146;2.115,70;KIT
10.1038/s41597-023-02140-z;2.071,41;KIT
10.5194/amt-16-2237-2023;2.340,00;KIT
10.1038/s42004-023-00877-7;2.870,88;KIT
10.37544/1436-4980-2023-07-08-6;1.440,00;KIT
10.3390/ma16083162;1.079,66;KIT
10.1002/celc.202300165;1.680,00;KIT
10.1002/admi.202202339;2.080,00;KIT
10.1016/j.nme.2023.101427;1.085,16;KIT
10.1038/s42005-023-01184-2;3.416,35;KIT
10.3390/machines11040482;2.050,31;KIT
10.1021/acsomega.2c08004;1.573,88;KIT
10.1038/s43246-023-00353-8;3.189,97;KIT
10.1038/s41598-023-32718-x;1.740,68;KIT
10.3390/app13095351;2.366,51;KIT
10.3390/ijms24108563;2.566,90;KIT
10.1016/j.matdes.2023.111834;2.111,77;KIT
10.3390/app13085048;2.357,85;KIT
10.1016/j.jmrt.2023.03.211;1.301,77;KIT
10.1039/d3ra00892d;1.173,96;KIT
10.1103/PRXQuantum.4.020344;3.825,57;KIT
10.3390/infrastructures8040072;1.484,84;KIT
10.1002/admi.202300156;2.080,00;KIT
10.1002/advs.202301874;3.832,00;KIT
10.1364/OME.486789;1.904,67;KIT
10.1038/s41598-023-32144-z;1.740,68;KIT
10.5194/nhess-23-1549-2023;2.100,00;KIT
10.1038/s42005-023-01164-6;3.416,35;KIT
10.1186/s12889-023-16174-w;2.290,42;KIT
10.1186/s13098-023-01062-5;2.100,43;KIT
10.3390/microorganisms11102612;2.111,77;KIT
10.5194/nhess-23-1287-2023;1.875,00;KIT
10.3390/ma16062404;931,53;KIT
10.1055/s-0043-1761309;1.707,89;KIT
10.1038/s41598-023-31220-8;1.740,68;KIT
10.1080/22797254.2023.2260549;1.148,35;KIT
10.3390/hydrogen4020025;873,48;KIT
10.3390/hydrogen4020021;865,90;KIT
10.1371/journal.pone.0281372;1.958,38;KIT
10.3390/vibration6020023;1.429,70;KIT
10.5194/acp-23-3517-2023;2.677,50;KIT
10.1002/inf2.12462;2.040,00;KIT
10.1038/s41467-023-37034-6;4.852,64;KIT
10.1126/sciadv.adg7541;933,27;KIT
10.1038/s41598-023-31196-5;1.740,68;KIT
10.1109/OJVT.2023.3315317;2.127,14;KIT
10.1016/j.arabjc.2023.104612;1.463,70;KIT
10.3390/ijms24076215;2.553,72;KIT
10.1109/OJITS.2023.3252399;2.054,59;KIT
10.1103/PhysRevResearch.5.013212;2.420,44;KIT
10.1038/s41467-023-36748-x;4.852,64;KIT
10.1038/s41598-023-30297-5;2.071,41;KIT
10.1016/j.crfs.2023.100471;1.356,60;KIT
10.3390/polym15081829;2.056,92;KIT
10.1109/ACCESS.2023.3308216;2.098,48;KIT
10.1029/2023EA002869;1.248,00;KIT
10.3390/separations10050297;2.063,07;KIT
10.3390/separations10040254;2.050,31;KIT
10.3390/agriculture13030712;2.060,08;KIT
10.1038/s42004-023-00844-2;2.870,88;KIT
10.1016/j.matdes.2023.111803;3.034,50;KIT
10.3390/colloids7010022;1.648,07;KIT
10.3390/catal13030482;2.003,40;KIT
10.5194/amt-16-1443-2023;1.350,00;KIT
10.1002/mame.202300048;2.040,00;KIT
10.1038/s42949-023-00096-y;926,60;KIT
10.5194/se-14-293-2023;1.620,00;KIT
10.1186/s40309-023-00214-0;886,97;KIT
10.1038/s41467-023-36859-5;5.774,64;KIT
10.3390/pr11030797;1.818,69;KIT
10.1038/s41467-023-36722-7;4.852,64;KIT
10.1002/sstr.202300012;2.200,00;KIT
10.3390/buildings13030589;2.050,70;KIT
10.3390/fluids8030099;1.624,98;KIT
10.5194/esd-14-243-2023;990,00;KIT
10.5194/npg-30-49-2023;1.249,50;KIT
10.3390/ma16052009;2.353,36;KIT
10.1021/acsomega.3c00502;1.564,68;KIT
10.3390/polym15051102;1.877,87;KIT
10.3390/min13030416;2.060,08;KIT
10.2196/46480;2.272,06;KIT
10.3390/life13030796;1.160,65;KIT
10.3390/polym15061516;2.060,08;KIT
10.3390/ma16041387;1.465,06;KIT
10.1016/j.isci.2023.106141;2.268,23;KIT
10.1002/open.202200226;1.904,00;KIT
10.1186/s13068-023-02271-w;2.180,08;KIT
10.3390/cryst13030419;1.203,77;KIT
10.1155/2023/2657039;2.321,48;KIT
10.3390/coatings13020368;2.103,63;KIT
10.3390/en16073148;2.000,23;KIT
10.3390/pr11030648;2.050,70;KIT
10.1038/s41528-023-00240-9;3.301,62;KIT
10.3390/cells12060863;2.048,30;KIT
10.1016/j.oregeorev.2023.105326;2.391,90;KIT
10.1016/j.ijchp.2023.100375;2.082,50;KIT
10.3390/su142316319;1.979,40;KIT
10.3390/en16062797;2.266,09;KIT
10.1038/s41528-023-00242-7;3.301,62;KIT
10.1038/s41467-023-36057-3;4.852,64;KIT
10.5194/nhess-23-525-2023;2.025,00;KIT
10.3390/en16031444;1.983,24;KIT
10.1016/j.softx.2023.101324;660,00;KIT
10.1371/journal.pone.0280016;2.028,47;KIT
10.1038/s41534-023-00678-9;3.677,10;KIT
10.5194/acp-23-1893-2023;2.340,00;KIT
10.3390/molecules28041808;2.358,32;KIT
10.3390/met13030484;2.046,40;KIT
10.3390/polym15040964;2.022,79;KIT
10.3390/nano13030618;2.507,72;KIT
10.3390/lubricants11020075;1.820,50;KIT
10.1038/s41597-023-01936-3;1.740,68;KIT
10.5194/acp-23-1987-2023;1.428,00;KIT
10.3390/chemosensors11040206;2.060,08;KIT
10.1002/adsr.202300004;1.999,20;KIT
10.1002/advs.202207283;3.832,00;KIT
10.1038/s41598-022-27035-8;2.001,37;KIT
10.7752/jpes.2023.02043;178,50;KIT
10.3390/healthcare11060872;2.060,08;KIT
10.3390/colloids7010012;1.518,44;KIT
10.3390/ma16020710;2.087,83;KIT
10.1016/j.apples.2023.100131;1.356,60;KIT
10.1039/D2NA00664B;1.564,12;KIT
10.5114/biolsport.2023.123320;476,00;KIT
10.1515/arh-2022-0149;1.190,00;KIT
10.3390/pr11010234;2.044,79;KIT
10.3390/en16062621;1.882,85;KIT
10.3390/ma16041420;1.786,40;KIT
10.3390/rs15030791;2.549,81;KIT
10.3390/instruments7010009;1.300,26;KIT
10.1029/2022GL102176;2.332,40;KIT
10.3390/educsci12120924;1.433,13;KIT
10.3390/coatings13010149;1.324,70;KIT
10.1002/admi.202202430;2.080,00;KIT
10.3390/molecules27248765;1.631,84;KIT
10.3390/vehicles5010017;1.435,50;KIT
10.3390/pr11020327;2.016,62;KIT
10.1038/s41535-022-00525-8;1.810,37;KIT
10.3390/jne4010013;550,43;KIT
10.3390/nano13030441;1.547,23;KIT
10.1186/s12870-022-03948-4;1.960,79;KIT
10.1002/adsr.202200031;1.999,20;KIT
10.1371/journal.pone.0290561;2.158,61;KIT
10.3390/ijms24054270;1.627,25;KIT
10.5194/nhess-22-3701-2022;1.800,00;KIT
10.1186/s12934-022-01961-8;2.080,39;KIT
10.3390/jne4010021;556,36;KIT
10.5194/nhess-22-3875-2022;1.890,00;KIT
10.3390/jne4030037;561,04;KIT
10.1016/j.lwt.2023.114464;2.344,30;KIT
10.1002/admi.202202259;2.080,00;KIT
10.5194/amt-15-6669-2022;3.240,00;KIT
10.5194/amt-15-6991-2022;2.100,00;KIT
10.5194/acp-22-14971-2022;1.440,00;KIT
10.1186/s13104-022-06247-1;1.295,15;KIT
10.3390/jne4010018;550,43;KIT
10.1002/smsc.202200079;3.656,00;KIT
10.1016/j.ophoto.2023.100034;1.410,15;KIT
10.1038/s41598-022-21802-3;1.681,82;KIT
10.1140/epjqt/s40507-022-00146-x;1.105,50;KIT
10.1016/j.trip.2023.100818;1.320,90;KIT
10.1002/smsc.202200073;3.656,00;KIT
10.1029/2022EF003142;1.360,00;KIT
10.1111/pbi.13964;2.998,80;KIT
10.1002/anbr.202200133;2.320,00;KIT
10.1038/s41467-022-33750-7;4.688,55;KIT
10.1038/s43856-022-00191-8;3.201,10;KIT
10.1038/s41598-022-24052-5;2.001,37;KIT
10.1186/s12889-023-15119-7;2.290,42;KIT
10.1080/15140326.2023.2188634;1.297,10;KIT
10.1002/adpr.202200187;1.880,00;KIT
10.1029/2022EA002456;1.248,00;KIT
10.1186/s12889-022-14383-3;2.212,97;KIT
10.1186/s40517-022-00234-2;1.177,86;KIT
10.5194/hess-27-2591-2023;1.606,50;KIT
10.1186/s40479-021-00166-6;1.704,08;KIT
10.1186/s13705-023-00392-6;1.046,62;KIT
10.1002/open.202000315;1.670,40;KIT
10.3389/fenrg.2023.1325612;2.207,31;KIT
10.3389/fnut.2023.1290502;3.096,59;KIT
10.3389/fphy.2023.1222589;2.498,10;KIT
10.3389/fmedt.2023.1254690;1.950,70;KIT
10.3389/fnut.2023.1239548;2.607,80;KIT
10.3389/fmicb.2023.1241810;2.511,81;KIT
10.3389/frwa.2023.1220544;953,68;KIT
10.3389/fbioe.2023.1218957;1.621,40;KIT
10.3389/frbhe.2023.1220563;1.187,76;KIT
10.3389/fctls.2023.1213803;1.622,30;KIT
10.3389/fbioe.2023.1192050;1.897,32;KIT
10.3389/feduc.2023.1197296;1.868,42;KIT
10.3389/fpsyg.2023.1197039;1.879,83;KIT
10.3389/fspor.2023.1197883;1.938,78;KIT
10.3389/fnuen.2023.1192463;1.677,45;KIT
10.3389/frobt.2023.1151303;1.940,02;KIT
10.3389/fpsyg.2023.1172423;2.999,64;KIT
10.3389/frobt.2023.1155143;1.888,84;KIT
10.3389/fspor.2023.1151828;1.935,40;KIT
10.3389/fenrg.2023.1130554;2.154,73;KIT
10.3389/frobt.2023.1102438;461,20;KIT
10.3389/fneur.2023.1140712;2.971,44;KIT
10.3389/fbioe.2023.1123842;3.008,87;KIT
10.3389/fphys.2022.1023378;3.079,96;KIT
10.3389/fnuen.2023.1117413;1.655,62;KIT
10.3389/fbioe.2023.1111316;1.605,49;KIT
10.3389/ffgc.2022.1065645;1.959,85;KIT
10.3389/fpsyg.2023.1061229;2.971,44;KIT
10.3389/fspor.2022.1012239;1.986,46;KIT
10.3389/fenvs.2023.749477;2.368,34;KIT
