"old_value","target_value"
"Elisabeth Bruyere Research Institute","Bruyère"
"Emmanuel College of Victoria University in the University of Toronto","University of Toronto"
"HEC Montreal","HEC Montréal"
"HEC Montreal Departement de Management","HEC Montréal"
"HEC Montreal Department of Management","HEC Montréal"
"HEC Montréal","HEC Montréal"
"HEC Montréal Department of Management","HEC Montréal"
"Holland Bloorview Kids Rehabilitation Hospital","Holland Bloorview Kids Rehabilitation Hospital"
"HollandBloorviewKidsRehabilitationHospital","Holland Bloorview Kids Rehabilitation Hospital"
"Hopital du Saint-Sacrement","Université Laval"
"Hospital for Sick Children","Hospital for Sick Children"
"INRS","Institut national de la recherche scientifique"
"Institut national de la recherche scientifique","Institut national de la recherche scientifique"
"Institut national de la recherche scientifique Centre Urbanisation Culture Societe","Institut national de la recherche scientifique"
"Institut universitaire de cardiologie et de pneumologie de Quebec","Institut Universitaire de Cardiologie et de Pneumologie de Québec"
"King's University College","Western University"
"King's University College at Western University Canada","Western University"
"King'sUniversityCollege","Western University"
"Kwantlen Polytechnic University","Kwantlen Polytechnic University"
"Kwantlen Polytechnic University Faculty of Arts","Kwantlen Polytechnic University"
"Lakehead University","Lakehead University"
"Lakehead University - Orilla Campus","Lakehead University"
"Lakehead University - Thunder Bay Campus","Lakehead University"
"Lakehead University Faculty of Education","Lakehead University"
"Laurentian University","Laurentian University"
"Laurentian University Faculty of Arts","Laurentian University"
"Laval University","Université Laval"
"Laval University Faculty of Business Administration","Université Laval"
"Laval University Faculty of Education Science","Université Laval"
"Laval University: Universite Laval","Université Laval"
"LavalUniversity","Université Laval"
"MacEwan University","MacEwan University"
"MacEwan University Faculty of Health and Community Studies","MacEwan University"
"Macewan University Faculty of Arts and Science","MacEwan University"
"McGill Centre for Research in Neuroscience","McGill University"
"McGill University","McGill University"
"McGill University COSMO - Stochastic Mine Planning Laboratory","McGill University"
"McGill University Department of Educational and Counselling Psychology","McGill University"
"McGill University Department of Geography","McGill University"
"McGill University Department of Mathematics and Statistics","McGill University"
"McGill University Department of Political Science","McGill University"
"McGill University Department of Psychiatry","McGill University"
"McGill University Department of Psychology","McGill University"
"McGill University Desautels Faculty of Management","McGill University"
"McGill University Faculty of Arts","McGill University"
"McGill University Faculty of Education","McGill University"
"McGill University Faculty of Engineering","McGill University"
"McGill University Faculty of Law","McGill University"
"McGill University Faculty of Medicine","McGill University"
"McGill University Faculty of Medicine and Health Sciences","McGill University"
"McGill University Faculty of Science","McGill University"
"McGill University Institute for Health and Social Policy","McGill University"
"McGill University Osler Library of the History of Medicine","McGill University"
"McGill University School of Human Nutrition","McGill University"
"McGill University School of Social Work","McGill University"
"McGill University Schulich Library of Physical Sciences Life Sciences and Engineering","McGill University"
"McGill University Steinberg Centre for Simulation and Interactive Learning","McGill University"
"McGillUniversity","McGill University"
"McMaster Divinity College","McMaster University"
"McMaster University","McMaster University"
"McMaster University DeGroote School of Business","McMaster University"
"McMaster University Department of Family Medicine","McMaster University"
"McMaster University Department of Health Research Methods Evidence and Impact","McMaster University"
"McMaster University Department of Medicine","McMaster University"
"McMaster University Department of Obstetrics and Gynecology","McMaster University"
"McMaster University Department of Radiology","McMaster University"
"McMaster University Department of Surgery","McMaster University"
"McMaster University Division of Orthopaedic Surgery","McMaster University"
"McMaster University Faculty of Engineering","McMaster University"
"McMaster University Faculty of Health Sciences","McMaster University"
"McMaster University Faculty of Humanities","McMaster University"
"McMaster University Faculty of Science","McMaster University"
"McMaster University Faculty of Social Sciences","McMaster University"
"McMaster University Michael G DeGroote School of Medicine","McMaster University"
"McMaster University School of Medicine","McMaster University"
"McMaster University School of Rehabilitation Science","McMaster University"
"McMasterUniversity","McMaster University"
"Memorial University","Memorial University of Newfoundland"
"Memorial University of Newfoundland","Memorial University of Newfoundland"
"Memorial University of Newfoundland - Grenfell Campus","Memorial University of Newfoundland"
"Memorial University of Newfoundland - St John's Campus","Memorial University of Newfoundland"
"Memorial University of Newfoundland Faculty of Humanities and Social Sciences","Memorial University of Newfoundland"
"Memorial University of Newfoundland Faculty of Medicine","Memorial University of Newfoundland"
"Memorial University of Newfoundland Fisheries & Marine Institute","Memorial University of Newfoundland"
"Memorial University of Newfoundland Fisheries and Marine Institute","Memorial University of Newfoundland"
"Memorial University of Newfoundland School of Nursing","Memorial University of Newfoundland"
"Memorial University of Newfoundland School of Pharmacy","Memorial University of Newfoundland"
"MemorialUniversityofNewfoundland","Memorial University of Newfoundland"
"Montreal Neurological Institute and Hospital","McGill University"
"Montreal Neurological Institute-Hospital","McGill University"
"Montreal Neurological Institute-Hospital Azrieli Centre for Autism Research","McGill University"
"Mount Allison University","Mount Allison University"
"Mount Royal University","Mount Royal University"
"Mount Royal University Bissett School of Business","Mount Royal University"
"Mount Saint Vincent University","Mount Saint Vincent University"
"Mount Saint Vincent University Department of Sociology and Anthropology","Mount Saint Vincent University"
"Mount Sinai Hospital","Mount Sinai Hospital"
"Nipissing University","Nipissing University"
"Nipissing University Faculty of Education and Professional Studies","Nipissing University"
"Norman Paterson School of International Affairs","Carleton University"
"Northern Ontario School of Medicine University","Northern Ontario School of Medicine University"
"OCAD University","OCAD University"
"Ontario Tech University","University of Ontario Institute of Technology"
"Ottawa Hospital Research Institute","University of Ottawa"
"Polytechnique Montreal","Polytechnique Montreal"
"Polytechnique Montreal: Polytechnique Montreal","Polytechnique Montreal"
"Princess Margaret Hospital Cancer Centre","Princess Margaret Cancer Centre"
"QUEEN'S UNIVERSITY ","Queen's University"
"Quebec Heart and Lung Institute","Institut Universitaire de Cardiologie et de Pneumologie de Québec"
"Queen's University","Queen's University"
"Queen's University - Kingston Campus","Queen's University"
"Queen's University - Kingston Campus: Queen's University","Queen's University"
"Queen's University Department of Medicine","Queen's University"
"Queen's University Department of Political Studies","Queen's University"
"Queen's University Faculty of Arts and Science","Queen's University"
"Queen's University Faculty of Health Sciences","Queen's University"
"Queen's University School of Graduate Studies","Queen's University"
"Queen's University School of Medicine","Queen's University"
"Queen's University Smith School of Business","Queen's University"
"Queen'sUniversity","Queen's University"
"Renison University College","University of Waterloo"
"Research Institute of the McGill University Health Centre","McGill University"
"Ross Tilley Burn Centre","Sunnybrook Health Science Centre"
"Royal Roads University","Royal Roads University"
"Royal Roads University Faculty of Social and Applied Sciences","Royal Roads University"
"Royal Roads University Library","Royal Roads University"
"Ryerson University","Toronto Metropolitan University"
"Ryerson University Faculty of Arts","Toronto Metropolitan University"
"Ryerson University Faculty of Communication and Design","Toronto Metropolitan University"
"Ryerson University Faculty of Community Services","Toronto Metropolitan University"
"Ryerson University Faculty of Engineering Architecture and Science","Toronto Metropolitan University"
"Ryerson University Ted Rogers School of Management","Toronto Metropolitan University"
"Ryerson University: Toronto Metropolitan University","Toronto Metropolitan University"
"Saint Francis Xavier University","St. Francis Xavier University"
"Saint Mary's University","Saint Mary's University"
"Saint Mary's University	","Saint Mary's University"
"Saint Mary's University Sobey School of Business Management Department","Saint Mary's University"
"Schulich School of Medicine and Dentistry","Western University"
"SickKids","Hospital for Sick Children"
"Simon Fraser University","Simon Fraser University"
"Simon Fraser University - Surrey","Simon Fraser University"
"Simon Fraser University - Surrey Campus","Simon Fraser University"
"Simon Fraser University - Vancouver","Simon Fraser University"
"Simon Fraser University - Vancouver Campus","Simon Fraser University"
"Simon Fraser University Department of Psychology","Simon Fraser University"
"Simon Fraser University Department of Sociology and Anthropology","Simon Fraser University"
"Simon Fraser University Faculty of Applied Sciences","Simon Fraser University"
"Simon Fraser University Faculty of Arts and Social Sciences","Simon Fraser University"
"Simon Fraser University Faculty of Communication Art and Technology","Simon Fraser University"
"Simon Fraser University Faculty of Education","Simon Fraser University"
"Simon Fraser University Faculty of Health Sciences","Simon Fraser University"
"Simon Fraser University at Harbour Centre","Simon Fraser University"
"SimonFraserUniversity","Simon Fraser University"
"Sobey School of Business at Saint Mary's University","Saint Mary's University"
"St Francis Xavier University","St. Francis Xavier University"
"St Francis Xavier University Faculty of Arts","St. Francis Xavier University"
"St Francis Xavier University Faculty of Science","St. Francis Xavier University"
"St Jerome's University","St Jerome's University"
"St. Francis Xavier University","St. Francis Xavier University"
"StFX","St. Francis Xavier University"
"Sunnybrook Health Sciences Centre","Sunnybrook Health Science Centre"
"Sunnybrook Health Sciences Centre Holland Bone and Joint Program","Sunnybrook Health Science Centre"
"Sunnybrook Health Sciences Centre Odette Cancer Centre","Sunnybrook Health Science Centre"
"Sunnybrook Health Sciences Centre St John's Rehab Program","Sunnybrook Health Science Centre"
"Sunnybrook Research Institute","Sunnybrook Health Science Centre"
"The Hospital for Sick Children","Hospital for Sick Children"
"The University of British Columbia","University of British Columbia"
"The University of British Columbia - Vancouver Campus","University of British Columbia"
"The University of British Columbia Department of Civil Engineering","University of British Columbia"
"The University of British Columbia Department of Dermatology & Skin Science","University of British Columbia"
"The University of British Columbia Department of Educational Studies","University of British Columbia"
"The University of British Columbia Department of Educational and Counselling Psychology and Special Education","University of British Columbia"
"The University of British Columbia Department of Geography","University of British Columbia"
"The University of British Columbia Department of History","University of British Columbia"
"The University of British Columbia Department of Medicine","University of British Columbia"
"The University of British Columbia Department of Medicine Division of Neurology","University of British Columbia"
"The University of British Columbia Department of Obstetrics & Gynaecology","University of British Columbia"
"The University of British Columbia Department of Ophthalmology & Visual Sciences","University of British Columbia"
"The University of British Columbia Department of Physics & Astronomy","University of British Columbia"
"The University of British Columbia Department of Political Science","University of British Columbia"
"The University of British Columbia Department of Psychology","University of British Columbia"
"The University of British Columbia Department of Radiology","University of British Columbia"
"The University of British Columbia Department of Sociology","University of British Columbia"
"The University of British Columbia Faculty of Applied Science","University of British Columbia"
"The University of British Columbia Faculty of Arts","University of British Columbia"
"The University of British Columbia Faculty of Dentistry","University of British Columbia"
"The University of British Columbia Faculty of Education","University of British Columbia"
"The University of British Columbia Faculty of Forestry","University of British Columbia"
"The University of British Columbia Faculty of Medicine","University of British Columbia"
"The University of British Columbia Faculty of Pharmaceutical Sciences","University of British Columbia"
"The University of British Columbia Faculty of Science","University of British Columbia"
"The University of British Columbia Okanagan","University of British Columbia"
"The University of British Columbia Okanagan Bookstore","University of British Columbia"
"The University of British Columbia Okanagan Faculty of Creative and Critical Studies","University of British Columbia"
"The University of British Columbia Okanagan Faculty of Health and Social Development","University of British Columbia"
"The University of British Columbia Okanagan Irving K Barber School of Arts and Sciences","University of British Columbia"
"The University of British Columbia Sauder School of Business","University of British Columbia"
"The University of British Columbia School of Kinesiology","University of British Columbia"
"The University of British Columbia School of Nursing","University of British Columbia"
"The University of British Columbia School of Population and Public Health","University of British Columbia"
"The University of Winnipeg","University of Winnipeg"
"The University of Winnipeg Faculty of Arts","University of Winnipeg"
"The University of Winnipeg Faculty of Science","University of Winnipeg"
"TheUniversityofBritishColumbia","University of British Columbia"
"TheUniversityofBritishColumbiaOkanagan","University of British Columbia"
"Thompson Rivers University","Thompson Rivers University"
"Toronto General Hospital","Toronto General Hospital"
"Toronto General Research Institute","Toronto General Hospital"
"Toronto Metropolitan University","Toronto Metropolitan University"
"Toronto Metropolitan University Faculty of Community Services","Toronto Metropolitan University"
"Toronto Metropolitan University Faculty of Engineering & Architectural Science","Toronto Metropolitan University"
"Toronto Metropolitan University Ted Rogers School of Management","Toronto Metropolitan University"
"Toronto Metropolitan University The Creative School","Toronto Metropolitan University"
"Toronto Metropolitan University Yeates School of Graduate Studies","Toronto Metropolitan University"
"Toronto Rehabilitation Institute","Toronto Rehabilitation Institute"
"Toronto Rehabilitation Institute - University Centre","Toronto Rehabilitation Institute"
"Toronto Rehabilitation Institute Cardiac Prevention and Secondary Rehabilitation Programme","Toronto Rehabilitation Institute"
"Toronto Western Hospital","Toronto Western Hospital"
"Toronto Western Hospital Division of Neuroradiology","Toronto Western Hospital"
"TorontoMetropolitanUniversity","Toronto Metropolitan University"
"Trent University","Trent University"
"Trent University Trent Fleming School of Nursing","Trent University"
"Trillium Health Partners","Trillium Health Partners"
"Trinity Western University","Trinity Western University"
"Trinity Western University Faculty of Natural and Applied Sciences","Trinity Western University"
"TÉLUQ University","Université TÉLUQ"
"UBC","University of British Columbia"
"UBC Faculty of Medicine","University of British Columbia"
"UBC Okanagan","University of British Columbia"
"UBC: The University of British Columbia","University of British Columbia"
"UOIT","University of Ontario Institute of Technology"
"UQAM","Université du Québec à Montréal"
"UQAR","Université du Québec à Rimouski"
"UQAT","Université du Québec en Abitibi-Témiscamingue"
"UQTR","Université du Québec à Trois-Rivières"
"UdeM","Université de Montréal"
"Universite Laval","Université Laval"
"Universite Laval Departement de Biologie","Université Laval"
"Universite Laval Faculte de medecine","Université Laval"
"Universite Laval Faculte de pharmacie","Université Laval"
"Universite Laval Faculte des sciences et de genie","Université Laval"
"Universite Laval Faculte des sciences sociales","Université Laval"
"Universite Quebec Faculte de musique","Université Laval"
"Universite TELUQ","Université TÉLUQ"
"Universite de Moncton","Université de Moncton"
"Universite de Montreal","Université de Montréal"
"Universite de Montreal Departement d'administration de la sante","Université de Montréal"
"Universite de Montreal Ecole de Criminologie","Université de Montréal"
"Universite de Montreal Ecole de Sante Publique","Université de Montréal"
"Universite de Montreal Faculte de Medecine","Université de Montréal"
"Universite de Montreal Faculte de medecine","Université de Montréal"
"Universite de Montreal Faculte de medecine veterinaire","Université de Montréal"
"Universite de Montreal Faculte des Arts et des Sciences","Université de Montréal"
"Universite de Montreal Faculte des arts et des sciences","Université de Montréal"
"Universite de Quebec Montreal Ecole des Sciences de la Gestion","Université du Québec à Montréal"
"Universite de Sherbrooke","Université de Sherbrooke"
"Universite de Sherbrooke - Campus de Longueuil","Université de Sherbrooke"
"Universite de Sherbrooke Centre d'Etudes du Religieux Contemporain","Université de Sherbrooke"
"Universite de Sherbrooke Faculte d'Education","Université de Sherbrooke"
"Universite de Sherbrooke Faculte de Genie","Université de Sherbrooke"
"Universite de Sherbrooke Faculte de Medecine et des Sciences de la Sante","Université de Sherbrooke"
"Universite de Sherbrooke Faculte de medecine et des sciences de la sante","Université de Sherbrooke"
"Universite de Sherbrooke Faculte des Lettres et Sciences Humaines","Université de Sherbrooke"
"Universite du Quebec","Université du Québec"
"Universite du Quebec a Chicoutimi","Université du Québec à Chicoutimi"
"Universite du Quebec a Montreal","Université du Québec à Montréal"
"Universite du Quebec a Montreal Departement de sciences des religions","Université du Québec à Montréal"
"Universite du Quebec a Montreal Ecole des Sciences de la Gestion","Université du Québec à Montréal"
"Universite du Quebec a Montreal Faculte des Sciences Humaines","Université du Québec à Montréal"
"Universite du Quebec a Montreal Faculte des Sciences de l'Education","Université du Québec à Montréal"
"Universite du Quebec a Montreal Faculte des sciences humaines","Université du Québec à Montréal"
"Universite du Quebec a Rimouski","Université du Québec à Rimouski"
"Universite du Quebec a Rimouski - Sciences de la sante","Université du Québec à Rimouski"
"Universite du Quebec a Trois-Rivieres","Université du Québec à Trois-Rivières"
"Universite du Quebec a Trois-Rivieres - Sciences infirmieres","Université du Québec à Trois-Rivières"
"Universite du Quebec en Abitibi Temiscamingue","Université du Québec en Abitibi-Témiscamingue"
"Universite du Quebec en Abitibi-Temiscamingue","Université du Québec en Abitibi-Témiscamingue"
"Universite du Quebec en Outaouais","Université du Québec en Outaouais"
"Universite du Quebec en Outaouais - Campus de Saint-Jerome","Université du Québec en Outaouais"
"UniversiteLaval","Université Laval"
"UniversiteduQuebecaMontreal","Université du Québec à Montréal"
"University Health Network","University Health Network"
"University of Alberta","University of Alberta"
"University of Alberta - Augustana Campus","University of Alberta"
"University of Alberta Alberta School of Business","University of Alberta"
"University of Alberta Department of Human Ecology","University of Alberta"
"University of Alberta Department of Mechanical Engineering","University of Alberta"
"University of Alberta Department of Medicine","University of Alberta"
"University of Alberta Division of Orthopaedic Surgery","University of Alberta"
"University of Alberta Faculty of Arts","University of Alberta"
"University of Alberta Faculty of Education","University of Alberta"
"University of Alberta Faculty of Engineering","University of Alberta"
"University of Alberta Faculty of Medicine & Dentistry","University of Alberta"
"University of Alberta Faculty of Medicine and Dentistry","University of Alberta"
"University of Alberta Faculty of Nursing","University of Alberta"
"University of Alberta Faculty of Pharmacy and Pharmaceutical Sciences","University of Alberta"
"University of Alberta Faculty of Rehabilitation Medicine","University of Alberta"
"University of Alberta Faculty of Science","University of Alberta"
"University of Alberta School of Public Health","University of Alberta"
"University of British Columbia","University of British Columbia"
"University of British Columbia Department of Ophthalmology and Visual Sciences","University of British Columbia"
"University of British Columbia Faculty of Graduate Studies","University of British Columbia"
"University of British Columbia Faculty of Pharmaceutical Sciences","University of British Columbia"
"University of British Columbia Okanagan","University of British Columbia"
"University of British Columbia Okanagan Faculty of Health and Social Development","University of British Columbia"
"University of British Columbia Sauder School of Business","University of British Columbia"
"University of Calgary","University of Calgary"
"University of Calgary Cumming School of Medicine","University of Calgary"
"University of Calgary Department of Economics","University of Calgary"
"University of Calgary Department of Mathematics and Statistics","University of Calgary"
"University of Calgary Department of Sociology","University of Calgary"
"University of Calgary Faculty of Arts","University of Calgary"
"University of Calgary Faculty of Kinesiology","University of Calgary"
"University of Calgary Faculty of Medicine","University of Calgary"
"University of Calgary Faculty of Nursing","University of Calgary"
"University of Calgary Schulich School of Engineering","University of Calgary"
"University of Calgary The Werklund School of Education","University of Calgary"
"University of Guelph","University of Guelph"
"University of Guelph - Humber","University of Guelph"
"University of Guelph - Humber Campus","University of Guelph"
"University of Guelph College of Management and Economics","University of Guelph"
"University of Guelph College of Physical and Engineering Science","University of Guelph"
"University of Guelph College of Social and Applied Human Sciences","University of Guelph"
"University of Guelph Department of Population Medicine","University of Guelph"
"University of Guelph Kemptville Campus","University of Guelph"
"University of Guelph Ontario Veterinary College","University of Guelph"
"University of Lethbridge","University of Lethbridge"
"University of Lethbridge Dhillon School of Business","University of Lethbridge"
"University of Lethbridge Faculty of Arts and Science","University of Lethbridge"
"University of Lethbridge Faculty of Education","University of Lethbridge"
"University of Lethbridge Faculty of Management","University of Lethbridge"
"University of Manitoba","University of Manitoba"
"University of Manitoba Asper School of Business","University of Manitoba"
"University of Manitoba Clayton H Riddell Faculty of Environment Earth and Resources","University of Manitoba"
"University of Manitoba Faculty of Agricultural and Food Sciences","University of Manitoba"
"University of Manitoba Faculty of Engineering","University of Manitoba"
"University of Manitoba Faculty of Health Sciences","University of Manitoba"
"University of Manitoba Manitoba Centre for Health Policy","University of Manitoba"
"University of Manitoba Max Rady College of Medicine","University of Manitoba"
"University of Manitoba Price Faculty of Engineering","University of Manitoba"
"University of Montreal","Université de Montréal"
"University of Montreal Department of Psychiatry","Université de Montréal"
"University of Montreal Faculty of Arts and Sciences","Université de Montréal"
"University of Montreal Faculty of Education Science","Université de Montréal"
"University of Montreal Faculty of Medicine","Université de Montréal"
"University of Montreal School of Public Health","Université de Montréal"
"University of New Brunswick","University of New Brunswick"
"University of New Brunswick - Fredericton Campus","University of New Brunswick"
"University of New Brunswick - Saint John Campus","University of New Brunswick"
"University of New Brunswick Faculty of Arts Saint John","University of New Brunswick"
"University of New Brunswick Faculty of Education","University of New Brunswick"
"University of New Brunswick Faculty of Nursing","University of New Brunswick"
"University of New Brunswick Fredericton","University of New Brunswick"
"University of New Brunswick Fredericton Faculty of Business Administration","University of New Brunswick"
"University of New Brunswick Saint John","University of New Brunswick"
"University of Northern British Columbia","University of Northern British Columbia"
"University of Northern British Columbia College of Art Social and Health Studies","University of Northern British Columbia"
"University of Ontario Institute of Technology","University of Ontario Institute of Technology"
"University of Ontario Institute of Technology Faculty of Social Science and Humanities","University of Ontario Institute of Technology"
"University of Ottawa","University of Ottawa"
"University of Ottawa CT Lamont Primary Health Care Research Centre","University of Ottawa"
"University of Ottawa Department of Criminology","University of Ottawa"
"University of Ottawa Faculty of Arts","University of Ottawa"
"University of Ottawa Faculty of Education","University of Ottawa"
"University of Ottawa Faculty of Health Sciences","University of Ottawa"
"University of Ottawa Faculty of Medicine","University of Ottawa"
"University of Ottawa Faculty of Social Sciences","University of Ottawa"
"University of Ottawa Graduate School of Public and International Affairs","University of Ottawa"
"University of Ottawa Heart Institute","University of Ottawa"
"University of Ottawa School of Epidemiology and Public Health","University of Ottawa"
"University of Ottawa Telfer School of Management","University of Ottawa"
"University of Prince Edward Island","University of Prince Edward Island"
"University of Prince Edward Island Atlantic Veterinary College","University of Prince Edward Island"
"University of Prince Edward Island Faculty of Arts","University of Prince Edward Island"
"University of Quebec at Chicoutimi","Université du Québec à Chicoutimi"
"University of Quebec at Outaouais","Université du Québec en Outaouais"
"University of Quebec at Rimouski","Université du Québec à Rimouski"
"University of Quebec in Montreal","Université du Québec à Montréal"
"University of Quebec in Trois Rivieres","Université du Québec à Trois-Rivières"
"University of Regina","University of Regina"
"University of Regina - Saskatoon Campus","University of Regina"
"University of Regina Faculty of Arts","University of Regina"
"University of Regina Faculty of Business Administration","University of Regina"
"University of Saskatchewan","University of Saskatchewan"
"University of Saskatchewan College of Agriculture and Bioresources","University of Saskatchewan"
"University of Saskatchewan College of Education","University of Saskatchewan"
"University of Saskatchewan College of Engineering","University of Saskatchewan"
"University of Saskatchewan College of Graduate Studies and Research","University of Saskatchewan"
"University of Saskatchewan College of Medicine","University of Saskatchewan"
"University of Saskatchewan College of Nursing","University of Saskatchewan"
"University of Saskatchewan College of Pharmacy and Nutrition","University of Saskatchewan"
"University of Saskatchewan School of Public Health","University of Saskatchewan"
"University of Saskatchewan Western College of Veterinary Medicine","University of Saskatchewan"
"University of Sherbrooke","Université de Sherbrooke"
"University of St Michael's College in the University of Toronto","University of Toronto"
"University of Toronto","University of Toronto"
"University of Toronto - Mississauga","University of Toronto"
"University of Toronto - St George Campus","University of Toronto"
"University of Toronto - St George Campus: University of Toronto","University of Toronto"
"University of Toronto A D Allen Chemistry Library","University of Toronto"
"University of Toronto Dalla Lana School of Public Health","University of Toronto"
"University of Toronto Department of Civil & Mineral Engineering","University of Toronto"
"University of Toronto Department of Civil and Mineral Engineering","University of Toronto"
"University of Toronto Department of Family & Community Medicine","University of Toronto"
"University of Toronto Department of Medical Imaging","University of Toronto"
"University of Toronto Department of Medicine","University of Toronto"
"University of Toronto Department of Near & Middle Eastern Civilizations","University of Toronto"
"University of Toronto Department of Surgery","University of Toronto"
"University of Toronto Factor-Inwentash Faculty of Social Work","University of Toronto"
"University of Toronto Faculty of Applied Science & Engineering","University of Toronto"
"University of Toronto Faculty of Applied Science and Engineering","University of Toronto"
"University of Toronto Faculty of Arts & Science","University of Toronto"
"University of Toronto Faculty of Dentistry","University of Toronto"
"University of Toronto Faculty of Kinesiology & Physical Education","University of Toronto"
"University of Toronto Faculty of Law","University of Toronto"
"University of Toronto Faculty of Medicine","University of Toronto"
"University of Toronto Faculty of Medicine Department of Otolaryngology - Head and Neck Surgery","University of Toronto"
"University of Toronto Faculty of Music","University of Toronto"
"University of Toronto Institute of Biomaterials and Biomedical Engineering","University of Toronto"
"University of Toronto Institute of Health Policy Management and Evaluation","University of Toronto"
"University of Toronto Joseph L Rotman School of Management","University of Toronto"
"University of Toronto Lawrence S Bloomberg Faculty of Nursing","University of Toronto"
"University of Toronto Leslie Dan Faculty of Pharmacy","University of Toronto"
"University of Toronto Mississauga","University of Toronto"
"University of Toronto Mississauga Department of Political Science","University of Toronto"
"University of Toronto Munk School of Global Affairs","University of Toronto"
"University of Toronto Munk School of Global Affairs & Public Policy","University of Toronto"
"University of Toronto OISE Department of Applied Psychology and Human Development","University of Toronto"
"University of Toronto Ontario Institute for Studies in Education","University of Toronto"
"University of Toronto Rotman School of Management","University of Toronto"
"University of Toronto Scarborough","University of Toronto"
"University of Toronto Temerty Faculty of Medicine","University of Toronto"
"University of Toronto Trinity College","University of Toronto"
"University of Toronto at Scarborough","University of Toronto"
"University of Victoria","University of Victoria"
"University of Victoria Faculty of Education","University of Victoria"
"University of Victoria Faculty of Human & Social Development","University of Victoria"
"University of Victoria Faculty of Law","University of Victoria"
"University of Victoria Faculty of Social Sciences","University of Victoria"
"University of Victoria Peter B Gustavson School of Business","University of Victoria"
"University of Waterloo","University of Waterloo"
"University of Waterloo - Waterloo Campus","University of Waterloo"
"University of Waterloo - Waterloo Campus: University of Waterloo","University of Waterloo"
"University of Waterloo Department of Political Science","University of Waterloo"
"University of Waterloo Department of Psychology","University of Waterloo"
"University of Waterloo Faculty Health","University of Waterloo"
"University of Waterloo Faculty of Applied Health Sciences","University of Waterloo"
"University of Waterloo Faculty of Arts","University of Waterloo"
"University of Waterloo Faculty of Engineering","University of Waterloo"
"University of Waterloo Faculty of Environment","University of Waterloo"
"University of Waterloo School of Pharmacy","University of Waterloo"
"University of Western Ontario","Western University"
"University of Western Ontario Faculty of Education","Western University"
"University of Western Ontario Faculty of Health Sciences","Western University"
"University of Western Ontario Faculty of Social Science","Western University"
"University of Western Ontario Ivey School of Business","Western University"
"University of Western Ontario School of Nursing","Western University"
