Institution;Period ;Euro;DOI;is hybrid;publisher;journal_full_title;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12970-018-0231-1;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12889-018-5526-2;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.386,68  ;10.3390/w10070818;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.529,18  ;10.1371/journal.pone.0197659;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.529,18  ;10.1371/journal.pone.0198508;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.529,19  ;10.1371/journal.pone.0197637;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.630,30  ;10.1038/s41598-018-28183-6;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.357,66  ;10.1107/S2052252518009995;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.630,30  ;10.1038/s41598-018-29287-9;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.899,24  ;10.1186/s12974-018-1208-3;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12871-018-0541-5;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.189,16  ;10.3389/fpsyg.2018.01497;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.899,24  ;10.1186/s40814-018-0325-1;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.538,45  ;10.1371/journal.pone.0198765;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.428,00  ;10.1242/bio.035568;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.176,20  ;10.3389/fpsyt.2018.00414;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.529,06  ;10.1371/journal.pone.0201484;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.428,08  ;10.3390/w10091192;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.696,99  ;10.1212/NXI.0000000000000504 ;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.630,30  ;10.1038/s41598-018-32315-3;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.01232;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.179,05  ;10.3389/fneur.2018.00595;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyt.2018.00359;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fneur.2018.00645;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fmicb.2018.01925;FALSE;;;
Bochum. Ruhr-Universitaet;2018;0,00  ;10.3389/fmicb.2018.02716;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.749,30  ;10.1038/s41398-018-0264-x;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.785,00  ;10.1038/s42003-018-0186-4;FALSE;;;
Bochum. Ruhr-Universitaet;2018;881,00  ;10.3389/feduc.2018.00083;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.761,97  ;10.3389/fphy.2018.00113;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fmicb.2018.02410;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.630,30  ;10.1038/s41598-018-33387-x;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.667,88  ;10.1371/journal.pone.0205285;FALSE;;;
Bochum. Ruhr-Universitaet;2018;525,81  ;10.1016/j.dib.2018.10.042;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.577,44  ;10.1016/j.ibror.2018.08.004;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.02122;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.02109;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.02138;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpls.2018.01641;FALSE;;;
Bochum. Ruhr-Universitaet;2018;200,00  ;10.1016/j.ijchp.2018.09.002;FALSE;;;
Bochum. Ruhr-Universitaet;2018;556,33  ;10.3897/mycokeys.41.27694;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.560,99  ;10.1371/journal.pone.0207122;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.548,57  ;10.3389/fpsyg.2018.02270;FALSE;;;
Bochum. Ruhr-Universitaet;2018;556,33  ;10.3897/mycokeys.43.25090;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.992,06  ;10.3389/fcell.2018.00170;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fphar.2018.01339;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fneur.2018.01035;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.419,78  ;10.3390/w10121829;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.707,32  ;10.3390/ijms19124052;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.327,91  ;10.3390/atmos9120498;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12909-018-1398-5;FALSE;;;x
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12863-018-0702-z;FALSE;;;
Bochum. Ruhr-Universitaet;2018;2.000,85  ;10.1177/1756286418805732;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.668,90  ;10.1371/journal.pone.0208582;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.668,91  ;10.1371/journal.pone.0207313;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.661,24  ;10.1186/s12891-018-2372-4;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.02596;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.01586;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.01621;FALSE;;;
Bochum. Ruhr-Universitaet;2018;1.999,20  ;10.3389/fpsyg.2018.01534;FALSE;;;
