Institution;Period;Euro;Publication: DOI;IS HYBRID;publisher;journal_full_title;ISSN;URL
Free University of Bozen-Bolzano;2020;2928;NA;TRUE;Inderscience publishers;International Journal of Agile Systems and Management;1741-9174;https://www.inderscience.com/admin/ospeers/getSource.php?id=304143&fid=1631012&fromonsusy=yes
Free University of Bozen-Bolzano;2020;2562;10.1002/gsj.1381;TRUE;;;;
Free University of Bozen-Bolzano;2020;2562;10.1111/coep.12500;TRUE;;;;
Free University of Bozen-Bolzano;2020;2034,66;10.3390/app10228219;FALSE;;;;
Free University of Bozen-Bolzano;2020;2053,43;10.3390/su12114743;FALSE;;;;
Free University of Bozen-Bolzano;2020;1533,16;10.3390/app10030821;FALSE;;;;
Free University of Bozen-Bolzano;2020;1855,29;10.3390/su12052128;FALSE;;;;
Free University of Bozen-Bolzano;2020;1856,93;10.3390/app10041480;FALSE;;;;
Free University of Bozen-Bolzano;2020;1876,57;10.3390/w12051421;FALSE;;;;
Free University of Bozen-Bolzano;2020;2347,84;10.3390/ijerph17249431;FALSE;;;;
Free University of Bozen-Bolzano;2020;1616,78;10.3390/e22060653;FALSE;;;;
Free University of Bozen-Bolzano;2020;2075,96;10.3390/ijerph17062166;FALSE;;;;
Free University of Bozen-Bolzano;2020;1841,93;10.3390/APP10155310;FALSE;;;;
Free University of Bozen-Bolzano;2020;1627,72;10.3390/foods9101395;FALSE;;;;
Free University of Bozen-Bolzano;2020;1026,72;10.3390/app10113809;FALSE;;;;
Free University of Bozen-Bolzano;2020;1835,27;10.3390/w12082255;FALSE;;;;
Free University of Bozen-Bolzano;2020;1875,37;10.3390/app10093259;FALSE;;;;
Free University of Bozen-Bolzano;2020;2085,08;10.3390/s20102847;FALSE;;;;
Free University of Bozen-Bolzano;2020;1664,17;10.3390/foods9040499;FALSE;;;;
Free University of Bozen-Bolzano;2020;1017,32;10.3390/horticulturae6040079;FALSE;;;;
Free University of Bozen-Bolzano;2020;1444,8;10.3390/electronics9071064;FALSE;;;;
Free University of Bozen-Bolzano;2020;1026,04;10.3390/ijerph17041219;FALSE;;;;
Free University of Bozen-Bolzano;2020;1670,28;10.3390/foods9050548;FALSE;;;;
Free University of Bozen-Bolzano;2020;1631,35;10.3390/agronomy10081214;FALSE;;;;
Free University of Bozen-Bolzano;2020;1035,3;10.3390/geosciences10040134;FALSE;;;;
Free University of Bozen-Bolzano;2020;1437,04;10.3390/insects11070412;FALSE;;;;
Free University of Bozen-Bolzano;2020;2042,04;10.3390/molecules25173837;FALSE;;;;
Free University of Bozen-Bolzano;2020;1017,32;10.3390/buildings10100170;FALSE;;;;
Free University of Bozen-Bolzano;2020;2080,47;10.3390/ijerph17072336;FALSE;;;;
Free University of Bozen-Bolzano;2020;1695,54;10.3390/foods9121785;FALSE;;;;
Free University of Bozen-Bolzano;2020;1031,63;10.3390/machines8010011;FALSE;;;;
Free University of Bozen-Bolzano;2020;1865,11;10.3390/app10113786;FALSE;;;;
Free University of Bozen-Bolzano;2020;2034,66;10.3390/molecules25184276;FALSE;;;;
Free University of Bozen-Bolzano;2020;1122,77;10.3390/nano10061167;FALSE;;;;
Free University of Bozen-Bolzano;2020;2034,66;10.3390/app10248810;FALSE;;;;
Free University of Bozen-Bolzano;2020;2034,66;10.3390/app10238573;FALSE;;;;
Free University of Bozen-Bolzano;2020;631,16;10.3390/lubricants8040046;FALSE;;;;
Free University of Bozen-Bolzano;2020;1589,72;10.3390/molecules25173966;FALSE;;;;
Free University of Bozen-Bolzano;2020;2489,16;10.1089/cyber.2020.0134;TRUE;;;;
Free University of Bozen-Bolzano;2020;146,4;10.2478/euco-2020-0006;FALSE;;;;
Free University of Bozen-Bolzano;2020;2984,93;10.1177/0018726720932985;TRUE;;;;
Free University of Bozen-Bolzano;2020;2647,4;10.1007/s11187-020-00338-8;TRUE;;;;
Free University of Bozen-Bolzano;2020;1915,4;10.1038/s41598-020-72904-9;FALSE;;;;
Free University of Bozen-Bolzano;2020;1915,4;10.1038/s41598-020-75990-x;FALSE;;;;
Free University of Bozen-Bolzano;2020;1915,4;10.1038/s41598-020-61192-y;FALSE;;;;
Free University of Bozen-Bolzano;2020;536,8;10.1080/1828051X.2020.1839361;FALSE;;;;
Free University of Bozen-Bolzano;2020;2999,99;10.1080/1034912X.2020.1843143;FALSE;;;;
Free University of Bozen-Bolzano;2020;701,5;10.1080/17445647.2020.1841036;FALSE;;;;
Free University of Bozen-Bolzano;2020;1811,7;10.3846/tede.2020.13521;TRUE;;;;
Free University of Bozen-Bolzano;2020;1586,61;10.1016/j.heliyon.2020.e05676;FALSE;;;;
Free University of Bozen-Bolzano;2020;1243,16;10.3390/f11010047;FALSE;;;;
Free University of Bozen-Bolzano;2020;1456,00;10.1371/journal.pone.0231976;FALSE;;;;
Free University of Bozen-Bolzano;2020;1043,93;10.3390/su12093647;FALSE;;;;
Free University of Bozen-Bolzano;2020;1041,87;10.3390/su12093606;FALSE;;;;
Free University of Bozen-Bolzano;2020;1043,93;10.3390/su12093559;FALSE;;;;
Free University of Bozen-Bolzano;2020;305,00;10.3897/pls2020571/04;FALSE;;;;
Free University of Bozen-Bolzano;2020;1026,46;10.3390/su12145510;FALSE;;;;
Free University of Bozen-Bolzano;2020;1026,46;10.3390/agriculture10070283;FALSE;;;;
Free University of Bozen-Bolzano;2020;841,80;10.17265/2159-5313/2020.07.006;FALSE;;;;
Free University of Bozen-Bolzano;2020;536,80;10.1080/1828051X.2020.1816509;FALSE;;;;
Free University of Bozen-Bolzano;2020;536,80;10.1080/1828051X.2020.1823897;FALSE;;;;
Free University of Bozen-Bolzano;2020;1541,70;10.1177/1729881420958948;FALSE;;;;
Free University of Bozen-Bolzano;2020;1073,60;10.1080/1828051X.2020.1833767;FALSE;;;;
Free University of Bozen-Bolzano;2020;3958,90;10.1093/bjsw/bcaa199;TRUE;;;;
Free University of Bozen-Bolzano;2020;1413,98;10.3390/su12219257;FALSE;;;;
Free University of Bozen-Bolzano;2020;1202,92;10.1016/j.orp.2021.100179;FALSE;;;;
Free University of Bozen-Bolzano;2020;3100,00;10.1080/13683500.2020.1849045;TRUE;;;;
Free University of Bozen-Bolzano;2020;2562,00;10.3390/su13042147;FALSE;;;;
Free University of Bozen-Bolzano;2020;1878,80;10.3389/fbioe.2020.621269;FALSE;;;;
Free University of Bozen-Bolzano;2020;1012,60;10.3390/h10010011;FALSE;;;;
Free University of Bozen-Bolzano;2020;963,80;10.3389/fsufs.2020.622169;FALSE;;;;
Free University of Bozen-Bolzano;2020;1329,80;10.1109/TSE.2020.3042610;TRUE;;;;
Free University of Bozen-Bolzano;2020;2000,80;doi.org/10.1049/sfw2.12019;FALSE;;;;
