"Publisher","Publisher_OAPC","Country","Country_OAPC","Organization","Annual publications","Start date","End date","ID","URL"
"BMJ Publishing","BMJ","Australia","NA","RMIT University","3","01/01/2025","31/12/2025","bmj2025rmit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2025rmit/"
"Brill","Brill","Australia","NA","CAUL","75","01/01/2025","31/12/2025","brill2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2025caul/"
"Cambridge University Press","Cambridge University Press (CUP)","Australia","NA","CAUL","650","01/01/2025","31/12/2025","cam2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025caul/"
"Canadian Science Publishing","NA","Australia","NA","CAUL","10","01/01/2025","31/12/2027","csp2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/csp2025caul/"
"Company of Biologists","The Company of Biologists","Australia","NA","CAUL","25","01/01/2025","31/12/2025","compbio2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2025caul/"
"CSIRO","NA","Australia","NA","CAUL","325","01/01/2025","31/12/2026","csiro2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/csiro2025caul/"
"Emerald","Emerald","Australia","NA","CAUL","800","01/01/2025","31/12/2026","eme2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2025caul/"
"John Benjamins Publishing","NA","Australia","NA","CAUL","10","01/01/2025","31/12/2025","jbp2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2025caul/"
"Karger","S. Karger AG","Australia","NA","CAUL","50","01/01/2025","31/12/2025","kar2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2025caul/"
"MA Healthcare","NA","Australia","NA","CAUL","10","01/01/2025","31/12/2025","mah2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/mah2025caul/"
"Microbiology Society","Microbiology Society","Australia","NA","CAUL","40","01/01/2025","31/12/2025","microbio2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2025caul/"
"Oxford University Press","Oxford University Press (OUP)","Australia","NA","CAUL","1000","01/01/2025","31/12/2027","oxf2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2025caul/"
"Portland Press","Portland Press Ltd.","Australia","NA","CAUL","40","01/01/2025","31/12/2025","portpress2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2025caul/"
"Springer Nature","Springer Nature","Australia","NA","CAUL","4500","01/01/2025","31/12/2025","sn2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2025caul/"
"The Geological Society of London","NA","Australia","NA","CAUL","5","01/01/2025","31/12/2025","gsl2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2025caul/"
"The Royal Society","The Royal Society","Australia","NA","CAUL","160","01/01/2025","31/12/2025","trs2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2025caul/"
"Walter de Gruyter","Walter de Gruyter GmbH","Australia","NA","CAUL","30","01/01/2025","31/12/2025","degruy2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2025caul/"
"Wiley","Wiley-Blackwell","Australia","NA","CAUL","7000","01/01/2025","31/12/2025","wiley2025caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2025caul/"
"American Physical Society","American Physical Society (APS)","Austria","AUT","KEMOE","127","01/01/2025","31/12/2027","aps2025kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aps2025kemoe/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Austria","AUT","KEMOE","250","01/01/2025","31/12/2029","acm2025kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2025kemoe/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","Austria","AUT","KEMOE","145","01/01/2025","31/12/2027","ieee2025kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2025kemoe/"
"IWA Publishing","NA","Austria","AUT","KEMOE","10","01/01/2025","31/12/2027","iwa2025kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iwa2025kemoe/"
"Rockefeller University Press","Rockefeller University Press","Austria","AUT","University of Vienna","1","01/01/2025","31/12/2025","rup2025univie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2025univie/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Austria","AUT","KEMOE","90","01/01/2025","31/12/2027","rsc2025kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025kemoe/"
"Springer Nature","Springer Nature","Austria","AUT","KEMOE","43","01/01/2025","31/12/2027","sn2025kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2025kemoe/"
"The Royal Society","The Royal Society","Austria","AUT","University of Salzburg","1","01/01/2025","31/12/2027","trs2025sbg","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2025sbg/"
"The Royal Society","The Royal Society","Austria","AUT","University of Vienna","5","01/01/2025","31/12/2025","trs2025univie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2025univie/"
"Walter de Gruyter","Walter de Gruyter GmbH","Austria","AUT","KEMOE","114","01/01/2025","31/12/2026","degruy2025kemoe","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2025kemoe/"
"Cambridge University Press","Cambridge University Press (CUP)","Canada","CAN","Canadian Research Knowledge Network","850","01/01/2025","31/12/2026","cam2025crkn","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025crkn/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Canada","CAN","Canadian Research Knowledge Network","500","01/01/2025","31/12/2027","rsc2025crkn","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025crkn/"
"American Chemical Society","American Chemical Society (ACS)","China","NA","National Science Library of Chinese Academy of Sciences","110","01/01/2025","31/12/2025","acs2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2025cas/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","China","NA","National Science Library of Chinese Academy of Sciences","2000","01/01/2025","31/12/2025","acm2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2025cas/"
"Bentham Science Publishers","NA","China","NA","National Science Library of Chinese Academy of Sciences","50","01/01/2025","31/12/2025","bsp2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bsp2025cas/"
"Cambridge University Press","Cambridge University Press (CUP)","China","NA","National Science Library of Chinese Academy of Sciences","10","01/01/2025","31/12/2025","cam2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025cas/"
"Cambridge University Press","Cambridge University Press (CUP)","China","NA","Xiamen University Libraries","6","01/01/2025","31/12/2025","cam2025xmu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025xmu/"
"Elsevier","Elsevier BV","China","NA","National Science Library of Chinese Academy of Sciences","1200","01/01/2025","31/12/2025","els2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2025cas/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","China","NA","National Science Library of Chinese Academy of Sciences","2700","01/01/2025","31/12/2025","ieee2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2025cas/"
"IOP Publishing","IOP Publishing","China","NA","National Science Library of Chinese Academy of Sciences","377","01/01/2025","31/12/2025","iop2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025cas/"
"Oxford University Press","Oxford University Press (OUP)","China","NA","National Science Library of Chinese Academy of Sciences","59","01/01/2025","31/12/2025","oxf2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2025cas/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","China","NA","National Science Library of Chinese Academy of Sciences","220","01/01/2025","31/12/2025","rsc2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025cas/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","China","NA","Xiamen University Libraries","21","01/01/2025","31/12/2025","rsc2025xmu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025xmu/"
"SPIE","NA","China","NA","National Science Library of Chinese Academy of Sciences","2000","01/01/2025","31/12/2025","spie2025cas","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2025cas/"
"Elsevier","Elsevier BV","Colombia","NA","Consorcio Colombia","1470","01/01/2025","31/12/2027","els2025co","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2025co/"
"Oxford University Press","Oxford University Press (OUP)","Colombia","NA","Consorcio Colombia","80","01/01/2025","31/12/2027","oxf2025co","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2025co/"
"Sage","SAGE Publications","Colombia","NA","Consorcio Colombia","80","01/01/2025","31/12/2027","sage2025co","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2025co/"
"Springer Nature","Springer Nature","Colombia","NA","Consorcio Colombia","494","01/01/2025","31/12/2027","sn2025co","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2025co/"
"Taylor & Francis","Informa UK Limited","Colombia","NA","Consorcio Colombia","186","01/01/2025","31/12/2027","tf2025co","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2025co/"
"Company of Biologists","The Company of Biologists","Czech Republic","CZE","Charles University, Faculty of Sciences","15","01/01/2025","31/12/2028","compbio2025cuni","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2025cuni/"
"Elsevier","Elsevier BV","Denmark","NA","Royal Danish Library","3200","01/01/2025","31/12/2028","els2025kb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2025kb/"
"American Chemical Society","American Chemical Society (ACS)","Finland","FIN","Tampere University Foundation","18","01/01/2025","31/12/2025","acs2025tuni","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2025tuni/"
"American Chemical Society","American Chemical Society (ACS)","Finland","FIN","University of Turku","15","01/01/2025","31/12/2025","acs2025utu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2025utu/"
"American Chemical Society","American Chemical Society (ACS)","Finland","FIN","VTT Technical Research Centre of Finland","15","01/01/2025","31/12/2025","acs2025vtt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2025vtt/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Finland","FIN","FinELib consortium","220","01/01/2025","31/12/2027","acm2025finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2025finelib/"
"BMJ Publishing","BMJ","Finland","FIN","University of Turku","5","01/01/2025","31/12/2026","bmj2025utu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2025utu/"
"Company of Biologists","The Company of Biologists","Finland","FIN","University of Turku","8","01/01/2025","31/12/2027","compbio2025utu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2025utu/"
"Emerald","Emerald","Finland","FIN","FinELib consortium","150","01/01/2025","31/12/2026","eme2025finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2025finelib/"
"IOP Publishing","IOP Publishing","Finland","FIN","Aalto University","20","01/01/2025","31/12/2027","iop2025aalto","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025aalto/"
"IOP Publishing","IOP Publishing","Finland","FIN","University of Turku","15","01/01/2025","31/12/2027","iop2025utu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025utu/"
"IOP Publishing","IOP Publishing","Finland","FIN","VTT Technical Research Centre of Finland","30","01/01/2025","31/12/2027","iop2025vtt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025vtt/"
"John Benjamins Publishing","NA","Finland","FIN","Tampere University Foundation","2","01/01/2025","31/12/2025","jbp2025tuni","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2025tuni/"
"John Benjamins Publishing","NA","Finland","FIN","University of Eastern Finland","2","01/01/2025","31/12/2025","jbp2025uef","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2025uef/"
"Karger","S. Karger AG","Finland","FIN","University of Eastern Finland","4","01/01/2025","31/12/2027","kar2025uef","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2025uef/"
"Radiological Society of North America","NA","Finland","FIN","University of Turku","1","01/01/2025","31/12/2025","rsna2025utu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsna2025utu/"
"Sage","SAGE Publications","Finland","FIN","FinELib consortium","420","01/01/2025","31/12/2026","sage2025finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2025finelib/"
"Springer Nature","Springer Nature","Finland","FIN","FinELib consortium","20","01/01/2025","31/12/2026","sn2025finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2025finelib/"
"Taylor & Francis","Informa UK Limited","Finland","FIN","FinELib consortium","720","01/01/2025","31/12/2026","tf2025finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2025finelib/"
"Walter de Gruyter","Walter de Gruyter GmbH","Finland","FIN","University of Eastern Finland","5","01/01/2025","31/12/2025","degruy2025uef","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2025uef/"
"Wiley","Wiley-Blackwell","Finland","FIN","FinELib consortium","1190","01/01/2025","31/12/2026","wiley2025finelib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2025finelib/"
"IOP Publishing","IOP Publishing","France","FRA","Couperin","340","01/01/2025","31/12/2027","iop2025coup","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025coup/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","France","FRA","Couperin","1000","01/01/2025","31/12/2027","rsc2025coup","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025coup/"
"American Chemical Society","American Chemical Society (ACS)","Germany","DEU","German Academic Consortium administered by Bayerische Staatsbibliothek (participants from Bavaria, Baden-Württemberg and Saxony)","750","01/01/2025","31/12/2025","acs2025gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2025gac/"
"American Physical Society","American Physical Society (APS)","Germany","DEU","TIB Consortium","715","01/01/2025","31/12/2028","aps2025tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aps2025tib/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Germany","DEU","Fraunhofer-Gesellschaft e. V.","50","01/01/2025","31/12/2025","acm2025fg","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2025fg/"
"BMJ Publishing","BMJ","Germany","DEU","German Academic Consortium, 44 participants, administered by Bayerische Staatsbibliothek","100","01/01/2025","31/12/2025","bmj2025gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2025gac/"
"Bristol University Press","NA","Germany","DEU","SUB Göttingen","1","01/01/2025","31/12/2025","bup2025sub","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bup2025sub/"
"Cambridge University Press","Cambridge University Press (CUP)","Germany","DEU","German Academic Consortium, 106 participants, administered by Bayerische Staatsbibliothek","700","01/01/2025","31/12/2027","cam2025gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025gac/"
"Cambridge University Press","Cambridge University Press (CUP)","Germany","DEU","Max Planck Digital Library","80","01/01/2025","31/12/2027","cam2025mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025mpdl/"
"IOP Publishing","IOP Publishing","Germany","DEU","Max Planck Digital Library","170","01/01/2025","31/12/2027","iop2025mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025mpdl/"
"John Benjamins Publishing","NA","Germany","DEU","Johannes Gutenberg-Universität Mainz","3","01/01/2025","31/12/2026","jbp2025mainz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2025mainz/"
"John Benjamins Publishing","NA","Germany","DEU","SUB Göttingen","1","01/01/2025","31/12/2025","jbp2025sub","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2025sub/"
"John Benjamins Publishing","NA","Germany","DEU","University of Konstanz","1","01/01/2025","31/12/2025","jbp2025konstanz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2025konstanz/"
"Mary Ann Liebert, Inc.","NA","Germany","DEU","Max Planck Digital Library","5","01/01/2025","31/12/2025","mal2025mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/mal2025mpdl/"
"Microbiology Society","Microbiology Society","Germany","DEU","ZB MED","50","01/01/2025","31/12/2027","microbio2025zbmed","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2025zbmed/"
"Portland Press","Portland Press Ltd.","Germany","DEU","TIB Consortium","5","01/01/2025","31/12/2027","portpress2025tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2025tib/"
"Springer Nature","Springer Nature","Germany","DEU","German library consortium, jointly administered by TIB and MPDL","650","01/01/2025","31/12/2028","sn2025gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2025gac/"
"The Electrochemical Society","The Electrochemical Society","Germany","DEU","Fraunhofer-Gesellschaft e. V.","5","01/01/2025","31/12/2027","ecs2025fg","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ecs2025fg/"
"The Electrochemical Society","The Electrochemical Society","Germany","DEU","TIB Consortium","55","01/01/2025","31/12/2025","ecs2025tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ecs2025tib/"
"The Geological Society of London","NA","Germany","DEU","ZB MED","1","01/01/2025","31/12/2025","gsl2025zbmed","https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2025zbmed/"
"The Royal Society","The Royal Society","Germany","DEU","TIB Consortium","25","01/01/2025","31/12/2025","trs2025tib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2025tib/"
"Walter de Gruyter","Walter de Gruyter GmbH","Germany","DEU","German Academic consortium, 86 participating institutions, administered by SUB Göttingen","180","01/01/2025","31/12/2025","degruy2025gac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2025gac/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Germany","DEU","ZB MED","50","01/01/2025","31/12/2027","lww2025zbmed","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2025zbmed/"
"John Benjamins Publishing","NA","Hong Kong","NA","Hong Kong Baptist University","4","01/01/2025","31/12/2027","jbp2025hkbu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2025hkbu/"
"American Chemical Society","American Chemical Society (ACS)","Hungary","HUN","EISZ","89","01/01/2025","31/12/2025","acs2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2025eisz/"
"BMJ Publishing","BMJ","Hungary","HUN","EISZ","8","01/01/2025","31/12/2025","bmj2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2025eisz/"
"Brill","Brill","Hungary","HUN","EISZ","8","01/01/2025","31/12/2025","brill2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2025eisz/"
"Cambridge University Press","Cambridge University Press (CUP)","Hungary","HUN","EISZ","38","01/01/2025","31/12/2025","cam2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025eisz/"
"Elsevier","Elsevier BV","Hungary","HUN","EISZ","1300","01/01/2025","31/12/2025","els2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2025eisz/"
"Emerald","Emerald","Hungary","HUN","EISZ","20","01/01/2025","31/12/2025","eme2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2025eisz/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","Hungary","HUN","EISZ","60","01/01/2025","31/12/2025","ieee2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2025eisz/"
"IOP Publishing","IOP Publishing","Hungary","HUN","EISZ","40","01/01/2025","31/12/2025","iop2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025eisz/"
"Oxford University Press","Oxford University Press (OUP)","Hungary","HUN","EISZ","25","01/01/2025","31/12/2025","oxf2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2025eisz/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Hungary","HUN","EISZ","30","01/01/2025","31/12/2025","rsc2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025eisz/"
"Sage","SAGE Publications","Hungary","HUN","EISZ","48","01/01/2025","31/12/2025","sage2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2025eisz/"
"Taylor & Francis","Informa UK Limited","Hungary","HUN","EISZ","80","01/01/2025","31/12/2025","tf2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2025eisz/"
"Walter de Gruyter","Walter de Gruyter GmbH","Hungary","HUN","EISZ","17","01/01/2025","31/12/2025","degruy2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2025eisz/"
"Wiley","Wiley-Blackwell","Hungary","HUN","EISZ","314","01/01/2025","31/12/2025","wiley2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2025eisz/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Hungary","HUN","EISZ","18","01/01/2025","31/12/2025","lww2025eisz","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2025eisz/"
"Company of Biologists","The Company of Biologists","India","NA","Advanced Centre for Treatment, Research and Education in Cancer (ACTREC)","10","01/01/2025","31/12/2025","compbio2025actrec","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2025actrec/"
"American Physical Society","American Physical Society (APS)","Ireland","IRL","IReL","40","01/01/2025","31/12/2027","aps2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aps2025ie/"
"IOP Publishing","IOP Publishing","Ireland","IRL","IReL","30","01/01/2025","31/12/2027","iop2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2025ie/"
"Optica","Optica Publishing Group","Ireland","IRL","IReL","20","01/01/2025","31/12/2027","opg2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/opg2025ie/"
"Rockefeller University Press","Rockefeller University Press","Ireland","IRL","IReL","1","01/01/2025","31/12/2027","rup2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2025ie/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Ireland","IRL","IReL","64","01/01/2025","31/12/2028","rsc2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025ie/"
"Springer Nature","Springer Nature","Ireland","IRL","IReL","545","01/01/2025","31/12/2027","sn2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2025ie/"
"Wiley","Wiley-Blackwell","Ireland","IRL","IReL","658","01/01/2025","31/12/2028","wiley2025ie","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2025ie/"
"AIP Publishing","AIP Publishing","Israel","NA","MALMAD","120","01/01/2025","31/12/2027","aip2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2025malmad/"
"Brill","Brill","Israel","NA","MALMAD","100","01/01/2025","31/12/2025","brill2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2025malmad/"
"Cambridge University Press","Cambridge University Press (CUP)","Israel","NA","MALMAD","200","01/01/2025","31/12/2027","cam2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2025malmad/"
"Elsevier","Elsevier BV","Israel","NA","MALMAD","1300","01/01/2025","31/12/2028","els2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2025malmad/"
"Karger","S. Karger AG","Israel","NA","MALMAD","40","01/01/2025","31/12/2027","kar2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2025malmad/"
"Oxford University Press","Oxford University Press (OUP)","Israel","NA","MALMAD","150","01/01/2025","31/12/2027","oxf2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2025malmad/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Israel","NA","MALMAD","50","01/01/2025","31/12/2025","rsc2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2025malmad/"
"Walter de Gruyter","Walter de Gruyter GmbH","Israel","NA","MALMAD","50","01/01/2025","31/12/2025","degruy2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2025malmad/"
"Wiley","Wiley-Blackwell","Israel","NA","MALMAD","1100","01/01/2025","31/12/2027","wiley2025malmad","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2025malmad/"
"Company of Biologists","The Company of Biologists","Italy","ITA","University of Padua","4","01/01/2025","31/12/2027","compbio2025unipd","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2025unipd/"
"The Royal Society","The Royal Society","Italy","ITA","University of Padua","3","01/01/2025","31/12/2025","trs2025unipd","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2025unipd/"
"American Society of Mechanical Engineers","ASME International","Japan","NA","Japan Alliance of University Library Consortia for E-Resources (JUSTICE)","5","01/01/2025","31/12/2027","asme2025justice","https://esac-initiative.org/about/transformative-agreements/agreement-registry/asme2025justice/"
"Wiley","Wiley-Blackwell","Japan","NA","Japan Alliance of University Library Consortia for E-Resources (JUSTICE)","2900","01/01/2025","31/12/2025","wiley2025justice","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2025justice/"
"Emerald","Emerald","Lithuania","NA","Lithuanian Research Library Consortium","15","01/01/2025","31/12/2027","eme2025lmba","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2025lmba/"
"AIP Publishing","AIP Publishing","Netherlands","NLD","UKB/SURF","100","01/01/2025","31/12/2025","aip2025ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2025ukb/"
