"","repo_id","EURO","Period","Publisher","Journal","doi","issn.1","issn.2","base.url","uni"
"17",25842,1188,2012,"Springer Science + Business Media","Arthritis Research & Therapy","10.1186/ar3852","1478-6354",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"18",25860,516,2012,"Springer Science + Business Media","J Med Case Rep","10.1186/1752-1947-6-177","1752-1947",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"19",24167,948,2012,"Springer Science + Business Media","Radiat Oncol","10.1186/1748-717X-7-108","1748-717X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"20",25843,572,2012,"Springer Science + Business Media","J Med Case Rep","10.1186/1752-1947-6-209","1752-1947",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"21",25858,1292,2012,"Springer Science + Business Media","Biol sex dif","10.1186/2042-6410-3-17","2042-6410",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"22",26036,1200,2012,"Springer Science + Business Media","Health and Quality of Life Outcomes","10.1186/1477-7525-10-97","1477-7525",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"23",26042,1180,2012,"Springer Science + Business Media","BMC Biophysics","10.1186/2046-1682-5-19","2046-1682",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"24",26080,1192,2012,"Springer Science + Business Media","BMC Clin Pathol","10.1186/1472-6890-12-16","1472-6890",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"25",26081,1388,2012,"Springer Science + Business Media","Transplant Res","10.1186/2047-1440-1-15","2047-1440",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"26",26083,1364,2012,"Springer Science + Business Media","Transplant Res","10.1186/2047-1440-1-12","2047-1440",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"27",26084,1368,2012,"Springer Science + Business Media","Transplant Res","10.1186/2047-1440-1-17","2047-1440",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"28",26085,1000,2012,"Springer Science + Business Media","Clin Transl Med","10.1186/2001-1326-1-22","2001-1326",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"29",26558,1236,2012,"Springer Science + Business Media","Health and Quality of Life Outcomes","10.1186/1477-7525-10-128","1477-7525",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"30",27947,1216,2012,"Springer Science + Business Media","BMC Complement Altern Med","10.1186/1472-6882-12-235","1472-6882",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"31",27951,1056,2012,"Springer Science + Business Media","Trials","10.1186/1745-6215-13-211","1745-6215",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"32",29509,1224,2012,"Springer Science + Business Media","BMC Ear, Nose and Throat Disorders","10.1186/1472-6815-12-14","1472-6815",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"33",29510,1080,2012,"Springer Science + Business Media","Radiat Oncol","10.1186/1748-717X-7-212","1748-717X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"34",25530,285.6,2012,"Walter de Gruyter GmbH","Zeitschrift für Kristallographie - New Crystal Structures","10.1524/ncrs.2012.0173","1433-7266",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"35",23734,1071,2012,"Frontiers Media SA","Frontiers in Systems Neuroscience","10.3389/fnsys.2012.00011","1662-5137",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"36",25856,583.1,2012,"Frontiers Media SA","Front. Microbio.","10.3389/fmicb.2012.00074","1664-302X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"37",25854,1142.4,2012,"Frontiers Media SA","Frontiers in Systems Neuroscience","10.3389/fnsys.2012.00041","1662-5137",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"38",25846,1904,2012,"Frontiers Media SA","Front. Psychology",",,10.3389/fpsyg.2012.00141","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"39",25864,2380,2012,"Frontiers Media SA","Front. Psychiatry","10.3389/fpsyt.2012.00070","1664-0640",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"40",25837,1028.16,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00287","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"41",27518,1142.4,2012,"Frontiers Media SA","Front. Psychology","10.3389/fpsyg.2012.00566","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"42",23735,771.01,2012,"Hindawi Publishing Corporation","Journal of Ophthalmology","10.1155/2012/851648","2090-004X","2090-0058","http://epub.uni-regensburg.de/","Uni Regensburg"
"43",26460,766.22,2012,"Hindawi Publishing Corporation","Computational Intelligence and Neuroscience","10.1155/2012/412512","1687-5265","1687-5273","http://epub.uni-regensburg.de/","Uni Regensburg"
"44",23417,719.95,2012,"IOP Publishing","New J. Phys.","10.1088/1367-2630/14/2/023018","1367-2630",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"45",26033,152.61,2012,"International Union of Crystallography (IUCr)","Acta Cryst E Struct Rep Online","10.1107/S1600536812038792","1600-5368",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"46",20012,152.32,2012,"International Union of Crystallography (IUCr)","Acta Cryst E Struct Rep Online","10.1107/S1600536812043863","1600-5368",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"47",27511,1635.44,2012,"MDPI AG","Sensors","10.3390/s121216954","1424-8220",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"48",29511,973.34,2012,"MDPI AG","Materials","10.3390/ma5101774","1996-1944",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"49",27517,1244.74,2012,"Nature Publishing Group","Scientific Reports","10.1038/srep00942","2045-2322",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"50",23746,2084.16,2012,"OMICS Publishing Group","J Neurol Neurophysiol","10.4172/2155-9562.1000124","2155-9562",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"51",29508,723.28,2012,"OMICS Publishing Group","Journal of Physical Chemistry & Biophysics","10.4172/2161-0398.S1-001",NA,NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"52",26554,1981.35,2012,"Oxford University Press (OUP)","Nucleic Acids Research","10.1093/nar/gks705","0305-1048","1362-4962","http://epub.uni-regensburg.de/","Uni Regensburg"
"53",27513,1963.5,2012,"PAGEPress Publications","Clinics and Practice","10.1093/nar/gks1056","2039-7283","2039-7275","http://epub.uni-regensburg.de/","Uni Regensburg"
"54",25836,119,2012,"Public Library of Science (PLoS)","PLoS ONE","10.4081/cp.2012.e64","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"55",25834,1079.57,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0038260","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"56",23739,1023.74,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0032552","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"57",23789,1028.34,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0034723","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"58",23723,1022.26,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0033956","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"59",23788,1019.41,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0035201","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"60",25862,1079.57,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0037979","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"61",25857,1079.57,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0038348","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"62",25861,1088.62,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0038887","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"63",25848,1099.53,2012,"Public Library of Science (PLoS)","PLoS ONE","doi:10.1371/journal.pone.0042449","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"64",25811,1095.42,2012,"Public Library of Science (PLoS)","PLoS Neglected Tropical Diseases","10.1371/journal.pone.0038540","1935-2735",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"65",25853,1797.12,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pntd.0001741","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"66",25839,1106.19,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0042349","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"67",26017,1077.76,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0044499","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"68",26018,1075.35,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0045599","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"69",25534,1031.79,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0048620","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"70",26578,956.24,2012,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0051032","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"71",27516,943.4,2012,"Wiley-Blackwell","ChemistryOpen","10.1371/journal.pone.0051755","2191-1363",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"72",25263,2000,2012,"Wiley-Blackwell","ChemistryOpen","10.1002/open.201200011","2191-1363",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"73",25844,2000,2012,"Springer Science + Business Media","Radiat Oncol","10.1002/open.201200008","1748-717X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"74",26079,1060,2012,"Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","10.1186/1748-717X-7-162","1534-7362",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"75",23616,745.25,2012,"e-Century Publ. Corp.","International Journal of Molecular Epidemiology and Genetics",NA,NA,NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"76",26556,761.05,2012,"e-Century Publ. Corp.","International Journal of Molecular Epidemiology and Genetics",NA,NA,NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"77",27729,1178.1,2013,"Springer Science + Business Media","BMC Biotechnology","10.1167/13.1.10 ","1472-6750",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"78",28812,1017.13,2013,"Springer Science + Business Media","BMC Cancer","10.1167/13.6.16","1471-2407",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"79",29504,1296,2013,"Springer Science + Business Media","BMC Med Genet","10.1186/1471-2482-13-47","1471-2350",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"80",28790,1236,2013,"Springer Science + Business Media","BMC Palliat Care","10.1186/1472-6750-13-9","1472-684X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"81",28774,1228,2013,"Springer Science + Business Media","Cardiovasc Diabetol","10.1186/1471-2407-13-67","1475-2840",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"82",28771,1232,2013,"Springer Science + Business Media","Critical Care","10.1186/1471-2350-14-25","1364-8535",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"83",28836,1200,2013,"Springer Science + Business Media","Critical Care","10.1186/1472-684X-12-10","1364-8535",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"84",28000,1256,2013,"Springer Science + Business Media","Transplant Res","10.1186/1475-2840-12-46","2047-1440",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"85",29513,1236,2013,"Springer Science + Business Media","BMC Infect Dis","10.1186/cc12694","1471-2334",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"86",28775,1228,2013,"Springer Science + Business Media","BMC Ear, Nose and Throat Disorders","10.1186/cc12782","1472-6815",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"87",28814,1480,2013,"Springer Science + Business Media","Critical Care","10.1186/2047-1440-2-12","1364-8535",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"88",28820,1296,2013,"Springer Science + Business Media","Arthritis Research & Therapy","10.1186/1471-2334-13-306","1478-6354",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"89",28837,1196,2013,"Springer Science + Business Media","BMC Medical Imaging","10.1186/1472-6815-13-7","1471-2342",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"90",29514,1296,2013,"Springer Science + Business Media","BMC Cancer","10.1186/cc12809","1471-2407",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"91",29543,1228,2013,"Springer Science + Business Media","Radiat Oncol","10.1186/ar4304","1748-717X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"92",29527,1220,2013,"Springer Science + Business Media","Health and Quality of Life Outcomes","10.1186/1471-2342-13-41","1477-7525",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"93",29526,1844.5,2013,"Springer Science + Business Media","Radiat Oncol","10.1186/1471-2407-13-437","1748-717X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"94",29505,1048,2013,"Springer Science + Business Media","J Cardiothorac Surg","10.1186/1748-717X-8-269","1749-8090",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"95",28767,1244,2013,"Springer Science + Business Media","J Cardiothorac Surg","10.1186/1477-7525-11-65","1749-8090",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"96",28779,1080,2013,"Springer Science + Business Media","J Med Case Rep","10.1186/1748-717X-8-66","1752-1947",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"97",28817,1124,2013,"Springer Science + Business Media","Genome Biol","10.1186/1749-8090-8-59","1465-6906",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"98",28788,1132,2013,"Springer Science + Business Media","J Cardiothorac Surg","10.1186/1749-8090-8-77","1749-8090",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"99",28807,624,2013,"Springer Science + Business Media","Radiat Oncol","10.1186/1752-1947-7-128","1748-717X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"100",28789,1620,2013,"Springer Science + Business Media","Health and Quality of Life Outcomes","10.1186/gb-2013-14-5-r46","1477-7525",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"101",28772,1316,2013,"Springer Science + Business Media","J Ovarian Res","10.1186/1749-8090-8-158","1757-2215",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"102",28778,1096,2013,"Springer Science + Business Media","Trials","10.1186/1748-717X-8-153","1745-6215",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"103",28799,1240,2013,"Springer Science + Business Media","Transplant Res","10.1186/1477-7525-11-115","2047-1440",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"104",28786,1056,2013,"Canadian Center of Science and Education","Journal of Management and Sustainability","10.1186/1757-2215-6-51","1925-4733","1925-4725","http://epub.uni-regensburg.de/","Uni Regensburg"
"105",28796,1120,2013,"Canadian Center of Science and Education","Journal of Management and Sustainability","10.1186/1745-6215-14-269","1925-4733","1925-4725","http://epub.uni-regensburg.de/","Uni Regensburg"
"106",29517,1380,2013,"Frontiers Media SA","Frontiers in Psychology","10.1186/2047-1440-2-16","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"107",25635,244.24,2013,"Frontiers Media SA","Front. Integr. Neurosci.","10.5539/jms.v3n1p9","1662-5145",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"108",19650,237.64,2013,"Frontiers Media SA","Front. Hum. Neurosci.","10.5539/jms.v3n2p68","1662-5161",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"109",28794,192.8,2013,"Food Science Publisher","Functional Foods in Health and Disease",NA,NA,NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"110",28791,1142.4,2013,"Frontiers Media SA","Frontiers in Psychology","10.3389/fpsyg.2013.00352","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"111",28766,960,2013,"Frontiers Media SA","Front. Plant Sci.","10.3389/fnint.2013.00005","1664-462X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"112",28745,1904,2013,"Frontiers Media SA","Frontiers in Psychology","10.3389/fnhum.2013.00134","1664-1078",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"113",28746,1523.2,2013,"Frontiers Media SA","Front. Plant Sci.","10.3389/fnhum.2013.00291","1664-462X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"114",28776,916.3,2013,"Frontiers Media SA","Frontiers in Plant Science","10.3389/fpsyg.2013.00428","1664-462X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"115",28780,1142.4,2013,"Hindawi Publishing Corporation","Mathematical Problems in Engineering","10.3389/fpls.2013.00241","1024-123X","1563-5147","http://epub.uni-regensburg.de/","Uni Regensburg"
"116",28777,916.3,2013,"Hindawi Publishing Corporation","International Journal of Dentistry","10.3389/fpsyg.2013.00467","1687-8728","1687-8736","http://epub.uni-regensburg.de/","Uni Regensburg"
"117",28822,1142.4,2013,"InTech","Chromatin Remodelling","10.3389/fpls.2013.00296",NA,NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"118",29535,684.25,2013,"IOP Publishing","New J. Phys.","10.3389/fpls.2013.00377","1367-2630",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"119",29634,926,2013,"International Scientific Literature","American Journal of Case Reports","10.1155/2013/960421","1941-5923",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"120",29544,890,2013,"Ivyspring International Publisher","Theranostics","10.1155/2013/841840","1838-7640",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"121",28798,640,2013,"MDPI AG","Pharmaceuticals","10.5772/55683","1424-8247",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"122",28624,1178.1,2013,"MDPI AG","IJMS","10.1088/1367-2630/15/7/073047","1422-0067",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"123",29520,625.32,2013,"MDPI AG","IJMS","10.12659/AJCR.889672","1422-0067",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"124",27965,684.1,2013,"Medknow","Surg Neurol Int","10.7150/thno.5113","2152-7806",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"125",28262,484.41,2013,"Oxford University Press (OUP)","Nucleic Acids Research","10.3390/ph6020269","0305-1048","1362-4962","http://epub.uni-regensburg.de/","Uni Regensburg"
"126",28829,1368,2013,"Oxford University Press (OUP)","Nucleic Acids Research","10.3390/ijms14058708","0305-1048","1362-4962","http://epub.uni-regensburg.de/","Uni Regensburg"
"127",28828,1538.84,2013,"Oxford University Press (OUP)","Nucleic Acids Research","10.3390/ijms140714475","0305-1048","1362-4962","http://epub.uni-regensburg.de/","Uni Regensburg"
"128",28821,318.01,2013,"Oxford University Press (OUP)","Nucleic Acids Research","10.4103/2152-7806.114811","0305-1048","1362-4962","http://epub.uni-regensburg.de/","Uni Regensburg"
"129",28804,1802.85,2013,"Pensoft Publishers","ZOOKEYS","10.1093/nar/gkt218","1313-2970","1313-2989","http://epub.uni-regensburg.de/","Uni Regensburg"
"130",28816,1267.35,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1093/nar/gkt355","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"131",29541,1267.35,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1093/nar/gkt433","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"132",29516,1267.35,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1093/nar/gkt891","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"133",28830,357,2013,"Public Library of Science (PLoS)","PLoS ONE","10.3897/zookeys.301.4913","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"134",27514,941.93,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0052499","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"135",27510,1240.19,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0054085","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"136",28815,1232.92,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0056360","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"137",28792,1119.25,2013,"Public Library of Science (PLoS)","PLoS Genetics","10.1371/journal.pone.0058338","1553-7404",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"138",28809,1252.83,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0059298","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"139",28801,1236.43,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0065388","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"140",28787,1238.34,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0060644","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"141",28782,2074.62,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pgen.1003500","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"142",28795,1120.81,2013,"Public Library of Science (PLoS)","PLoS Genetics","10.1371/journal.pone.0065134","1553-7404",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"143",28800,1236.53,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0068412","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"144",28831,1204.01,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0070525","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"145",28808,1226.81,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0059739","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"146",29515,2010.89,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pgen.1003786","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"147",29519,1206.54,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0073277","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"148",29546,1093.19,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0075278","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"149",29537,1206.72,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0075612","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"150",28434,1206.72,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0073961","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"151",28838,1206.72,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0074660","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"152",29539,1173.13,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0082780","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"153",29545,1191.06,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0066987","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"154",29103,1069.81,2013,"Public Library of Science (PLoS)","PLoS ONE","10.1371/journal.pone.0078935","1932-6203",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"155",29518,1197.27,2013,"Scientific Research Publishing, Inc,","Journal of Analytical Sciences, Methods and Instrumentation","10.1371/journal.pone.0082166","2164-2745","2164-2753","http://epub.uni-regensburg.de/","Uni Regensburg"
"156",28978,1197.27,2013,"Springer Science + Business Media","EURASIP Journal on Advances in Signal Processing","10.1371/journal.pone.0079450","1687-6180",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"157",29525,1173.14,2013,"The Feinstein Institute for Medical Research (North Shore LIJ Research Institute)","Molecular Medicine","10.1371/journal.pone.0083917","1076-1551","1528-3658","http://epub.uni-regensburg.de/","Uni Regensburg"
"158",29531,1173.13,2013,"Wiley-Blackwell","Physiological Reports","10.1371/journal.pone.0084911","2051-817X",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"159",29507,383.11,2013,"Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","10.4236/jasmi.2013.34030","1534-7362",NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
"160",28743,833,2013,"Society for Publication of Acta Dermato-Venereologica ","Acta Dermato-Venereologica","10.2340/00015555-1632",NA,NA,"http://epub.uni-regensburg.de/","Uni Regensburg"
