"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn_1","isbn_2","isbn_3","isbn_4","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"HU Berlin","2020","7580.30","10.3726/b17914","FALSE","","Echoes of Reaganism in Hollywood Blockbuster Movies from the 1980s to the 2010s","9783631843499","9783631843505","9783631837801","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","5220","10.14361/9783839455975","FALSE","","Technologisches Regieren","9783839455975","9783837655971","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","5000","10.3224/84742431","FALSE","","Elternschaft und Familie jenseits von Heteronormativität und Zweigeschlechtlichkeit","9783847424314","","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2020","7551.10","10.5771/9783748910220","FALSE","","Vermittlungsarbeit","9783748910220","9783848769346","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","3480","10.31244/9783830992905","FALSE","","Technische Bildung","9783830992905","9783830942900","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2020","5220","10.1007/978-3-658-32411-7","FALSE","","Professoren mit Migrationshintergrund","9783658324117","9783658324100","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","5220","10.1007/978-3-662-62812-6","FALSE","","Die Phonetik von äh und ähm","9783662628126","9783662628119","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2020","6788.90","10.14361/9783839455937","FALSE","","Der literarische Realismus und die illustrierten Printmedien","9783839455937","9783837655933","","","","","https://creativecommons.org/licenses/by/4.0/","",""
"HU Berlin","2021","2380","10.31244/9783830992752","FALSE","","(Un)Equal Pathways to Higher Education","9783830992752","9783830942757","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
"HU Berlin","2021","1960","10.35468/5876","FALSE","","Institutioneller Wandel und Steuerung von „Förderbedürftigkeit“ im Zuge inklusiver Bildung in Spanien 1960-2013","9783781524415","9783781558762","","","","","https://creativecommons.org/licenses/by-sa/4.0/","",""
