"institution","apc","doi","currency","period","is_hybrid","euro"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0NR08558H","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0SM01975E","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR00351H","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0NR09121A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0NR09121A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1BM00025J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0TC05718E","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CY00268F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1OB00305D","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC00258A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT00597A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP00291K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CY00410G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0FO02938F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT00708D","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT00646K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1EE00559F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CY00166C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D0CY02418J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1SM00445J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CC01281A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1PY00098E","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CC01954F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1BM00430A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC01288F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1OB00882J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC01395E","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1FO00457C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP01893K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP01236C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP01312B","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1MH00728A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1SE00771H","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT01599K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP00214G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT01531A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CE00462J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1SM00720C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1SE01061A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR01937F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CC03087F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CY00696G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR02337C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC02512K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CC02769G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR04400A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT02184B","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR03484G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP03503G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1SM01026C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1FO02033A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TB01020D","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1OB01227D","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC02196F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1OB00871D","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR04583K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CY01067K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR04229G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1QO00892G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1RE00226K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR03894J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR04400A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP02548A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT02184B","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP03503G","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1SM01026C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT02220B","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CY01067K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC04247E","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TA07902F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP04935F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CC05800B","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1FO02272E","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP04725F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1FO03327A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP02121D","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC05387F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR06303K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1OB01737C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT02365A","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TC04642J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP05146F","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CP03293C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1DT04065K","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1CY02063C","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1NR03894J","GBP","2021","TRUE","1861.32"
"Consejo Superior de Investigaciones Cientificas (CSIC)","1600","10.1039/D1TA09625G","GBP","2021","TRUE","1861.32"
