institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00066-023-02079-5,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1140/epjd/s10053-023-00698-2,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s15010-023-02065-0,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11609-023-00498-w,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00432-023-04937-2,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11661-023-07095-9,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00103-023-03683-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00291-023-00723-1,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10994-023-06327-8,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s15010-023-02015-w,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11625-023-01292-6,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00393-023-01434-2,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s12144-023-04298-6,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11609-023-00514-z,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00016-022-00294-8,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00432-022-04528-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10811-023-02936-x,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00406-023-01661-3,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10817-023-09683-1,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1057/s41304-023-00457-2,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11837-023-06082-0,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00548-023-00858-x,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00066-023-02161-y,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10143-023-02119-9,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00187-023-00350-5,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s12012-023-09814-5,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10950-023-10146-8,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11101-023-09872-1,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10961-023-09999-5,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s15010-023-02070-3,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00520-023-07781-9,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11618-023-01167-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00339-023-06403-9,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10231-023-01379-y,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s41358-023-00361-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11616-023-00819-2,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s42520-023-00537-z,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11060-023-04408-1,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11136-023-03403-3,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00442-023-05414-w,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00184-023-00920-6,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00701-023-05719-y,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00194-023-00636-x,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s12282-023-01481-2,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10661-023-11228-3,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1140/epjd/s10053-023-00754-x,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00211-023-01385-5,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
