institution;period;euro;doi;is_hybrid;publisher;ISSN;license_ref
IPN - Leibniz  Kiel;2020;3228,99;10.1002/tea.21645;TRUE;Wiley;0022-4308;CC BY
IPN - Leibniz  Kiel;2020;3228,99;10.1002/biuz.202010713;TRUE;Wiley;0045-205X;CC BY-NC-ND
IPN - Leibniz  Kiel;2020;3228,99;10.1111/sode.12478;TRUE;Wiley;0961-205X;CC BY
IPN - Leibniz  Kiel;2021;991,88;10.3390/s21217354;FALSE;MDPI;1424-8220;CC BY
IPN - Leibniz  Kiel;2021;3310,00;10.1016/j.intell.2021.101560;TRUE;Elsevier;0160-2896;CC BY-NC-ND
IPN - Leibniz  Kiel;2021;2660,00;10.1080/03075079.2021.1953337;TRUE;Taylor & Francis;0729-4360;CC BY
IPN - Leibniz  Kiel;2021;2560,30;10.1177/08902070211014015;TRUE;Sage;0890-2070;CC BY-NC
IPN - Leibniz  Kiel;2021;2517,50;10.1080/00273171.2021.1925521;TRUE;Taylor & Francis;0027-3171;CC BY-NC-ND
IPN - Leibniz  Kiel;2021;2517,50;10.1080/00368121.2021.1906201;TRUE;Taylor & Francis;0036-8121;CC BY
IPN - Leibniz  Kiel;2021;2517,50;10.1080/09500693.2021.1985743;TRUE;Routledge;0950-0693;CC BY-ND
IPN - Leibniz  Kiel;2021;2517,50;10.1080/09500693.2021.1891321;TRUE;Routledge;0950-0693;CC BY-NC-ND
IPN - Leibniz  Kiel;2021;2517,50;10.1080/09500693.2021.1950944;TRUE;Routledge;0950-0693;CC BY-NC-ND
IPN - Leibniz  Kiel;2021;2517,50;10.1080/1046560X.2021.1902631;TRUE;Taylor & Francis;1046-560X;CC BY
IPN - Leibniz  Kiel;2021;2500,08;10.3389/fpsyg.2021.615162;FALSE;Frontiers Media S.A.;1664-1078;CC BY
IPN - Leibniz  Kiel;2021;2360,00;10.1016/j.intell.2021.101529;TRUE;Elsevier;0160-2896;CC BY
IPN - Leibniz  Kiel;2021;2351,25;10.1080/03075079.2021.1953335;TRUE;Taylor & Francis;0729-4360;CC BY
IPN - Leibniz  Kiel;2021;2210,00;10.1016/j.lindif.2021.102089;TRUE;Elsevier;1041-6080;CC BY
IPN - Leibniz  Kiel;2021;1850,00;10.1016/j.ecresq.2021.04.004;TRUE;Elsevier;0885-2006;CC BY-NC-ND
IPN - Leibniz  Kiel;2021;1840,00;10.1016/j.learninstruc.2021.101455;TRUE;Elsevier;0959-4752;CC BY
IPN - Leibniz  Kiel;2021;1749,00;10.1371/journal.pone.0253692;FALSE;Public Library of Science (PLOS);1932-6203;CC BY
IPN - Leibniz  Kiel;2021;1525,33;10.3389/fpsyg.2021.609027;FALSE;Frontiers Media S.A.;1664-1078;CC BY
IPN - Leibniz  Kiel;2021;1509,25;10.1371/journal.pone.0259888;FALSE;Public Library of Science (PLOS);1932-6203;CC BY
IPN - Leibniz  Kiel;2021;1404,08;10.1186/s12052-021-00144-0;FALSE;Springer;1936-6426;CC BY
IPN - Leibniz  Kiel;2021;1487,28;10.1177/00131644211045351;TRUE;Sage;0013-1644;CC BY-NC
IPN - Leibniz  Kiel;2021;1487,28;10.3102/10769986211017479;TRUE;Sage;1076-9986;CC BY-NC
IPN - Leibniz  Kiel;2021;1487,28;10.3102/10769986211010467;TRUE;Sage;1076-9986;CC BY
IPN - Leibniz  Kiel;2021;5053,31;10.1111/cdev.13588;TRUE;Wiley;0009-3920;CC BY
IPN - Leibniz  Kiel;2021;5053,31;10.1002/tea.21697;TRUE;Wiley;0022-4308;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s11336-021-09817-7;TRUE;Springer;0033-3123;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s42010-021-00133-8;TRUE;Springer;0340-4099;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s11336-020-09743-0;TRUE;Springer;0033-3123;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s10857-021-09497-1;TRUE;Springer;1386-4416;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s40573-021-00136-z;TRUE;Springer;0949-1147;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s11618-021-01003-w;TRUE;Springer;1434-663X;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s10639-021-10759-x;TRUE;Springer;1360-2357;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s10212-021-00581-x;TRUE;Springer;0256-2928;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s41979-021-00060-4;TRUE;Springer;2520-8705;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.3758/s13428-020-01530-0;TRUE;Springer;1554-351X;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s13138-021-00181-8;TRUE;Springer;0173-5322 ;CC BY
IPN - Leibniz  Kiel;2021;3409,24;10.1007/s11858-021-01266-x;TRUE;Springer;1863-9690;CC BY
IPN - Leibniz  Kiel;2021;1468,00;10.1002/pan3.10193;FALSE;Wiley;2575-8314;CC BY
IPN - Leibniz  Kiel;2021;1095,70;10.1024/1010-0652/a000337;TRUE;Hogrefe Verlag;1010-0652;CC BY
IPN - Leibniz  Kiel;2021;1095,70;10.1024/1010-0652/a000308;TRUE;Hogrefe Verlag;1010-0652;CC BY
