"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Aalto University",2021,NA,"10.1021/acs.biomac.1c00183",TRUE,"American Chemical Society (ACS)","Biomacromolecules","1525-7797","1525-7797","1526-4602","1525-7797","https://creativecommons.org/licenses/by/4.0/",TRUE,"33899466","PMC8154265","ut:000651049600026",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsanm.1c00071",TRUE,"American Chemical Society (ACS)","ACS Applied Nano Materials","2574-0970","2574-0970","2574-0970","2574-0970","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000635462900067",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.0c09500",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"33593063","PMC8023795","ut:000634569100092",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jctc.0c00648",TRUE,"American Chemical Society (ACS)","Journal of Chemical Theory and Computation","1549-9618","1549-9618","1549-9626","1549-9618","https://creativecommons.org/licenses/by/4.0/",TRUE,"33577313","PMC8023666","ut:000629135700052",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.0c18623",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"33522810","PMC7944486","ut:000619638400027",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.0c22436",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"33756081","PMC8041256","ut:000639014900072",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.langmuir.1c01110",TRUE,"American Chemical Society (ACS)","Langmuir","0743-7463","0743-7463","1520-5827","0743-7463","https://creativecommons.org/licenses/by/4.0/",TRUE,"34128683","PMC8280702","ut:000669851700018",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsanm.1c00774",TRUE,"American Chemical Society (ACS)","ACS Applied Nano Materials","2574-0970","2574-0970","2574-0970","2574-0970","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000668366800026",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpcc.1c00982",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry C","1932-7447","1932-7447","1932-7455","1932-7447","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000664312500002",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.1c07661",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"34985864","PMC8793132","ut:000742106800001",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsmacrolett.1c00712",TRUE,"American Chemical Society (ACS)","ACS Macro Letters","2161-1653","2161-1653","2161-1653","2161-1653","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,"PMC8772381","ut:000740504000001",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsphotonics.1c01416",TRUE,"American Chemical Society (ACS)","ACS Photonics","2330-4022","2330-4022","2330-4022","2330-4022","https://creativecommons.org/licenses/by/4.0/",TRUE,"35083367","PMC8780794",NA,NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.nanolett.1c03856",TRUE,"American Chemical Society (ACS)","Nano Letters","1530-6984","1530-6984","1530-6992","1530-6984","https://creativecommons.org/licenses/by/4.0/",TRUE,"34978831","PMC8759081",NA,NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.iecr.1c04015",TRUE,"American Chemical Society (ACS)","Industrial & Engineering Chemistry Research","0888-5885","0888-5885","1520-5045","0888-5885","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.chemmater.1c03279",TRUE,"American Chemical Society (ACS)","Chemistry of Materials","0897-4756","0897-4756","1520-5002","0897-4756","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000741090900001",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsapm.1c01430",TRUE,"American Chemical Society (ACS)","ACS Applied Polymer Materials","2637-6105","2637-6105","2637-6105","2637-6105","https://creativecommons.org/licenses/by/4.0/",TRUE,"35072077","PMC8765005","ut:000736558300001",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acssuschemeng.1c07043",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpcb.1c05319",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry B","1520-6106","1520-6106","1520-5207","1520-5207","https://creativecommons.org/licenses/by/4.0/",TRUE,"34723534","PMC8591612","ut:000718392400020",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acssuschemeng.1c05587",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000710271700028",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.1c11165",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"34491036",NA,"ut:000697282300041",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.1c05532",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"34313424","PMC8388122","ut:000693105500111",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.1c09535",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"34347425","PMC8397240","ut:000687172000092",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.nanolett.1c01395",TRUE,"American Chemical Society (ACS)","Nano Letters","1530-6984","1530-6984","1530-6992","1530-6984","https://creativecommons.org/licenses/by/4.0/",TRUE,"34077222","PMC8289307","ut:000668003400048",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acssuschemeng.1c00695",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000637871600020",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.biomac.0c01625",TRUE,"American Chemical Society (ACS)","Biomacromolecules","1525-7797","1525-7797","1526-4602","1525-7797","https://creativecommons.org/licenses/by/4.0/",TRUE,"33523637","PMC8045026","ut:000640310700006",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpclett.0c03710",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry Letters","1948-7185","1948-7185","1948-7185","1948-7185","https://creativecommons.org/licenses/by/4.0/",TRUE,"33657317","PMC8041312","ut:000629172200030",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.chemmater.1c01519",TRUE,"American Chemical Society (ACS)","Chemistry of Materials","0897-4756","0897-4756","1520-5002","0897-4756","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000696553600020",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.langmuir.0c03131",TRUE,"American Chemical Society (ACS)","Langmuir","0743-7463","0743-7463","1520-5827","0743-7463","https://creativecommons.org/licenses/by/4.0/",TRUE,"33544605","PMC8023700","ut:000623049600008",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.1c01430",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"34028269","PMC8223480","ut:000665748900064",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.langmuir.1c01585",TRUE,"American Chemical Society (ACS)","Langmuir","0743-7463","0743-7463","1520-5827","0743-7463","https://creativecommons.org/licenses/by/4.0/",TRUE,"34520662","PMC8516332","ut:000703538300006",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsapm.1c00856",TRUE,"American Chemical Society (ACS)","ACS Applied Polymer Materials","2637-6105","2637-6105","2637-6105","2637-6105","https://creativecommons.org/licenses/by/4.0/",TRUE,"34796333","PMC8593863","ut:000719860800021",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.0c10307",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"33779142","PMC8155330","ut:000645436800072",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.iecr.1c01911",TRUE,"American Chemical Society (ACS)","Industrial & Engineering Chemistry Research","0888-5885","0888-5885","1520-5045","0888-5885","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000700883000006",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acsptsci.1c00137",TRUE,"American Chemical Society (ACS)","ACS Pharmacology & Translational Science","2575-9108","2575-9108","2575-9108","2575-9108","https://creativecommons.org/licenses/by/4.0/",TRUE,"34423278",NA,"ut:000686103400020",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acs.energyfuels.1c02656",TRUE,"American Chemical Society (ACS)","Energy & Fuels","0887-0624","0887-0624","1520-5029","0887-0624","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000716453500053",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acs.iecr.1c01722",TRUE,"American Chemical Society (ACS)","Industrial & Engineering Chemistry Research","0888-5885","0888-5885","1520-5045","0888-5885","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000672589000009",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acs.iecr.0c06150",TRUE,"American Chemical Society (ACS)","Industrial & Engineering Chemistry Research","0888-5885","0888-5885","1520-5045","0888-5885","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000621056900008",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acssuschemeng.1c04725",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000710271700017",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acssuschemeng.1c01576",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000671060400011",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acs.biochem.0c00840",TRUE,"American Chemical Society (ACS)","Biochemistry","0006-2960","0006-2960","1520-4995","0006-2960","https://creativecommons.org/licenses/by/4.0/",TRUE,"33445865","PMC8023573","ut:000618081900008",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acs.iecr.1c03154",TRUE,"American Chemical Society (ACS)","Industrial & Engineering Chemistry Research","0888-5885","0888-5885","1520-5045","0888-5885","https://creativecommons.org/licenses/by/4.0/",TRUE,"34880549","PMC8641393","ut:000755175400002",NA,FALSE,"FinELib ACS agreement"
"Åbo Akademi University",2021,NA,"10.1021/acsaem.1c03127",TRUE,"American Chemical Society (ACS)","ACS Applied Energy Materials","2574-0962","2574-0962","2574-0962","2574-0962","https://creativecommons.org/licenses/by/4.0/",TRUE,"34977476","PMC8715538","ut:000731131100001",NA,FALSE,"FinELib ACS agreement"
"Finnish Meteorological Institute",2021,NA,"10.1021/acs.est.1c03293",TRUE,"American Chemical Society (ACS)","Environmental Science & Technology","0013-936X","0013-936X","1520-5851","0013-936X","https://creativecommons.org/licenses/by/4.0/",TRUE,"34623135","PMC8529869","ut:000710453500028",NA,FALSE,"FinELib ACS agreement"
"Tampere University",2021,NA,"10.1021/acs.jpcb.1c08012",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry B","1520-6106","1520-6106","1520-5207","1520-5207","https://creativecommons.org/licenses/by/4.0/",TRUE,"34735154","PMC8607416",NA,NA,FALSE,"FinELib ACS agreement"
