Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2022; € 8.000,00 ;;https://e-book.fwf.ac.at/o:1766;C.H. Beck Verlag;Gut, dass wir einmal die hot potatoes ausgraben: Briefwechsel mit Theodor W. Adorno, Ernst Bloch, Max Horkheimer, Herbert Marcuse und Helmuth Plessner;978-3-406-79164-2;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 17.299,00 ;;;Emerald Publishing Limited;Digitale Transformationen von illegalen Drogenmärkten;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 11.266,00 ;10.25162/9783515133494;https://e-book.fwf.ac.at/o:1829;Franz Steiner Verlag GmbH;Housing the Poor: The Right to the City and Policy Arrangements in Urban Indonesia;978-3-515-13348-7;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 18.000,00 ;;;Hollitzer Wissenschaftsverlag;Neue Senfl Ausgabe, Bd. 4: Motetten zu 6 & 8 Stimmen, Kanons;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;10.52018/INKB-00315-K000;https://e-book.fwf.ac.at/o:1792;Jan Sramek Verlag;Abwägung im Kommunikationsstrafrecht;978-3-7097-0315-1;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 13.800,00 ;;;Jan Sramek Verlag;(...) Entwicklungsperspektiven im Mobiliarsicherungsrecht;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 17.000,00 ;;https://e-book.fwf.ac.at/o:1783;Koninklijke Brill NV;A South Indian Digest of Commentaries on the Nya?yasu?tra: A South Indian Digest of Commentaries on the Nya?yasu?tra;978-90-04-53348-6;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;LIT Verlag;Das neue Volk Gottes in Hispanien;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 9.000,00 ;;;mdwPress;Travelling Gestures. Elfriede Jelineks Theater der (Tragödien-)Durchquerung;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 9.000,00 ;10.5771/9783748931096;https://e-book.fwf.ac.at/o:1751;Nomos Verlagsgesellschaft mbH & Co. KG;Bundesstaatliche Identitäten und ihre Achtung im Unionsrecht;978-3-8487-8718-0;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 9.600,00 ;10.31267/978-3-7574-0093-4;https://e-book.fwf.ac.at/o:1791;Schwabe Verlag;Verstehen verstehen;978-3-7574-0093-4;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 8.815,00 ;;;Springer Fachmedien Wiesbaden GmbH;Studium als Balanceakt;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 13.000,00 ;;;Springer Nature/Palgrave Macmillan;Remittances als soziale Praktiken und Agenten des Wandels;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 15.600,00 ;;;Springer Nature/Palgrave Macmillan;When Music Takes Over in Film;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;https://e-book.fwf.ac.at/o:1794;Studienverlag;Regesten zur Geschichte der Juden in Österreich im Mittelalter, Band 5;978-3-7065-6292-8;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 9.000,00 ;10.14361/9783839461433;https://e-book.fwf.ac.at/o:1738;Transcript Verlag Roswitha Gost & Dr. Karin Werner GbR;Aus der Nacht in den Tag: Ein philosophisches Plädoyer für die plurale Gesellschaft;978-3-8376-6143-9;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;10.14361/9783839464946;https://e-book.fwf.ac.at/o:1813;Transcript Verlag Roswitha Gost & Dr. Karin Werner GbR;Arbeit und Gesundheit in der Spätmoderne: Betriebliche Prävention im Spannungsfeld zwischen Individualisierung und Top-Down-Struktur;978-3-8376-6494-2;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;https://e-book.fwf.ac.at/o:1740;Velbrück Wissenschaft;Die Kritik der marxistischen Rechtstheorie;978-3-95832-290-5;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 50.000,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Plan S Compliance für Vienna Yearbook of Population Research;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 14.000,00 ;;;Verlag der österreichischen Akademie der Wissenschaften;Çukuriçi Höyük - Prähistorische Textilherstellung;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 7.500,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Jinendrabuddhis Pramanasamuccayatika, Kapitel 6;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 14.000,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Inschriften in Wohnhäusern: Griechenland und der Balkan ;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 13.000,00 ;;;Verlag der österreichischen Akademie der Wissenschaften;Gestaltungsprinzipien spätantiker Grabräume;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 12.000,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Von Hyele zu Velia. Die Stadtmauern im urbanistischen Kontext;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 4.000,00 ;;https://e-book.fwf.ac.at/o:1823;Verlag der österreichischen Akademie der Wissenschaften;Die Register Innocenz´ III, 3. Band, erster Teil: 3. Pontifi katsjahr, 1200/1201, das erhaltene Registerfragment, Text und Indices;978-3-7001-9211-4;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Beethoven-Geflechte. Netzwerke und Erinnerungskulturen;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 14.000,00 ;;;Verlag Holzhausen GmbH;Regionalwirtschaften: Amphorenstandardisierung im Byzantini ;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 13.848,00 ;;;Verlag Österreich;Disponibilität der Organhaftung;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 9.000,00 ;;;Verlag Österreich GmbH;Die unvollendete Bankenunion;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;Verlag W. Kohlhammer;Das Wagnis des Scheiterns;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;10.1515/9783110732122;https://e-book.fwf.ac.at/o:1782;Verlag Walter de Gruyter GmbH;Metapher, Kontext und Kognition;978-3-11-073706-6;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 10.000,00 ;;;Verlag Walter de Gruyter GmbH;Die Interaktion in Orchesterproben;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 21.400,00 ;;;Wallstein Verlag;Arthur Schnitzler: »Das Zeitlose ist von kürzester Dauer.«;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 12.572,22 ;https://doi.org/10.46500/83535423;https://e-book.fwf.ac.at/o:1809;Wallstein Verlag;Der lange Atem kolonialer Bilder: Visuelle Praktiken von (Ex-)Soldaten und ihren Familien in Südtirol/Alto Adige 1935-2015;978-3-8353-5423-4;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 14.000,00 ;;;Wiener Sonderzahl Verlag;Werner Kofler: Kommentierte Werkausgabe. Band IV und V;;Stand-Alone Publications
Austrian Science Fund (FWF);2022; € 49.840,00 ;;;;IT Relaunch der Netz-Präsenz des Sprechenden Sprachatlasses ;;Stand-Alone Publications
