Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2023;8.303,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Die Stadt Kom Ombo I;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;https://doi.org/10.47788/GMTY9723;https://e-book.fwf.ac.at/o:1875;University of Exeter Press;Imagining Air: Cultural Axiology and the Politics of Invisibility;978-1-80413-117-6;Stand-Alone Publications
Austrian Science Fund (FWF);2023;12.000,00 ;;;Transcript Verlag Roswitha Gost & Dr. Karin Werner GbR;Unbehaglich Queer. Das ernste Spiel mit der Anerkennung;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;11.575,00 ;https://doi.org/10.11116/9789461665409;https://e-book.fwf.ac.at/o:1937;Leiden University Press;Collecting Asian Art;978 94 6270 378 0;Stand-Alone Publications
Austrian Science Fund (FWF);2023;18.000,00 ;https://doi.org/10.5040/9781350299412;https://e-book.fwf.ac.at/o:1939;BLOOMSBURY PUBLISHING;Vignette Research;978-1-3502-9937-5;Stand-Alone Publications
Austrian Science Fund (FWF);2023;13.000,00 ;;;WALLSTEIN VERLAG;"Theater als ""Spiel- und Spiegelform"" jüdischer Erfahrung";;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;https://doi.org/10.7767/9783205219019;https://e-book.fwf.ac.at/o:1892;Brill Österreich GmbH. – Böhlau Verlag;Der Franziszeische Kataster im Kronland Österreichisch- Schlesien (1821-1851);978-3-205-21901-9;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.440,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Die Nekropole Potzneusiedl (Burgenland, AT);;Stand-Alone Publications
Austrian Science Fund (FWF);2023;15.670,00 ;https://doi.org/10.4324/9781003272267;https://e-book.fwf.ac.at/o:1915;Routledge (part of Informa PLC);A Critical History of Health Films in Central and Eastern Europe and Beyond;978-1-032-21514-3;Stand-Alone Publications
Austrian Science Fund (FWF);2023;9.000,00 ;https://doi.org/10.14361/9783839469064;https://e-book.fwf.ac.at/o:1941;Transcript Verlag Roswitha Gost & Dr. Karin Werner GbR;Masculinities Ageing between Cultures;978-3-8376-6906-0;Stand-Alone Publications
Austrian Science Fund (FWF);2023;13.000,00 ;https://doi.org/10.1007/978-3-031-42763-3;https://e-book.fwf.ac.at/o:1916;Palgrave Macmillan;Feminist Activism, Travel and Translation Around 1900;978-3-031-42762-6;Stand-Alone Publications
Austrian Science Fund (FWF);2023;11.000,00 ;;;LIT VERLAG;Widerlegung des moralischen Generalismus;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;18.000,00 ;;;Routledge, Taylor & Francis Group;Franz Waxman - Between Film Music and the Concert Hall;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;https://doi.org/10.7767/9783205;https://e-book.fwf.ac.at/o:1945;Brill Österreich GmbH. – Böhlau Verlag;Franz Waxman – Zwischen Filmmusik und Konzertsaal;978-3-205-21907-1;Stand-Alone Publications
Austrian Science Fund (FWF);2023;9.456,00 ;https://doi.org/10.56560/isbn.978-3-7011-0535-9;https://e-book.fwf.ac.at/o:1934;LEYKAM BUCHVERLAGSGESELLSCHAFT;Brückenbauer im Kalten Krieg.;978-3-7011-0501-4;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;Das Wiener Hetzamphitheater (1755-1796);;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;;;Transcript Verlag Roswitha Gost & Dr. Karin Werner GbR;Die textgeborenen Kinder Marie de Gournays und Montaignes;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;22.000,00 ;;;Diaphanes AG;Anorganisches Leben. Post-Vitalismus nach Deleuze;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;7.500,00 ;;;Routledge, Taylor & Francis Group;Tango Tanz und Musik;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;14.000,00 ;;;Hollitzer Verlag;Werkverzeichnis Anton Bruckner Bd. 1;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;14.000,00 ;;;Hollitzer Verlag;Werkverzeichnis Anton Bruckner Bd. 2;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;14.000,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Goldsuche. Ressourcen und Netzwerke der Bronzezeit;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;;;Verlag Walter de Gruyter GmbH;Präsenz des Judentums im Christentum;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;12.000,00 ;https://doi.org/10.4324/9781351025782;https://e-book.fwf.ac.at/o:1935;Routledge, Taylor & Francis Group;The Chobanids of Kastamonu;978-1-1284-9476-3;Stand-Alone Publications
Austrian Science Fund (FWF);2023;18.000,00 ;;;Verlag Walter de Gruyter GmbH;Abstraktion ausstellen 1908-15;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;21.000,00 ;;;CMS Heidelberg;Versiegeln mit Bildern in Kato Zakros;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;8.000,00 ;https://doi.org/10.1515/9783111322537;https://e-book.fwf.ac.at/o:1944;Verlag Walter de Gruyter GmbH;Formen und Funktionen auktorialer Epitexte im literarischen;978-3-11-132236-0;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;;;Transcript Verlag Roswitha Gost & Dr. Karin Werner GbR;Postmigrantische Literaturgeschichte;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;;;Brill Österreich GmbH. – Böhlau Verlag;Italienische Libretti in Wien im 17. und 18. Jahrhundert;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;14.000,00 ;;;Verlag Walter de Gruyter GmbH;Arthur Schnitzler: Der einsame Weg. Hist.-krit. Ausgabe;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;18.000,00 ;;;Koninklijke Brill NV;Die Predigt des Dritten Kreuzzuges (1187-1192);;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;;;Verlag der Österreichischen Akademie der Wissenschaften;Die Register Innocenz´ III. 16. Band;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;11.400,00 ;;;Koninklijke Brill NV;SklavInnen im Jemen unter den Najahiden und Rasuliden;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;9.000,00 ;;;Verlag W. Kohlhammer;Religiöse Vorstellungen von Schüler:innen erforschen;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.200,00 ;;;Verlag der österreichischen Akademie der Wissenschaften;Die Stadt Kom Ombo II: die anglo-ägyptische Festung;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;14.000,00 ;;;Felix Meiner Verlag;Rudolf Carnap und Otto Neurath. Briefwechsel;;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;https://doi.org/10.7767/9783205218746;https://e-book.fwf.ac.at/o:1864;Brill Österreich GmbH. – Böhlau Verlag;Blicke in den Spiegel des Koran ;978-3-205-21873-9;Stand-Alone Publications
Austrian Science Fund (FWF);2023;14.000,00 ;https://doi.org/10.5771/9783748935865;https://e-book.fwf.ac.at/o:1940;Nomos Verlagsgesellschaft mbH & Co. KG;Soft Law and its Importance in Ensuring Member States? Compliance with Union Law;978-3-7560-0008-1;Stand-Alone Publications
Austrian Science Fund (FWF);2023;7.450,00 ;https://doi.org/10.5771/9783748934707;https://e-book.fwf.ac.at/o:1844;Nomos Verlagsgesellschaft mbH & Co. KG;The legal framework for refugee resettlement to the European Union with lessons from the American model;978-3-8487-9007-4;Stand-Alone Publications
Austrian Science Fund (FWF);2023;10.000,00 ;https://doi.org/10.1515/9783110633351;https://e-book.fwf.ac.at/o:1922;De Gruyter Oldenbourg;Die Produktion besonderer Arbeitskräfte;978-3-11-063336-8;Stand-Alone Publications
Austrian Science Fund (FWF);2023;9.000,00 ;;;WALLSTEIN VERLAG;Masken des Staates;;Stand-Alone Publications
