Institution;Period; EURO ;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Note
Austrian Science Fund (FWF);2021;1.851,30 ;10.1186/s12862-021-01775-z;FALSE ;BIOMED CENTRAL (BMC) ;BMC Ecology and Evolution;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.851,30 ;10.1186/s12862-021-01787-9;FALSE ;BIOMED CENTRAL (BMC) ;BMC Ecology and Evolution;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.851,30 ;10.1186/s12864-021-07417-4;FALSE ;BIOMED CENTRAL (BMC) ;BMC Genomics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.970,10 ;10.1186/s12859-022-04574-5;FALSE ;BIOMED CENTRAL (BMC) ;BMC Bioinformatics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.970,10 ;10.1186/s12864-021-07775-z;FALSE ;BIOMED CENTRAL (BMC) ;BMC Genomics;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.069,10 ;10.1186/s12936-021-03949-y;FALSE ;BIOMED CENTRAL (BMC) ;Malaria Journal;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.148,30 ;10.1186/s12966-020-01066-8;FALSE ;BIOMED CENTRAL (BMC) ;International Journal of Behav;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.168,10 ;10.1186/s12874-021-01374-y;FALSE ;BIOMED CENTRAL (BMC) ;BMC Medical Research Methodology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.168,10 ;10.1186/s12874-021-01487-4;FALSE ;BIOMED CENTRAL (BMC) ;BMC Medical Research Methodology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.168,10 ;10.1186/s12934-021-01640-0;FALSE ;BIOMED CENTRAL (BMC) ;Microbial Cell Factories;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.267,10 ;10.1186/s13068-021-01955-5;FALSE ;BIOMED CENTRAL (BMC) ;Biotechnology for Biofuels;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.267,10 ;10.1186/s12951-020-00762-8;FALSE ;BIOMED CENTRAL (BMC) ;Journal of Nanobiotechnology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.465,10 ;10.1186/s12915-021-01026-z;FALSE ;BIOMED CENTRAL (BMC) ;BMC Biology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.663,10 ;10.1186/s12915-021-01150-w;FALSE ;BIOMED CENTRAL (BMC) ;BMC Biology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.762,10 ;10.1186/s12964-021-00788-x;FALSE ;BIOMED CENTRAL (BMC) ;Cell Communication and Signaling;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.054,00 ;10.1186/s12964-019-0459-7;FALSE;BIOMED CENTRAL (BMC) ;Cell Communication and Signaling;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.138,30 ;10.1186/s40168-020-00956-0;FALSE ;BIOMED CENTRAL (BMC) ;Microbiome;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.346,20 ;10.1186/s40168-021-01063-4;FALSE ;BIOMED CENTRAL (BMC) ;Microbiome;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.346,20 ;10.1186/s40168-021-01130-w;FALSE ;BIOMED CENTRAL (BMC) ;Microbiome;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.643,20 ;10.1186/s12943-021-01419-2;FALSE ;BIOMED CENTRAL (BMC) ;Molecular Cancer;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.950,10 ;10.1186/s13059-021-02430-y;FALSE ;BIOMED CENTRAL (BMC) ;Genome Biology;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.999,60 ;10.1186/s13059-021-02425-9;FALSE ;BIOMED CENTRAL (BMC) ;Genome Biology;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;1.145,98 ;10.1136/jitc-2020-000832;FALSE;BMJ PUBLISHING GROUP;Journal for ImmunoTherapy of Cancer;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.486,80 ;10.1163/18776930-01002005;TRUE;BRILL;Brill's Journal of Afroasiatic Languages and Linguistics;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;2.844,86 ;10.1017/pen.2021.1;FALSE;CAMBRIDGE UNIVERSITY PRESS (CUP);Personality Neuroscience;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.099,56 ;10.5194/se-12-1185-2021;FALSE;COPERNICUS PUBLICATIONS;Solid Earth;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.170,00 ;10.5194/mr-2-557-2021;FALSE;COPERNICUS PUBLICATIONS;Magnetic Resonance;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.209,00 ;10.5194/bg-17-5655-2020;FALSE;COPERNICUS PUBLICATIONS;Biogeosciences;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.293,60 ;10.5194/amt-13-5993-2020;FALSE;COPERNICUS PUBLICATIONS;Atmospheric Measurement Techniques;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.374,45 ;10.5194/angeo-39-239-2021;FALSE;COPERNICUS PUBLICATIONS;Annales Geophysicae;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.395,00 ;10.5194/amt-14-3721-2021;FALSE;COPERNICUS PUBLICATIONS;Atmospheric Measurement Techniques;Peer-Reviewed Publications ;
