Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2021;10.000,00 ;;https://e-book.fwf.ac.at/o:1609;BÖHLAU-VERLAG GES.M.B.H  CO.KG;Literatur in Österreich 1938-1945, Band 6: Salzburg ;978-3-205-21433-5;Stand-Alone Publications
Austrian Science Fund (FWF);2021;13.400,00 ;;;PALGRAVE MACMILLAN;Maritime Mobilities in Anglophone Literature and Culture;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Mitteleuropäische Schulen VII (ca. 1400-1500);;Stand-Alone Publications
Austrian Science Fund (FWF);2021;14.000,00 ;;;VANDENHOECK & RUPRECHT GMBH & CO. KG;Mobilisierung an der Peripherie;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;12.500,00 ;;;HOLLITZER WISSENSCHAFTSVERLAG;Motetten am Hof Maximilians II. (1527–1576);;Stand-Alone Publications
Austrian Science Fund (FWF);2021;17.000,00 ;;;KONINKLIJKE BRILL NV;New Perspectives on Imagology;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;WEHRHAHN-VERLAG;Ökonomien der Parodie am Wiener Vorstadttheater;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;49.960,40 ;;;DR. SCHNIDERS E.U.;Österreichisches Religionspädagogisches Forum (ÖRF);;Stand-Alone Publications
Austrian Science Fund (FWF);2021;14.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Platia Magula Zarkou. Die neolithische Periode;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.950,00 ;;https://e-book.fwf.ac.at/o:1578;VERLAG HOLZHAUSEN GMBH;Psalterium Demetrii Sinaitici et Folia Medicinalia (Monasterii sanctae Catharinae codex slavicus NF 3);978-3-902868-80-0;Stand-Alone Publications
Austrian Science Fund (FWF);2021;8.000,00 ;;;PEETERS PUBLISHERS;Q 11:9-13 - Den Bittenden wird gegeben (Documenta Q);;Stand-Alone Publications
Austrian Science Fund (FWF);2021;8.000,00 ;;;PEETERS PUBLISHERS;Q 17:26-30, 34-35 - Wie in den Tagen Noahs (Documenta Q);;Stand-Alone Publications
Austrian Science Fund (FWF);2021;17.000,00 ;;;NOMOS VERLAGSGESELLSCHAFT MBH & CO. KG;Regularisierungen irregulär aufhältiger Migrantinnen in der EU;;Stand-Alone Publications
