"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","fwf_url","license_ref","indexed_in_crossref","doab"
"FWF",2020,10000.00,"10.23799/97837410O1345",FALSE,"SCHÜREN VERLAG GMBH","Hier Und Anderswo. Palästina-Israel Im Essayistischen Film","978-3-7410-0337-0 ",,"https://e-book.fwf.ac.at/o:1487 DOI: 10.23799/97837410O1345","CC BY",,
"FWF",2020,8250.00,,FALSE,"BREPOLS PUBLISHERS","Historiography And Identity Iii: Carolingian Approaches","978-2-503-58655-7",,"https://e-book.fwf.ac.at/o:1526","CC BY-NC",,
"FWF",2020,9000.00,,FALSE,"BREPOLS PUBLISHERS","Historiography And Identity Iv: Across Medieval Eurasia",,,,"CC BY-NC",,
"FWF",2020,14000.00,,FALSE,"ROSSPEN PUBLISHING HOUSE","Im Kalten Krieg Der Spionage",,,,"CC BY",,
"FWF",2020,10000.00,"10.1515/9783110705621",FALSE,"VERLAG WALTER DE GRUYTER GMBH","In Diensten Des Afrikanischen Sozialismus","978-3-11-070552-2",,"https://e-book.fwf.ac.at/o:1546","CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Instruktionen Und Ordnungen Der Herrschaft Klosterneuburg","978-3-205-21303-1",,"https://e-book.fwf.ac.at/o:1538","CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Josef Strauss. Chronologisch-Thematisches Werkverzeichnis",,,,"CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Auf Die Tour!: Jüdinnen Und Juden In Singspielhalle, Varieté Und Kabarett – Habsburgermonarchie Bis Amerika","978-3-205-21187-7",,"https://e-book.fwf.ac.at/o:1490","CC BY",,
"FWF",2020,10000.00,"10.1515/9783110697667",FALSE,"VERLAG WALTER DE GRUYTER GMBH","Kirchenbild Und Kircheneinheit : Der Dominikanische „Tractatus Contra Graecos“ (1252) In Seinem Theologischen Und Historischen Kontext","978-3-11-069766-7",,"https://e-book.fwf.ac.at/o:1502","CC BY",,
"FWF",2020,19200.00,"10.4337/9781788111560",FALSE,"EDWARD ELGAR","A Commentary On The Council Of Europe Convention On Action Against Trafficking In Human Beings","978 1 78811 155 3",,"https://e-book.fwf.ac.at/o:1491","CC BY-NC",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Literarisches System In Österreich 1933/1938-1945","978-3-205-21234-8",,"https://e-book.fwf.ac.at/o:1535","CC BY",,
"FWF",2020,10000.00,,FALSE,"SPRINGER VERLAG","Logischer Empirismus, Lebensreform, Deutsche Jugendbewegung",,,,"CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Materielle Aspekte Von Bau- Und Handwerkstraditionen",,,,"CC BY",,
"FWF",2020,11700.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Mauthausen Und Die Nationalsozialistische Expansions- Und Verfolgungspolitik: Europa In Mauthausen. Geschichte Der Überlebenden Eines Nationalsozialistischen Konzentrationslagers, Band 1","978-3-205-20784-9",,"https://e-book.fwf.ac.at/o:1508","CC BY",,
"FWF",2020,18000.00,,FALSE,"HOLLITZER WISSENSCHAFTSVERLAG","Neue Senfl Ausgabe 1: Motetten Zu Vier Stimmen (A–I)",,,,"CC BY",,
"FWF",2020,18000.00,,FALSE,"HOLLITZER WISSENSCHAFTSVERLAG","Neue Senfl Ausgabe 2: Motetten Zu Vier Stimmen (N–V)",,,,"CC BY",,
"FWF",2020,18000.00,,FALSE,"HOLLITZER WISSENSCHAFTSVERLAG","Neue Senfl Ausgabe, Bd. 3: Motetten Zu Fünf Stimmen",,,,"CC BY",,
"FWF",2020,10000.00,"10.1515/9783110693461",FALSE,"VERLAG WALTER DE GRUYTER GMBH","Opfernarrative In Transnationalen Kontexten","978-3-11-067359-3",,"https://e-book.fwf.ac.at/o:1460","CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Parteien, Politik Und Staatsgewalt In Dalmatien (1900–1918)",,,,"CC BY",,
"FWF",2020,14000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Punta Di Zambrone I","978-3-7001-8615-1",,"https://e-book.fwf.ac.at/o:1545","CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Regenzeiten, Feuchtgebiete, Körpersäfte: Das Wasser In Der Klassischen Indischen Medizin","978-3-7001-8547-5",,"https://e-book.fwf.ac.at/o:1464","CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Reisen Zu Den Quellen Des Tigris... Studien Von Josef Wünsch",,,,"CC BY",,
"FWF",2020,18000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Reverberations Of Dharmakīrti‘S Philosophy: Proceedings Of The Fifth International Dharmakīrti Conference Heidelberg August 26 To 30, 2014","978-3-7001-8781-3",,"https://e-book.fwf.ac.at/o:1499","CC BY",,
"FWF",2020,13716.00,,FALSE,"FELIX MEINER VERLAG","Rudolf Carnap. Tagebücher 1908-1919 Bd. 1",,,,"CC BY",,
"FWF",2020,14000.00,,FALSE,"FELIX MEINER VERLAG","Rudolf Carnap. Tagebücher 1920-1935 - Bd. 2",,,,"CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Von Tischlern Und Ihren Arbeiten Im Zeitalter Des Absolutismus: Ii: Kunstlandschaften Im Norden, Süden Und Westen","978-3-205-21245-4",,"https://e-book.fwf.ac.at/o:1512","CC BY",,
"FWF",2020,10000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Schöne Wissenschaften","978-3-7001-8642-7",,"https://e-book.fwf.ac.at/o:1531","CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Else Feldmann: Schreiben Vom Rand: Journalistin Und Schriftstellerin Im Wien Der Zwischenkriegszeit","978-3-205-21212-6",,"https://e-book.fwf.ac.at/o:1514","CC BY",,
"FWF",2020,14000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Siegel Der Bischöfe Der Salzburger Metropole, Band 1",,,,"CC BY",,
"FWF",2020,5850.00,,FALSE,"MANDELBAUM VERLAG","Sozialismus Und Apokalyptik",,,,"CC BY",,
"FWF",2020,9500.00,,FALSE,"SPRINGER VERLAG","Spur- Und Vertexrekonstruktion In Teilchendetektoren",,,,"CC BY",,
"FWF",2020,10000.00,"10.7788/9783205212317",FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Strategen Im Literaturkampf: Thomas Bernhard, Peter Handke Und Die Kritik","978-3-205-21230-0",,"https://e-book.fwf.ac.at/o:1497","CC BY",,
"FWF",2020,10000.00,,FALSE,"BÖHLAU-VERLAG GES.M.B.H  CO.KG","Transformationen Städtischer Umwelt: Das Beispiel Linz, 1700 Bis 1900","978-3-205-21232-4",,"https://e-book.fwf.ac.at/o:1493","CC BY",,
"FWF",2020,14000.00,,FALSE,"VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN","Völkerkunde Zur Ns-Zeit Aus Wien (1938-1945)",,,,"CC BY",,
"FWF",2020,10000.00,"10.46499/1465",FALSE,"WOCHENSCHAU VERLAG","Von Pisa Nach Wien: Historische Und Politische Kompetenzen In Der Unterrichtspraxis. Empirische Befunde Aus Qualitativen Interviews Mit Lehrkräften","978-3-7344-1233-2",,"https://e-book.fwf.ac.at/o:1510 https://doi.org/10.46499/1465","CC BY",,
