institution;period;euro;doi;is_hybrid;opt_out;publisher;journal_full_title;issn;url
Technische Universität Braunschweig;2021;1730,14;10.1038/s41598-020-79130-3;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;2015,86;10.5194/angeo-39-721-2021;FALSE;FALSE;Copernicus;Annales Geophysicae;1432-0576;
Technische Universität Braunschweig;2021;1392,2;10.3390/d13020044;FALSE;FALSE;MDPI;Diversity;1424-2818;
Technische Universität Braunschweig;2021;1978,76;10.3390/nano11020454;FALSE;FALSE;MDPI;Nanomaterials;2079-4991;
Technische Universität Braunschweig;2021;1988,86;10.3390/s21030864;FALSE;FALSE;MDPI;Sensors;1424-8220;
Technische Universität Braunschweig;2021;1142,4;10.1186/s40623-021-01386-4;FALSE;FALSE;Springer;Earth, Planets and Space;1880-5981;
Technische Universität Braunschweig;2021;1837,003;10.1038/s41598-021-81098-7;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;991,48;10.3390/batteries7010006;FALSE;FALSE;MDPI;Batteries;2313-0105;
Technische Universität Braunschweig;2021;1951,6;10.1002/edn3.222;FALSE;FALSE;Wiley;Environmental DNA;2637-4943;
Technische Universität Braunschweig;2021;991,48;10.3390/machines9010015;FALSE;FALSE;MDPI;Machines;2075-1702;
Technische Universität Braunschweig;2021;1322,47;10.3390/min11020185;FALSE;FALSE;MDPI;Minerals;2075-163X;
Technische Universität Braunschweig;2021;1780,55;10.3390/app11020785;FALSE;FALSE;MDPI;Applied Sciences;2076-3417;
Technische Universität Braunschweig;2021;1523,2;10.1088/2515-7620/abfe02;FALSE;FALSE;IOP;Environmental Research Communications;2515-7620;
Technische Universität Braunschweig;2021;2324,07;10.5194/amt-14-1761-2021;FALSE;FALSE;Copernicus;Atmospheric Measurement Techniques;1867-8548;
Technische Universität Braunschweig;2021;549,78;10.5194/angeo-39-165-2021;FALSE;FALSE;Copernicus;Annales Geophysicae;1432-0576;
Technische Universität Braunschweig;2021;1789,97;10.3390/polym13030330;FALSE;FALSE;MDPI;Polymers;2073-4360;
Technische Universität Braunschweig;2021;2545,41;10.5194/se-12-439-2021;FALSE;FALSE;Copernicus;Solid Earth;1869-9529;
Technische Universität Braunschweig;2021;1685,36;10.3390/metabo11020113;FALSE;FALSE;MDPI;Metabolites;2218-1989;
Technische Universität Braunschweig;2021;1931,47;10.3390/ijms22094556;FALSE;FALSE;MDPI;IJMS, International Journal of Molecular Sciences;1422-0067;
Technische Universität Braunschweig;2021;1988,3;10.3390/ma14040784;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2021;247,52;10.5194/ars-19-85-2021;FALSE;FALSE;Copernicus;Advances in Radio Science;1684-9973;
Technische Universität Braunschweig;2021;1983,5;10.1055/s-0041-1728676;FALSE;FALSE;Thieme;Methods of Information in Medicine;0026-1270;
Technische Universität Braunschweig;2021;1391,81;10.3390/jcs5020045;FALSE;FALSE;MDPI;Journal of Composites Science;2504-477X;
Technische Universität Braunschweig;2021;3451;10.1038/s41467-021-21609-2;FALSE;FALSE;Springer;Nature Communications;2041-1723;
Technische Universität Braunschweig;2021;340,34;10.5194/ars-19-153-2021;FALSE;FALSE;Copernicus;Advances in Radio Science;1684-9973;
Technische Universität Braunschweig;2021;1391,81;10.3390/jcs5020051;FALSE;FALSE;MDPI;Journal of Composites Science;2504-477X;
Technische Universität Braunschweig;2021;1949,76;10.3390/molecules26051469;FALSE;FALSE;MDPI;Molecules;1420-3049;
Technische Universität Braunschweig;2021;2124,15;10.1016/j.matdes.2021.109536;FALSE;FALSE;Elsevier;Materials & Design;0264-1275;
Technische Universität Braunschweig;2021;1351,54;10.3390/aerospace8030089;FALSE;FALSE;MDPI;Aerospace;2226-4310;
Technische Universität Braunschweig;2021;1586,96;10.3390/met11020291;FALSE;FALSE;MDPI;Metals;2075-4701;
Technische Universität Braunschweig;2021;1983,69;10.3390/app11041559;FALSE;FALSE;MDPI;Applied Sciences;2076-3417;
Technische Universität Braunschweig;2021;1974,01;10.3390/ma14051190;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2021;1009,12;10.1186/s40359-021-00535-4;FALSE;FALSE;Springer;BMC Psychology;2050-7283;
Technische Universität Braunschweig;2021;1559,8;10.3390/chemosensors9030052;FALSE;FALSE;MDPI;Chemosensors;2227-9040;
Technische Universität Braunschweig;2021;630,7;10.1080/21650020.2021.1901603;FALSE;FALSE;Taylor & Francis;Urban, Planning and Transport Research;2165-0020;
Technische Universität Braunschweig;2021;2215,78;10.1002/aisy.202000261;FALSE;FALSE;Wiley;Advanced Intelligent Systems;2640-4567;
Technische Universität Braunschweig;2021;1863,55;10.3389/fbioe.2021.642023;FALSE;FALSE;Frontiers;Frontiers in Bioengineering and Biotechnology;2296-4185;
Technische Universität Braunschweig;2021;1931,47;10.3390/ma14102510;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2022;1142,4;10.1186/s40623-021-01536-8;FALSE;FALSE;Springer;Earth, Planets and Space;1880-5981;
Technische Universität Braunschweig;2021;2171,42;10.3390/nano11030580;FALSE;FALSE;MDPI;Nanomaterials;2079-4991;
Technische Universität Braunschweig;2021;1392,2;10.3390/ph14020098;FALSE;FALSE;MDPI;Pharmaceuticals;1424-8247;
Technische Universität Braunschweig;2021;1834,9;10.3390/su13084099;FALSE;FALSE;MDPI;Sustainability;2071-1050;
Technische Universität Braunschweig;2021;3451;10.1038/s41378-021-00257-y;FALSE;FALSE;Springer;Microsystems & Nanoengineering;2055-7434;
Technische Universität Braunschweig;2021;1364,82;10.3390/batteries7010019;FALSE;FALSE;MDPI;Batteries;2313-0105;
Technische Universität Braunschweig;2021;1841,43;10.3390/app11052293;FALSE;FALSE;MDPI;Applied Sciences;2076-3417;
Technische Universität Braunschweig;2021;1935,65;10.3390/ma14071747;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2021;2155,25;10.3390/s21051881;FALSE;FALSE;MDPI;Sensors;1424-8220;
Technische Universität Braunschweig;2021;442,63;10.3389/ffgc.2021.654032;FALSE;FALSE;Frontiers;Frontiers in Forests and Global Change;2624-893X;
Technische Universität Braunschweig;2021;1428;10.1016/j.measen.2021.100042;FALSE;FALSE;Elsevier;Measurement: Sensors;2665-9174;
Technische Universität Braunschweig;2021;965,7326;10.3390/wevj12030097;FALSE;FALSE;MDPI;World Electric Vehicle Journal - MDPI;2032-6653;
Technische Universität Braunschweig;2021;1949,76;10.3390/molecules26061611;FALSE;FALSE;MDPI;Molecules;1420-3049;
Technische Universität Braunschweig;2021;2129,22;10.3390/pharmaceutics13030394;FALSE;FALSE;MDPI;Pharmaceutics;1999-4923;
Technische Universität Braunschweig;2021;1142,4;10.1016/j.jmrt.2021.05.076;FALSE;FALSE;Elsevier;Journal of Materials Research and Technology;2238-7854;
Technische Universität Braunschweig;2021;1266,16;10.1186/s13636-021-00207-6;FALSE;FALSE;Springer;EURASIP Journal on Audio, Speech, and Music Processing;1687-4722;
Technische Universität Braunschweig;2021;1179,92;10.3390/nano11040836;FALSE;FALSE;MDPI;Nanomaterials;2079-4991;
Technische Universität Braunschweig;2021;1837,003;10.1038/s41598-021-86654-9;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;1931,47;10.3390/pr9040704;FALSE;FALSE;MDPI;Processes;2227-9717;
Technische Universität Braunschweig;2021;1931,47353;10.3390/ma14112752;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2021;1153,44;10.3389/fphy.2021.684410;FALSE;FALSE;Frontiers;Frontiers in Physics;2296-424X;
Technische Universität Braunschweig;2022;2099,05;10.3389/fpsyg.2022.685621;FALSE;FALSE;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Braunschweig;2021;1935,65;10.3390/w13070916;FALSE;FALSE;MDPI;Water;2073-4441;
Technische Universität Braunschweig;2021;1931,47;10.3390/ma14092332;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2021;1142,4;10.1016/j.jmrt.2021.04.089;FALSE;FALSE;Elsevier;Journal of Materials Research and Technology;2238-7854;
Technische Universität Braunschweig;2021;1931,47;10.3390/ma14081934;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2021;1673,14;10.1007/s42452-021-04572-x;FALSE;FALSE;Springer;SN Applied Sciences;2523-3971;
Technische Universität Braunschweig;2021;1545,18;10.3390/bioengineering8050058;FALSE;FALSE;MDPI;Bioengineering;2306-5354;
Technische Universität Braunschweig;2021;1910,01;10.3390/nano11041057;FALSE;FALSE;MDPI;Nanomaterials;2079-4991;
Technische Universität Braunschweig;2021;1352,03;10.3390/a14040125;FALSE;FALSE;MDPI;Algorithms;1999-4893;
Technische Universität Braunschweig;2021;1931,47;10.3390/en14112976;FALSE;FALSE;MDPI;Energies;1996-1073;
Technische Universität Braunschweig;2021;1716,86;10.3390/w13101330;FALSE;FALSE;MDPI;Water;2073-4441;
Technische Universität Braunschweig;2021;473,86;10.1107/S2056989021004126;FALSE;FALSE;IUCr;Acta Crystallographica E;2056-9890;
Technische Universität Braunschweig;2021;1931,47;10.3390/en14092494;FALSE;FALSE;MDPI;Energies;1996-1073;
Technische Universität Braunschweig;2021;1738,33;10.3390/cryst11040451;FALSE;FALSE;MDPI;Crystals;2073-4352;
Technische Universität Braunschweig;2021;772,58;10.3390/joitmc7020118;FALSE;FALSE;MDPI;Journal of Open Innovation: Technology, Market and Complexity;2199-8531;
Technische Universität Braunschweig;2021;1983,86;10.1364/OE.425548;FALSE;FALSE;OSA Publishing;Optics Express;1094-4087;
Technische Universität Braunschweig;2021;1073,03;10.3390/app11104694;FALSE;FALSE;MDPI;Applied Sciences;2076-3417;
Technische Universität Braunschweig;2021;2124,61767;10.3390/pharmaceutics13070996;FALSE;FALSE;MDPI;Pharmaceutics;1999-4923;
Technische Universität Braunschweig;2021;1352,03;10.3390/batteries7020032;FALSE;FALSE;MDPI;Batteries;2313-0105;
Technische Universität Braunschweig;2021;1931,47353;10.3390/en14113185;FALSE;FALSE;MDPI;Energies;1996-1073;
Technische Universität Braunschweig;2021;1838,7;10.1126/sciadv.abf5006;FALSE;FALSE;AAAS;Science Advances;2375-2548;
Technische Universität Braunschweig;2021;1799,28;10.1186/s12911-021-01512-y;FALSE;FALSE;Springer;BMC Medical Informatics and Decision Making;1472-6947;
Technische Universität Braunschweig;2021;2042,15;10.3389/fpsyg.2021.587529;FALSE;FALSE;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Braunschweig;2021;1352,03;10.3390/aerospace8050127;FALSE;FALSE;MDPI;Aerospace;2226-4310;
Technische Universität Braunschweig;2021;1352,0304;10.3390/aerospace8060163;FALSE;FALSE;MDPI;Aerospace;2226-4310;
Technische Universität Braunschweig;2021;473,86;10.1107/S2056989021004734;FALSE;FALSE;IUCr;Acta Crystallographica E;2056-9890;
Technische Universität Braunschweig;2021;473,86;10.1107/S2056989021004795;FALSE;FALSE;IUCr;Acta Crystallographica E;2056-9890;
Technische Universität Braunschweig;2021;1073,05275;10.3390/molecules26102841;FALSE;FALSE;MDPI;Molecules;1420-3049;
Technische Universität Braunschweig;2021;1641,7478;10.3390/metabo11060355;FALSE;FALSE;MDPI;Metabolites;2218-1989;
Technische Universität Braunschweig;2021;1210;10.1515/gps-2021-0036;FALSE;FALSE;DeGruyter;Green Processing and Synthesis;2191-9550;
Technische Universität Braunschweig;2021;1837,003;10.1038/s41598-021-90620-w;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;898,73;10.1017/jog.2021.68;FALSE;FALSE;CUP;Journal of Glaciology;1727-5652;
Technische Universität Braunschweig;2021;1837,003;10.1038/s41598-021-90953-6;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2021;856,8;10.1016/j.trip.2021.100397;FALSE;FALSE;Elsevier;Transportation Research Interdisciplinary Perspectives;2590-1982;
Technische Universität Braunschweig;2022;1649,34;10.5194/tc-16-4727-2022;FALSE;FALSE;Copernicus;The Cryosphere;1994-0424;
Technische Universität Braunschweig;2021;1394,9656;10.3390/s21113731;FALSE;FALSE;MDPI;Sensors;1424-8220;
Technische Universität Braunschweig;2021;1545,17454;10.3390/machines9080149;FALSE;FALSE;MDPI;Machines;2075-1702;
Technische Universität Braunschweig;2021;2124,61767;10.3390/s21113852;FALSE;FALSE;MDPI;Sensors;1424-8220;
Technische Universität Braunschweig;2021;1545,17454;10.3390/fib9060039;FALSE;FALSE;MDPI;Fibers;2079-6439;
Technische Universität Braunschweig;2021;1738,3163;10.3390/jmse9060644;FALSE;FALSE;MDPI;Journal of Marine Science and Engineering;2077-1312;
Technische Universität Braunschweig;2021;1837,003;10.1038/s41420-021-00547-4;FALSE;FALSE;Springer;Cell Death Discovery;2058-7716;
Technische Universität Braunschweig;2021;2033,04;10.1364/PRJ.427691;FALSE;FALSE;OSA Publishing;Photonics Research;2327-9125;
Technische Universität Braunschweig;2021;1352,0304;10.3390/aerospace8080220;FALSE;FALSE;MDPI;Aerospace;2226-4310;
Technische Universität Braunschweig;2021;1931,47353;10.3390/molecules26164739;FALSE;FALSE;MDPI;Molecules;1420-3049;
Technische Universität Braunschweig;2021;869,22;10.1109/ACCESS.2021.3082847;FALSE;FALSE;IEEE;IEEE Access;2169-3536;
Technische Universität Braunschweig;2021;1738,3163;10.3390/cryst11070718;FALSE;FALSE;MDPI;Crystals;2073-4352;
Technische Universität Braunschweig;2021;2000;10.3389/fcimb.2021.697876;FALSE;FALSE;Frontiers;Frontiers in Cellular and Infection Microbiology;2235-2988;
Technische Universität Braunschweig;2021;2157,39;10.3389/fenrg.2021.727011;FALSE;FALSE;Frontiers;Frontiers in Energy Research;2296-598X;
Technische Universität Braunschweig;2021;1738,3163;10.3390/atmos12070874;FALSE;FALSE;MDPI;Atmosphere;2073-4433;
Technische Universität Braunschweig;2021;2317,767165;10.3390/rs13173363;FALSE;FALSE;MDPI;Remote Sensing;2072-4292;
Technische Universität Braunschweig;2021;1931,47353;10.3390/ijms22147351;FALSE;FALSE;MDPI;International Journal of Molecular Sciences;1422-0067;
Technische Universität Braunschweig;2021;1931,468175;10.3390/en14185746;FALSE;FALSE;MDPI;Energies;1996-1073;
Technische Universität Braunschweig;2021;1918,85;10.3389/fmars.2021.546661;FALSE;FALSE;Frontiers;Frontiers in Marine Science;2296-7745;
Technische Universität Braunschweig;2021;2000;10.1016/j.celrep.2021.109433;FALSE;FALSE;Elsevier;Cell Reports;2211-1247;
Technische Universität Braunschweig;2021;1352,0304;10.3390/drones5030063;FALSE;FALSE;MDPI;Drones;2504-446X;
Technische Universität Braunschweig;2021;1931,47353;10.3390/cells10071835;FALSE;FALSE;MDPI;Cells;2073-4409;
Technische Universität Braunschweig;2022;2094,4;10.1002/elsc.202100088;FALSE;FALSE;Wiley;Engineering in Life Sciences;1618-2863;
Technische Universität Braunschweig;2021;1834,89075;10.3390/su13158229;FALSE;FALSE;MDPI;Sustainability;2071-1050;
Technische Universität Braunschweig;2021;1142,4;10.1016/j.jmrt.2021.07.159;FALSE;FALSE;Elsevier;Journal of Materials Research and Technology;2238-7854;
Technische Universität Braunschweig;2021;1394,9537;10.3390/foods10081827;FALSE;FALSE;MDPI;Foods;2304-8158;
Technische Universität Braunschweig;2021;444,51;10.1107/S2056989021007672;FALSE;FALSE;IUCr;Acta Crystallographica E;2056-9890;
Technische Universität Braunschweig;2021;1738,3163;10.3390/met11081236;FALSE;FALSE;MDPI;Metals;2075-4701;
Technische Universität Braunschweig;2021;2086,49;10.1364/OE.438507;FALSE;FALSE;OSA Publishing;Optics Express;1094-4087;
Technische Universität Braunschweig;2022;1545,178824;10.3390/machines9120350;FALSE;FALSE;MDPI;Machines;2075-1702;
Technische Universität Braunschweig;2021;751,128;10.3390/ai2030022;FALSE;FALSE;MDPI;AI;2673-2688;
Technische Universität Braunschweig;2021;1545,17454;10.3390/healthcare9080996;FALSE;FALSE;MDPI;Healthcare;2227-9032;
Technische Universität Braunschweig;2021;2124,61767;10.3390/pharmaceutics13091434;FALSE;FALSE;MDPI;Pharmaceutics;1999-4923;
Technische Universität Braunschweig;2021;2124,61767;10.3390/polym13162702;FALSE;FALSE;MDPI;Polymers;2073-4360;
Technische Universität Braunschweig;2021;1716,8606;10.3390/catal11080982;FALSE;FALSE;MDPI;Catalysts;2073-4344;
Technische Universität Braunschweig;2021;1738,31868;10.3390/ph14090865;FALSE;FALSE;MDPI;Pharmaceuticals;1424-8247;
Technische Universität Braunschweig;2021;1783,56;10.1109/OJAP.2021.3107444;FALSE;FALSE;IEEE;IEEE Open Journal of Antennas and Propagation;2637-6431;
Technische Universität Braunschweig;2021;3032,62;10.1136/bmjdrc-2021-002394;FALSE;FALSE;BMJ;BMJ Open Diabetes Research & Care;2052-4897;
Technische Universität Braunschweig;2021;1341,03;10.1371/journal.pone.0254780;FALSE;FALSE;PLoS;Plos One;1932-6203;
Technische Universität Braunschweig;2021;2450,26;10.1155/2021/5089213;FALSE;FALSE;Hindawi;Shock and Vibration;1875-9203;
Technische Universität Braunschweig;2021;1942,66;10.3389/frobt.2021.734033;FALSE;FALSE;Frontiers;Frontiers in Robotics and AI;2296-9144;
Technische Universität Braunschweig;2021;1352,0304;10.3390/educsci11090496;FALSE;FALSE;MDPI;Education Sciences;2227-7102;
Technische Universität Braunschweig;2021;1931,47353;10.3390/cells10092299;FALSE;FALSE;MDPI;Cells;2073-4409;
Technische Universität Braunschweig;2021;1980,47;10.3389/fspor.2021.775322;FALSE;FALSE;Frontiers;Frontiers in Sports and Active Living;2624-9367;
Technische Universität Braunschweig;2022;1282,82;10.5194/soil-8-99-2022;FALSE;FALSE;Copernicus;Soil;2199-398X;
Technische Universität Braunschweig;2021;2124,61767;10.3390/s21186140;FALSE;FALSE;MDPI;Sensors;1424-8220;
Technische Universität Braunschweig;2021;2317,76;10.3390/toxins13110816;FALSE;FALSE;MDPI;Toxins;2072-6651;
Technische Universität Braunschweig;2021;3019,44;10.3389/fmars.2021.732720;FALSE;FALSE;Frontiers;Frontiers in Marine Science;2296-7745;
Technische Universität Braunschweig;2021;2213,4;10.5194/acp-21-18707-2021;FALSE;FALSE;Copernicus;Atmospheric Chemistry and Physics;1680-7324;
Technische Universität Braunschweig;2021;1142,4;10.1016/j.jmrt.2021.09.050;FALSE;FALSE;Elsevier;Journal of Materials Research and Technology;2214-0697;
Technische Universität Braunschweig;2021;1352,0304;10.3390/batteries7040064;FALSE;FALSE;MDPI;Batteries;2313-0105;
Technische Universität Braunschweig;2021;1931,47353;10.3390/ma14206125;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2022;1907,69733;10.3390/ma15020643;FALSE;FALSE;MDPI;Materials;1996-1944;
Technische Universität Braunschweig;2022;1933,6905;10.1038/s41598-021-99173-4;FALSE;FALSE;Springer;Scientific Reports;2045-2322;
Technische Universität Braunschweig;2022;1352,0304;10.3390/a15020046;FALSE;FALSE;MDPI;Algorithms;1999-4893;
Technische Universität Braunschweig;2021;481,5;10.1107/S2056989021010008;FALSE;FALSE;IUCr;Acta Crystallographica E;2056-9890;
Technische Universität Braunschweig;2021;1931,47353;10.3390/app11199175;FALSE;FALSE;MDPI;Applied Sciences;2076-3417;
Technische Universität Braunschweig;2021;1931,47353;10.3390/molecules26196029;FALSE;FALSE;MDPI;Molecules;1420-3049;
Technische Universität Braunschweig;2021;482,87106;10.3390/M1293;FALSE;FALSE;MDPI;Molbank;1422-8599;
Technische Universität Braunschweig;2021;1352,0304;10.3390/educsci11100629;FALSE;FALSE;MDPI;Education Sciences;2227-7102;
Technische Universität Braunschweig;2021;1931,47353;10.3390/ma15010120;FALSE;FALSE;MDPI;Applied Sciences;2076-3417;
Technische Universität Braunschweig;2021;1931,47353;10.3390/polym13203566;FALSE;FALSE;MDPI;Polymers;2073-4360;
Technische Universität Braunschweig;2021;1864,66;10.1109/ACCESS.2021.3135138;FALSE;FALSE;IEEE;IEEE Access;2169-3536;
Technische Universität Braunschweig;2021;1931,47353;10.3390/ijms222111348;FALSE;FALSE;MDPI;International Journal of Molecular Sciences;1422-0067;
Technische Universität Braunschweig;2021;2000,34;10.1093/nar/gkab1110;FALSE;FALSE;Oxford University Press;Nucleic Acids Research;1362-4962;
Technische Universität Braunschweig;2021;1463,7;10.1088/2399-6528/ac2e54;FALSE;FALSE;IOP;Journal of Physics Communications;2399-6528;
Technische Universität Braunschweig;2022;1374,45;10.5194/angeo-40-91-2022;FALSE;FALSE;Copernicus;Annales Geophysicae;1432-0576;
Technische Universität Braunschweig;2022;1180,346125;10.3390/s21238053;FALSE;FALSE;MDPI;Sensors;1424-8220;
Technische Universität Braunschweig;2023;1904;10.1049/cvi2.12166;FALSE;FALSE;Wiley;IET Computer Vision;1751-9640;
Technische Universität Braunschweig;2022;965,73141;10.3390/modelling2040042;FALSE;FALSE;MDPI;Modelling;2673-3951;
Technische Universität Braunschweig;2021;1931,47353;10.3390/pr9101851;FALSE;FALSE;MDPI;Processes;2227-9717;
Technische Universität Braunschweig;2021;856,8;10.17645/pag.v9i4.4275;FALSE;FALSE;Cogitatio;Politics and Governance;2183-2463;
Technische Universität Braunschweig;2021;1019,38375;10.3390/bios11110407;FALSE;FALSE;MDPI;Biosensors;2079-6374;
Technische Universität Braunschweig;2021;1931,47353;10.3390/molecules26216514;FALSE;FALSE;MDPI;Molecules;1420-3049;
Technische Universität Braunschweig;2021;2660,36;10.3389/fcimb.2021.717689;FALSE;FALSE;Frontiers;Frontiers in Cellular and Infection Microbiology;2235-2988;
Technische Universität Braunschweig;2021;486,75;10.1107/S2056989021011488;FALSE;FALSE;IUCr;Acta Crystallographica E;2056-9890;
Technische Universität Braunschweig;2022;965,736765;10.3390/modelling2040031;FALSE;FALSE;MDPI;Modelling;2673-3951;
Technische Universität Braunschweig;2022;1073,043825;10.3390/molecules26237284;FALSE;FALSE;MDPI;Molecules;1420-3049;
Technische Universität Braunschweig;2021;1931,47353;10.3390/en14217271;FALSE;FALSE;MDPI;Energies;1996-1073;
Technische Universität Braunschweig;2021;1716,8606;10.3390/pharmaceutics13122194;FALSE;FALSE;MDPI;Pharmaceutics;1999-4923;
Technische Universität Braunschweig;2022;1442,92;10.1021/acsomega.1c06343;FALSE;FALSE;ACS;ACS Omega;2470-1343;
Technische Universität Braunschweig;2021;2787,85;10.3389/fpsyg.2021.760062;FALSE;FALSE;Frontiers;Frontiers in Psychology;1664-1078;
Technische Universität Braunschweig;2022;1046,57;10.3389/feduc.2022.827631;FALSE;FALSE;Frontiers;Frontiers in Education-Higher Education;2504-284X;
Technische Universität Braunschweig;2021;2124,61767;10.3390/s21196479;FALSE;FALSE;MDPI;Sensors;1424-8220;
Technische Universität Braunschweig;2021;751,128;10.3390/jcs5100256;FALSE;FALSE;MDPI;Journal of Composites Science;2504-477X;
Technische Universität Braunschweig;2022;1805;10.1515/ntrev-2022-0062;FALSE;FALSE;DeGruyter;Nanotechnology Reviews;2191-9097;
Technische Universität Braunschweig;2021;1558,9;10.1016/j.jajp.2021.100083;FALSE;FALSE;Elsevier;Journal of Advanced Joining Processes;2666-3309;
Technische Universität Braunschweig;2022;1738,322964;10.3390/separations8120243;FALSE;FALSE;MDPI;Separations;2297-8739;
Technische Universität Braunschweig;2022;1931,47353;10.3390/app12020597;FALSE;FALSE;MDPI;Applied Sciences;2076-3417;
Technische Universität Braunschweig;2022;1834,89075;10.3390/su14031690;FALSE;FALSE;MDPI;Sustainability;2071-1050;
Technische Universität Braunschweig;2021;751,128;10.3390/jcs6010001;FALSE;FALSE;MDPI;Journal of Composites Science;2504-477X;
Technische Universität Braunschweig;2022;1738,322964;10.3390/atmos13010035;FALSE;FALSE;MDPI;Atmosphere;2073-4433;
Technische Universität Braunschweig;2022;1545,178824;10.3390/machines10010059;FALSE;FALSE;MDPI;Machines;2075-1702;
Technische Universität Braunschweig;2022;1738,31868;10.3390/met12010134;FALSE;FALSE;MDPI;Metals;2075-4701;
Technische Universität Braunschweig;2022;1641,7478;10.3390/bioengineering9020067;FALSE;FALSE;MDPI;Bioengineering;2306-5354;
Technische Universität Braunschweig;2022;1738,3163;10.3390/machines10030164;FALSE;FALSE;MDPI;Machines;2075-1702;
Technische Universität Braunschweig;2022;1502,256;10.3390/w14030418;FALSE;FALSE;MDPI;Water;2073-4441;
Technische Universität Braunschweig;2022;1738,31868;10.3390/separations9020025;FALSE;FALSE;MDPI;Separations;2297-8739;
Technische Universität Braunschweig;2022;1931,4771;10.3390/coatings12030330;FALSE;FALSE;MDPI;Coatings;2079-6412;
Technische Universität Braunschweig;2022;1834,89075;10.3390/su14031530;FALSE;FALSE;MDPI;Sustainability;2071-1050;
Technische Universität Braunschweig;2022;1928,25;10.1371/journal.pone.0263764;FALSE;FALSE;PLoS;Plos One;1932-6203;
Technische Universität Braunschweig;2022;1555,73;10.1109/JPHOT.2022.3149389;FALSE;FALSE;IEEE;IEEE Photonics Journal;1943-0655;
Technische Universität Braunschweig;2022;1834,87885;10.3390/su14042080;FALSE;FALSE;MDPI;Sustainability;2071-1050;
Technische Universität Braunschweig;2022;1931,47115;10.3390/separations9020049;FALSE;FALSE;MDPI;Separations;2297-8739;
