"__fact_key__","institution","period","publisher","journal_full_title","ISSN","doi","is_hybrid","country","euro"
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Plant Science","1664-462X","10.3389/fpls.2021.707541",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640","10.3389/fpsyt.2021.629474",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.606865",0,"DEU",2092.60
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.665508",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.602977",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.627440",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.636086",0,"DEU",2092.60
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.685167",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.697881",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.720616",0,"DEU",440.68
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.716950",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.734877",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.793764",0,"DEU",440.68
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.712418",0,"DEU",2078.17
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Psychology","1664-1078","10.3389/fpsyg.2021.629050",0,"DEU",1811.70
"Potsdam U","Potsdam U",2021,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367","10.3389/fspor.2021.659982",0,"DEU",1860.66
"Potsdam U","Potsdam U",2021,"Open Library of Humanities","Glossa","2397-1835","10.5334/gjgl.1275",0,"DEU",454.73
"Potsdam U","Potsdam U",2021,"Verlag der Österreichischen Akademie der Wissenschaften, Wien","GW-Unterricht","2414-4169","10.1553/gw-unterricht164s72",0,"DEU",700.00
"Potsdam U","Potsdam U",2021,"Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938","10.5194/hess-25-2353-2021",0,"DEU",1740.97
"Potsdam U","Potsdam U",2021,"Copernicus GmbH","Hydrology and Earth System Sciences","1607-7938","10.5194/hess-25-4807-2021",0,"DEU",1649.34
"Potsdam U","Potsdam U",2021,"MDPI AG","Insects","2075-4450","10.3390/insects12050454",0,"DEU",1545.18
"Potsdam U","Potsdam U",2021,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601","10.3390/ijerph18020497",0,"DEU",2278.52
"Potsdam U","Potsdam U",2021,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601","10.3390/ijerph18020558",0,"DEU",2280.40
"Potsdam U","Potsdam U",2021,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601","10.3390/ijerph182111579",0,"DEU",2221.19
"Potsdam U","Potsdam U",2021,"MDPI AG","International Journal of Molecular Sciences","1422-0067","10.3390/ijms22115666",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","International Journal of Molecular Sciences","1422-0067","10.3390/ijms22115846",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","International Journal of Molecular Sciences","1422-0067","10.3390/ijms22147676",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","International Journal of Molecular Sciences","1422-0067","10.3390/ijms222010905",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"JMIR Publications","JMIR Serious Games","2291-9279","10.2196/32721",0,"DEU",2089.35
"Potsdam U","Potsdam U",2021,"De Gruyter","Journal for Transcendental Philosophy","2626-8329","10.1515/jtph-2021-0016",0,"DEU",2380.00
"Potsdam U","Potsdam U",2021,"MDPI AG","Journal of Clinical Medicine","2077-0383","10.3390/jcm10194506",0,"DEU",1888.54
"Potsdam U","Potsdam U",2021,"Springer Nature","Journal of Foot and Ankle Research","1757-1146","10.1186/s13047-021-00480-w",0,"DEU",1842.55
"Potsdam U","Potsdam U",2021,"MDPI AG","Materials","1996-1944","10.3390/ma14143996",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","Microorganisms","2076-2607","10.3390/microorganisms9061265",0,"DEU",1089.24
"Potsdam U","Potsdam U",2021,"MDPI AG","Minerals","2075-163X","10.3390/min11121379",0,"DEU",1738.33
"Potsdam U","Potsdam U",2021,"Elsevier BV","Molecular Metabolism","2212-8778","10.1016/j.molmet.2021.101276",0,"DEU",2380.00
"Potsdam U","Potsdam U",2021,"MDPI AG","Molecules","1420-3049","10.3390/molecules26040804",0,"DEU",1763.29
"Potsdam U","Potsdam U",2021,"MDPI AG","Molecules","1420-3049","10.3390/molecules26195859",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","Molecules","1420-3049","10.3390/molecules26216469",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","Molecules","1420-3049","10.3390/molecules26154698",0,"DEU",1716.86
"Potsdam U","Potsdam U",2021,"MDPI AG","Nanomaterials","2079-4991","10.3390/nano11123312",0,"DEU",2092.42
"Potsdam U","Potsdam U",2021,"Copernicus GmbH","Natural Hazards and Earth System Sciences","1684-9981","10.5194/nhess-21-1599-2021",0,"DEU",1466.08
"Potsdam U","Potsdam U",2021,"IOP Publishing","New Journal of Physics","1367-2630","10.1088/1367-2630/ac4282",0,"DEU",1490.48
"Potsdam U","Potsdam U",2021,"IOP Publishing","New Journal of Physics","1367-2630","10.1088/1367-2630/abd313",0,"DEU",1260.81
"Potsdam U","Potsdam U",2021,"IOP Publishing","New Journal of Physics","1367-2630","10.1088/1367-2630/abd50e",0,"DEU",1418.10
"Potsdam U","Potsdam U",2021,"IOP Publishing","New Journal of Physics","1367-2630","10.1088/1367-2630/ac1e42",0,"DEU",1490.48
"Potsdam U","Potsdam U",2021,"De Gruyter","Open Linguistics","2300-9969","10.1515/opli-2020-0173",0,"DEU",595.00
"Potsdam U","Potsdam U",2021,"Springer Nature","Pilot and Feasibility Studies","2055-5784","10.1186/s40814-021-00898-w",0,"DEU",1704.08
"Potsdam U","Potsdam U",2021,"Public Library of Science (PLoS)","PLOS ONE","1932-6203","10.1371/journal.pone.0247581",0,"DEU",1664.37
"Potsdam U","Potsdam U",2021,"Public Library of Science (PLoS)","PLOS ONE","1932-6203","10.1371/journal.pone.0249537",0,"DEU",1708.35
"Potsdam U","Potsdam U",2021,"Public Library of Science (PLoS)","PLOS ONE","1932-6203","10.1371/journal.pone.0238331",0,"DEU",1708.35
"Potsdam U","Potsdam U",2021,"Public Library of Science (PLoS)","PLOS ONE","1932-6203","10.1371/journal.pone.0253503",0,"DEU",1786.29
"Potsdam U","Potsdam U",2021,"Public Library of Science (PLoS)","PLOS ONE","1932-6203","10.1371/journal.pone.0254705",0,"DEU",1731.97
"Potsdam U","Potsdam U",2021,"MDPI AG","Polymers","2073-4360","10.3390/polym13020208",0,"DEU",1732.78
"Potsdam U","Potsdam U",2021,"MDPI AG","Processes","2227-9717","10.3390/pr9081396",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"MDPI AG","Remote Sensing","2072-4292","10.3390/rs13183788",0,"DEU",2317.76
"Potsdam U","Potsdam U",2021,"Elsevier BV","Science of Remote Sensing","2666-0172","10.1016/j.srs.2021.100036",0,"DEU",1383.38
"Potsdam U","Potsdam U",2021,"Springer Nature","Scientific Reports","2045-2322","10.1038/s41598-021-85444-7",0,"DEU",1837.00
"Potsdam U","Potsdam U",2021,"Springer Nature","Scientific Reports","2045-2322","10.1038/s41598-021-90062-4",0,"DEU",1837.00
"Potsdam U","Potsdam U",2021,"Springer Nature","Scientific Reports","2045-2322","10.1038/s41598-021-81672-z",0,"DEU",1837.00
"Potsdam U","Potsdam U",2021,"Springer Nature","Scientific Reports","2045-2322","10.1038/s41598-021-95759-0",0,"DEU",1933.69
"Potsdam U","Potsdam U",2021,"Springer Nature","Scientific Reports","2045-2322","10.1038/s41598-021-97560-5",0,"DEU",1933.69
"Potsdam U","Potsdam U",2021,"Springer Nature","Scientific Reports","2045-2322","10.1038/s41598-021-97000-4",0,"DEU",1933.69
"Potsdam U","Potsdam U",2021,"Springer Nature","Scientific Reports","2045-2322","10.1038/s41598-021-92140-z",0,"DEU",1837.00
"Potsdam U","Potsdam U",2021,"MDPI AG","Sensors","1424-8220","10.3390/s21093170",0,"DEU",2124.61
"Potsdam U","Potsdam U",2021,"Thieme","Sports Medicine International Open","2367-1890","10.1055/a-1757-6724",0,"DEU",2023.00
"Potsdam U","Potsdam U",2021,"AIP Publishing","Structural Dynamics","2329-7778","10.1063/4.0000040",0,"DEU",1438.49
"Potsdam U","Potsdam U",2021,"AIP Publishing","Structural Dynamics","2329-7778","10.1063/4.0000072",0,"DEU",1520.19
"Potsdam U","Potsdam U",2021,"Copernicus GmbH","The Cryosphere","1994-0416","10.5194/tc-15-4145-2021",0,"DEU",2102.73
"Potsdam U","Potsdam U",2021,"MDPI AG","Toxics","2305-6304","10.3390/toxics9110305",0,"DEU",1545.18
"Potsdam U","Potsdam U",2021,"MDPI AG","Toxins","2072-6651","10.3390/toxins13040247",0,"DEU",2317.76
"Potsdam U","Potsdam U",2021,"Springer Nature","Trials","1745-6215","10.1186/s13063-021-05823-3",0,"DEU",1763.72
"Potsdam U","Potsdam U",2021,"MDPI AG","Water","2073-4441","10.3390/w13070937",0,"DEU",1935.65
"Potsdam U","Potsdam U",2021,"MDPI AG","Water","2073-4441","10.3390/w13182476",0,"DEU",1931.47
"Potsdam U","Potsdam U",2021,"Elsevier BV","Weather and Climate Extremes","2212-0947","10.1016/j.wace.2021.100312",0,"DEU",2034.90
