Institution;Period;Euro;DOI;Is Hybrid;Agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jctc.2c00063;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jctc.2c00499;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.joc.0c02922;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpca.0c09999;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpca.1c02422;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpca.1c08132;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpca.2c04607;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpca.2c05271;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpcb.1c06759;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpcb.1c10736;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpcb.2c00637;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpcb.2c01111;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpcc.1c02177;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpcc.1c04003;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpcc.1c05804;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpcc.1c07247;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpcc.1c07647;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpcc.2c01842;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpcc.2c02176;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpcc.2c04118;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpcc.2c04442;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.jpclett.1c02585;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpclett.2c00273;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpclett.2c02313;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.jpclett.2c02576;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.langmuir.2c02515;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.macromol.1c02142;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.molpharmaceut.2c00523;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.nanolett.1c00868;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.nanolett.1c04357;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.nanolett.2c01114;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acs.nanolett.2c01922;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsabm.2c00311;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsabm.2c00658;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsaelm.1c00508;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsaelm.1c00894;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsaelm.2c00300;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsaelm.2c00748;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsaelm.2c01047;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsaem.1c02058;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsami.0c20140;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsami.1c05185;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsami.1c14972;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsami.1c15231;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsami.1c21437;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsami.1c21553;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsami.2c00389;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsami.2c04865;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsanm.0c03465;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsanm.1c00118;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsanm.2c02013;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsapm.1c01157;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsapm.2c01073;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acscatal.2c01534;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acschemneuro.0c00714;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acschemneuro.1c00117;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acschemneuro.1c00436;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acschemneuro.1c00707;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsfoodscitech.1c00123;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsnano.0c08029;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsnano.2c04048;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acsphotonics.1c01055;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acsphotonics.1c01781;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acssuschemeng.1c01230;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acssuschemeng.1c03374;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acssuschemeng.1c07217;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acssuschemeng.1c07604;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acssuschemeng.1c08466;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acssuschemeng.2c01554;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/acssuschemeng.2c05633;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/jacs.1c01754;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2022;4.779,63;10.1021/accountsmr.2c00073;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;4.221,45;10.1021/acs.accounts.0c00825;TRUE;CNR ACS agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/1.5125216;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/1.5132300;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;2.895,18;10.1063/1.5133064;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/1.5139625;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/1.5140813;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/1.5142161;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/1.5142528;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/10.0000870;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0003258;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0003614;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0004103;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;2.895,18;10.1063/5.0005302;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0006641;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0007480;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0008608;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0010765;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0011089;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0011304;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0012029;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0012399;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0012669;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0013512;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0014280;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0015185;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0019937;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;2.895,18;10.1063/5.0020415;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0020545;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0020752;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0021196;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0021996;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0022030;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0023301;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0023567;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0023696;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0024998;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0025326;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0029595;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0032267;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0034568;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0035529;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;3.096,45;10.1063/5.0035563;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0040815;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0041264;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0044693;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0046555;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0046972;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0047737;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;2.960,29;10.1063/5.0048567;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0049721;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0050788;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0051427;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0052079;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0054048;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0055466;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0055954;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0056296;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0056524;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0056869;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0057501;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0059304;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0061374;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;2.960,29;10.1063/5.0063805;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0070984;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0071218;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0075231;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1063/5.0077718;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1116/5.0058163;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;3.166,09;10.1116/5.0073450;TRUE;CNR AIP agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C8SM01831F;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9AY02728A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9CC09507A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9CC09915H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9CC09980H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9CP06373K;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9CY02192B;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9EW01124B;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9FD00117D;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9JA00381A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/C9SE01240K;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0AY00010H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CC02857F;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CC05172A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP00907E;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP00939C;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP01863E;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP02512G;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP03707A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP04051G ;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP04123H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0CP04958A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP05204C;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CP05478J;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0CP05907B;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0CP06401G;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0CP06452A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CS00179A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CY00945H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CY01427C;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CY02004D;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0CY02227F ;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0DT01127D;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0DT02860F;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0EN00732C;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0LC00427H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0NH00477D;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0NJ00403K;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0NJ03544K;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0NJ03896B;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0NR01361G;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0NR05763K;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0NR06744J;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0NR07824G;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0NR08259G;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0PY00158A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0SE00124D;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0SE01610A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0SM00441C;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0SM01391A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0SM02162H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0TC01436B;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0TC01856B;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2020;1.785,91;10.1039/D0TC02743J;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D0TC05285J;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1BM00858G;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1BM01129D;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CC00704A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CC01145F;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CC02684D;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CC02937A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP00740H;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP01267C;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP01612A;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP02031E;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP02571F;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP02899E;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP03428F;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP03583E;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP03942C;TRUE;CNR RSC agreement
Consiglio Nazionale Delle Ricerche (CNR);2021;1.645,87;10.1039/D1CP04050B;TRUE;CNR RSC agreement
