Nr.,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
75,Goettingen University,2015,"1386,35",10.1038/srep12767,FALSE,,,,,,
76,Goettingen University,2015,"1386,35",10.1038/srep12824,FALSE,,,,,,
77,Goettingen University,2015,"1577,94",10.1088/1367-2630/17/7/073033,FALSE,,,,,,
78,Goettingen University,2015,"1386,35",10.1038/srep13431,FALSE,,,,,,
79,Goettingen University,2015,"1135,12",10.3390/toxins7083000,FALSE,,,,,,
80,Goettingen University,2015,"286,99",NA,FALSE,ISPUB,"The Internet Journal of Pain, Symptom Control and Palliative Care",1528-8277,NA,NA,print.ispub.com/api/0/ispub-article/26961
81,Goettingen University,2015,"424,44",10.4236/ojf.2015.57063 ,FALSE,,,,,,
82,Goettingen University,2015,"1904,00",10.3389/fpls.2015.00765,FALSE,,,,,,
83,Goettingen University,2015,"1386,35",10.1038/srep13951,FALSE,,,,,,
84,Goettingen University,2015,"1419,17",10.1371/journal.pone.0132933,FALSE,,,,,,
85,Goettingen University,2015,"1419,17",10.1371/journal.pone.0134935,FALSE,,,,,,
86,Goettingen University,2015,"1419,17",10.1371/journal.pone.0133325,FALSE,,,,,,
87,Goettingen University,2015,"1434,69",10.1371/journal.pone.0137056,FALSE,,,,,,
88,Goettingen University,2015,"1434,69",10.1371/journal.pone.0135928,FALSE,,,,,,
89,Goettingen University,2015,"1434,69",10.1371/journal.pone.0136778,FALSE,,,,,,
90,Goettingen University,2015,"1434,69",10.1371/journal.pone.0136296,FALSE,,,,,,
91,Goettingen University,2015,"1434,69",10.1371/journal.pone.0137961,FALSE,,,,,,
92,Goettingen University,2015,"1386,35",10.1038/srep14700,FALSE,,,,,,
93,Goettingen University,2015,"1999,20",10.3389/fncel.2015.00373,FALSE,,,,,,
94,Goettingen University,2015,"1267,35",10.1093/nar/gkv930,FALSE,,,,,,
95,Goettingen University,2015,"1999,20",10.3389/fpls.2015.00857,FALSE,,,,,,
96,Goettingen University,2015,"344,42",NA,FALSE,Cloud Publications,International Journal of Advanced Remote Sensing and GIS,2320-0243,NA,NA,https://www.researchgate.net/profile/Hong_Quang_Nguyen2/publication/284186683_Modeling_Surface_Runoff_and_Evapotranspiration_using_SWAT_and_BEACH_for_a_Tropical_Watershed_in_North_Vietnam_Compared_to_MODIS_Products/links/564f343108ae4988a7a80f6f.pdf?inViewer=0&pdfJsDownload=0&origin=publication_detail
97,Goettingen University,2015,"1988,04",10.3389/fncom.2015.00114,FALSE,,,,,,
98,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0139163,FALSE,,,,,,
99,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0140100,FALSE,,,,,,
100,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0139583,FALSE,,,,,,
101,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0137844,FALSE,,,,,,
102,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0136739,FALSE,,,,,,
103,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0138852,FALSE,,,,,,
104,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0137519,FALSE,,,,,,
105,Goettingen University,2015,"1319,47",10.1371/JOURNAL.PONE.0138077,FALSE,,,,,,
106,Goettingen University,2015,"1999,20",10.3389/fmicb.2015.01126,FALSE,,,,,,
107,Goettingen University,2015,"1999,20",10.5194/hessd-12-9915-2015,FALSE,,,,,,
108,Goettingen University,2015,"589,05",10.5194/fr-18-127-2015,FALSE,,,,,,
109,Goettingen University,2015,"963,90",10.5194/bg-12-5635-2015,FALSE,,,,,,
110,Goettingen University,2015,"785,40",10.5194/bgd-12-9729-2015,FALSE,,,,,,
111,Goettingen University,2015,"1540,05",10.3389/feart.2015.00066,FALSE,,,,,,
112,Goettingen University,2015,"1992,46",10.4172/2165-7904.1000280,FALSE,,,,,,
113,Goettingen University,2015,"1643,04",10.1155/2016/7928014,FALSE,,,,,,
114,Goettingen University,2015,"1386,35",10.1038/srep17085,FALSE,,,,,,
115,Goettingen University,2015,"1547,75",10.1097/MD.0000000000002035,FALSE,,,,,,
116,Goettingen University,2015,"589,05",10.5194/fr-19-1-2016,FALSE,,,,,,
117,Goettingen University,2015,"1505,62",10.1371/JOURNAL.PONE.0141216,FALSE,,,,,,
118,Goettingen University,2015,"1505,62",10.1371/JOURNAL.PONE.0140179,FALSE,,,,,,
119,Goettingen University,2015,"1505,62",10.1371/JOURNAL.PONE.0140788,FALSE,,,,,,
120,Goettingen University,2015,"1505,62",10.1371/JOURNAL.PONE.0140977,FALSE,,,,,,
121,Goettingen University,2015,"1589,27",10.3389/feart.2015.00075 ,FALSE,,,,,,
122,Goettingen University,2015,"1589,27",10.3389/fmicb.2015.01339,FALSE,,,,,,
123,Goettingen University,2015,"1740,97",10.1093/gbe/evv222,FALSE,,,,,,
124,Goettingen University,2015,"1386,35",10.1038/srep17420,FALSE,,,,,,
125,Goettingen University,2015,"1131,56",10.3390/w7126657,FALSE,,,,,,
126,Goettingen University,2015,"561,25",NA,FALSE,Jacobs Publishers,Jacobs Journal of Hematology,2380-1646,NA,NA,hematology.jacobspublishers.com/images/Hematology/J_J_Hemato_2_1_023.pdf
127,Goettingen University,2015,"780,26",10.14293/S2199-1006.1.SOR-MATSCI.AKA0J6.v2,FALSE,,,,,,
128,Goettingen University,2015,"1606,37",10.3390/molecules191221022,FALSE,,,,,,
129,Goettingen University,2015,"1142,40",10.3389/fpsyg.2014.01415,FALSE,,,,,,
130,Goettingen University,2015,"1325,17",10.1371/journal.pone.0115444,FALSE,,,,,,
131,Goettingen University,2015,"2035,60",10.1136/bmjopen-2014-006616,FALSE,,,,,,
132,Goettingen University,2015,"902,09",10.4172/2375-4494.1000174,FALSE,,,,,,
133,Goettingen University,2015,"1104,32",10.5194/bgd-11-14667-2014,FALSE,,,,,,
134,Goettingen University,2015,"1142,40",10.3389/fpls.2014.00806,FALSE,,,,,,
135,Goettingen University,2015,"2152,99",10.1038/ncomms7279,FALSE,,,,,,
136,Goettingen University,2015,"1456,56",10.1088/1367-2630/16/12/123005,FALSE,,,,,,
137,Goettingen University,2015,"3094,00",10.1038/cddis.2015.17,FALSE,,,,,,
138,Goettingen University,2015,"2223,67",10.1155/2015/154272,FALSE,,,,,,
139,Goettingen University,2015,"1424,47",10.1016/j.bonr.2014.12.001,FALSE,,,,,,
140,Goettingen University,2015,"2080,70",10.1136/openhrt-2014-000182,FALSE,,,,,,
141,Goettingen University,2015,"4403,00",10.1038/ncomms7008,FALSE,,,,,,
142,Goettingen University,2015,"2237,20",10.1111/jcmm.12630,FALSE,,,,,,
143,Goettingen University,2015,"3094,00",10.1038/cddis.2015.169,FALSE,,,,,,
144,Goettingen University,2015,"2470,70",10.1371/journal.pcbi.1004425,FALSE,,,,,,
145,Goettingen University,2015,"1046,66",10.1126/sciadv.1500451 ,FALSE,,,,,,
146,Goettingen University,2015,"2000,00",10.1038/ncomms9221,FALSE,,,,,,
147,Goettingen University,2015,"3054,02",10.18632/oncotarget.5288,FALSE,,,,,,
148,Goettingen University,2015,"2365,28",10.1371/journal.pntd.0003972,FALSE,,,,,,
149,Goettingen University,2015,"2000,00",10.1038/ncomms9568,FALSE,,,,,,
150,Goettingen University,2015,"2000,00",10.1038/ncomms8822,FALSE,,,,,,
151,Goettingen University,2015,"3510,50",10.15252/emmm.201505246,FALSE,,,,,,
152,Goettingen University,2015,"1191,49",10.1371/journal.ppat.1005205,FALSE,,,,,,
153,Goettingen University,2015,"2000,00",10.1016/j.celrep.2015.09.042,FALSE,,,,,,
154,Goettingen University,2015,"4380,43",10.1016/j.celrep.2015.08.009,FALSE,,,,,,
155,Goettingen University,2015,"1602,94",10.3389/fphys.2015.00381,FALSE,,,,,,
156,Goettingen University,2015,"1589,12",10.3389/fgene.2015.00351,FALSE,,,,,,
157,Goettingen University,2015,"4694,83",10.1016/j.celrep.2015.10.046,FALSE,,,,,,
158,Goettingen University,2015,"1386,35",10.1038/srep17338,FALSE,,,,,,
159,Goettingen University,2015,"1548,63",10.3389/fpls.2015.01133,FALSE,,,,,,
160,Goettingen University,2015,"1456,56",10.1088/1367-2630/17/8/083035,FALSE,,,,,,
161,Goettingen University,2015,"1468,12",10.1371/journal.pone.0144035,FALSE,,,,,,
162,Goettingen University,2015,"1468,12",10.1371/journal.pone.0143954,FALSE,,,,,,
163,Goettingen University,2015,"1468,12",10.1371/journal.pone.0143783,FALSE,,,,,,
164,Goettingen University,2015,"1468,12",10.1371/journal.pone.0144014,FALSE,,,,,,
165,Goettingen University,2015,"1468,12",10.1371/journal.pone.0141827,FALSE,,,,,,
166,Goettingen University,2015,"1187,91",10.3390/su71115754,FALSE,,,,,,
167,Goettingen University,2015,"2618,00",10.1016/j.ijcha.2015.11.001,FALSE,,,,,,
168,Goettingen University,2015,"1594,60",10.1186/s13054-014-0717-4,FALSE,,,,,,
169,Goettingen University,2015,"1642,20",10.1186/s12974-014-0208-1,FALSE,,,,,,
170,Goettingen University,2015,"1594,60",10.1186/1471-2253-15-3,FALSE,,,,,,
171,Goettingen University,2015,"780,64",10.1186/1752-1947-9-22,FALSE,,,,,,
172,Goettingen University,2015,"1594,60",10.1186/s12875-014-0215-4,FALSE,,,,,,
173,Goettingen University,2015,"1618,40",10.1186/s13019-015-0218-9,FALSE,,,,,,
174,Goettingen University,2015,"1204,28",10.1186/s12711-014-0085-1,FALSE,,,,,,
175,Goettingen University,2015,"1523,20",10.1186/s12953-015-0063-8,FALSE,,,,,,
176,Goettingen University,2015,"1408,96",10.1186/s13015-015-0032-x,FALSE,,,,,,
177,Goettingen University,2015,"1523,20",10.1186/1944-3277-10-16,FALSE,,,,,,
178,Goettingen University,2015,"1594,60",10.1186/s12909-015-0311-8,FALSE,,,,,,
179,Goettingen University,2015,"1508,92",10.1186/s13075-015-0553-1,FALSE,,,,,,
180,Goettingen University,2015,"1594,60",10.1186/s12864-015-1437-0,FALSE,,,,,,
181,Goettingen University,2015,"1594,60",10.1186/s13000-015-0243-y,FALSE,,,,,,
182,Goettingen University,2015,"1594,60",10.1186/s12885-015-1165-5,FALSE,,,,,,
183,Goettingen University,2015,"1499,40",10.1186/s12995-015-0056-7,FALSE,,,,,,
184,Goettingen University,2015,"1594,60",10.1186/s12861-015-0068-7,FALSE,,,,,,
185,Goettingen University,2015,"1594,60",10.1186/s12984-015-0022-8,FALSE,,,,,,
186,Goettingen University,2015,"1594,60",10.1186/s12909-015-0354-x,FALSE,,,,,,
187,Goettingen University,2015,"1594,60",10.1186/s13054-015-0906-9,FALSE,,,,,,
188,Goettingen University,2015,"1504,16",10.1186/s12968-015-0140-2,FALSE,,,,,,
189,Goettingen University,2015,"1594,60",10.1186/s12874-015-0025-y,FALSE,,,,,,
190,Goettingen University,2015,"1523,20",10.1186/s12890-015-0054-7,FALSE,,,,,,
191,Goettingen University,2015,"1899,24",10.1186/s13227-015-0011-9,FALSE,,,,,,
192,Goettingen University,2015,"2146,76",10.1186/s13073-015-0172-0,FALSE,,,,,,
193,Goettingen University,2015,"837,76",10.1186/s12302-015-0042-9,FALSE,,,,,,
194,Goettingen University,2015,"2018,24",10.1186/s12916-015-0368-6,FALSE,,,,,,
195,Goettingen University,2015,"1661,24",10.1186/s12941-015-0091-3,FALSE,,,,,,
196,Goettingen University,2015,"1594,60",10.1186/s12984-015-0047-z,FALSE,,,,,,
197,Goettingen University,2015,"1594,60",10.1186/s12868-015-0172-4,FALSE,,,,,,
198,Goettingen University,2015,"952,00",10.1186/s13104-015-1248-z,FALSE,,,,,,
199,Goettingen University,2015,"1594,60",10.1186/s12859-015-0635-8,FALSE,,,,,,
200,Goettingen University,2015,"1661,24",10.1186/s13000-015-0342-9,FALSE,,,,,,
201,Goettingen University,2015,"2042,04",10.1186/s13073-015-0180-0,FALSE,,,,,,
202,Goettingen University,2015,"1899,24",10.1186/s40317-015-0051-x,FALSE,,,,,,
203,Goettingen University,2015,"1594,60",10.1186/s12883-015-0365-6,FALSE,,,,,,
204,Goettingen University,2015,"1899,24",10.1186/s13069-015-0029-6,FALSE,,,,,,
205,Goettingen University,2015,"1594,60",10.1186/s12909-015-0389-z,FALSE,,,,,,
206,Goettingen University,2015,"1899,24",10.1186/s12575-015-0023-9,FALSE,,,,,,
207,Goettingen University,2015,"1661,24",10.1186/s12876-015-0322-2,FALSE,,,,,,
208,Goettingen University,2015,"1799,28",10.1186/s13028-015-0138-7,FALSE,,,,,,
209,Goettingen University,2015,"1661,24",10.1186/s12864-015-1853-1,FALSE,,,,,,
210,Goettingen University,2015,"1661,24",10.1186/s12882-015-0146-x,FALSE,,,,,,
211,Goettingen University,2015,"1661,24",10.1186/s12864-015-1880-y,FALSE,,,,,,
212,Goettingen University,2015,"1661,24",10.1186/s13000-015-0398-6,FALSE,,,,,,
213,Goettingen University,2015,"1661,24",10.1186/s12862-015-0478-y,FALSE,,,,,,
214,Goettingen University,2015,"1799,28",10.1186/1751-0147-50-15,FALSE,,,,,,
215,Goettingen University,2015,"1661,24",10.1186/s12859-015-0751-5,FALSE,,,,,,
216,Goettingen University,2015,"1504,16",10.1186/s13034-015-0079-y,FALSE,,,,,,
217,Goettingen University,2015,"1661,24",10.1186/s12864-015-2059-2,FALSE,,,,,,
218,Goettingen University,2015,"1661,24",10.1186/s12885-015-1812-x,FALSE,,,,,,
219,Goettingen University,2015,"1661,24",10.1186/s12874-015-0091-1,FALSE,,,,,,
220,Goettingen University,2015,"1661,24",10.1186/s13550-015-0145-8,FALSE,,,,,,
221,Goettingen University,2015,"1356,60",10.1186/s12859-015-0827-2,FALSE,,,,,,
223,Goettingen University,2015,"1661,24",10.1186/s13029-015-0044-4,FALSE,,,,,,
224,Goettingen University,2015,"1632,68",10.1186/s13019-015-0380-0,FALSE,,,,,,
225,Goettingen University,2015,"999,60",10.1186/s13570-015-0043-8,FALSE,,,,,,
226,Goettingen University,2015,"1661,24",10.1186/s12909-015-0439-6,FALSE,,,,,,
227,Goettingen University,2015,"1513,68",10.1186/s12883-015-0386-1,FALSE,,,,,,
228,Goettingen University,2015,"1785,00",10.1186/s12983-015-0118-9,FALSE,,,,,,
229,Goettingen University,2015,"1899,24",10.1186/s13069-015-0033-x,FALSE,,,,,,
230,Goettingen University,2015,"1661,24",10.1186/s12909-015-0490-3,FALSE,,,,,,
231,Goettingen University,2015,"1342,32",10.1186/s12968-014-0060-6,FALSE,,,,,,
232,Goettingen University,2015,"823,48",10.1186/s13256-015-0770-x,FALSE,,,,,,
