Nr.,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
75,Goettingen University,2012,"1370,88",10.1186/1749-8090-7-83,FALSE,,,,,,
76,Goettingen University,2012,"1289,96",10.1186/1749-8090-7-91,FALSE,,,,,,
77,Goettingen University,2012,"1218,56",10.1186/1749-8090-7-39,FALSE,,,,,,
78,Goettingen University,2012,"1356,60",10.1186/1749-8090-7-93,FALSE,,,,,,
79,Goettingen University,2012,"1137,64",10.1186/1742-2094-9-80,FALSE,,,,,,
80,Goettingen University,2012,"1665,00",10.1093/nar/gks614,FALSE,,,,,,
81,Goettingen University,2012,"1278,00",10.1093/nar/gks1123,FALSE,,,,,,
82,Goettingen University,2012,"1094,80",10.1186/1750-1172-7-69,FALSE,,,,,,
83,Goettingen University,2012,"871,54",10.4172/2161-119X.S5-001,FALSE,,,,,,
84,Goettingen University,2012,"761,60",,FALSE,Academia Scientiarum Bohemoslovaca,Physiological Research,0862-8408,0862-8408,1802-9973,www.goedoc.uni-goettingen.de/goescholar/bitstream/handle/1/8473/62_95.pdf?sequence=4
85,Goettingen University,2012,"1923,80",10.1371/journal.pntd.0001851,FALSE,,,,,,
86,Goettingen University,2012,"1226,33",10.1371/journal.pone.0034351,FALSE,,,,,,
87,Goettingen University,2012,"1232,08",10.1371/journal.pone.0035556,FALSE,,,,,,
88,Goettingen University,2012,"1159,93",10.1371/journal.pone.0039086,FALSE,,,,,,
89,Goettingen University,2012,"1306,63",10.1371/journal.pone.0038365,FALSE,,,,,,
90,Goettingen University,2012,"1189,51",10.1371/journal.pone.0040004,FALSE,,,,,,
91,Goettingen University,2012,"1181,25",10.1371/journal.pone.0043981,FALSE,,,,,,
92,Goettingen University,2012,"1157,32",10.1371/journal.pone.0045440,FALSE,,,,,,
93,Goettingen University,2012,"1137,57",10.1371/journal.pone.0048869,FALSE,,,,,,
94,Goettingen University,2012,"1131,17",10.1371/journal.pone.0052218,FALSE,,,,,,
95,Goettingen University,2012,"1117,70",10.1371/journal.pone.0052640,FALSE,,,,,,
96,Goettingen University,2012,"1118,60",10.1186/1748-717X-7-24,FALSE,,,,,,
97,Goettingen University,2012,"265,96",10.2174/1876525401204010020,FALSE,,,,,,
98,Goettingen University,2012,"508,70",10.2174/1874325001206010160,FALSE,,,,,,
99,Goettingen University,2012,"1261,40",10.1186/1745-6215-13-205,FALSE,,,,,,
100,Goettingen University,2012,"1228,08",10.1186/2045-824X-4-3,FALSE,,,,,,
101,Goettingen University,2012,"1423,24",10.1186/1743-422X-9-166,FALSE,,,,,,
102,Goettingen University,2012,"561,76",10.1155/2012/263910,FALSE,,,,,,
103,Goettingen University,2012,"561,76",10.1100/2012/640389,FALSE,,,,,,
104,Goettingen University,2012,"561,76",10.1155/2012/715049,FALSE,,,,,,
105,Goettingen University,2012,"561,76",10.1155/2012/519807,FALSE,,,,,,
106,Goettingen University,2012,"561,76",10.1155/2012/417017,FALSE,,,,,,
