Nr;Journal;Verlag;Jahr;DOI;GoeScholar;Fakultaet;E-ISSN;Kosten;Anmerkung;
73;Journal of Medical Case Reports;BioMed Central;2013;10.1186/1752-1947-7-174;http://resolver.sub.uni-goettingen.de/purl?gs-1/9137;UMG;1752-1947;742,56;Ergänzungsfonds 2013;
74;Journal of Neurodevelopmental Disorders;BioMed Central;2013;10.1186/1866-1955-5-23;http://resolver.sub.uni-goettingen.de/purl?gs-1/9340;UMG;1866-1955;1556,52;Ergänzungsfonds 2013;
75;Journal of Neuroinflammation;BioMed Central;2013;10.1186/1742-2094-10-71;http://resolver.sub.uni-goettingen.de/purl?gs-1/9125;UMG;1742-2094;1566,04;Ergänzungsfonds 2013;
76;Journal of Sustainable Development;Canadian Center of Science and Education Ltd;2013;10.5539/jsd.v6n5p1;http://resolver.sub.uni-goettingen.de/purl?gs-1/8920;Forstwiss.;1913-9071;304,6;DFG-Fördermittel 2013;
77;Journal of Sustainable Development;Canadian Center of Science and Education Ltd;2013;10.5539/jsd.v6n9p88;http://resolver.sub.uni-goettingen.de/purl?gs-1/9299;Forstwiss.;1913-9071;300,46;DFG-Fördermittel 2013;
78;Journal of Translational Medicine;BioMed Central;2013;10.1186/1479-5876-11-170;http://resolver.sub.uni-goettingen.de/purl?gs-1/9149;UMG;1479-5876;1542,24;Ergänzungsfonds 2013;
79;Journal of Vision;Assoc. For Research in Vision & Ophthalmology;2013;10.1167/13.1.24;http://resolver.sub.uni-goettingen.de/purl?gs-1/8523;UMG;1534-7362;1661,96;DFG-Fördermittel 2013;
80;Microbial Cell Factories;BioMed Central;2013;10.1186/1749-8090-8-233;http://resolver.sub.uni-goettingen.de/purl?gs-1/10051;Biologie;1749-8090;1247,12;Ergänzungsfonds 2013;
81;Molecules;MDPI, Basel;2013;10.3390/molecules181113608;http://resolver.sub.uni-goettingen.de/purl?gs-1/9485;Chemie;1420-3049;1741,6;DFG-Fördermittel 2013;
82;New Journal of Physics;IOP;2013;10.1088/1367-2630/15/1/013055;http://resolver.sub.uni-goettingen.de/purl?gs-1/8703;Physik;1367-2630;1055,23;DFG-Fördermittel 2013;
83;New Journal of Physics;IOP;2013;10.1088/1367-2630/15/2/023017;http://resolver.sub.uni-goettingen.de/purl?gs-1/8720;Physik;1367-2630;1001,39;DFG-Fördermittel 2013;
84;New Journal of Physics;IOP;2013;10.1088/1367-2630/15/5/053045;http://resolver.sub.uni-goettingen.de/purl?gs-1/9122;Physik;1367-2630;1178,1;DFG-Fördermittel 2013;
85;New Journal of Physics;IOP;2013;10.1088/1367-2630/15/4/045025;http://resolver.sub.uni-goettingen.de/purl?gs-1/9304;Physik;1367-2630;1094,09;DFG-Fördermittel 2013;
86;New Journal of Physics;IOP;2013;http://iopscience.iop.org/1367-2630/15/8/085024;http://resolver.sub.uni-goettingen.de/purl?gs-1/9522;Physik;1367-2630;1321,13;DFG-Fördermittel 2013;
87;New Journal of Physics;IOP;2013;10.1088/1367-2630/15/11/113001;http://resolver.sub.uni-goettingen.de/purl?gs-1/9560;Physik;1367-2630;1338,93;Ergänzungsfonds 2013;
88;New Journal of Physics;IOP;2013;10.1088/1367-2630/15/11/113001;http://resolver.sub.uni-goettingen.de/purl?gs-1/9559;Physik;1367-2630;1338,93;Ergänzungsfonds 2013;
89;Nucleic acids research;Oxford University Press;2013;10.1093/nar/gkt283;http://resolver.sub.uni-goettingen.de/purl?gs-1/9134;Biologie;1362-4962;1267,35;DFG-Fördermittel 2013;
90;OncoTarget;Impact Journals LLC;2013;nicht vorh.;http://resolver.sub.uni-goettingen.de/purl?gs-1/9173;UMG;1949-2553;1617,25;DFG-Fördermittel 2013;
91;Philosophy, Ethics, and Humanities in Medicine;BioMed Central;2013;10.1186/1747-5341-8-9;http://resolver.sub.uni-goettingen.de/purl?gs-1/9418;UMG;1747-5341;1151,92;Ergänzungsfonds 2013;
92;Philosophy, Ethics, and Humanities in Medicine;BioMed Central;2013;10.1186/1747-5341-8-10;http://resolver.sub.uni-goettingen.de/purl?gs-1/9336;UMG;1747-5341;1228,08;Ergänzungsfonds 2013;
93;Plant Methods;BioMed Central;2013;10.1186/1746-4811-9-24;http://resolver.sub.uni-goettingen.de/purl?gs-1/9338;Biologie;1746-4811;1270,92;Ergänzungsfonds 2013;
94;PLOS  Biology;PLOS;2013;10.1371/journal.pbio.1001750;http://resolver.sub.uni-goettingen.de/purl?gs-1/9579;Biologie;1545-7885;2521,37;Ergänzungsfonds 2013;
95;PLOS  ONE;PLOS;2013;10.1371/journal.pone.0082547;http://resolver.sub.uni-goettingen.de/purl?gs-1/9572;Biologie;1932-6203;1173,74;Kostenteilung für 1173,74 € (702,74 € =DFG-Fördermittel 2013 + 471,00 €=SUB) #DFG-Mittel ausgeschöpft. ;
96;PLOS  ONE;PLOS;2013;10.1371/journal.pone.0084026;http://resolver.sub.uni-goettingen.de/purl?gs-1/9755;UMG;1932-6203;1173,75;Ergänzungsfonds 2013;
97;PLoS Genetics;Public Library of Science;2013;10.1371/journal.pgen.1003275;http://resolver.sub.uni-goettingen.de/purl?gs-1/8558;Biologie;1932-6203;1804,94;DFG-Fördermittel 2013;
98;PLoS Genetics;Public Library of Science;2013;10.1371/journal.pgen.1003596;http://resolver.sub.uni-goettingen.de/purl?gs-1/9138;Biologie;1932-6203;1860,23;DFG-Fördermittel 2013;
99;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0054818;http://resolver.sub.uni-goettingen.de/purl?gs-1/8521;Agrarwiss.;1932-6203;1105,31;DFG-Fördermittel 2013;
100;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0054327;http://resolver.sub.uni-goettingen.de/purl?gs-1/8519;Agrarwiss.;1932-6203;1105,31;DFG-Fördermittel 2013;
101;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0056115;http://resolver.sub.uni-goettingen.de/purl?gs-1/8673;Agrarwiss.;1932-6203;1114,34;DFG-Fördermittel 2013;
102;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0072724;http://resolver.sub.uni-goettingen.de/purl?gs-1/9228;Agrarwiss.;1932-6203;1212,09;DFG-Fördermittel 2013;
103;PloS One;Public Library of Science;2013;10.1371/journal.pone.0081046;http://resolver.sub.uni-goettingen.de/purl?gs-1/9531;Agrarwiss.;1932-6203;1192,12;DFG-Fördermittel 2013;
104;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0055787;http://resolver.sub.uni-goettingen.de/purl?gs-1/8554;Biologie;1932-6203;1113,3;DFG-Fördermittel 2013;
105;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0059789;http://resolver.sub.uni-goettingen.de/purl?gs-1/8740;Biologie;1932-6203;1119,25;DFG-Fördermittel 2013;
106;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0060596;http://resolver.sub.uni-goettingen.de/purl?gs-1/9128;Biologie;1932-6203;1111,51;DFG-Fördermittel 2013;
107;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0066200;http://resolver.sub.uni-goettingen.de/purl?gs-1/9141;Biologie;1932-6203;1114,85;DFG-Fördermittel 2013;
108;PloS One;Public Library of Science;2013;10.1371/journal.pone.0074951;http://resolver.sub.uni-goettingen.de/purl?gs-1/9296;Biologie;1932-6203;1186,39;DFG-Fördermittel 2013;
109;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0066120;http://resolver.sub.uni-goettingen.de/purl?gs-1/9123;Biologie;1932-6203;1046,51;DFG-Fördermittel 2013;
110;PloS One;Public Library of Science;2013;10.1371/journal.pone.0080068;http://resolver.sub.uni-goettingen.de/purl?gs-1/9505;Chemie;1932-6203;1074,02;DFG-Fördermittel 2013;
111;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0059207;http://resolver.sub.uni-goettingen.de/purl?gs-1/8719;Forstwiss.;1932-6203;1105,99;DFG-Fördermittel 2013;
112;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0072126;http://resolver.sub.uni-goettingen.de/purl?gs-1/9221;Forstwiss.;1932-6203;1106,24;DFG-Fördermittel 2013;
113;PloS One;Public Library of Science;2013;10.1371/journal.pone.0069357;http://resolver.sub.uni-goettingen.de/purl?gs-1/9623;Forstwiss.;1932-6203;1011,88;DFG-Fördermittel 2013;
114;PloS One;Public Library of Science;2013;10.1371/journal.pone.0083086;http://resolver.sub.uni-goettingen.de/purl?gs-1/9568;Physik;1932-6203;1173,74;DFG-Fördermittel 2013;
115;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0056246;http://resolver.sub.uni-goettingen.de/purl?gs-1/8662;UMG;1932-6203;1114,67;DFG-Fördermittel 2013;
116;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0067602;http://resolver.sub.uni-goettingen.de/purl?gs-1/9133;UMG;1932-6203;1239;DFG-Fördermittel 2013;
117;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0068301;http://resolver.sub.uni-goettingen.de/purl?gs-1/9139;UMG;1932-6203;1091,21;DFG-Fördermittel 2013;
118;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0070695;http://resolver.sub.uni-goettingen.de/purl?gs-1/9209;UMG;1932-6203;1242,66;DFG-Fördermittel 2013;
119;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0063745;http://resolver.sub.uni-goettingen.de/purl?gs-1/9111;UMG;1932-6203;1051,81;DFG-Fördermittel 2013;
120;PloS One;Public Library of Science;2013;10.1371/journal.pone.0081069;http://resolver.sub.uni-goettingen.de/purl?gs-1/9509;UMG;1932-6203;1192,12;DFG-Fördermittel 2013;
121;PLoS One;Public Library of Science;2013;10.1371/journal.pone.0057624;http://resolver.sub.uni-goettingen.de/purl?gs-1/8700;Wirtschaftswiss.;1932-6203;1121,5;DFG-Fördermittel 2013;
122;PloS One;Public Library of Science;2013;10.1371/journal.pone.0075847;http://resolver.sub.uni-goettingen.de/purl?gs-1/9438;Wirtschaftswiss.;1932-6203;1186,4;DFG-Fördermittel 2013;
123;Retrovirology;BioMed Central;2013;10.1186/1742-4690-10-48;http://resolver.sub.uni-goettingen.de/purl?gs-1/9038;Biologie/DPZ;1742-4690;1299,48;Ergänzungsfonds 2013;
124;SpringerPlus;Springer Open;2013;10.1186/2193-1801-2-137;http://resolver.sub.uni-goettingen.de/purl?gs-1/10427;Biologie;2193-1801;809,2;Ergänzungsfonds 2013;
125;Substance Abuse Treatment, Prevention, and Policy;BioMed Central;2013;10.1186/1747-597X-8-1;http://resolver.sub.uni-goettingen.de/purl?gs-1/8903;UMG;1747-597X;1223,32;Ergänzungsfonds 2013;
126;Sustainibility. Special Issue: Sustainability in Education: a Critical Reappraisal of Practice and Purpose;MDPI, Basel;2013;10.3390/su5041443;http://resolver.sub.uni-goettingen.de/purl?gs-1/8763;Biologie;1443-1460;779,95;DFG-Fördermittel 2013;
