institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title,url,publisher,issn,license
Universitat de Barcelona,2014,"1170,4", 10.1093/gbe/evu117,FALSE,"Librado, Pablo; Vieira, Filipe G.; Sánchez-Gracia, Alejandro; Kolokotronis, Sergios-Orestis; Rozas, Julio",Mycobacterial Phylogenomics: An Enhanced Method for Gene Turnover Analysis Reveals Uneven Levels of Gene Gain and Loss among Species and Gene Families,Genome Biology and Evolution,,,,
Universitat de Barcelona,2014,"580,8", 10.1093/database/bau063,FALSE,"Garcia, Sònia; Gálvez, Francisco; Gras, Airy; Kovařík, Aleš; Garnatje, Teresa",Plant rDNA database: update and new features,DATABASE - The Journal of Biological Databases and Curation,,,,
Universitat de Barcelona,2014,575, 10.3389/fcimb.2014.00046,FALSE,"Martínez-Castillo, Alexandre; Muniesa, Maite",Implications of free Shiga toxin-converting bacteriophages occurring outside bacteria for the evolution and the detection of Shiga toxin-producing Escherichia coli.,Frontiers in Microbiology. Frontiers in Cellular and Infection Microbiology,,,,
Universitat de Barcelona,2014,"995,61"," 10.1371/journal.pone.0102032",FALSE,"Rodríguez-Carballo, Edgardo; Gámez, Beatriz; Sedó-Cabezón, Lara; Sánchez-Feutrie, Manuela; Zorzano, Antonio; Manzanares-Céspedes, Cristina; Rosa, José Luis; Ventura, Francesc",The p38α MAPK Function in Osteoprecursors Is Required for Bone Formation and Bone Homeostasis in Adult Mice,PLOS ONE,,,,
Universitat de Barcelona,2014,1463, 10.1093/gbe/evu130,FALSE,"Almeida, Francisca C.; Sánchez-Gracia, Alejandro; Campos, Jose Luis; Rozas, Julio",Family size evolution in Drosophila chemosensory gene families: a comparative analysis with a critical appraisal of methods,Genome Biology and Evolution,,,,
Universitat de Barcelona,2014,"660,79", 10.1155/2014/178524,FALSE,"Chaitoglou, S.; Reza Sanaee, M.; Aguiló-Aguayo, N.; Bertran, E.",Arc-Discharge Synthesis of Iron Encapsulated in Carbon Nanoparticles for Biomedical Applications,Journal of Nanomaterials,,,,
Universitat de Barcelona,2014,"1787,5", 10.1038/cddis.2014.333,FALSE,"Romaní-Aumedes, J.; Canal, M.; Martín-Flores, N.; Sun, X.; Pérez-Fernández, V.; Wewering, S.; Fernández-Santiago, R.; Ezquerra, M.; Pont-Sunyer, C.; Lafuente, A.; Alberch, J.; Luebbert, H.; Tolosa, E.; Levy, O. A.; Greene, L. A.; Malagelada, C.",Parkin loss of function contributes to RTP801 elevation and neurodegeneration in Parkinson's disease,Cell Death & Disease,,,,
Universitat de Barcelona,2014,"772,27", 10.1364/BOE.5.001993,FALSE,"López-Quesada, C.; Fontaine, A.-S.; Farré, A.; Joseph, M.; Selva, J.; Egea, G.; Ludevid, M. D.; Martín-Badosa, E.; Montes-Usategui, M.",Artificially-induced organelles are optimal targets for optical trapping experiments in living cells,Biomedical Optics Express,,,,
Universitat de Barcelona,2014,"295,38", 10.7717/peerj.430,FALSE,"Álvarez-Presas, Marta; Mateos, Eduardo; Tudó, Àngels; Jones, Hugh; Marta Riutort, Marta",Diversity of introduced terrestrial flatworms in the Iberian Peninsula: a cautionary tale,PeerJ,,,,
Universitat de Barcelona,2014,"597,37", 10.1371/journal.pcbi.1003796,FALSE,"Teller, Sara; Granell, Clara; Domenico, Manlio De; Soriano, Jordi; Gómez, Sergio; Arenas, Alex",Emergence of Assortative Mixing between Clusters of Cultured Neurons,PLOS Computational Biology,,,,
Universitat de Barcelona,2014,"684,51", 10.1371/journal.pone.0104645,FALSE,"Rodríguez-Ferreiro, Javier; Andreu, Llorenç; Sanz-Torrent, Mònica",Argument Structure and the Representation of Abstract Semantics,PLOS ONE,,,,
Universitat de Barcelona,2014,300, 10.2298/CSIS130125042G ,FALSE,"Gil-Lafuente, Anna M.; Klimova, Anna",Approximation to the Theory of Affinities to Manage the Problems of the Grouping Process,Computer Science and Information Systems,,,,
Universitat de Barcelona,2014,"639,59", 10.1371/journal.pone.0101899,FALSE,Rut Tejero; Alfons Navarro; Marc Campayo; Nuria Viñolas; Ramon M. Marrades; Anna Cordeiro; Marc Ruíz-Martínez; Sandra Santasusagna; Laureano Molins; Josep Ramirez; Mariano Monzó,miR-141 and miR-200c as Markers of Overall Survival in Early Stage Non-Small Cell Lung Cancer Adenocarcinoma,PLOS ONE,,,,
Universitat de Barcelona,2014,"957,55", 10.1155/2014/406495,FALSE,"Lluscà, Marta; Antony, Aldrin; Bertomeu, Joan",Growth and Properties of ZnO:Al on Textured Glass for Thin Film Solar Cells,International Journal of Photoenergy,,,,
Universitat de Barcelona,2014,"685,35", 10.1371/journal.pone.0102417,FALSE,"Dorca-Arévalo, Jonatan; Pauillac, Serge; Díaz-Hidalgo, Laura; Martín-Satué, Mireia; Popoff, Michel R.; Blasi, Juan",Correlation between In Vitro Cytotoxicity and In Vivo Lethal Activity in Mice of Epsilon Toxin Mutants from Clostridium perfringens,PLOS ONE,,,,
Universitat de Barcelona,2014,1196, 10.2147/OTT.S69530,FALSE,"Gomà, Alba; Mir, Roser; Martínez-Soler, Fina; Tortosa, Avelina; Vidal, August; Condom, Enric; Pérez–Tomás, Ricardo; Giménez-Bonafé, Pepita",Multidrug resistance protein 1 localization in lipid raft domains and prostasomes in prostate cancer cell lines,OncoTargets and Therapy,,,,
Universitat de Barcelona,2014,"380,69", 10.2196/medinform.3179,FALSE,"Burgos, Felip; Melia, Umberto; Vallverdú, Montserrat; Velickovski, Filip; Lluch-Ariet, Magí; Caminal, Pere; Roca, Josep",Clinical Decision Support System to Enhance Quality Control of Spirometry Using Information and Communication Technologies,JMIR Medical Informatics,,,,
Universitat de Barcelona,2014,"685,35", 10.1155/2014/120673,FALSE,"Texidó, Laura; Romero, Claudia; Vidal, August; García-Valero, José; Fernández Montoli, M. Eulalia; Baixeras, Núria; Condom, Enric; Ponce, Jordi; García-Tejedor, Amparo; Martín-Satué, Mireia",Ecto-nucleotidases Activities in the Contents of Ovarian Endometriomas: Potential Biomarkers of Endometriosis,Mediators of Inflammation,,,,
Universitat de Barcelona,2014,"1142,25", 10.1155/2015/172018,FALSE,"Busquets, Maria Antònia; Espargaró, Alba; Estelrich, Joan; Sabate, Raimon",Could α-Synuclein Amyloid-Like Aggregates Trigger a Prionic Neuronal Invasion?,BioMed Research International,,,,
Universitat de Barcelona,2014,950, 10.1159/000373900,FALSE,"Andrés, A.; Saldaña, C.; Beeken, R. J.",Assessment of Processes of Change for Weight Management in a UK Sample,Obesity Facts,,,,
Universitat de Barcelona,2014,"523,38", 10.1371/journal.pone.0103132,FALSE,"Saporiti, Fabiana; Bearhop, Stuart; Silva, Laura; Vales, Damián G.; Zenteno, Lisette; Crespo, Enrique A.; Aguilar, Alex; Cardona, Luis",Longer and Less Overlapping Food Webs in Anthropogenically Disturbed Marine Ecosystems: Confirmations from the Past,PLOS ONE,,,,
Universitat de Barcelona,2014,"521,09", 10.1371/journal.pone.0107889,FALSE,"Repchevsky, Dmitry; Gelpi, Josep Ll.",BioSWR – Semantic Web Services Registry for Bioinformatics,PLOS ONE,,,,
Universitat de Barcelona,2014,1000, 10.1186/1556-276X-9-538,FALSE,"Busquets, Maria Antònia; Sabaté, Raimon; Estelrich, Joan",Potential applications of magnetic particles to detect and treat Alzheimer's disease,Nanoscale Research Letters,,,,
Universitat de Barcelona,2014,"262,96", 10.1016/j.redox.2014.07.001,FALSE,"Storniolo, Carolina Emilia; Roselló-Catafau, Joan; Pintó, Xavier; Mitjavila, María Teresa; Moreno, Juan José",Polyphenol fraction of extra virgin olive oil protects against endothelial dysfunction induced by high glucose and free fatty acids through modulation of nitric oxide and endothelin-1,Redox Biology,,,,
Universitat de Barcelona,2014,510, 10.1186/1742-2094-11-126,FALSE,"Alvarez-López, María J.; Molina-Martínez, Patricia; Castro-Freire, Marco; Cosín-Tomás, Marta; Cristòfol, Rosa; Párrizas, Marcelina; Escorihuela, Rosa María; Pallàs, Merce; Sanfeliu, Coral; Kaliman, Perla",Rcor2 underexpression in senescent mice: a target for inflammaging?,Journal of Neuroinflammation,,,,
Universitat de Barcelona,2014,"1628,55", 10.1136/bmjopen-2014-006177,FALSE,"Lizano-Díez, Irene; Modamio, Pilar; López-Calahorra, Pilar; Lastra, Cecilia F.; Segú, Jose L.; Gilabert-Perramon, Antoni; Mariño, Eduardo L.","Evaluation of electronic prescription implementation in polymedicated users of Catalonia, Spain: a population-based longitudinal study",BMJ Open,,,,
Universitat de Barcelona,2014,"950,63", 10.3390/ijms15046689,FALSE,"Aquilini, Eleonora; Merino, Susana; Knirel, Yuriy A.; Regué, Miguel; Tomás, Juan M.",Functional Identification of Proteus mirabilis eptC Gene Encoding a Core Lipopolysaccharide Phosphoethanolamine Transferase,International Journal of Molecular Sciences,,,,
Universitat de Barcelona,2014,"412,56", 10.1038/srep06407,FALSE,"Delgado, M. A.; Martinez-Domenech, G.; Sarrión, P.; Urreizti, R.; Zecchini, L.; Robledo, H. H.; Segura, F.; Dodelson de Kremer, R.; Balcells, S.; Grinberg, D.; Asteggiano, C. G.",A broad spectrum of genomic changes in latinamerican patients with EXT1/EXT2-CDG,Scientific Reports,,,,
Universitat de Barcelona,2014,"1063,41", 10.1371/journal.pone.0118805,FALSE,"Riesgo, Ana; Taboada, Sergio; Sánchez-Vila, Laura; Solà, Joan; Bertran, Andrea; Avila, Conxita",Some Like It Fat: Comparative Ultrastructure of the Embryo in Two Demosponges of the Genus Mycale (Order Poecilosclerida) from Antarctica and the Caribbean,PLOS ONE,,,,
Universitat de Barcelona,2014,"454,55", 10.1371/journal.pone.0107859,FALSE,"Arismendi, Ebymar; Rivas, Eva; Agustí, Alvar; Ríos, José; Barreiro, Esther; Vidal, Josep; Rodriguez-Roisin, Robert",The Systemic Inflammome of Severe Obesity before and after Bariatric Surgery,PLOS ONE,,,,
Universitat de Barcelona,2014,"235,7", 10.1371/journal.pone.0113207,FALSE,"Vitales, Daniel; García-Fernández, Alfredo; Pellicer, Jaume; Vallès, Joan; Santos-Guerra, Arnoldo; Cowan, Robyn S.; Fay, Michael F.; Hidalgo, Oriane; Garnatje, Teresa",Key Processes for Cheirolophus (Asteraceae) Diversification on Oceanic Islands Inferred from AFLP Data,PLOS ONE,,,,
Universitat de Barcelona,2014,"611,76", 10.1371/journal.pone.0111068,FALSE,"Cano, Isaac; Selivanov, Vitaly; Gomez-Cabrero, David; Tegnér, Jesper; Roca, Josep; Wagner, Peter D.; Cascante, Marta",Oxygen Pathway Modeling Estimates High Reactive Oxygen Species Production above the Highest Permanent Human Habitation,PLOS ONE,,,,
Universitat de Barcelona,2014,"277,56", 10.1093/jisesa/ieu145,FALSE,"Gessé, Francesc; Monleón-Getino, Toni; Goula, Marta","Biodiversity Analysis of True Bug Assemblages (Hemiptera, Heteroptera) in Four Habitats in the Garraf Natural Park (Barcelona, Spain)",Journal of Insect Science,,,,
