"Institution","period","brutto","netto","origin doi","hybrid"
"FU",2022,"1,902.66","1,598.87","10.3390/ani12121487","no"
"FU",2022,"1,969.19","1,654.78","10.3390/ani12151955","no"
"FU",2022,"2,127.21","1,787.57","10.3390/membranes12080731","no"
"FU",2022,"1,969.19","1,654.78","10.3390/ani12141784","no"
"FU",2022,"2,196.34","1,845.66","10.3390/su14169934","no"
"FU",2022,"2,049.92","1,722.62","10.3390/v14091926","no"
"FU",2022,"1,964.50","1,650.84","10.3390/ma15176048","no"
"FU",2022,"1,848.50","1,553.36","10.3390/v14091864","no"
"FU",2022,"2,094.96","1,760.47","10.3390/pharmaceutics14102095","no"
"FU",2022,"2,008.70","1,687.98","10.3390/antiox11091793","no"
"FU",2022,"2,168.91","1,822.61","10.3390/microorganisms10101899","no"
"FU",2022,739.39,621.34,"10.3390/languages7040250","no"
"FU",2022,"1,976.71","1,661.10","10.3390/ani12162087","no"
"FU",2022,"1,430.42","1,202.03","10.3390/biom12111615","no"
"FU",2022,"2,163.66","1,818.20","10.3390/su142113976","no"
"FU",2022,"2,103.56","1,767.70","10.3390/ijerph191811594","no"
"FU",2022,"2,163.66","1,818.20","10.3390/ph15111304","no"
"FU",2022,"2,380.02","2,000.02","10.3390/microorganisms10112116","no"
"FU",2022,999.60,840.00,"10.17645/si.v10i3.5299","no"
"FU",2022,904.40,760.00,"10.17645/mac.v10i3.5438","no"
"FU",2022,"1,111.36",933.92,"10.3389/frai.2022.718690","no"
"FU",2022,"1,227.18","1,031.24","10.3389/frwa.2022.834239","no"
"FU",2022,"2,118.08","1,779.90","10.3389/fpsyg.2022.822505","no"
"FU",2022,"2,118.08","1,779.90","10.3389/fmolb.2022.827638","no"
"FU",2022,"2,118.08","1,779.90","10.3389/fmolb.2022.826990","no"
"FU",2022,"2,133.90","1,793.19","10.3389/fphar.2022.819590","no"
"FU",2022,939.87,789.81,"10.3389/fpos.2022.815513","no"
"FU",2022,"2,313.01","1,943.71","10.3389/fimmu.2022.842870","no"
"FU",2022,"2,183.63","1,834.98","10.3389/feart.2022.821707","no"
"FU",2022,"1,148.48",965.11,"10.3389/fenvs.2022.888310","no"
"FU",2022,"2,140.95","1,799.12","10.3389/fpsyt.2022.848645","no"
"FU",2022,944.86,794.00,"10.3389/fsoc.2022.877217","no"
"FU",2022,"2,149.14","1,806.00","10.3389/fevo.2022.874276","no"
"FU",2022,"2,162.54","1,817.26","10.3389/fnsys.2022.876376","no"
"FU",2022,"2,165.32","1,819.60","10.3389/fbioe.2022.888492","no"
"FU",2022,"2,025.38","1,702.00","10.3389/fvets.2022.892920","no"
"FU",2022,"2,216.61","1,862.70","10.3389/fphys.2022.889552","no"
"FU",2022,"1,920.79","1,614.11","10.3389/fimmu.2022.908305","no"
"FU",2022,"2,236.37","1,879.30","10.3389/fpsyt.2022.878773","no"
"FU",2022,"2,265.37","1,903.67","10.3389/feart.2022.914409","no"
"FU",2022,"2,253.88",1894.02,"10.3389/fpls.2022.851716","no"
"FU",2022,"2,253.46","1,893.66","10.3389/fmolb.2022.915328","no"
"FU",2022,"2,202.83","1,851.12","10.3389/fmolb.2022.905306","no"
"FU",2022,"2,370.24","1,991.80","10.3389/fpls.2022.779830","no"
"FU",2022,"2,241.03","1,883.22","10.3389/fmolb.2022.963455","no"
"FU",2022,"2,241.46","1,883.58","10.3389/fmolb.2022.929285","no"
"FU",2022,"2,279.91","1,915.89","10.3389/fcimb.2022.846819","no"
"FU",2022,"2,250.23","1,890.95","10.3389/fpsyg.2022.924562","no"
"FU",2022,"2,305.43","1,937.34","10.3389/fcell.2022.953062","no"
"FU",2022,"2,381.56","2,001.31","10.3389/fmicb.2022.972052","no"
"FU",2022,"1,923.35","1,616.26","10.3389/fmicb.2022.914040","no"
"FU",2022,"2,337.66","1,964.42","10.3389/fnins.2022.920150","no"
"FU",2022,"2,365.55","1,987.86","10.3389/fpsyt.2022.933848","no"
"FU",2022,"2,409.52","2,024.81","10.3389/fnins.2022.987939","no"
"FU",2022,"2,086.62","1,753.46","10.3389/fpsyg.2022.800120","no"
"FU",2022,"2,359.17","1,982.50","10.3389/fnhum.2022.905837","no"
"FU",2022,"2,385.65","2,004.75","10.3389/fenvs.2022.1020465","no"
"FU",2022,"2,385.65","2,004.75","10.3389/fmicb.2022.982693","no"
"FU",2022,"2,388.14","2,006.84","10.3389/fnins.2022.983602","no"
"FU",2022,"1,067.99",897.47,"10.3389/fsoc.2022.958672","no"
"FU",2022,"2,403.16","2,019.46","10.3389/fimmu.2022.937125","no"
"FU",2022,"2,419.17","2,032.92","10.3389/fmicb.2022.1029084","no"
"FU",2022,505.89,425.12,"10.3389/fpsyg.2022.994098","no"
"FU",2022,"2,411.26","2,026.27","10.3389/fimmu.2022.1030409","no"
"FU",2022,"2,366.27","1,988.46","10.3389/fimmu.2022.1012717","no"
"FU",2022,"1,048.94",881.46,"10.3389/fagro.2022.1028195","no"
"FU",2022,"2,402.67","2,019.05","10.3389/fevo.2022.950951","no"
"FU",2022,"1,369.38","1,150.74","10.3389/frma.2022.1057378","no"
"FU",2022,"2,284.23","1,919.52","10.3389/fenvs.2022.1017349","no"
"FU",2022,"2,227.91","1,872.19","10.3389/fmicb.2022.1050063","no"
"FU",2022,"2,087.57","1,754.26","10.1371/journal.pone.0270178","no"
"FU",2022,"1,977.49","1,661.76","10.1371/journal.pone.0262536","no"
"FU",2022,"1,978.99","1,663.02","10.1371/journal.pone.0266774","no"
"FU",2022,"2,086.51","1,753.37","10.1371/journal.pone.0269428","no"
"FU",2022,"2,088.64","1,755.16","10.1371/journal.pone.0270563","no"
"FU",2022,"2,175.97","1,828.55","10.1371/journal.pone.0272938","no"
"FU",2022,"2,175.96","1,828.54","10.1371/journal.pone.0270912","no"
"FU",2022,"1,978.99","1,663.02","10.1371/journal.pone.0266937","no"
"FU",2022,"1,978.99","1,663.02","10.1371/journal.pone.0264927","no"
