Institution,period,brutto (euro),netto (euro),origin_doi,is hybrid 
FU ,2020,"1,991.85","1,673.82",10.3389/fnbeh.2020.00112,no
FU ,2020,"2,073.37","1,742.33",10.3389/fmicb.2020.01195,no
FU ,2020,"1,998.40","1,679.33",10.3389/fimmu.2020.01686,no
FU ,2020,"1,999.20","1,680.00",10.3389/fnbeh.2020.00062,no
FU ,2020,"1,071.46",900.39,10.3389/fevo.2020.00265,no
FU ,2020,"1,870.75","1,572.06",10.3389/fpsyg.2020.00795,no
FU ,2020,"2,020.93","1,698.26",10.3389/fevo.2020.00186,no
FU ,2020,"2,106.94","1,770.54",10.3389/fpsyg.2020.01829,no
FU ,2020,877.80,737.65,10.3389/feduc.2020.492010,no
FU ,2020,"1,997.15","1,678.28",10.3389/fpsyg.2020.01623,no
FU ,2020,"1,714.61","1,440.85",10.3389/fpsyg.2020.571678,no
FU ,2020,"2,011.98","1,690.74",10.3389/fpsyt.2020.00644,no
FU ,2020,"1,990.72","1,672.87",10.3389/fpsyg.2020.00733,no
FU ,2020,"2,099.84","1,764.57",10.3389/fpsyg.2020.00421,no
FU ,2020,921.10,774.03,10.3389/feduc.2020.00109,no
FU ,2020,"1,846.78","1,551.92",10.3389/fenrg.2020.00155,no
FU ,2020,"2,206.26","1,854.00",10.3389/fpsyg.2020.01592,no
FU ,2020,"2,071.21","1,740.51",10.3389/fphar.2020.00283,no
FU ,2020,"1,666.69","1,400.58",10.3389/fevo.2020.00075,no
FU ,2020,"1,985.42","1,668.42",10.3389/fevo.2020.571887,no
FU ,2020,"2,004.64","1,684.57",10.3389/fphys.2020.00857,no
FU ,2020,"1,922.21","1,615.30",10.3389/fenvs.2020.00053,no
FU ,2020,"1,979.58","1,663.51",10.3389/fpsyg.2020.574746,no
FU ,2020,"2,064.63","1,734.98",10.3389/fmicb.2020.01326,no
FU ,2020,"2,062.72","1,733.38",10.3389/fpsyg.2020.01125,no
FU ,2020,"1,976.65","1,661.05",10.3389/fpls.2020.00039,no
FU ,2020,"1,960.23","1,647.25",10.3389/fpsyg.2020.00905,no
FU ,2020,"2,104.69","1,768.65",10.3389/fevo.2020.00238,no
FU ,2020,"1,998.93","1,679.77",10.3389/fpsyg.2020.00026,no
FU ,2020,"2,054.76","1,726.69",10.3389/fnbeh.2020.590999,no
FU ,2020,"2,074.34","1,743.14",10.3389/fpsyg.2020.01282,no
FU ,2020,"1,985.93","1,668.85",10.3390/ijerph17145183,no
FU ,2020,"1,787.39","1,502.01",10.3390/su12041667,no
FU ,2020,"1,060.75",891.39,10.3390/microorganisms8071013,no
FU ,2020,"1,787.32","1,501.95",10.3390/f11080788,no
FU ,2020,"1,785.48","1,500.40",10.3390/w13020177,no
FU ,2020,"1,785.48","1,500.40",10.3390/w12102905,no
FU ,2020,"1,936.28","1,627.13",10.3390/molecules25040848,no
FU ,2020,"1,581.07","1,328.63",10.3390/ani10122335,no
FU ,2020,"1,387.69","1,166.13",10.3390/land9090338,no
FU ,2020,"1,587.67","1,334.18",10.3390/ani10081426,no
FU ,2020,"1,785.48","1,500.40",10.3390/biom10111517,no
FU ,2020,"1,390.10","1,168.15",10.3390/land9080241,no
FU ,2020,"1,787.46","1,502.07",10.3390/su12072778,no
FU ,2020,"1,388.77","1,167.03",10.3390/ph13110364,no
FU ,2020,"1,778.76","1,494.76",10.3390/w12123424,no
FU ,2020,"1,785.48","1,500.40",10.3390/su13010011,no
FU ,2020,"1,787.39","1,502.01",10.3390/w12030746,no
FU ,2020,"1,785.48","1,500.40",10.3390/su12208531,no
FU ,2020,"1,585.94","1,332.72",10.3390/ani10091648,no
FU ,2020,"1,984.94","1,668.02",10.3390/v12090999,no
FU ,2020,"1,985.87","1,668.80",10.3390/rs12071170,no
FU ,2020,"1,190.00","1,000.00",10.3390/h10010009,no
FU ,2020,997.26,838.03,10.3390/cells9091965,no
FU ,2020,"1,588.67","1,335.02",10.3390/ani10030485,no
FU ,2020,"1,985.87","1,668.80",10.3390/cancers12030647,no
FU ,2020,"1,985.93","1,668.85",10.3390/v12070779,no
FU ,2020,"1,414.37","1,188.55",10.3390/e22070722,no
FU ,2020,"1,787.38","1,502.00",10.3390/pharmaceutics12050413,no
FU ,2020,"1,847.52","1,552.54",10.3390/su12010013,no
FU ,2020,"1,762.15","1,480.80",10.3390/ijms21196981,no
FU ,2020,"1,787.38","1,502.00",10.3390/su12072838,no
FU ,2020,"1,588.77","1,335.10",10.3390/pharmaceutics12020136,no
FU ,2020,"1,587.11","1,333.71",10.3390/ani10112054,no
FU ,2020,"2,174.14","1,827.01",10.3390/rs12233949,no
FU ,2020,"1,581.07","1,328.63",10.3390/metabo10110463,no
FU ,2020,"1,587.67","1,334.18",10.3390/antibiotics9090588,no
FU ,2020,"1,785.48","1,500.40",10.3390/su12208381,no
FU ,2020,"1,767.15","1,485.00",10.3390/ijms21249728,no
FU ,2020,"1,587.67","1,334.18",10.3390/ani10091563,no
FU ,2020,"1,785.48","1,500.40",10.3390/w12102941,no
FU ,2020,"1,383.38","1,162.50",10.3390/life10120334,no
FU ,2020,220.89,185.62,10.3390/heritage3020031,no
FU ,2020,"1,390.03","1,168.09",10.3390/pathogens9050359,no
FU ,2020,"1,191.34","1,001.13",10.3390/microorganisms8030322,no
FU ,2020,"1,786.24","1,501.04",10.3390/polym12091899,no
FU ,2020,"1,778.76","1,494.76",10.3390/w12123314,no
FU ,2020,856.80,720.00,10.17645/pag.v8i4.3397,no
FU ,2020,856.80,720.00,10.17645/si.v8i4.3363,no
FU ,2020,"1,714.46","1,440.72",10.1371/journal.pone.0237944,no
FU ,2020,"1,898.05","1,595.00",10.1371/journal.pone.0241133,no
FU ,2020,"1,422.05","1,195.00",10.1371/journal.pone.0241981,no
FU ,2020,"1,374.45","1,155.00",10.5194/nhess-20-2857-2020,no
FU ,2020,"1,642.20","1,380.00",10.5194/egqsj-69-201-2020,no
FU ,2020,981.75,825.00,10.5194/mr-1-197-2020,no
FU ,2020,"1,282.82","1,078.00",10.5194/amt-13-3909-2020,no
FU ,2020,"1,249.50","1,050.00",doi.org/10.1016/j.qsa.2021.100022,no
FU ,2020,856.80,720.00,10.17645/mac.v9i1.3469,no
FU ,2020,"1,102.26",950.22,10.1016/j.isci.2020.101615,no
FU ,2020,"1,213.80","1,020.00",10.5194/egqsj-70-1-2021,no
