"DOI","Institution","period"
"10.1007/s40751-017-0028-x","University College London",2017
"10.1007/s00526-016-1099-z","University of Reading",2017
"10.1007/s10597-016-0079-2","Manchester Metropolitan University",2017
"10.1007/s11095-017-2099-1","University of Bath",2017
"10.1007/s00125-017-4205-7","University of Leeds",2017
"10.1007/s00249-017-1197-7","King's College London",2017
"10.1007/s10995-016-2233-4","University College London",2017
"10.1007/s11097-016-9493-8","University of Edinburgh",2017
"10.1007/s00401-017-1670-5","University College London",2017
"10.1007/s00787-017-0940-z","University College London",2017
"10.1007/s11590-017-1107-z","Edinburgh Napier University",2017
"10.1007/s10967-016-5151-4","Imperial College London",2017
"10.1007/s11205-017-1558-8","London School of Economics and Political Science",2017
"10.1007/s10035-016-0694-1","Imperial College London",2017
"10.1007/s11406-016-9796-6","University of Reading",2017
"10.3758/s13415-016-0496-2","University of Warwick",2017
"10.1007/s11263-016-0985-3","Imperial College London",2017
"10.1007/s11229-017-1312-4","University of Manchester",2017
"10.1007/s15010-016-0976-x","University College London",2017
"10.1007/s00787-016-0939-x","University College London",2017
"10.1007/s11266-017-9829-1","University of Bath",2017
"10.1007/s00395-017-0601-x","University College London",2017
"10.1007/s10699-016-9519-2","City University London",2017
"10.1007/s00170-016-9972-7","Northumbria University",2017
"10.1007/s10714-017-2192-0","Queen Mary, University of London",2017
"10.1007/s00787-016-0935-1","King's College London",2017
"10.1007/s00268-016-3868-4","University of Leeds",2017
"10.1007/s11005-017-0939-x","University of Glasgow",2017
"10.1007/s10439-017-1800-1","University of Edinburgh",2017
"10.1007/s12152-017-9305-z","University of Ulster",2017
"10.1007/s00384-016-2711-6","Imperial College London",2017
"10.1007/s00467-016-3559-2","University of Liverpool",2017
"10.1007/s00248-016-0926-2","Aberystwyth University",2017
"10.1007/s10551-017-3442-5","University of Warwick",2017
"10.1007/s10579-017-9379-6","University of Edinburgh",2017
"10.1007/s00227-016-3055-z","University of Exeter",2017
"10.1007/s10694-016-0645-8","University of Greenwich",2017
"10.1007/s00227-016-3059-8","University of St Andrews",2017
"10.1007/s00355-016-1015-7","University of East Anglia",2017
"10.1007/s00162-017-0420-6","Imperial College London",2017
"10.1007/s41111-017-0049-z","University of Cambridge",2017
"10.1007/s00285-016-1092-3","University of Manchester",2017
"10.1007/s11096-016-0418-y","University of Manchester",2017
"10.1007/s10762-016-0352-z","University College London",2017
"10.1007/s00381-016-3320-y","University of Manchester",2017
"10.1007/s10584-016-1881-0","University of Edinburgh",2017
"10.1007/s13280-016-0892-4","Manchester Metropolitan University",2017
"10.1007/s41061-016-0099-y","University College London",2017
"10.1007/s10665-016-9894-2","Cardiff University",2017
"10.1007/s11249-017-0815-y","Heriot-Watt University",2017
"10.1007/s13665-017-0162-3","University of Oxford",2017
"10.1007/s00601-016-1203-0","Heriot-Watt University",2017
"10.1007/s10670-016-9869-8","Durham University",2017
"10.1007/s10530-016-1360-6","Queen's University of Belfast",2017
"10.1007/s11406-016-9797-5","University College London",2017
"10.1007/s11192-017-2257-6","University of Bath",2017
"10.1007/s11666-017-0531-z","University of Nottingham",2017
"10.3758/s13423-016-1166-7","University of Edinburgh",2017
"10.1007/s11841-016-0561-x","University of Oxford",2017
"10.1007/s40489-016-0101-1","Edinburgh Napier University",2017
"10.1007/s10612-017-9349-8","Edinburgh Napier University",2017
"10.1007/s10468-016-9658-8","University of Glasgow",2017
"10.1007/s00442-017-3807-6","Swansea University",2017
"10.1007/s10803-017-3035-2","University of Bristol",2017
"10.1007/s00467-016-3558-3","University of Southampton",2017
"10.1007/s00127-017-1341-9","King's College London",2017
"10.1007/s10485-016-9480-9","University of Liverpool",2017
"10.1007/s00259-016-3604-1","University of Oxford",2017
"10.1007/s40879-016-0127-z","Imperial College London",2017
"10.1007/s00259-016-3602-3","University of Sussex",2017
"10.1007/s00415-017-8394-2","University of Cambridge",2017
"10.1007/s10764-016-9947-4","University of Kent",2017
"10.1007/s10902-017-9846-1","Goldsmiths, University of London",2017
"10.1007/s10995-016-2237-0","University College London",2017
"10.1007/s10472-016-9534-6","Imperial College London",2017
"10.1007/s10961-016-9550-z","London School of Economics and Political Science",2017
"10.1007/s10803-016-2987-y","University of Kent",2017
"10.1007/s10554-017-1063-9","University of Manchester",2017
"10.1007/s10018-016-0180-3","University College London",2017
"10.1007/s00787-016-0930-6","University of Reading",2017
"10.1007/s10758-016-9296-6","King's College London",2017
"10.1007/s10767-016-9246-2","University of Cambridge",2017
"10.1007/s11207-016-1049-0","University of St Andrews",2017
"10.1007/s12526-017-0636-0","University of Southampton",2017
"10.1007/s11158-016-9349-7","Durham University",2017
"10.1007/s10291-016-0597-y","University of Nottingham",2017
"10.1007/s00498-016-0184-3","University of Bath",2017
"10.1007/s11238-016-9585-5","University of Reading",2017
"10.1007/s00209-016-1840-5","University of Bristol",2017
"10.1007/s00701-016-3063-2","King's College London",2017
"10.1007/s10811-016-1039-5","Aberystwyth University",2017
"10.1007/s10530-016-1355-3","Queen's University of Belfast",2017
"10.1007/s11605-017-3368-3","Cardiff University",2017
"10.1007/s11306-017-1166-2","University of Cambridge",2017
"10.1007/s10933-017-9941-7","University College London",2017
"10.1007/s10955-017-1720-3","University of Sussex",2017
"10.1007/s10680-016-9403-3","University of Bristol",2017
"10.1007/s00382-016-3478-8","University of St Andrews",2017
"10.1007/s10459-016-9731-4","City University London",2017
"10.1007/s11242-016-0813-9","University of Bath",2017
"10.1007/s10803-016-2990-3","Swansea University",2017
"10.1007/s11661-016-3914-8","Loughborough University",2017
"10.1007/s11368-016-1646-4","University of Birmingham",2017
"10.1007/s10577-016-9546-4","King's College London",2017
"10.1007/s40863-016-0057-1","Queen Mary, University of London",2017
"10.1007/s12671-016-0673-y","University of Edinburgh",2017
"10.1007/s11920-017-0754-1","University of Southampton",2017
"10.1007/s00701-016-3071-2","University of Cambridge",2017
"10.1007/s00223-016-0228-1","University of Oxford",2017
"10.1007/s10608-016-9829-2","University of Manchester",2017
"10.1007/s13347-016-0250-2","University of Southampton",2017
"10.1007/s10590-016-9184-9","University of Stirling",2017
"10.1007/s13385-016-0143-x","Heriot-Watt University",2017
"10.1007/s12310-017-9207-6","University of York",2017
"10.1007/s10590-016-9188-5","University of Bristol",2017
"10.1007/s10842-016-0242-z","University of Warwick",2017
"10.1007/s12526-016-0631-x","University of Southampton",2017
"10.1007/s10665-016-9892-4","University of Cambridge",2017
"10.1007/s10291-016-0598-x","University of Nottingham",2017
"10.1007/s10750-017-3092-8","Loughborough University",2017
"10.1007/s10461-016-1659-4","King's College London",2017
"10.1007/s10877-017-9975-4","City University London",2017
"10.1007/s10182-016-0287-7","University of St Andrews",2017
"10.1007/s00170-016-9869-5","University of Sheffield",2017
"10.1007/s10803-016-3015-y","University of Birmingham",2017
"10.1007/s10767-016-9251-5","University of Kent",2017
"10.1007/s11205-017-1569-5","University of Warwick",2017
"10.1007/s11222-017-9727-9","University of Strathclyde",2017
"10.1007/s00415-017-8395-1","Cardiff University",2017
"10.1007/s11205-017-1570-z","University of Manchester",2017
"10.1007/s10583-016-9297-z","University of Bristol",2017
"10.1007/s10787-016-0302-3","King's College London",2017
"10.1007/s12152-016-9295-2","University of Birmingham",2017
"10.1007/s12186-017-9173-z","University College London",2017
"10.1007/s00717-016-0325-6","University of Southampton",2017
"10.1007/s10659-017-9621-x","University of Cambridge",2017
"10.1007/s00126-016-0706-4","University of Manchester",2017
"10.1007/s10071-017-1072-z","University of Exeter",2017
"10.1007/s11009-017-9542-y","University of Bristol",2017
"10.1007/s00737-016-0708-3","University of Manchester",2017
"10.1007/s12649-016-9819-3","London South Bank University",2017
"10.1007/s13665-017-0160-5","Imperial College London",2017
"10.1007/s11356-017-8377-y","University of York",2017
"10.1007/s11207-017-1051-1","University of Sheffield",2017
"10.1007/s12668-016-0390-y","University of Bath",2017
"10.3758/s13414-016-1268-3","University of Manchester",2017
"10.1007/s11673-016-9766-5","St George's, University of London",2017
"10.1007/s12144-016-9557-5","University of Portsmouth",2017
"10.1007/s11673-016-9767-4","King's College London",2017
"10.1007/s00213-016-4518-0","University of Liverpool",2017
"10.1007/s11406-016-9800-1","Newcastle University",2017
"10.1007/s00251-016-0967-1","University of Aberdeen",2017
"10.1007/s10198-017-0867-9","University College London",2017
"10.1007/s11222-016-9721-7","University of Oxford",2017
"10.1007/s00586-016-4936-z","University College London",2017
"10.1007/s10611-016-9679-6","University of Sussex",2017
"10.1007/s40368-016-0265-5","University of Leeds",2017
"10.1007/s11263-016-0978-2","University of Oxford",2017
"10.3758/s13423-016-1194-3","Queen Mary, University of London",2017
"10.1007/s00707-016-1762-7","University of Sheffield",2017
"10.1007/s11085-016-9680-6","Cranfield University",2017
"10.1007/s10584-016-1884-x","London School of Economics and Political Science",2017
"10.1007/s00787-016-0938-y","University College London",2017
"10.1007/s10198-016-0866-2","Newcastle University",2017
"10.1007/s00268-016-3860-z","Swansea University",2017
"10.1007/s10728-016-0337-z","University of Oxford",2017
"10.1007/s11075-017-0265-5","University of Leicester",2017
"10.1007/s11538-016-0242-5","University of Oxford",2017
"10.1007/s10113-016-1091-3","University of Edinburgh",2017
"10.1007/s11158-016-9347-9","University of Oxford",2017
"10.1007/s00340-016-6596-4","University of Oxford",2017
"10.1007/s00392-016-1071-0","University of Birmingham",2017
"10.1007/s00339-016-0589-3","University of Cambridge",2017
"10.1007/s00170-016-9896-2","University of Sheffield",2017
"10.1007/s11071-016-3310-3","University of Exeter",2017
"10.1007/s11098-017-0860-2","University of Cambridge",2017
"10.1007/s00039-017-0395-x","University College London",2017
"10.1007/s10048-016-0504-2","University of Cambridge",2017
"10.1007/s11061-016-9515-3","University of Cambridge",2017
"10.1007/s00340-016-6620-8","University of Southampton",2017
"10.1007/s00285-017-1096-7","University of Surrey",2017
"10.1007/s11082-016-0888-0","University of Sheffield",2017
"10.1007/s00339-016-0649-8","Lancaster University",2017
"10.1007/s11229-016-1309-4","University of York",2017
"10.1007/s11406-016-9799-3","Keele University",2017
"10.1007/s11845-017-1561-8","Queen's University of Belfast",2017
"10.1007/s11238-017-9590-3","University of Aberdeen",2017
"10.1007/s40961-016-0082-6","University of East Anglia",2017
"10.1007/s00209-016-1802-y","University of Bristol",2017
"10.1007/s12024-016-9821-x","University College London",2017
"10.1007/s12265-016-9718-9","University of Glasgow",2017
"10.1007/s00015-016-0238-z","University of Aberdeen",2017
"10.1007/s10439-017-1797-5","University of Leeds",2017
"10.1007/s11156-017-0618-0","Durham University",2017
"10.1007/s00229-016-0914-3","University of Sheffield",2017
"10.1007/s10021-016-0099-3","Lancaster University",2017
"10.1007/s11605-017-3363-8","University of Southampton",2017
"10.1007/s00410-016-1325-x","University of Cambridge",2017
"10.1007/s11249-016-0810-8","University of Southampton",2017
"10.1007/s10816-016-9307-x","University of York",2017
"10.1007/s40496-017-0121-7","Queen's University of Belfast",2017
"10.1007/s11098-017-0857-x","University of St Andrews",2017
"10.1007/s10936-016-9473-8","Keele University",2017
"10.1007/s11217-016-9562-z","London School of Economics and Political Science",2017
"10.1007/s11306-016-1152-0","Aberystwyth University",2017
"10.1007/s10665-016-9893-3","University of Surrey",2017
"10.1007/s00109-016-1502-4","University of East Anglia",2017
"10.1007/s10461-017-1683-z","University College London",2017
"10.1007/s00170-016-9876-6","Cranfield University",2017
"10.1007/s11097-016-9494-7","University of Oxford",2017
"10.1007/s10531-016-1286-4","University of Birmingham",2017
"10.1007/s11069-017-2755-0","University of Nottingham",2017
"10.1007/s10767-017-9257-7","Queen's University of Belfast",2017
"10.1007/s00441-017-2576-1","Queen Mary, University of London",2017
"10.1007/s00417-017-3584-2","University of Birmingham",2017
"10.1007/s00205-017-1075-6","University of Warwick",2017
"10.1007/s00394-016-1364-0","Imperial College London",2017
"10.1007/s13142-016-0455-z","University College London",2017
"10.1007/s10439-017-1791-y","Imperial College London",2017
"10.1007/s00199-017-1037-0","Imperial College London",2017
"10.1007/s11010-017-2965-5","University of Central Lancashire",2017
"10.1007/s11095-017-2108-4","University of Cambridge",2017
"10.1007/s10811-017-1066-x","Swansea University",2017
"10.1007/s00355-017-1036-x","Newcastle University",2017
"10.1007/s00467-017-3598-3","University College London",2017
"10.1007/s00165-017-0420-8","Imperial College London",2017
"10.1007/s40319-017-0557-2","University of Cambridge",2017
"10.1007/s10734-017-0131-3","The Open University",2017
"10.1007/s00170-017-0120-9","University of Sheffield",2017
"10.1007/s00170-017-0121-8","Imperial College London",2017
"10.1007/s10597-017-0093-z","University of Oxford",2017
"10.1007/s00199-016-1016-x","University College London",2017
"10.1007/s00467-017-3584-9","University of Southampton",2017
"10.1007/s10048-017-0509-5","University of Edinburgh",2017
"10.1007/s13679-017-0242-2","Queen Mary, University of London",2017
"10.1007/s10518-017-0098-6","University of Greenwich",2017
"10.1007/s10479-017-2431-5","University of Edinburgh",2017
"10.1007/s11263-017-0999-5","Imperial College London",2017
"10.1007/s10934-017-0387-0","University of Edinburgh",2017
"10.1007/s11440-017-0522-8","University of Oxford",2017
"10.1007/s11224-017-0928-9","University of Manchester",2017
"10.1007/s00259-017-3636-1","University College London",2017
"10.1007/s00020-017-2344-3","Heriot-Watt University",2017
"10.1007/s10854-017-6383-y","University of Cambridge",2017
"10.1007/s11207-017-1064-9","University College London",2017
"10.1007/s10995-017-2279-y","University of Oxford",2017
"10.1007/s10886-017-0821-4","University of Sussex",2017
"10.1007/s00030-017-0435-0","Heriot-Watt University",2017
"10.1007/s00165-017-0419-1","University of Sussex",2017
"10.1007/s10670-017-9888-0","University of Bristol",2017
"10.1007/s40318-016-0103-2","The Open University",2017
"10.1007/s00029-016-0300-8","University College London",2017
"10.1007/s10468-016-9661-0","Queen Mary, University of London",2017
"10.1007/s11085-017-9723-7","University of Birmingham",2017
"10.1007/s11538-017-0248-7","University of Southampton",2017
"10.1007/s10531-017-1298-8","University of Oxford",2017
"10.1007/s00029-017-0312-z","University of Cambridge",2017
"10.1007/s13679-017-0247-x","University College London",2017
"10.1007/s00468-016-1516-0","University of Manchester",2017
"10.1007/s10758-017-9300-9","King's College London",2017
"10.1007/s00419-017-1233-1","University of Liverpool",2017
"10.1007/s10797-017-9438-3","University of Oxford",2017
"10.1007/s00421-017-3561-9","Northumbria University",2017
"10.1007/s00216-017-0255-4","St George's, University of London",2017
"10.1007/s10912-017-9434-8","University of Glasgow",2017
"10.1007/s13679-017-0246-y","University of Leeds",2017
"10.1007/s11023-017-9422-9","University of Oxford",2017
"10.1007/s00127-017-1343-7","University College London",2017
"10.1007/s10751-016-1374-6","University College London",2017
"10.1007/s10995-016-2225-4","University of Southampton",2017
"10.1007/s40719-017-0075-1","Queen Mary, University of London",2017
"10.1007/s10608-017-9831-3","University of Exeter",2017
"10.1007/s10044-017-0597-8","University of Birmingham",2017
"10.1007/s11242-017-0828-x","University of Bath",2017
"10.1007/s00787-017-0954-6","University of Warwick",2017
"10.1007/s10722-017-0491-7","University of Warwick",2017
"10.1007/s00023-017-0560-7","University of Cambridge",2017
"10.1007/s00415-017-8399-x","Newcastle University",2017
"10.1007/s10048-017-0510-z","University of Southampton",2017
"10.1007/s00216-017-0240-y","Imperial College London",2017
"10.1007/s40505-017-0114-7","University of Liverpool",2017
"10.1007/s10549-017-4145-4","University of Edinburgh",2017
"10.1007/s10113-017-1120-x","University of Sheffield",2017
"10.1007/s00787-017-0967-1","King's College London",2017
"10.1007/s00421-016-3532-6","University of Kent",2017
"10.1007/s11912-017-0559-8","Cardiff University",2017
"10.1007/s10817-017-9406-8","University of Manchester",2017
"10.1007/s11036-017-0822-0","King's College London",2017
"10.1007/s11245-017-9457-9","University of Birmingham",2017
"10.1007/s00205-017-1076-5","University of Warwick",2017
"10.1007/s10751-017-1412-z","University of Manchester",2017
"10.1007/s00415-017-8411-5","Cardiff University",2017
"10.1007/s11082-017-0939-1","University of West of Scotland",2017
"10.1007/s11220-017-0162-y","Liverpool John Moores University",2017
"10.1007/s00025-017-0656-x","University of Nottingham",2017
"10.1007/s12560-017-9279-3","Bangor University",2017
"10.1007/s10653-017-9919-4","University of West of Scotland",2017
"10.1007/s10543-016-0642-9","Cardiff University",2017
"10.1007/s00466-016-1360-5","University of Nottingham",2017
"10.1007/s10994-016-5616-2","University College London",2017
"10.1007/s00040-017-0542-2","University of Edinburgh",2017
"10.1007/s12529-017-9632-9","University of Leeds",2017
"10.1007/s10982-017-9288-2","University of Reading",2017
"10.1007/s10853-017-0840-0","University of Exeter",2017
"10.1007/s10639-017-9586-1","Durham University",2017
"10.1007/s11134-017-9516-3","University of Edinburgh",2017
"10.1007/s10551-017-3463-0","London School of Economics and Political Science",2017
"10.1007/s13524-017-0554-6","University of Sheffield",2017
"10.1007/s10654-017-0232-4","Imperial College London",2017
"10.1007/s00221-017-4883-x","University of Oxford",2017
"10.1007/s11368-017-1668-6","University of Manchester",2017
"10.1007/s11009-017-9545-8","University College London",2017
"10.1007/s11440-017-0523-7","Newcastle University",2017
"10.1007/s11340-017-0255-5","University of Manchester",2017
"10.1007/s00048-017-0158-7","University of Warwick",2017
"10.1007/s11135-017-0482-y","Durham University",2017
"10.1007/s10639-017-9583-4","Loughborough University",2017
"10.1007/s12571-017-0648-4","University of Sheffield",2017
"10.1007/s00125-017-4210-x","University of Oxford",2017
"10.1007/s10670-016-9868-9","University of Birmingham",2017
"10.1007/s10803-016-3018-8","University College London",2017
"10.1007/s10828-017-9084-2","University of Manchester",2017
"10.1007/s00214-017-2060-8","University of Bath",2017
"10.1007/s10844-017-0445-8","University College London",2017
"10.1007/s00068-017-0765-y","University of Manchester",2017
"10.1007/s10853-017-0838-7","King's College London",2017
"10.1007/s11222-017-9734-x","University of Southampton",2017
"10.1007/s00182-017-0567-9","University of Glasgow",2017
"10.1007/s10459-017-9755-4","University of Leicester",2017
"10.1007/s00125-017-4219-1","King's College London",2017
"10.1007/s13361-017-1616-0","University of Birmingham",2017
"10.1007/s00396-017-4023-y","University of Bristol",2017
"10.1007/s10461-017-1705-x","Imperial College London",2017
"10.1007/s10680-016-9404-2","University of St Andrews",2017
"10.1007/s10670-016-9853-3","University of Glasgow",2017
"10.1007/s10295-017-1904-5","Imperial College London",2017
"10.1007/s11625-016-0418-9","University of Oxford",2017
"10.1007/s00192-017-3273-z","University of Manchester",2017
"10.1007/s00453-017-0283-7","University of Portsmouth",2017
"10.1007/s00125-017-4221-7","University of Bristol",2017
"10.1007/s00216-017-0223-z","Swansea University",2017
"10.1007/s00227-017-3081-5","Swansea University",2017
"10.1007/s00269-017-0875-4","University College London",2017
"10.1007/s00253-017-8137-4","University of Nottingham",2017
"10.1007/s00415-017-8398-y","University College London",2017
"10.1007/s11082-017-0919-5","Sheffield Hallam University",2017
"10.1007/s00213-017-4564-2","Glasgow Caledonian University",2017
"10.1007/s00601-017-1230-5","University of Edinburgh",2017
"10.1007/s00296-017-3672-y","University of Oxford",2017
"10.1007/s11085-017-9747-z","University of Liverpool",2017
"10.1007/s10404-017-1865-z","University of Southampton",2017
"10.1007/s10450-017-9875-4","University of Edinburgh",2017
"10.1007/s10113-017-1112-x","University of Leeds",2017
"10.1007/s10562-016-1902-7","Heriot-Watt University",2017
"10.1007/s10614-017-9657-9","Cardiff Metropolitan University",2017
"10.1007/s11219-016-9353-3","Brunel University",2017
"10.1007/s40870-016-0090-2","University of Oxford",2017
"10.1007/s11240-017-1168-9","Aberystwyth University",2017
"10.1007/s00397-017-0997-0","University of Strathclyde",2017
"10.1007/s00285-017-1104-y","University of Nottingham",2017
"10.1007/s10508-017-0956-y","The Open University",2017
"10.1007/s10661-017-5817-6","University of Manchester",2017
"10.1007/s10584-017-1909-0","University of Reading",2017
"10.1007/s13679-017-0240-4","University of Reading",2017
"10.1007/s10982-017-9292-6","University of Oxford",2017
"10.1007/s10991-017-9192-8","University of Manchester",2017
"10.1007/s12220-017-9762-y","University of Edinburgh",2017
"10.1007/s10237-017-0884-8","Swansea University",2017
"10.1007/s10955-017-1740-z","University of Warwick",2017
"10.3758/s13420-017-0260-7","University of Cambridge",2017
"10.1007/s10531-017-1320-1","University of Bristol",2017
"10.1007/s10841-017-9963-5","Newcastle University",2017
"10.1007/s00216-017-0257-2","University of Strathclyde",2017
"10.1007/s10533-017-0309-x","University of Southampton",2017
"10.1007/s10404-017-1881-z","Swansea University",2017
"10.1007/s40519-016-0347-8","King's College London",2017
"10.1007/s40653-016-0127-7","University of Dundee",2017
"10.1007/s10577-017-9550-3","University College London",2017
"10.1007/s11883-017-0642-5","King's College London",2017
"10.1007/s10577-017-9551-2","University of Edinburgh",2017
"10.1007/s11786-016-0285-x","King's College London",2017
"10.1007/s10287-017-0274-9","Brunel University",2017
"10.1007/s00330-017-4761-8","University College London",2017
"10.1007/s10554-017-1092-4","Imperial College London",2017
"10.1007/s10096-017-2918-7","University of Manchester",2017
"10.1007/s11214-017-0333-0","University of Leicester",2017
"10.1007/s11135-017-0488-5","University of Sheffield",2017
"10.1007/s10552-017-0861-7","University of Bristol",2017
"10.1007/s11075-017-0274-4","University of Bath",2017
"10.1007/s11858-017-0833-0","University of Oxford",2017
"10.1007/s40429-017-0129-z","University of Bath",2017
"10.1007/s00454-017-9859-x","University of Warwick",2017
"10.1007/s00381-017-3358-5","University of Glasgow",2017
"10.1007/s00186-017-0574-4","University of Liverpool",2017
"10.1007/s40506-017-0110-3","University of Leicester",2017
"10.1007/s00421-016-3531-7","Leeds Beckett University",2017
"10.1007/s10646-017-1762-y","University of Strathclyde",2017
"10.1007/s10557-016-6710-1","University College London",2017
"10.1007/s00029-017-0311-0","University of Cambridge",2017
"10.1007/s10734-017-0117-1","University of Warwick",2017
"10.1007/s00484-017-1311-7","University of Leeds",2017
"10.1007/s00013-017-1026-3","Queen's University of Belfast",2017
"10.1007/s00401-017-1680-3","University College London",2017
"10.1007/s00221-017-4895-6","University of Warwick",2017
"10.1007/s10739-017-9469-8","King's College London",2017
"10.1007/s10842-017-0246-3","University of Manchester",2017
"10.1007/s10479-017-2426-2","University of Stirling",2017
"10.1007/s10892-017-9247-z","University of Cambridge",2017
"10.1007/s11764-017-0603-6","University of Huddersfield",2017
"10.1007/s13394-017-0193-7","University College London",2017
"10.1007/s12350-017-0811-5","King's College London",2017
"10.1007/s12671-017-0691-4","University of Sheffield",2017
"10.1007/s11998-016-9889-y","University of Leeds",2017
"10.1007/s10198-017-0868-8","University of Warwick",2017
"10.1007/s00127-017-1338-4","Imperial College London",2017
"10.1007/s00355-016-1020-x","University of Oxford",2017
"10.1007/s00339-017-0761-4","University of Bradford",2017
"10.1007/s10151-017-1589-9","University of Southampton",2017
"10.1007/s00531-017-1450-4","University of Cambridge",2017
"10.1007/s11082-017-0922-x","University of Bristol",2017
"10.1007/s40670-017-0383-7","University of Leeds",2017
"10.1007/s00429-017-1380-8","University of Portsmouth",2017
"10.1007/s00424-017-1945-7","University of Nottingham",2017
"10.1007/s40725-017-0052-5","University of Leicester",2017
"10.1007/s11229-017-1339-6","University of Bristol",2017
"10.1007/s00246-017-1586-9","University of Bristol",2017
"10.1007/s11908-017-0564-y","University of Sheffield",2017
"10.1007/s10912-017-9433-9","University of Hull",2017
"10.1007/s11217-017-9568-1","University of Westminster",2017
"10.1007/s00221-017-4896-5","Bangor University",2017
"10.1007/s11156-017-0623-3","University of Westminster",2017
"10.1007/s00059-017-4533-x","King's College London",2017
"10.1007/s11356-016-8332-3","Brunel University",2017
"10.1617/s11527-016-0991-5","Brunel University",2017
"10.1007/s11115-017-0381-7","University of York",2017
"10.1007/s12517-017-2846-y","University of Aberdeen",2017
"10.1007/s11852-016-0492-2","University College London",2017
"10.1007/s11548-017-1539-z","University of Cambridge",2017
"10.1007/s10336-017-1437-8","University of Sheffield",2017
"10.1007/s10237-017-0888-4","University College London",2017
"10.1007/s10640-016-0101-8","University of Exeter",2017
"10.1007/s00262-017-1970-6","Aston University",2017
"10.1007/s00170-017-0147-y","Sheffield Hallam University",2017
"10.1007/s10615-016-0615-0","Durham University",2017
"10.1007/s10858-017-0092-y","University of York",2017
"10.1007/s10096-017-2925-8","University of Manchester",2017
"10.1007/s11419-017-0357-x","University of Lincoln",2017
"10.1007/s11661-017-4005-1","University of Manchester",2017
"10.1007/s11406-017-9817-0","University of Exeter",2017
"10.1007/s11238-017-9589-9","King's College London",2017
"10.1007/s10750-017-3106-6","University of Portsmouth",2017
"10.1007/s00586-017-4956-3","University of Oxford",2017
"10.1007/s00421-017-3560-x","Loughborough University",2017
"10.1007/s10806-017-9650-2","University of Bristol",2017
"10.1007/s00205-017-1096-1","University of Warwick",2017
"10.1007/s10734-017-0120-6","Lancaster University",2017
"10.1007/s10562-017-1998-4","University College London",2017
"10.1007/s10522-017-9677-9","London School of Economics and Political Science",2017
"10.1007/s10557-016-6711-0","University College London",2017
"10.1007/s10608-016-9826-5","University of Reading",2017
"10.1007/s10728-017-0339-5","University of Manchester",2017
"10.1007/s12685-017-0193-2","University of Bristol",2017
"10.1007/s10734-017-0125-1","University of Oxford",2017
"10.1007/s11242-017-0834-z","Imperial College London",2017
"10.1007/s13524-017-0550-x","London School of Economics and Political Science",2017
"10.1007/s13347-017-0253-7","University of Oxford",2017
"10.1007/s10058-017-0198-4","University of Southampton",2017
"10.1617/s11527-017-1012-z","University of Aberdeen",2017
"10.1007/s10790-017-9586-9","University of Oxford",2017
"10.1007/s00170-017-0140-5","University of Greenwich",2017
"10.1007/s11098-017-0880-y","University of Edinburgh",2017
"10.1007/s13347-017-0252-8","University of Hull",2017
"10.1007/s10710-017-9291-2","Aston University",2017
"10.1007/s00018-017-2487-z","University of Glasgow",2017
