"Institution","DOI","period"
"Cardiff University","10.1007/s11031-015-9526-6","2015"
"Cardiff University","10.1007/s10677-015-9665-6","2015"
"Cardiff University","10.1007/s11136-015-1194-1","2015"
"Cardiff University","10.1007/s11115-015-0340-0","2016"
"Cardiff University","10.1007/s00429-016-1183-3","2016"
"Cardiff University","10.1007/s00415-015-8000-4","2016"
"Cardiff University","10.1007/s00395-016-0540-y","2016"
"Cardiff University","10.1007/s00366-016-0439-0","2016"
"Cardiff University","10.1007/s11284-016-1338-y","2016"
"Cardiff University","10.1007/s11127-016-0311-1","2016"
"Cardiff University","10.1007/s00415-016-8025-3","2016"
"Cardiff University","10.1007/s00415-016-8062-y","2016"
"Cardiff University","10.1007/s10508-015-0678-y","2016"
"Cardiff University","10.1007/s00265-016-2076-4","2016"
"Cardiff University","10.1007/s12273-016-0285-4","2016"
"Cardiff University","10.1007/s11892-016-0724-8","2016"
"Cardiff University","10.1007/s11244-016-0538-6","2016"
"Cardiff University","10.1007/s10909-016-1569-x","2016"
"Cardiff University","10.1007/s00442-016-3598-1","2016"
"Cardiff University","10.1007/s10882-016-9478-0","2016"
"Cardiff University","10.1007/s10666-016-9502-x","2016"
"Cardiff University","10.1007/s00410-016-1248-6","2016"
"Cardiff University","10.1007/s10494-016-9718-5","2016"
"Cardiff University","10.1007/s11244-016-0539-5","2016"
"Cardiff University","10.1007/s00415-016-8099-y","2016"
"Cardiff University","10.1007/s00466-016-1290-2","2016"
"Cardiff University","10.1007/s11263-016-0903-8","2016"
"Cardiff University","10.1007/s00126-016-0655-y","2016"
"Cardiff University","10.1007/s00415-016-8137-9","2016"
"Cardiff University","10.1007/s00020-016-2296-z","2016"
"Cardiff University","10.1007/s10838-016-9335-y","2016"
"Cardiff University","10.1007/s11356-016-6749-3","2016"
"Cardiff University","10.1007/s11999-016-4870-8","2016"
"Cardiff University","10.1007/s00410-016-1257-5","2016"
"Cardiff University","10.1007/s41055-016-0004-y","2016"
"Cardiff University","10.1007/s00170-016-8866-z","2016"
"Cardiff University","10.1007/s00415-016-8165-5","2016"
"City University London","10.1007/s11761-015-0185-y","2015"
"City University London","10.1007/s10588-015-9203-z","2015"
"City University London","10.1007/s12160-015-9755-7","2015"
"City University London","10.1007/s11628-015-0297-7","2015"
"City University London","10.1007/s40622-015-0117-x","2016"
"City University London","10.1007/s11082-016-0499-9","2016"
"Cranfield University","10.1007/s00348-015-2088-2","2015"
"Cranfield University","10.1007/s10980-015-0337-7","2016"
"Cranfield University","10.1007/s11270-015-2723-9","2016"
"Cranfield University","10.1007/s00170-015-8110-2","2016"
"Cranfield University","10.1007/s00170-015-8299-0","2016"
"Cranfield University","10.1007/s00414-015-1309-9","2016"
"Cranfield University","10.1007/s11270-016-2756-8","2016"
"Cranfield University","10.1007/s00170-016-8502-y","2016"
"Cranfield University","10.1007/s10404-016-1729-y","2016"
"Cranfield University","10.1007/s12567-016-0120-x","2016"
"Cranfield University","10.1007/s11665-016-2096-2","2016"
"Cranfield University","10.1007/s11156-016-0580-2","2016"
"Cranfield University","10.1007/s00158-016-1476-4","2016"
"Edge Hill University","10.1007/s00213-016-4221-1","2016"
"Edge Hill University","10.1007/s00477-016-1258-y","2016"
"Edinburgh Napier University","10.1007/s10570-015-0838-1","2015"
"Edinburgh Napier University","10.1007/s10570-016-0861-x","2016"
"Glasgow Caledonian University","10.1007/s12207-015-9246-y","2016"
"Glasgow Caledonian University","10.1007/s11266-016-9688-1","2016"
"Glasgow Caledonian University","10.1007/s10548-016-0476-4","2016"
"Glasgow Caledonian University","10.1007/s11235-016-0154-6","2016"
"Goldsmiths, University of London","10.1007/s12559-015-9366-4","2016"
"Goldsmiths, University of London","10.1007/s12108-016-9309-x","2016"
"Goldsmiths, University of London","10.1007/s10803-016-2794-5","2016"
"Heriot-Watt University","10.1007/s11269-015-1171-z","2015"
"Heriot-Watt University","10.1007/s10803-016-2701-0","2016"
"Heriot-Watt University","10.1007/s11274-015-1981-4","2016"
"Heriot-Watt University","10.1007/s00542-015-2775-1","2016"
"Heriot-Watt University","10.1007/s10236-016-0958-7","2016"
"Imperial College London","10.1007/s11695-015-1945-7","2015"
"Imperial College London","10.1007/s00209-015-1559-8","2015"
"Imperial College London","10.1007/s00340-015-6261-3","2015"
"Imperial College London","10.1007/s00381-015-2951-8","2015"
"Imperial College London","10.1007/s00268-015-3317-9","2015"
"Imperial College London","10.1007/s00259-015-3231-2","2015"
"Imperial College London","10.1007/s10955-015-1412-9","2015"
"Imperial College London","10.1007/s10237-015-0740-7","2015"
"Imperial College London","10.1007/s10957-015-0838-1","2015"
"Imperial College London","10.1007/s10237-015-0738-1","2015"
"Imperial College London","10.1007/s12289-015-1273-4","2015"
"Imperial College London","10.1007/s00209-015-1565-x","2015"
"Imperial College London","10.1007/s11695-015-1978-y","2015"
"Imperial College London","10.1007/s00127-015-1145-8","2015"
"Imperial College London","10.1007/s11695-015-1999-6","2015"
"Imperial College London","10.1007/s00280-015-2940-3","2015"
"Imperial College London","10.1007/s00498-015-0154-1","2015"
"Imperial College London","10.1007/s11207-015-0828-3","2015"
"Imperial College London","10.1007/s10719-015-9638-y","2015"
"Imperial College London","10.1007/s10494-015-9684-3","2015"
"Imperial College London","10.1007/s10439-015-1523-0","2015"
"Imperial College London","10.1007/s00204-015-1655-x","2016"
"Imperial College London","10.1007/s40571-015-0095-y","2016"
"Imperial College London","10.1007/s10557-016-6638-5","2016"
"Imperial College London","10.1007/s00384-015-2475-4","2016"
"Imperial College London","10.1007/s00208-015-1352-3","2016"
"Imperial College London","10.1007/s00464-016-4752-x","2016"
"Imperial College London","10.1007/s10654-016-0124-z","2016"
"Imperial College London","10.1007/s10439-016-1549-y","2016"
"Imperial College London","10.1007/s00213-016-4218-9","2016"
"Imperial College London","10.1007/s12265-016-9673-5","2016"
"Imperial College London","10.1007/s10955-016-1471-6","2016"
"Imperial College London","10.1007/s00220-016-2576-0","2016"
"Imperial College London","10.1007/s10584-016-1617-1","2016"
"Imperial College London","10.1007/s00381-016-3021-6","2016"
"Imperial College London","10.1007/s10526-016-9718-3","2016"
"Imperial College London","10.1007/s40124-016-0093-4","2016"
"Imperial College London","10.1007/s00211-015-0787-5","2016"
"Imperial College London","10.1007/s11269-016-1245-6","2016"
"Imperial College London","10.1007/s11938-016-0075-1","2016"
"Imperial College London","10.1007/s00167-015-3976-y","2016"
"Imperial College London","10.1007/s11548-016-1373-8","2016"
"Imperial College London","10.1007/s00220-016-2598-7","2016"
"Imperial College London","10.1007/s10955-016-1491-2","2016"
"Imperial College London","10.1007/s11548-016-1361-z","2016"
"Imperial College London","10.1245/s10434-016-5188-1","2016"
"Imperial College London","10.1007/s10494-016-9719-4","2016"
"Imperial College London","10.1007/s11277-016-3270-4","2016"
"Imperial College London","10.1007/s10955-016-1483-2","2016"
"Imperial College London","10.1007/s11249-016-0669-8","2016"
"Imperial College London","10.1007/s00285-016-0986-4","2016"
"Imperial College London","10.1007/s12265-016-9684-2","2016"
"Imperial College London","10.1007/s00158-016-1412-7","2016"
"Imperial College London","10.1007/s00285-016-0990-8","2016"
"Imperial College London","10.1007/s10884-016-9530-x","2016"
"Imperial College London","10.1007/s11067-016-9326-x","2016"
"Imperial College London","10.1007/s10231-016-0567-6","2016"
"Imperial College London","10.1007/s10766-016-0422-9","2016"
"Imperial College London","10.1007/s00193-016-0651-2","2016"
"Imperial College London","10.1007/s12265-016-9690-4","2016"
"Imperial College London","10.1007/s11242-016-0685-z","2016"
"Imperial College London","10.1007/s11888-016-0321-x","2016"
"Imperial College London","10.1007/s10586-016-0568-7","2016"
"Imperial College London","10.1007/s10915-016-0204-y","2016"
"Imperial College London","10.1007/s10552-016-0751-4","2016"
"Imperial College London","10.1007/s10898-016-0430-8","2016"
"Imperial College London","10.1007/s10762-016-0279-4","2016"
"Imperial College London","10.1007/s11554-016-0591-1","2016"
"Imperial College London","10.1007/s12213-016-0088-9","2016"
"Imperial College London","10.1007/s00220-016-2637-4","2016"
"Imperial College London","10.1007/s10552-016-0755-0","2016"
"Imperial College London","10.1007/s00464-016-4953-3","2016"
"Imperial College London","10.1007/s11664-016-4623-1","2016"
"Imperial College London","10.1007/s00281-016-0561-5","2016"
"Imperial College London","10.1007/s11046-016-0017-4","2016"
"Keele University","10.1007/s00432-015-2074-3","2015"
"Keele University","10.1007/s00586-015-4359-2","2015"
"Keele University","10.1007/s00464-015-4641-8","2016"
"Keele University","10.1007/s00410-016-1235-y","2016"
"Keele University","10.1007/s12144-016-9437-z","2016"
"Keele University","10.1007/s00285-016-0995-3","2016"
"King's College London","10.1007/s10237-015-0748-z","2015"
"King's College London","10.1007/s00281-015-0539-8","2015"
"King's College London","10.1007/s00259-015-3228-x","2015"
"King's College London","10.1007/s00125-015-3803-5","2015"
"King's College London","10.1007/s00383-015-3836-3","2015"
"King's College London","10.1007/s11192-015-1785-1","2015"
"King's College London","10.1007/s12160-015-9752-x","2015"
"King's College London","10.1007/s10803-015-2641-0","2015"
"King's College London","10.1007/s00018-015-2092-y","2015"
"King's College London","10.1007/s00787-015-0800-7","2015"
"King's College London","10.1007/s00127-015-1151-x","2015"
"King's College London","10.1007/s00127-015-1161-8","2015"
"King's College London","10.1007/s00127-015-1152-9","2015"
"King's College London","10.1007/s10539-015-9512-0","2015"
"King's College London","10.1007/s00213-015-4156-y","2015"
"King's College London","10.1007/s00214-015-1768-6","2015"
"King's College London","10.1007/s11229-015-1005-9","2016"
"King's College London","10.1007/s11695-015-2032-9","2016"
"King's College London","10.1007/s10519-015-9777-8","2016"
"King's College London","10.1007/s00394-015-1151-3","2016"
"King's College London","10.1007/s11882-015-0588-z","2016"
"King's College London","10.1007/s11920-015-0648-z","2016"
"King's College London","10.1007/s11882-015-0580-7","2016"
"King's College London","10.1007/s00234-015-1639-9","2016"
"King's College London","10.1007/s10964-016-0419-0","2016"
"King's College London","10.1007/s10982-015-9253-x","2016"
"King's College London","10.1007/s11920-015-0652-3","2016"
"King's College London","10.1007/s00127-016-1178-7","2016"
"King's College London","10.1007/s00775-016-1342-2","2016"
"King's College London","10.1007/s11695-016-2103-6","2016"
"King's College London","10.1007/s00127-016-1185-8","2016"
"King's College London","10.1007/s00127-016-1177-8","2016"
"King's College London","10.1007/s00784-016-1739-x","2016"
"King's College London","10.1007/s00127-016-1191-x","2016"
"King's College London","10.1007/s11225-015-9647-7","2016"
"King's College London","10.1007/s00259-016-3315-7","2016"
"King's College London","10.1007/s12104-016-9672-0","2016"
"King's College London","10.1007/s00216-016-9334-1","2016"
"King's College London","10.1007/s00259-016-3324-6","2016"
"King's College London","10.1007/s00127-016-1170-2","2016"
"King's College London","10.1007/s11882-016-0600-2","2016"
"King's College London","10.1140/epjb/e2015-60656-5","2016"
"King's College London","10.1007/s11098-016-0657-8","2016"
"King's College London","10.1007/s40888-016-0027-1","2016"
"King's College London","10.1007/s40815-016-0144-6","2016"
"King's College London","10.1007/s40815-016-0162-4","2016"
"King's College London","10.1007/s10237-016-0782-5","2016"
"King's College London","10.1007/s10879-016-9328-5","2016"
"King's College London","10.1007/s10982-016-9256-2","2016"
"King's College London","10.1007/s10519-016-9786-2","2016"
"King's College London","10.1007/s00259-016-3349-x","2016"
"King's College London","10.1007/s40211-016-0177-y","2016"
"King's College London","10.1007/s10508-016-0725-3","2016"
"King's College London","10.1007/s10895-016-1789-0","2016"
"King's College London","10.1007/s11899-016-0318-1","2016"
"King's College London","10.1007/s41111-016-0021-3","2016"
"King's College London","10.1007/s10624-016-9417-6","2016"
"King's College London","10.1007/s10334-016-0550-7","2016"
"King's College London","10.1007/s11356-016-6490-y","2016"
"King's College London","10.1007/s12126-016-9244-8","2016"
"King's College London","10.1007/s00199-016-0967-2","2016"
"King's College London","10.1007/s40590-016-0117-7","2016"
"King's College London","10.1007/s11098-016-0673-8","2016"
"King's College London","10.1007/s10639-016-9482-0","2016"
"King's College London","10.1007/s13669-016-0156-0","2016"
"King's College London","10.1007/s10897-016-9959-4","2016"
"King's College London","10.1007/s11886-016-0726-9","2016"
"King's College London","10.1007/s00208-016-1411-4","2016"
"King's College London","10.1007/s12529-016-9562-y","2016"
"King's College London","10.1007/s13669-016-0162-2","2016"
"King's College London","10.1007/s00127-016-1222-7","2016"
"King's College London","10.1007/s10639-016-9493-x","2016"
"King's College London","10.1007/s00345-016-1836-0","2016"
"King's College London","10.1007/s00508-016-0971-3","2016"
"King's College London","10.1007/s00508-016-0966-0","2016"
"King's College London","10.1007/s00415-016-8126-z","2016"
"King's College London","10.1007/s11012-016-0438-7","2016"
"King's College London","10.1007/s11095-016-1940-2","2016"
"King's College London","10.1007/s00737-016-0636-2","2016"
"King's College London","10.1007/s00737-016-0635-3","2016"
"King's College London","10.1007/s10597-016-0012-8","2016"
"King's College London","10.1007/s00125-016-3995-3","2016"
"King's College London","10.1007/s10708-016-9722-2","2016"
"King's College London","10.1007/s40336-016-0183-x","2016"
"King's College London","10.1007/s00127-016-1244-1","2016"
"Kingston University","10.3758/s13423-016-1029-2","2016"
"Kingston University","10.1007/s40806-016-0055-7","2016"
"Leeds Beckett University","10.1007/s00464-015-4713-9","2016"
"Leeds Beckett University","10.1007/s40279-016-0491-3","2016"
"Liverpool John Moores University","10.1007/s10761-015-0326-1","2015"
"Liverpool John Moores University","10.1007/s10522-015-9621-9","2015"
"Liverpool John Moores University","10.1007/s10991-015-9175-6","2015"
"Liverpool John Moores University","10.1007/s10991-015-9176-5","2015"
"Liverpool John Moores University","10.1007/s10548-015-0466-y","2015"
"Liverpool John Moores University","10.1007/s12671-015-0482-8","2015"
"Liverpool John Moores University","10.1007/s11692-015-9362-3","2015"
"Liverpool John Moores University","10.1007/s10612-015-9312-5","2015"
"Liverpool John Moores University","10.1007/s10691-016-9309-9","2016"
"Liverpool John Moores University","10.1007/s10764-016-9893-1","2016"
"Liverpool John Moores University","10.1007/s00441-016-2389-7","2016"
"Liverpool John Moores University","10.1007/s00170-016-8541-4","2016"
"Liverpool John Moores University","10.1007/s10554-016-0910-4","2016"
"London School of Economics and Political Science","10.1007/s12546-015-9153-9","2015"
"London School of Economics and Political Science","10.1007/s10198-015-0741-6","2015"
"London School of Economics and Political Science","10.1007/s11269-015-1207-4","2015"
"London School of Economics and Political Science","10.1007/s10680-015-9372-y","2016"
"London School of Economics and Political Science","10.1007/s11269-015-1216-3","2016"
"London School of Economics and Political Science","10.1007/s13524-015-0453-7","2016"
"London School of Economics and Political Science","10.1007/s10018-016-0144-7","2016"
"London School of Economics and Political Science","10.1007/s11127-016-0322-y","2016"
"London School of Economics and Political Science","10.1007/s11229-016-1070-8","2016"
"London School of Economics and Political Science","10.1007/s13194-016-0142-4","2016"
"London School of Economics and Political Science","10.1007/s11238-016-9544-1","2016"
"London School of Economics and Political Science","10.1007/s00245-016-9341-9","2016"
"London School of Economics and Political Science","10.1007/s13194-016-0143-3","2016"
"London School of Economics and Political Science","10.1007/s10198-016-0783-4","2016"
"London School of Economics and Political Science","10.1007/s10978-016-9183-2","2016"
"London School of Economics and Political Science","10.1007/s11357-016-9903-4","2016"
"London School of Economics and Political Science","10.1007/s11698-016-0143-8","2016"
"London School of Economics and Political Science","10.1007/s00168-016-0762-9","2016"
"London School of Economics and Political Science","10.1007/s11098-016-0675-6","2016"
"London School of Economics and Political Science","10.1007/s13194-016-0147-z","2016"
"London South Bank University","10.1007/s11440-015-0432-6","2016"
"London South Bank University","10.1007/s00799-016-0168-4","2016"
"London South Bank University","10.1007/s00022-016-0331-5","2016"
"Loughborough University","10.1007/s00421-015-3294-6","2015"
"Loughborough University","10.1007/s12095-015-0166-1","2015"
"Loughborough University","10.1140/epjb/e2015-60628-9","2015"
"Loughborough University","10.1007/s00348-015-2090-8","2015"
"Loughborough University","10.1007/s00170-016-8509-4","2016"
"Loughborough University","10.1007/s10661-016-5178-6","2016"
"Loughborough University","10.1007/s10853-015-9554-3","2016"
"Loughborough University","10.1007/s00421-016-3340-z","2016"
"Loughborough University","10.1007/s10479-015-2086-z","2016"
"Loughborough University","10.1007/s11005-016-0828-8","2016"
"Loughborough University","10.1007/s10750-016-2748-0","2016"
"Loughborough University","10.1007/s11012-016-0397-z","2016"
"Loughborough University","10.1007/s10693-016-0246-1","2016"
"Loughborough University","10.1007/s00421-016-3370-6","2016"
"Loughborough University","10.1007/s10750-016-2757-z","2016"
"Loughborough University","10.1007/s10955-016-1523-y","2016"
"Loughborough University","10.1007/s00421-016-3380-4","2016"
"Loughborough University","10.1007/s10959-016-0684-6","2016"
"Loughborough University","10.1007/s10663-016-9339-1","2016"
"Loughborough University","10.1007/s10652-016-9459-y","2016"
"Loughborough University","10.1007/s00421-016-3399-6","2016"
"Manchester Metropolitan University","10.1007/s10649-015-9657-4","2015"
"Manchester Metropolitan University","10.1007/s10522-015-9627-3","2015"
"Manchester Metropolitan University","10.1007/s10522-015-9626-4","2015"
"Manchester Metropolitan University","10.1007/s11098-015-0620-0","2016"
"Manchester Metropolitan University","10.1007/s11357-016-9894-1","2016"
"Manchester Metropolitan University","10.1007/s10522-016-9641-0","2016"
"Manchester Metropolitan University","10.1007/s10522-016-9640-1","2016"
"Manchester Metropolitan University","10.1007/s10916-016-0482-9","2016"
"Manchester Metropolitan University","10.1007/s12603-016-0711-4","2016"
"Manchester Metropolitan University","10.1007/s12603-016-0710-5","2016"
"Manchester Metropolitan University","10.1007/s10841-016-9864-z","2016"
"Manchester Metropolitan University","10.1007/s10649-016-9706-7","2016"
"Natural History Museum","10.1007/s00414-015-1308-x","2016"
"Natural History Museum","10.1007/s10347-016-0462-z","2016"
"Natural History Museum","10.1007/s00269-016-0802-0","2016"
"Natural History Museum","10.1007/s10750-016-2700-3","2016"
"Natural History Museum","10.1007/s00338-016-1426-z","2016"
"Newcastle University","10.1007/s11051-015-3270-4","2015"
"Newcastle University","10.1007/s10816-015-9268-5","2015"
"Newcastle University","10.1007/s12138-015-0385-z","2015"
"Newcastle University","10.1007/s40592-015-0046-7","2015"
"Newcastle University","10.1007/s00773-015-0352-z","2015"
"Newcastle University","10.1007/s00345-015-1722-1","2015"
"Newcastle University","10.1007/s10584-015-1575-z","2016"
"Newcastle University","10.1007/s10875-016-0232-2","2016"
"Newcastle University","10.1007/s00192-015-2919-y","2016"
"Newcastle University","10.1007/s11695-016-2100-9","2016"
"Newcastle University","10.1007/s10494-015-9692-3","2016"
"Newcastle University","10.1007/s10551-016-3036-7","2016"
"Newcastle University","10.1007/s11894-016-0485-1","2016"
"Newcastle University","10.1007/s11886-016-0705-1","2016"
"Newcastle University","10.1007/s13593-016-0351-4","2016"
"Newcastle University","10.1007/s10207-015-0311-z","2016"
"Newcastle University","10.1007/s11743-016-1796-9","2016"
"Newcastle University","10.1007/s11144-016-0979-8","2016"
"Newcastle University","10.1007/s00449-016-1557-1","2016"
"Newcastle University","10.1007/s00280-016-2975-0","2016"
"Newcastle University","10.1007/s00281-016-0559-z","2016"
"Newcastle University","10.1007/s13593-016-0354-1","2016"
"Newcastle University","10.1007/s00170-016-8611-7","2016"
"Newcastle University","10.1007/s10803-016-2716-6","2016"
"Newcastle University","10.1007/s10494-016-9724-7","2016"
"Newcastle University","10.1007/s00401-016-1571-z","2016"
"Newcastle University","10.1007/s10545-016-9927-z","2016"
"Newcastle University","10.1007/s11166-016-9235-x","2016"
"Newcastle University","10.1007/s12393-016-9143-5","2016"
"Newcastle University","10.1007/s40735-016-0043-2","2016"
"Newcastle University","10.1007/s10875-016-0284-3","2016"
"Newcastle University","10.1007/s00592-016-0864-y","2016"
"Newcastle University","10.1007/s11239-016-1364-1","2016"
"Newcastle University","10.1007/s10806-016-9615-x","2016"
"Newcastle University","10.1007/s00415-016-8132-1","2016"
"Newcastle University","10.1007/s00125-016-3984-6","2016"
"Newcastle University","10.1007/s11222-016-9660-3","2016"
"Newcastle University","10.1007/s11042-016-3546-4","2016"
"Newcastle University","10.1007/s11156-016-0579-8","2016"
"Northumbria University","10.1007/s10750-015-2554-0","2015"
"Northumbria University","10.1007/s11356-015-5727-5","2015"
"Northumbria University","10.1007/s11356-015-5791-x","2015"
"Northumbria University","10.1617/s11527-015-0766-4","2015"
"Northumbria University","10.1007/s00779-015-0896-2","2015"
"Northumbria University","10.1007/s10612-015-9301-8","2015"
"Northumbria University","10.1007/s00426-015-0731-4","2016"
"Northumbria University","10.1007/s00421-015-3306-6","2016"
"Northumbria University","10.1007/s10096-015-2547-y","2016"
"Northumbria University","10.1007/s11356-015-5980-7","2016"
"Northumbria University","10.1007/s11367-016-1045-5","2016"
"Northumbria University","10.1007/s00394-016-1173-5","2016"
"Northumbria University","10.1007/s11869-016-0394-3","2016"
"Northumbria University","10.1007/s11356-016-6235-y","2016"
"Northumbria University","10.1007/s10612-016-9318-7","2016"
"Northumbria University","10.1007/s00170-016-8576-6","2016"
"Northumbria University","10.1007/s11042-016-3374-6","2016"
"Northumbria University","10.1007/s11356-016-6354-5","2016"
"Northumbria University","10.1007/s10208-016-9312-1","2016"
"Northumbria University","10.1007/s11562-016-0356-4","2016"
"Nottingham Trent University","10.1007/s10344-016-0985-1","2016"
"Nottingham Trent University","10.1007/s00775-015-1320-0","2016"
"Nottingham Trent University","10.3758/s13414-015-1045-8","2016"
"Nottingham Trent University","10.1140/epje/i2016-16021-x","2016"
"Nottingham Trent University","10.1007/s11293-016-9486-6","2016"
"Nottingham Trent University","10.1007/s11406-016-9690-2","2016"
"Nottingham Trent University","10.1007/s11098-016-0651-1","2016"
"Nottingham Trent University","10.1007/s10551-016-3083-0","2016"
"Nottingham Trent University","10.1007/s10824-016-9270-0","2016"
"Nottingham Trent University","10.1007/s10902-016-9735-z","2016"
"Nottingham Trent University","10.1007/s11469-016-9653-7","2016"
"The Open University","10.1007/s10995-015-1839-2","2015"
"The Open University","10.1007/s11158-015-9317-7","2016"
"The Open University","10.1007/s12186-015-9144-1","2016"
"The Open University","10.1007/s11084-015-9477-7","2016"
"The Open University","10.1007/s11222-016-9632-7","2016"
"The Open University","10.1007/s11858-016-0764-1","2016"
"The Open University","10.1007/s00146-016-0653-8","2016"
"Queen Mary, University of London","10.1007/s11306-015-0894-4","2015"
"Queen Mary, University of London","10.1007/s10739-015-9430-7","2015"
"Queen Mary, University of London","10.1007/s10856-015-5653-6","2015"
"Queen Mary, University of London","10.1007/s11906-015-0623-4","2016"
"Queen Mary, University of London","10.1007/s10742-015-0142-4","2016"
"Queen Mary, University of London","10.1007/s40574-015-0047-8","2016"
"Queen Mary, University of London","10.1007/s11899-015-0295-9","2016"
"Queen Mary, University of London","10.1007/s00216-015-9296-8","2016"
"Queen Mary, University of London","10.1007/s10654-016-0119-9","2016"
"Queen Mary, University of London","10.1007/s10654-016-0122-1","2016"
"Queen Mary, University of London","10.1007/s00018-016-2211-4","2016"
"Queen Mary, University of London","10.1007/s00125-016-3927-2","2016"
"Queen Mary, University of London","10.1140/epjd/e2016-70068-x","2016"
"Queen Mary, University of London","10.1007/s40279-016-0523-z","2016"
"Queen Mary, University of London","10.1007/s00259-016-3391-8","2016"
"Queen Mary, University of London","10.1007/s10955-016-1536-6","2016"
"Queen Mary, University of London","10.1007/s10623-016-0223-6","2016"
"Queen's University of Belfast","10.1007/s10750-015-2544-2","2015"
"Queen's University of Belfast","10.1007/s00395-015-0518-1","2015"
"Queen's University of Belfast","10.1007/s00125-015-3800-8","2015"
"Queen's University of Belfast","10.1007/s00446-015-0258-3","2015"
"Queen's University of Belfast","10.1007/s10856-015-5630-0","2015"
"Queen's University of Belfast","10.1007/s10856-015-5615-z","2015"
"Queen's University of Belfast","10.1617/s11527-015-0747-7","2015"
"Queen's University of Belfast","10.1007/s13389-015-0114-1","2015"
"Queen's University of Belfast","10.1007/s11117-015-0387-8","2015"
"Queen's University of Belfast","10.1007/s11158-015-9314-x","2015"
"Queen's University of Belfast","10.1007/s00027-015-0464-x","2016"
"Queen's University of Belfast","10.1007/s00228-015-2003-z","2016"
"Queen's University of Belfast","10.1007/s10640-015-9985-y","2016"
"Queen's University of Belfast","10.1007/s13346-015-0273-8","2016"
"Queen's University of Belfast","10.1007/s10654-015-0112-8","2016"
"Queen's University of Belfast","10.1007/s11095-016-1885-5","2016"
"Queen's University of Belfast","10.1007/s11356-016-6428-4","2016"
"Queen's University of Belfast","10.1007/s10286-016-0340-3","2016"
"Queen's University of Belfast","10.1007/s11888-016-0312-y","2016"
"Queen's University of Belfast","10.1007/s00181-016-1081-9","2016"
"Queen's University of Belfast","10.1007/s12187-016-9396-9","2016"
"Queen's University of Belfast","10.1007/s00704-016-1830-x","2016"
"Queen's University of Belfast","10.1007/s00426-016-0775-0","2016"
"Robert Gordon University","10.1007/s11082-016-0528-8","2016"
"Robert Gordon University","10.1007/s11096-016-0288-3","2016"
"Royal Holloway, University of London","10.1007/s10461-015-1246-0","2015"
"Royal Holloway, University of London","10.1007/s10623-015-0149-4","2015"
"Royal Holloway, University of London","10.1007/s11195-015-9423-7","2015"
"Royal Holloway, University of London","10.1007/s10514-015-9534-0","2015"
