"Institution","PubMed Central (PMC) ID","PubMed ID","DOI","Publisher","Journal","ISSN","is_hybrid","period","euro","Licence"
"University of Glasgow","","","10.5194/bgd-12-15737-2015","Copernicus","Biogeosciences","1726-4170","","2016","844.00","CC BY"
"University of Glasgow","","26546217","10.1016/j.bmcl.2015.10.077","Elsevier","Bioorganic & Medicinal Chemistry Letters","0960-894X","","2016","1809.93","CC BY"
"University of Glasgow","","","10.1016/j.compositesa.2015.11.005","Elsevier","Composites Part A: Applied Science and Manufacturing","1359-835X","","2016","3025.05","CC BY"
"University of Glasgow","","","10.1016/j.emospa.2015.09.004","Elsevier","Emotion, Space and Society","1755-4586","","2016","1710.82","CC BY"
"University of Glasgow","","","10.1016/j.epidem.2015.08.003","Elsevier","Epidemics","1755-4365","","2016","1669.17","CC BY"
"University of Glasgow","","","10.1016/j.fuel.2015.10.061","Elsevier","Fuel","0016-2361","","2016","3037.79","CC BY"
"University of Glasgow","","","10.1016/j.ijcard.2015.09.014","Elsevier","International Journal of Cardiology","0167-5273","","2016","2903.10","CC BY"
"University of Glasgow","","","10.1016/j.ijcha.2015.06.009","Elsevier","IJC Heart & Vasculature","","","2016","2404.45","CC BY-NC-ND"
"University of Glasgow","","","10.1016/j.jenvrad.2015.10.029","Elsevier","Journal of Environmental Radioactivity","0265-931X","","2016","2336.65","CC BY"
"University of Glasgow","","","10.1016/j.jpaa.2015.09.008","Elsevier","Journal of Pure and Applied Algebra","0022-4049","","2016","1452.10","CC BY"
"University of Glasgow","","","10.1016/j.microrel.2015.06.094","Elsevier","Microelectronics Reliability","0026-2714","","2016","2348.86","CC BY"
"University of Glasgow","PMC4611071","26476078","10.1016/j.neo.2015.08.009","Elsevier","Neoplasia","1522-8002","","2016","3509.55","CC BY"
"University of Glasgow","PMC4642643","26365611","10.1016/j.neuroscience.2015.09.022","Elsevier","Neuroscience","0306-4522","","2016","2126.60",""
"University of Glasgow","","","10.1016/j.nimb.2015.07.121","Elsevier","Nuclear Instruments & Methods in Physics Research Section B: Beam Interactions with Materials and Atoms","0168-583X","","2016","2049.57","CC BY"
"University of Glasgow","","","10.1016/j.nimb.2015.07.122","Elsevier","Nuclear Instruments & Methods in Physics Research Section B: Beam Interactions with Materials and Atoms","0168-583X","","2016","2049.57","CC BY"
"University of Glasgow","","","10.1016/j.oregeorev.2015.09.020","Elsevier","Ore Geology Reviews","0169-1368","","2016","2323.22","CC BY"
"University of Glasgow","","26434785","10.1016/j.physbeh.2015.09.032","Elsevier","Physiology & Behavior","0031-9384","","2016","2146.06","CC BY"
"University of Glasgow","","","10.1016/j.placenta.2015.10.022","Elsevier","Placenta","0143-4004","","2016","3003.17","CC BY"
"University of Glasgow","","","10.1016/j.quageo.2015.08.001","Elsevier","Quaternary Geochronology","1871-1014","","2016","2397.93","CC BY"
"University of Glasgow","","26530824","10.1016/j.sste.2015.09.002","Elsevier","Spatial and Spatio-Temporal Epidemiology","1877-5845","","2016","1064.87","CC BY"
"University of Glasgow","","","10.1016/j.tet.2015.10.052","Elsevier","Tetrahedron","0040-4020","","2016","1835.40","CC BY"
"University of Glasgow","","26026870","10.1016/j.ultras.2015.05.010","Elsevier","Ultrasonics","0041-624X","","2016","2025.20","CC BY"
"University of Glasgow","","26196300","10.1016/j.vph.2015.07.010","Elsevier","Vascular Pharmacology","1537-1891","","2016","2304.76","CC BY"
"University of Glasgow","PMC4534766","25896391","10.1016/j.yjmcc.2015.04.011","Elsevier","Journal of Molecular and Cellular Cardiology","0022-2828","","2016","1651.22","CC BY"
"University of Glasgow","","26474517","10.1016/s1470-2045(15)00220-x","Elsevier","Lancet Oncology","1470-2045","","2016","4677.16","CC BY"
"University of Glasgow","","","10.3389/fbioe.2015.00180","Frontiers","Frontiers in Bioengineering and Biotechnology","2296-4185","","2016","1358.03","CC BY"
"University of Glasgow","PMC4561815","26441961","10.3389/fimmu.2015.00456","Frontiers","Frontiers in Immunology","1664-3224","","2016","1110.37","CC BY"
"University of Glasgow","PMC4561360","26441645","10.3389/fphar.2015.00185","Frontiers","Frontiers in Pharmacology","1663-9812","","2016","1360.36","CC BY"
"University of Glasgow","","","10.1109/tthz.2015.2463673","IEEE","IEEE Transactions on Terahertz Science and Technology","2156-342X","","2016","187.45",""
"University of Glasgow","","","10.4018/ijmhci.2016070101.oa","IGI Global","International Journal of Mobile Human Computer Interaction","1942-390X","","2016","1411.83","CC BY"
"University of Glasgow","","","10.1088/0264-9381/32/17/175005","Institute of Physics Publishing","Classical and Quantum Gravity","0264-9381","","2016","2496.76","CC BY"
"University of Glasgow","","","10.1088/0264-9381/32/21/215012","Institute of Physics Publishing","Classical and Quantum Gravity","0264-9381","","2016","2496.76","CC BY"
"University of Glasgow","","","10.1088/0268-1242/30/4/045006","Institute of Physics Publishing","Semiconductor Science & Technology","0268-1242","","2016","2496.76","CC BY"
"University of Glasgow","","","10.1088/0957-4484/26/48/482501","Institute of Physics Publishing","Nanotechnology","0957-4484","","2016","2496.76","CC BY"
"University of Glasgow","","","10.1088/0964-1726/25/1/015015","Institute of Physics Publishing","Smart Materials and Structures","0964-1726","","2016","2496.76","CC BY"
"University of Glasgow","","","10.1088/1367-2630/17/10/103034","Institute of Physics Publishing","New Journal of Physics","1367-2630","","2016","1240.24","CC BY"
"University of Glasgow","","","10.1088/1367-2630/17/9/093015","Institute of Physics Publishing","New Journal of Physics","1367-2630","","2016","1431.96","CC BY"
"University of Glasgow","","","10.1088/2040-8978/17/12/125610","Institute of Physics Publishing","Journal of Optics","2040-8978","","2016","2496.76","CC BY"
"University of Glasgow","","","10.1088/2040-8978/18/1/015404","Institute of Physics Publishing","Journal of Optics","2040-8978","","2016","2496.76","CC BY"
"University of Glasgow","","","10.1209/0295-5075/111/30002","Institute of Physics Publishing","Europhysics Letters","0295-5075","","2016","1503.26","CC BY"
"University of Glasgow","","","10.1038/bjc.2015.335","Nature Publishing Group","British Journal of Cancer","0007-0920","","2016","3059.75","CC BY-NC"
"University of Glasgow","","26079798","10.1038/ncomms8399","Nature Publishing Group","Nature Communications","2041-1723","","2016","4626.34","CC BY"
"University of Glasgow","PMC4569710","26348160","10.1038/ncomms9107","Nature Publishing Group","Nature Communications","1934-578X","","2016","4626.34","CC BY"
"University of Glasgow","PMC4633627","26442968","10.1038/ncomms9385","Nature Publishing Group","Nature Communications","2041-1723","","2016","4626.34","CC BY"
"University of Glasgow","","26642936","10.1038/ncomms9957","Nature Publishing Group","Nature Communications","2041-1723","","2016","4626.34","CC BY"
"University of Glasgow","","26310125","10.1038/srep13426","Nature Publishing Group","Scientific Reports","2045-2322","","2016","1453.99","CC BY"
"University of Glasgow","PMC4649757","26578425","10.1038/srep16744","Nature Publishing Group","Scientific Reports","2045-2322","","2016","1453.99","CC BY"
"University of Glasgow","","","10.1038/srep17681","Nature Publishing Group","Scientific Reports","2045-2322","","2016","1453.99","CC BY"
"University of Glasgow","","","10.1364/optica.2.001028","Optical Society","Optica","2334-2536","","2016","1487.64",""
"University of Glasgow","","","10.1364/optica.2.001049","Optical Society","Optica","2334-2536","","2016","832.07",""
"University of Glasgow","","25802390","10.1093/eurheartj/ehv072","Oxford University Press","European Heart Journal","0195-668X","","2016","2937.36","CC BY"
"University of Glasgow","","26261290","10.1093/eurheartj/ehv372","Oxford University Press","European Heart Journal","0195-668X","","2016","2937.36",""
"University of Glasgow","","","10.1093/llc/fqv045","Oxford University Press","Digital Scholarship in the Humanities","2055-7671","","2016","3010.79","CC BY-NC"
"University of Glasgow","PMC4625001","26510153","10.1371/journal.pgen.1005619","Public Library of Science","PLOS Genetics","1553-7390",FALSE,"2016","1796.21","CC BY"
"University of Glasgow","PMC4537280","26273826","10.1371/journal.pntd.0003933","Public Library of Science","PLOS Neglected Tropical Diseases","1935-2727",FALSE,"2016","872.08","CC BY"
"University of Glasgow","PMC4529083","26252480","10.1371/journal.pone.0135001","Public Library of Science","PLOS ONE","1932-6203",FALSE,"2016","1060.20","CC BY"
"University of Glasgow","PMC4603950","26460526","10.1371/journal.pone.0140347","Public Library of Science","PLOS ONE","1932-6203",FALSE,"2016","1309.24","CC BY"
"University of Glasgow","PMC4456406","26042734","10.1371/journal.ppat.1004882","Public Library of Science","PLOS Pathogens","1553-7366",FALSE,"2016","1756.00","CC BY"
"University of Glasgow","PMC4529188","26252219","10.1371/journal.ppat.1005056","Public Library of Science","PLOS Pathogens","1553-7366",FALSE,"2016","1762.20","CC BY"
"University of Glasgow","PMC4511656","26200910","10.1371/journal.ppat.1005059","Public Library of Science","PLOS Pathogens","1553-7366",FALSE,"2016","1768.91","CC BY"
"University of Glasgow","PMC4635123","26538641","10.1523/jneurosci.2243-15.2015","Society for Neuroscience","Journal of Neuroscience","0270-6474","","2016","4245.12","CC BY"
"University of Glasgow","PMC4486115","26044993","10.1007/s00284-015-0846-2","Springer","Current Microbiology","0343-8651","","2016","997.96","CC BY"
"University of Glasgow","","","10.1007/s10021-015-9907-4","Springer","Ecosystems","1432-9840","","2016","2380.53","CC BY"
"University of Glasgow","","","10.1007/s10651-015-0329-4","Springer","Evironmental and Ecological Statistics","1352-8505","","2016","2394.83","CC BY"
"University of Glasgow","PMC4642587","26354109","10.1007/s10858-015-9986-8","Springer","Journal of Biomolecular NMR","0925-2738","","2016","2363.12","CC BY"
"University of Glasgow","","","10.1007/s13146-015-0257-2","Springer","Carbonates and Evaporites","0891-2556","","2016","2303.16","CC BY"
"University of Glasgow","","26250643","10.1002/glia.22899","Wiley-Blackwell","Glia","0894-1491","","2016","1835.85","CC BY"
"University of Glasgow","","25627861","10.1002/hbm.22742","Wiley-Blackwell","Human Brain Mapping","1065-9471","","2016","1835.85","CC BY"
"University of Glasgow","","25648508","10.1002/ijc.29467","Wiley-Blackwell","International Journal of Cancer","0020-7136","","2016","1835.85","CC BY-NC"
"University of Glasgow","","","10.1111/joa.12407","Wiley-Blackwell","Journal of Anatomy","0021-8782","","2016","1835.85","CC BY"
"University of Glasgow","PMC4570688","26213997","10.1097/hjh.0000000000000656","Wolters Kluwer","Journal of Hypertension","0263-6352","","2016","3064.66","CC BY"
"University of Glasgow","","26177305","10.1097/mib.0000000000000488","Wolters Kluwer","Inflammatory Bowel Diseases","1078-0998","","2016","2990.88","CC BY"
"University of Manchester","PMC4642801","","10.1016/j.tips.2015.07.006","Cell Press","Trends in Pharmacological Sciences","0165-6147",TRUE,"2016","3000.21","CC BY"
"University of Manchester","","","10.1016/j.actamat.2015.11.028","Elsevier","Acta Materialia","1359-6454",TRUE,"2016","2769.40","CC BY"
"University of Manchester","","","10.1016/j.respol.2015.10.010","Elsevier","Research Policy","0048-7333",TRUE,"2016","1690.70","CC BY"
"University of Manchester","","26595803","10.18632/oncotarget.6354","Impact Journals","Oncotarget","1949-2553",TRUE,"2016","2761.58","CC BY"
"University of Manchester","","26657145","10.1038/icb.2015.114","Nature Publishing Group","Immunology and Cell Biology","0818-9641",TRUE,"2016","4112.30","CC BY"
"University of Manchester","","26679698","10.1093/ageing/afv170","Oxford University Press","Age and Ageing","0002-0729",TRUE,"2016","2937.36","CC BY"
"University of Manchester","","26721878","10.1093/rheumatology/kev434","Oxford University Press","Rheumatology","1462-0324",TRUE,"2016","2570.19","CC BY"
"University of Manchester","","26740561","10.1098/rsbl.2015.0708","Royal Society","Biology Letters","1744-9561",TRUE,"2016","1872.57","CC BY"
"University of Manchester","","","10.1177/0010836715612853","Sage","Cooperation and Conflict","0010-8367",TRUE,"2016","587.47","CC BY"
"University of Manchester","","","10.1177/0306312715623108","Sage","Social Studies of Science","0306-3127",TRUE,"2016","293.74","CC BY"
"University of Manchester","","25807894","10.1002/jor.22899","Wiley-Blackwell","Journal of Orthopaedic Research","0736-0266",TRUE,"2016","2931.31","Unknown"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"University of St Andrews","","","10.3389/fevo.2015.00156","Frontiers","Frontiers in Ecology and Evolution","2296-701X",FALSE,"2016","1433.47",""
