"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"FZJ - ZB",2015,984,"10.5194/gmdd-8-6267-2015",FALSE,"Copernicus GmbH","Geoscientific Model Development Discussions","1991-962X",NA,"1991-962X","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1247,"10.5194/acpd-15-19903-2015",FALSE,"Copernicus GmbH","Atmospheric Chemistry and Physics Discussions","1680-7375",NA,"1680-7375","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0138325",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26393515","PMC4578935",NA,NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0137197",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26397824","PMC4580315",NA,NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0138679",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26460827","PMC4603898",NA,NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0139095",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26407304","PMC4583397",NA,NA,TRUE
"FZJ - ZB",2015,1629.69,"10.1364/OE.23.0A1575",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087",NA,TRUE,"26698805",NA,NA,NA,TRUE
"FZJ - ZB",2015,1800,"10.3402/tellusb.v67.28452",FALSE,"Co-Action Publishing","Tellus B","1600-0889","0280-6509","1600-0889",NA,TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,825,"10.3402/tellusb.v67.28320",FALSE,"Co-Action Publishing","Tellus B","1600-0889","0280-6509","1600-0889",NA,TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1200,"10.3402/tellusb.v67.28793",FALSE,"Co-Action Publishing","Tellus B","1600-0889","0280-6509","1600-0889",NA,TRUE,NA,NA,NA,NA,TRUE
"FZJ - ZB",2015,1233.36,"10.1371/journal.pone.0141108",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26544715","PMC4636240",NA,NA,TRUE
"FZJ - ZB",2015,1165,"10.1038/srep17908",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26783049","PMC4725968",NA,NA,TRUE
"FZJ - ZB",2015,1241.67,"10.1371/journal.pone.0145174",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"26674091","PMC4684506",NA,NA,TRUE
"FZJ - ZB",2015,1350,"10.1371/journal.pone.0143647",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"26600248","PMC4658145",NA,NA,TRUE
"FZJ - ZB",2015,1165,"10.1038/srep19513",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26839261","PMC4738257",NA,NA,TRUE
