Bibliothek,Jahr,Rechnungssumme,DOI,is_hybrid,Journal title,Publisher,ISSN,URL
FZJ-ZB,2017,"2.450,00",10.1093/bib/bbw135,TRUE,Briefings in Bioinformatics,Oxford University Press,,
FZJ-ZB,2017,"533,41",,FALSE,International Journal of Diabetes & Metabolic Disorders,OPAST Group, 2475-5451,https://www.google.de/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0ahUKEwj26fL9-r7aAhUO6KQKHQ9XBbQQFgg3MAE&url=http%3A%2F%2Fwww.opastonline.com%2Fwp-content%2Fuploads%2F2016%2F11%2Fthe-body-mass-index-bmi-should-be-abandoned-in-favour-of-the-body-shape-index-bsi-for-controlling-body-weight-in-adults-ijdmd-16-017.pdf&usg=AOvVaw2OuGNYR5R1lH8iSIsGUSJT
FZJ-ZB,2017,"1.305,00",10.1038/srep42592,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"2.055,54",10.1063/1.4975605,TRUE,Physics of Fluids,AIP Publishing LLC,,
FZJ-ZB,2017,"2.038,81",10.1063/1.4974106,TRUE,Journal of Applied Physics,AIP Publishing LLC,,
FZJ-ZB,2017,"852,21",10.1016/j.fusengdes.2017.02.019,TRUE,Fusion Engineering and Design,Elsevier,,
FZJ-ZB,2017,"2.126,39",10.1371/journal.pcbi.1005381,FALSE,PLoS Computational Biology,Public Library of Science (PLoS),,
FZJ-ZB,2017,"1.305,00",10.1038/srep44297,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"2.332,80",10.1088/1741-4326/aa6ecc,TRUE,Nuclear Fusion,Institute of Physics (IOP),,
FZJ-ZB,2017,"3.700,00",10.1038/ncomms14976,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"2.130,00",10.1093/nar/gkv374,FALSE,Nucleic Acids Research,Oxford University Press,,
FZJ-ZB,2017,"333,71",10.1155/2017/5304242,FALSE,Case Reports in Oncology,Hindawi Publishing Corporation,,
FZJ-ZB,2017,"1.420,59",10.1016/j.nicl.2017.01.006,FALSE,NeuroImage: Clinical,Elsevier,,
FZJ-ZB,2017,"1.407,56",10.1371/journal.pone.0172673,FALSE,PLoS ONE,Public Library of Science (PLoS),,
FZJ-ZB,2017,"2.071,33",10.1063/1.4977529,TRUE,Review of Scientific Instruments,AIP Publishing LLC,,
FZJ-ZB,2017,"585,92",10.1039/C6RA27170G,FALSE,RSC Advances,Royal Society of Chemistry (RSC),,
FZJ-ZB,2017,"3.498,53",10.1016/j.conb.2017.02.007,TRUE,Current Opinion in Neurobiology,Elsevier,,
FZJ-ZB,2017,"1.606,50",10.5194/acp-2016-382,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"2.142,00",10.5194/gmd-10-903-2017,FALSE,Geoscientific Model Development,Copernicus,,
FZJ-ZB,2017,"1.189,68",10.3390/en10030361,FALSE,Energies,MDPI,,
FZJ-ZB,2017,"1.165,00",10.1038/srep35454,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.044,00",10.5194/bg-14-1153-2017,FALSE,Biogeosciences,Copernicus,,
FZJ-ZB,2017,"3.700,00",10.1038/ncomms15367,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"1.392,38",10.1371/journal.pone.0173363,FALSE,PLoS ONE,Public Library of Science (PLoS),,
FZJ-ZB,2017,"1.187,08",10.3390/en10040451,FALSE,Energies,MDPI,,
FZJ-ZB,2017,"1.170,00",10.1088/1367-2630/aa64a1,FALSE,New Journal of Physics,Institute of Physics (IOP),,
FZJ-ZB,2017,"1.232,31",10.1049/iet-rpg.2016.0682,TRUE,IET Renewable Power Generation,Institution of Engineering and Technology (IET),,
FZJ-ZB,2017,"1.298,36",10.2136/vzj2016.09.0077,TRUE,Vadose Zone Journal (VZJ),Soil Science Society of America (SSSA),,
FZJ-ZB,2017,"1.904,85",10.3389/fninf.2017.00040,FALSE,Frontiers in Neuroinformatics,Frontiers,,
FZJ-ZB,2017,"448,53",10.1016/j.dib.2016.09.051,FALSE,Data in Brief,Elsevier,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-01067-x,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-01076-w,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"3.700,00",10.1038/ncomms15704,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"1.305,00",10.1038/srep46742,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.973,53",10.1016/j.nima.2017.03.040,TRUE,Nuclear Instruments and Methods in Physics Research A,Elsevier,,
FZJ-ZB,2017,"1.440,00",10.5194/acp-17-2901-2017,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"1.786,46",10.3389/fpls.2017.00447,FALSE,Frontiers in Plant Science,Frontiers,,
FZJ-ZB,2017,"1.305,00",10.1038/srep46753,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"676,10",10.3390/coatings7040055,FALSE,Coatings,MDPI,,
FZJ-ZB,2017,"1.432,03",10.3390/molecules22040655,FALSE,Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry,MDPI,,
FZJ-ZB,2017,"1.596,00",10.1186/s13068-017-0711-6,FALSE,Biotechnology for Biofuels,Biomed Central (BMC),,
FZJ-ZB,2017,"2.700,00",10.1038/cdd.2017.76,TRUE,Cell Death and Differentiation,Nature Publishing Group,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-02410-y,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.691,29",10.3389/fnsys.2017.00028,FALSE,Frontiers in Systems Neuroscience,Frontiers,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-02370-3,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.248,00",10.1088/1367-2630/aa6ece,FALSE,New Journal of Physics,Institute of Physics (IOP),,
FZJ-ZB,2017,"1.327,18",10.1371/journal.pone.0176799,FALSE,PLoS ONE,Public Library of Science (PLoS),,
FZJ-ZB,2017,"445,90",10.1039/C7RA01622K,FALSE,RSC Advances,Royal Society of Chemistry (RSC),,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-03415-3,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.373,25",10.1021/acs.jpclett.7b00127,TRUE,The Journal of Physical Chemistry Letters,American Chemical Society (ACS),,
FZJ-ZB,2017,"2.014,64",10.1063/1.4983618,FALSE,APL Materials,AIP Publishing LLC,,

FZJ-ZB,2017,"1.245,43",10.3390/rs9050415,FALSE,Remote Sensing,MDPI,,
FZJ-ZB,2017,"2.960,29",10.1016/j.apenergy.2017.05.050,TRUE,Applied Energy,Elsevier,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-03762-1,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-03924-1,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"2.453,27",10.1038/s41598-017-04294-4,FALSE,Biomedical Optics Express (BOEx),Optical Society of America (OSA),,
FZJ-ZB,2017,"890,48",10.2136/vzj2016.07.0064,TRUE,Vadose Zone Journal (VZJ),Soil Science Society of America (SSSA),,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-05484-w,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"3.700,00",10.1038/s41467-017-01462-y,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"1.989,75",10.3389/fphys.2017.00269,FALSE,Frontiers in Physiology,Frontiers,,
FZJ-ZB,2017,"1.691,29",10.3389/fpsyg.2017.00665,FALSE,Frontiers in Psychology,Frontiers,,
FZJ-ZB,2017,"2.618,00",10.1007/s40336-017-0225-z,TRUE, Clinical and Translational Imaging,Springer,,
FZJ-ZB,2017,"2.511,77",10.1016/j.ultramic.2017.06.001,TRUE,Ultramicroscopy,Elsevier,,
FZJ-ZB,2017,"2.007,28",10.1371/journal.pcbi.1005534,FALSE,PLoS Computational Biology,Public Library of Science (PLoS),,
FZJ-ZB,2017,"1.333,73",10.1371/journal.pone.0177328,FALSE,PLoS ONE,Public Library of Science (PLoS),,
FZJ-ZB,2017,"3.700,00",10.1038/s41467-017-00402-0,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"1.509,22",10.1175/JAS-D-16-0367.1,TRUE,Journal of the Atmospheric Sciences,American Meteorological Society,,
FZJ-ZB,2017,"1.950,00",10.1088/1361-648X/aa7933,TRUE,Journal of Physics: Condensed Matter,Institute of Physics (IOP),,
FZJ-ZB,2017,"1.973,53",	10.1016/j.cpc.2017.06.011,TRUE,Computer Physics Communications,Elsevier,,
FZJ-ZB,2017,"1.174,00",10.3390/en10070860,FALSE,Energies,MDPI,,
FZJ-ZB,2017,"1.217,23",10.3389/fmolb.2017.00063,FALSE,Frontiers in Molecular Biosciences,Frontiers,,
FZJ-ZB,2017,"1.973,53",10.1016/j.jbiotec.2017.05.024,TRUE,Journal of Biotechnology,Elsevier,,
FZJ-ZB,2017,"565,80",10.3390/ph10020056,FALSE,Pharmaceuticals,MDPI,,
FZJ-ZB,2017,"683,78",10.1103/PhysRevLett.119.047801,TRUE,Physical Review Letters,American Physical Society (APS),,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-06906-5,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.165,89",10.3390/en10070957,FALSE,Energies,MDPI,,
FZJ-ZB,2017,"2.500,00",10.1111/nph.14641,TRUE,New Phytologist,Wiley,,
FZJ-ZB,2017,"864,00",10.5194/acp-2017-86,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"1.440,00",10.5194/acp-17-6631-2017,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"1.914,00",10.5194/hess-21-2509-2017,FALSE,Hydrology and Earth System Sciences,Copernicus,,
FZJ-ZB,2017,"2.262,00",10.5194/bg-14-2199-2017,FALSE,Biogeosciences,Copernicus,,
FZJ-ZB,2017,"1.152,00",10.5194/acp-17-4657-2017,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"1.973,53",10.1016/j.jbiotec.2017.06.003,TRUE,Journal of Biotechnology,Elsevier,,
FZJ-ZB,2017,"3.698,09",10.3791/56234,TRUE,Journal of Visualized Experiments (JoVE),My JOVE Corporation,,
FZJ-ZB,2017,"1.309,13",10.1371/journal.pone.0180780,FALSE,PLoS ONE,Public Library of Science (PLoS),,
FZJ-ZB,2017,"626,30",10.1159/000475882,FALSE,Case Reports in Neurology,Karger,,
FZJ-ZB,2017,"1.808,81",10.1039/C7EE00476A,TRUE,Energy & Environmental Science,Royal Society of Chemistry (RSC),,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-08521-w,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"4.165,00",10.1002/ange.201705855,TRUE,Angewandte Chemie,Wiley,,
FZJ-ZB,2017,"1.012,50",10.1080/02786826.2017.1355547,TRUE,Aerosol Science and Technology,Taylor & Francis,,
FZJ-ZB,2017,"652,50",10.1038/srep45761,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"3.700,00",10.1038/s41467-017-01138-7,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"630,27",10.3390/coatings7080120,FALSE,Coatings,MDPI,,
FZJ-ZB,2017,"1.973,53",10.1016/j.nima.2017.07.064,TRUE,Nuclear Instruments and Methods in Physics Research A,Elsevier,,
FZJ-ZB,2017,"562,50",10.1080/21513732.2017.1365773,FALSE,"International Journal of Biodiversity Science, Ecosystems Services and Management",Taylor & Francis,,
FZJ-ZB,2017,"2.960,29",10.1016/j.memsci.2017.08.016,TRUE,Journal of membrane science,Elsevier,,
FZJ-ZB,2017,"1.595,22",10.3389/fncom.2017.00079,FALSE,Frontiers in Computational Neuroscience,Frontiers,,
FZJ-ZB,2017,"670,44",10.3389/fgene.2017.00109,FALSE,Frontiers in Genetics,Frontiers,,
FZJ-ZB,2017,"3.700,00",10.1038/s41467-017-00829-5,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"585,00",10.1088/1741-4326/aa81e4,TRUE,Nuclear Fusion,Institute of Physics (IOP),,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-10071-0,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.527,74",10.1103/PhysRevB.96.165410,TRUE,Physical Review B,American Physical Society (APS),,
FZJ-ZB,2017,"2.511,77",10.1016/j.neuroimage.2017.08.035,TRUE,NeuroImage,Elsevier,,
FZJ-ZB,2017,"1.116,74",10.3390/en10091312,FALSE,Energies,MDPI,,
FZJ-ZB,2017,"1.340,08",10.3390/molecules22091434,FALSE,Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry,MDPI,,
FZJ-ZB,2017,"382,30",10.7566/JPSJ.86.101014,TRUE,Journal of the Physical Society of Japan,Physical Society of Japan,,
FZJ-ZB,2017,"3.700,00",10.1038/s41467-017-00313-0,FALSE,Nature Communications,Nature Publishing Group,,
FZJ-ZB,2017,"1.622,81",10.3389/fpls.2017.01680,FALSE,Frontiers in Neuroscience,Frontiers,,
FZJ-ZB,2017,"1.114,76",10.3390/en10070956,FALSE,Energies,MDPI,,
FZJ-ZB,2017,"1.973,53",10.1016/j.procbio.2017.09.012,TRUE,Process Biochemistry,Elsevier,,
FZJ-ZB,2017,"1.280,00",10.1186/s13550-017-0316-x,FALSE,EJNMMI Research,Biomed Central (BMC),,
FZJ-ZB,2017,"1.416,00",10.1186/s13195-017-0259-5,FALSE,Alzheimer's Research & Therapy,Biomed Central (BMC),,
FZJ-ZB,2017,"1.595,22",10.3389/fnana.2017.00078,FALSE,Frontiers in Neuroanatomy,Frontiers,,
FZJ-ZB,2017,"479,19",10.3390/membranes7040058,FALSE,Membranes,MDPI,,
FZJ-ZB,2017,"761,89",10.1145/3070617.3070636,TRUE,"6th International Conference on Informatics, Environment, Energy and Applications",ACM Press,,
FZJ-ZB,2017,"2.784,00",10.5194/hess-21-4927-2017,FALSE,Hydrology and Earth System Sciences,Copernicus,,
FZJ-ZB,2017,"1.728,00",10.5194/amt-10-3151-2017,FALSE,Atmospheric Measurement Techniques,Copernicus,,
FZJ-ZB,2017,"1.224,00",10.5194/acp-17-8045-2017,FALSE,Atmospheric Chemistry and Physics,Copernicus,,
FZJ-ZB,2017,"2.244,47",,FALSE,Health,Pan European Networks,,https://www.google.de/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi2vJyng7_aAhUBLewKHUduCnUQFggzMAA&url=http%3A%2F%2Fwww.strodel.info%2Findex_files%2FPEN.pdf&usg=AOvVaw1LWceZpDYW2aPoSqclbChZ
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-13420-1,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"2.618,00",10.1007/s10596-017-9643-2,TRUE,Computational Geosciences,Springer,,
FZJ-ZB,2017,"1.565,03",10.1167/17.12.6,FALSE,Journal of Vision,Association for Research in Vision and Ophthalmology,,
FZJ-ZB,2017,"1.791,17",10.1039/C7CP05541B,TRUE,"Physical Chemistry, Chemical Physics",Royal Society of Chemistry (RSC),,
FZJ-ZB,2017,"1.902,83",10.1371/journal.pcbi.1005762,FALSE,PLoS Computational Biology,Public Library of Science (PLoS),,
FZJ-ZB,2017,"1.264,32",10.1371/journal.pone.0184743,FALSE,PLoS ONE,Public Library of Science (PLoS),,
FZJ-ZB,2017,"1.864,20","10.1063/1.5004394",TRUE,Applied Physics Letters,AIP Publishing LLC,,
FZJ-ZB,2017,"1.699,70",10.1021/acs.jctc.7b00508,TRUE,Journal of Chemical Theory and Computation (JCTC),American Chemical Society (ACS),,
FZJ-ZB,2017,"2.960,29",10.1016/j.biombioe.2017.10.009,TRUE,Biomass and Bioenergy,Elsevier,,
FZJ-ZB,2017,"1.697,05",10.1021/jacs.6b12950,TRUE,Journal of the American Chemical Society,American Chemical Society (ACS),,
FZJ-ZB,2017,"1.268,41",10.3390/ijms18112279,FALSE,International Journal of Molecular Sciences,MDPI,,
FZJ-ZB,2017,"428,40",10.5194/amt-10-4023-2017,FALSE,Atmospheric Measurement Techniques,Copernicus,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-14346-4,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.634,43",10.3389/fnins.2017.00596,FALSE,Frontiers in Neuroscience,Frontiers,,
FZJ-ZB,2017,"1.721,10",10.1063/1.4975832,TRUE,Review of Scientific Instruments,AIP Publishing LLC,,
FZJ-ZB,2017,"1.377,00",10.1039/C7CP06077G,TRUE,"Physical Chemistry, Chemical Physics",Royal Society of Chemistry (RSC),,
FZJ-ZB,2017,"1.412,87",10.1016/j.nicl.2017.11.005,FALSE,NeuroImage: Clinical,Elsevier,,
FZJ-ZB,2017,"862,96",10.1021/acs.jpcb.7b10584,TRUE,"Journal of Physical Chemistry B: Condensed Matter, Materials, Surfaces, Interfaces & Biophysical Chemistry",American Chemical Society (ACS),,
FZJ-ZB,2017,"2.501,72",10.1103/PhysRevLett.119.197205,TRUE,Physical Review Letters,American Physical Society (APS),,
FZJ-ZB,2017,"3.000,00",10.1002/2017RG000581,TRUE,Reviews of Geophysics,Wiley,,
FZJ-ZB,2017,"2.719,00",10.4172/2161-0460.1000393,FALSE,Journal of Alzheimer's Disease & Parkinsonism,OMICS International,,
FZJ-ZB,2017,"2.618,00",10.1007/s00429-017-1554-4,TRUE,Brain Structure and Function,Springer,,
FZJ-ZB,2017,"1.233,82",10.1525/elementa.244,FALSE,Elementa: Science of the Anthropocene,BioOne,,
FZJ-ZB,2017,"1.310,28",10.3390/s17122798,FALSE,Sensors,MDPI,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-17014-9,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"2.870,59",10.1016/j.scitotenv.2017.11.317,TRUE,Science of the Total Environment,Elsevier,,
FZJ-ZB,2017,"872,46",10.4236/wjns.2018.81006,FALSE,World Journal of Neuroscience,Scientific Research,,
FZJ-ZB,2017,"1.973,53",10.1016/j.nima.2017.11.085,TRUE,Nuclear Instruments and Methods in Physics Research A,Elsevier,,
FZJ-ZB,2017,"1.170,00",10.1088/1367-2630/aa9d4b,FALSE,New Journal of Physics,Institute of Physics (IOP),,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-16565-1,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-18313-x,FALSE,Scientific Reports,Nature Publishing Group,,
FZJ-ZB,2017,"1.309,37",10.3390/molecules22122231,FALSE,Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry,MDPI,,
FZJ-ZB,2017,"1.265,60",10.1371/journal.pone.0189816,FALSE,PLoS ONE,Public Library of Science (PLoS),,
FZJ-ZB,2017,"1.305,00",10.1038/s41598-017-18329-3,FALSE,Scientific Reports,Nature Publishing Group,,
