Institution;Period;EURO;DOI;Publisher;Journal;ISSN.1
Technische Universität München;2014; 535,50 € ;10.3391/ai.2015.10.1.09;;;
Technische Universität München;2014; 1.070,11 € ;10.3390/polym6112764;;;
Technische Universität München;2014; 892,95 € ;10.3390/su6117768;;;
Technische Universität München;2014; 714,36 € ;10.3390/f5112626;;;
Technische Universität München;2014; 240,38 € ;NA;Research online Publishing;Open Journal of Web Technologies;2199-188X
Technische Universität München;2014; 1.250,13 € ;10.3390/ma7127975;;;
Technische Universität München;2014; 1.713,60 € ;10.1088/1367-2630/16/11/115002;;;
Technische Universität München;2014; 1.437,52 € ;10.1186/1471-2296-15-1;;;
Technische Universität München;2014; 1.447,04 € ;10.1186/1471-2407-14-21 ;;;
Technische Universität München;2014; 1.437,52 € ;10.1186/2052-1839-14-2;;;
Technische Universität München;2014; 1.428,00 € ;10.1186/1471-230X-14-18;;;
Technische Universität München;2014; 1.504,16 € ;10.1186/1475-2840-13-31;;;
Technische Universität München;2014; 790,16 € ;10.1186/1756-0500-7-101;;;
Technische Universität München;2014; 1.475,60 € ;10.1186/1471-2318-14-29;;;
Technische Universität München;2014; 1.428,00 € ;10.1186/1471-2105-15-85;;;
Technische Universität München;2014; 1.513,68 € ;10.1186/1471-2393-14-119;;;
Technische Universität München;2014; 837,76 € ;10.1186/2193-2697-3-12;;;
Technische Universität München;2014; 1.470,84 € ;10.1186/1471-2393-14-138;;;
Technische Universität München;2014; 1.451,80 € ;10.1186/2045-7022-4-17;;;
Technische Universität München;2014; 1.442,28 € ;10.1186/1471-2164-15-353 ;;;
Technische Universität München;2014; 1.332,80 € ;10.1186/1476-9255-11-15;;;
Technische Universität München;2014; 1.518,44 € ;10.1186/1471-2407-14-346;;;
Technische Universität München;2014; 1.518,44 € ;10.1186/1471-2105-15-162;;;
Technische Universität München;2014; 1.447,04 € ;10.1186/1471-2148-14-115;;;
Technische Universität München;2014; 1.342,32 € ;10.1186/1748-717X-9-131;;;
Technische Universität München;2014; 1.518,44 € ;10.1186/1471-2229-14-172;;;
Technische Universität München;2014; 1.651,72 € ;10.1186/2047-783X-19-37;;;
Technische Universität München;2014; 1.513,68 € ;10.1186/1471-2164-15-623;;;
Technische Universität München;2014; 799,68 € ;10.1186/1756-0500-7-580;;;
Technische Universität München;2014; 1.523,20 € ;10.1186/1471-2334-14-488;;;
Technische Universität München;2014; 1.523,20 € ;10.1186/1471-2164-15-823;;;
Technische Universität München;2014; 1.523,20 € ;10.1186/s12898-014-0025-5;;;
Technische Universität München;2014; 1.527,96 € ;10.1186/1471-2164-15-941;;;
Technische Universität München;2014; 828,24 € ;10.1186/2193-1801-3-646;;;
Technische Universität München;2014; 238,00 € ;10.1186/s40323-014-0018-0;;;
Technische Universität München;2014; 1.527,96 € ;10.1186/1471-2407-14-846;;;
Technische Universität München;2014; 1.594,60 € ;10.1186/1471-2474-15-380;;;
Technische Universität München;2014; 1.170,96 € ;10.1186/s13550-014-0063-1;;;
Technische Universität München;2014; 1.827,84 € ;10.1186/s40001-014-0065-5;;;
Technische Universität München;2014; 1.566,04 € ;10.1186/2047-2382-3-24;;;
Technische Universität München;2014; 1.408,96 € ;10.1186/s12979-014-0020-x;;;
Technische Universität München;2014; 1.561,28 € ;10.1186/2162-3619-3-29;;;
Technische Universität München;2014; 1.447,04 € ;10.3389/fcimb.2014.00156;;;
Technische Universität München;2014; 1.269,36 € ;10.1371/journal.pone.0112178;;;
Technische Universität München;2014; 1.269,36 € ;10.1371/journal.pone.0112341;;;
Technische Universität München;2014; 1.269,36 € ;10.1371/journal.pone.0112317;;;
Technische Universität München;2014; 1.269,36 € ;10.1371/journal.pone.0113557;;;
Technische Universität München;2014; 952,00 € ;10.1140/epjqt4;;;
Technische Universität München;2014; 1.475,60 € ;10.1186/s13049-014-0052-4;;;
Technische Universität München;2014; 952,00 € ;10.1140/epjqt11;;;
Technische Universität München;2014; 1.523,20 € ;10.1186/1944-3277-9-22;;;
