"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Freiburg U",2015,370.36,"10.1016/j.invent.2014.11.005",FALSE,"Elsevier BV","Internet Interventions","22147829","22147829",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,NA,FALSE
"Freiburg U",2015,895.07,"10.3390/f6010203",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1302.81,"10.1371/journal.pone.0115280",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25545818","PMC4278908",NA,NA,TRUE
"Freiburg U",2015,1302.81,"10.1371/journal.pone.0115603",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25551609","PMC4281199",NA,NA,TRUE
"Freiburg U",2015,1904,"10.3389/fpsyg.2015.00738",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"26082740","PMC4451582",NA,NA,TRUE
"Freiburg U",2015,1898.05,"10.2147/PPA.S77486",FALSE,"Dove Medical Press Ltd.","Patient Preference and Adherence","1177-889X",NA,"1177-889X","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"25848227","PMC4376256",NA,NA,TRUE
"Freiburg U",2015,993.32,"10.1089/biores.2015.0002",FALSE,"Mary Ann Liebert Inc","BioResearch Open Access","2164-7860","2164-7860","2164-7860",NA,TRUE,"26309789","PMC4497645",NA,NA,TRUE
"Freiburg U",2015,675.53,"10.4236/am.2015.63046",FALSE,"Scientific Research Publishing, Inc,","Applied Mathematics","2152-7385","2152-7385","2152-7393","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Freiburg U",2015,1411.57,"10.1371/journal.pone.0116775",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25590613","PMC4295887",NA,NA,TRUE
"Freiburg U",2015,1302.81,"10.1371/journal.pone.0115782",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25621488","PMC4306516",NA,NA,TRUE
