institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1140/epjp/s13360-022-02571-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11409-022-09295-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00198-022-06329-7,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00380-022-02053-8,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s12105-022-01416-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1038/s41380-022-01497-8,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00170-022-08944-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10347-022-00645-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00186-022-00775-z,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s12268-022-1743-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1038/s41385-022-00503-0,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00405-022-07356-0,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00330-022-08626-5,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00726-022-03156-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s41358-022-00320-8,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10796-022-10252-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10765-022-03012-1,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1038/s41430-022-01129-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00234-022-02940-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00384-022-04146-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s12325-022-02100-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11081-022-09719-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10639-022-11050-3,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10596-022-10140-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00330-022-08689-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01937-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01935-0,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10309-022-00487-8,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01945-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10775-022-09540-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00048-022-00332-z,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00103-022-03542-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00062-022-01172-z,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11282-022-00613-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10072-022-06103-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01943-0,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00424-022-02693-9,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00161-022-01105-8,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s12149-022-01744-6,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00048-022-00336-9,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00211-022-01290-3,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00384-022-04174-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00402-022-04446-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10006-022-01070-1,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11524-022-00630-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11573-022-01095-8,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00194-022-00578-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11661-022-06713-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00466-022-02167-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10765-022-03038-5,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s40520-022-02149-1,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1057/s41288-022-00270-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11229-022-03523-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10765-022-03040-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00229-022-01399-7,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10909-022-02754-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00158-022-03271-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s41871-022-00143-9,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00415-022-11204-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00702-022-02514-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10726-022-09780-3,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00384-022-04197-5,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00415-022-11220-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00112-022-01536-2,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11740-022-01140-z,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1557/s43578-022-00618-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11616-022-00735-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00401-022-02450-3,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01969-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10853-022-07420-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00466-022-02204-8,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00066-022-01966-7,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11553-022-00964-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s44206-022-00003-5,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00270-022-03184-1,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
