institution;period;euro;doi;is_hybrid;publisher;journal;issn;url
Technische Universität Dortmund;2021;1837,00;10.1038/s41598-021-85594-8;false;SpringerNature;Scientific Reports;2045-2322;
Technische Universität Dortmund;2021;2380,00;10.1049/gtd2.12169;false;Wiley;IET Generation, Transmission & Distribution;1751-8695;
Technische Universität Dortmund;2021;1904,00;10.1049/els2.12028;false;Wiley;IET Electrical Systems in Transportation;2042-9746;
Technische Universität Dortmund;2021;1904,00;10.1049/els2.12025;false;Wiley;IET Electrical Systems in Transportation;2042-9746;
Technische Universität Dortmund;2021;2380,00;10.1049/gtd2.12301;false;Wiley;IET Generation, Transmission & Distribution;1751-8695;
Technische Universität Dortmund;2021;3451,00;10.1038/s41467-021-23852-z;false;SpringerNature;Nature Communications;2041-1723;
Technische Universität Dortmund;2021;2010,05;10.1186/s12913-021-06407-2;false;SpringerNature;BMC Health Services Research;1472-6963;
Technische Universität Dortmund;2021;818,72;10.1186/s42252-021-00022-4;false;SpringerNature;Functional Composite Materials;2522-5774;
Technische Universität Dortmund;2021;3381,49;10.1038/s41534-021-00395-1;false;SpringerNature;npj Quantum Information;2056-6387;
Technische Universität Dortmund;2021;1837,00;10.1038/s41598-021-89215-2;false;SpringerNature;Scientific reports;2045-2322;
Technische Universität Dortmund;2021;1842,55;10.1186/s40798-021-00383-x;false;SpringerNature;Sports Medicine - Open;2198-9761;
Technische Universität Dortmund;2021;1142,40;10.1007/s40955-021-00186-3;false;SpringerNature;Zeitschrift für Weiterbildungsforschung;2364-0022;
Technische Universität Dortmund;2021;1842,55;10.1186/s40798-021-00380-0;false;SpringerNature;Sports Medicine - Open;2198-9761;
Technische Universität Dortmund;2021;1763,72;10.1186/s12859-021-04483-z;false;SpringerNature;BMC bioinformatics;1471-2105;
Technische Universität Dortmund;2021;1799,28;10.1186/s12911-021-01698-1;false;SpringerNature;BMC medical informatics and decision making;1472-6947;
Technische Universität Dortmund;2021;2380,00;10.1049/gtd2.12486;false;Wiley;Engineering in life sciences;1751-8695;
