"period","Rechnungsbetrag brutto","DOI","is_hybrid","journal_full_title","issn","url"
2016,"1,785.00 €","10.1186/s12937-016-0167-8","false",,,
2016,"1,661.24 €","10.1186/s12859-016-1069-7","false",,,
2016,"1,899.24 €","10.1186/s12974-016-0588-5","false",,,
2016,"1,661.24 €","10.1186/s12967-016-0905-x","false",,,
2016,"1,661.24 €","10.1186/s12918-016-0283-2","false",,,
2016,"1,085.28 €","10.1186/s40478-016-0331-6","false",,,
2016,"1,732.64 €","10.1186/s12936-016-1374-7","false",,,
2016,"1,732.64 €","10.1186/s12936-016-1396-1","false",,,
2016,"1,661.24 €","10.1186/s13000-016-0506-2","false",,,
2016,"1,661.24 €","10.1186/s12888-016-0913-7","false",,,
2016,"1,661.24 €","10.1186/s12891-016-1153-1","false",,,
2016,"2,003.96 €","10.1186/s13000-016-0506-2","false",,,
2016,"1,661.24 €","10.1186/s12889-016-3392-3","false",,,
2016,"1,661.24 €","10.1186/s12883-016-0697-x","false",,,
2016,"1,661.24 €","10.1186/s40644-016-0088-y","false",,,
2016,456.96 €,"10.1186/s13635-016-0045-0","false",,,
2016,"1,661.24 €","10.1186/s12968-016-0289-3","false",,,
2016,999.60 €,"10.1186/s40064-016-3483-8","false",,,
2016,"1,685.04 €","10.1186/s13019-016-0544-6","false",,,
2016,"1,661.24 €","10.1186/s12879-016-1994-0","false",,,
2016,"1,661.24 €","10.1186/s12879-016-1981-5","false",,,
2016,"1,870.68 €","10.1186/s13023-016-0536-6","false",,,
2016,"1,685.04 €","10.1186/s13195-016-0224-8","false",,,
2016,"1,661.24 €","10.1186/s40644-016-0100-6","false",,,
2016,"1,685.04 €","10.1186/s13019-016-0443-x","false",,,
2016,"1,661.24 €","10.1186/s12885-016-2643-0","false",,,
2016,"1,685.04 €","10.1186/s13195-016-0209-7","false",,,
2016,"1,991.15 €","10.3389/fnint.2016.00041","false",,,
2016,"1,936.37 €","10.3389/fnagi.2016.00271","false",,,
2016,"1,198.67 €","10.3389/fnhum.2016.00651","false",,,
2016,"1,952.49 €","10.3389/fpsyg.2016.02025","false",,,
2016,911.04 €,"10.3389/fneur.2016.00237","false",,,
2016,"1,374.97 €","10.1371/journal.pone.0147728","false",,,
2016,"1,329.48 €","10.1371/journal.pone.0149263","false",,,
2016,206.36 €,"10.1177/2158244016635253","false",,,
2016,"2,010.67 €","10.3389/fpsyg.2016.00235_Ziegler","false",,,
2016,"1,508.00 €","10.3389/frobt.2016.00005","false",,,
2016,"1,130.50 €","10.1159%2F000444145","false",,,
2016,"1,237.60 €","10.1159/000443035","false",,,
2016,"2,071.44 €","10.1371/journal.pntd.0004392","false",,,
2016,"1,698.13 €","10.2147/OPTH.S102414","false",,,
2016,839.55 €,"10.1371/journal.pone.0149531","false",,,
2016,"1,314.40 €","10.1371/journal.pone.0151997","false",,,
2016,784.69 €,"10.1167/iovs.15-17751","false",,,
2016,915.47 €,"10.3389/fncel.2016.00092","false",,,
2016,"1,186.92 €","10.1371/journal.pone.0152271","false",,,
2016,"1,314.40 €","10.1371/journal.pone.0153249","false",,,
2016,"1,386.35 €","10.1038/srep24350","false",,,
2016,833.00 €,"10.1515/raon-2016-0036","false",,,
2016,"1,468.57 €","10.3389/fncel.2016.00115","false",,,
2016,"1,948.56 €","10.1371/journal.ppat.1005556","false",,,
2016,"1,294.71 €","10.1371/journal.pone.0154745","false",,,
2016,"1,988.56 €","10.3389/fncel.2016.00120","false",,,
2016,"1,312.09 €","10.1371/journal.pone.0154854","false",,,
2016,209.32 €,"10.1177/2332858416649168","false",,,
2016,"1,129.95 €","10.3390/ma9050339","false",,,
2016,"1,344.67 €","10.1371/journal.pone.0155582","false",,,
2016,481.95 €,"10.3389/fnagi.2016.00121","false",,,
2016,"1,999.20 €","10.1016/j.ebiom.2016.04.037","false",,,
2016,"1,386.35 €","10.1038/srep26752","false",,,
2016,"2,034.92 €","10.3389/fnins.2016.00244","false",,,
2016,"1,215.01 €","10.1371/journal.pone.0156408","false",,,
2016,"1,500.53 €","10.3389/fpsyg.2016.00900 ","false",,,
2016,"1,386.35 €","10.1038/srep27581","false",,,
2016,"1,915.41 €","10.4172/2161-069X.1000433","false",,,
2016,340.34 €,"10.3897/JHR.49.7929","false",,,
2016,531.06 €,"10.1016%2Fj.ijscr.2016.04.028","false",,,
2016,"1,510.29 €","10.3389/fncel.2016.00159","false",,,
2016,"1,195.75 €","10.1371/journal.pone.0157825","false",,,
2016,"1,669.06 €",,"false","American Journal of Cancer Research","2156-6976","http://www.ajcr.us/"
2016,"1,386.35 €","10.1038/srep28631","false",,,
2016,"1,999.20 €","10.1098/rsob.160046","false",,,
2016,"1,130.90 €","10.1302/2046-3758.59.2000580","false",,,
2016,"2,059.39 €","10.3389/fnagi.2016.00147","false",,,
2016,"1,386.03 €","10.3390/ma9070518","false",,,
2016,"1,386.35 €","10.1038/srep28253","false",,,
2016,892.50 €,"10.1038/bcj.2016.54","false",,,
2016,"2,036.50 €","10.3389/fncel.2016.00175","false",,,
2016,"1,228.95 €","10.1371/journal.pone.0157636","false",,,
2016,"1,360.95 €","10.1371/journal.pone.0159310","false",,,
2016,"1,386.35 €","10.1038/srep30978","false",,,
2016,"1,991.58 €","10.3389/fncel.2016.00143","false",,,
2016,"2,015.13 €","10.3389/fnins.2016.00367","false",,,
2016,"1,739.23 €","10.3389/fmolb.2016.00038","false",,,
2016,"1,997.87 €","10.1371/journal.pgen.1006246","false",,,
2016,"2,031.26 €","10.3389/fpls.2016.01225","false",,,
2016,"1,992.37 €","10.1167/16.9.4","false",,,
2016,"1,162.63 €","10.3390/e18110409","false",,,
2016,"1,343.10 €","10.1371/journal.pone.0162124","false",,,
2016,"1,992.37 €","doi: 10.3389/fpsyg.2016.01368","false",,,
2016,"1,143.49 €","10.3390/ma9090765","false",,,
2016,"1,299.48 €","10.3390/ijms17091513","false",,,
2016,"1,754.38 €","10.3389/fpsyg.2016.01350","false",,,
2016,"1,992.37 €","10.3389/fmicb.2016.01404","false",,,
2016,"1,456.56 €","10.1002/ece3.2509","false",,,
2016,"1,248.95 €","10.3390/nu8110721","false",,,
2016,"1,333.04 €","10.1371/journal.pone.0163200","false",,,
2016,"1,428.00 €","10.1242/bio.019976","false",,,
2016,928.45 €,"10.3389/fnins.2016.00456","false",,,
2016,"1,831.01 €","10.1128/mBio.00923-16","false",,,
2016,831.94 €,,"false","Journal of Neurology and Neuromedicine","2572-942X","http://www.jneurology.com/"
2016,"1,624.35 €","10.7150/jca.15644","false",,,
2016,"1,992.90 €","10.3389/fnagi.2016.00235","false",,,
2016,"1,339.97 €","10.1371/journal.pone.0164576","false",,,
2016,"1,359.83 €","10.1371/journal.pone.0163211","false",,,
2016,211.25 €,"10.3390/M916","false",,,
2016,"2,008.11 €","10.3389/fpsyg.2016.01646","false",,,
2016,"1,517.25 €","10.5194/hess-20-4159-2016","false",,,
2016,"1,160.00 €","10.1136/bmjopen-2016-012711 ","false",,,
2016,"1,686.35 €","10.1038/srep36328","false",,,
2016,"1,548.34 €","10.3389/fpsyg.2016.01617","false",,,
2016,"1,901.03 €","10.1093/nar/gkw911","false",,,
2016,"1,771.29 €","10.3389/fevo.2016.00126","false",,,
2016,536.67 €,"10.1016/j.scr.2016.09.012","false",,,
2016,"1,354.29 €"," 10.1371/journal.pone.0165532","false",,,
2016,"1,536.15 €","10.3389/fnins.2016.00518","false",,,
2016,"1,675.88 €","10.3389/fnbeh.2016.00205","false",,,
2016,"1,950.00 €","10.1127/metz/2016/0802","false",,,
2016,"1,165.00 €","10.1038/srep36645","false",,,
2016,"1,411.44 €","10.1371/journal.pone.0167017","false",,,
2016,"1,411.58 €","10.1371/journal.pone.0166826","false",,,
2016,"1,341.67 €"," 10.1016/j.heliyon.2016.e00200","false",,,
2016,"1,407.72 €"," 10.1371/journal.pone.0167274","false",,,
2016,"1,496.78 €","10.3390/molecules21121704","false",,,
2016,"1,386.35 €","10.1038/srep39976","false",,,
2016,"1,386.35 €","10.1038/srep39574","false",,,
2016,"1,406.66 €","10.1371/journal.pone.0166135","false",,,
2016,"1,927.80 €","10.5194/tc-10-3071-2016","false",,,
2016,"2,019.99 €","10.1155/2017/6425913","false",,,
