,Betrag EUR,DOI,Journal,ISSN.1,ISSN.2,Publisher,url,is_hybrid
2019,"4,290.00 €",10.1038/s41467-019-11184-y ,Nature Communications,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8541,FALSE
2019,"1,390.00 €",10.1038/s41597-019-0023-8 ,Nature Scientific Data,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8476,FALSE
2019,"2,356.20 €",10.5194/gmd-12-2419-2019 ,Geoscientific Model Development,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8537,FALSE
2019,"1,002.00 €",10.1002/ecs2.2616 ,Ecosphere,NA,NA,Wiley,http://edoc.gfz-potsdam.de/pik/8364,FALSE
2019,"1,550.00 €",10.1016/j.ejrh.2018.12.006 ,Journal of Hydrology: Regional Studies,NA,NA,Elsevier,http://edoc.gfz-potsdam.de/pik/8379,FALSE
2019,"1,232.00 €",10.5194/gmd-12-3055-2019 ,Geoscientific Model Development,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8552,FALSE
2019,"1,550.00 €",10.1016/j.ejrh.2019.01.002 ,Journal of Hydrology: Regional Studies,NA,NA,Elsevier,http://edoc.gfz-potsdam.de/pik/8470,FALSE
2019,"1,857.97 €",10.1088/1748-9326/ab154b ,Environmental Research Letters,NA,NA,IOP,http://edoc.gfz-potsdam.de/pik/8890,FALSE
2019,"1,461.98 €",10.1371/journal.pone.0223508 ,PLoS ONE,NA,NA,Public Library of Science,http://edoc.gfz-potsdam.de/pik/8610,FALSE
2019,"1,800.00 €",10.1088/1748-9326/ab3738 ,Environmental Research Letters,NA,NA,IOP,http://edoc.gfz-potsdam.de/pik/8562,FALSE
2019,"1,800.00 €",10.1088/1748-9326/ab3db6 ,Environmental Research Letters,NA,NA,IOP,http://edoc.gfz-potsdam.de/pik/8581,FALSE
2019,"1,314.00 €",10.1029/2018EF001130 ,Earth's Future,NA,NA,Wiley,http://edoc.gfz-potsdam.de/pik/8589,FALSE
2019,"1,800.00 €",10.1088/1748-9326/ab4670 ,Environmental Research Letters,NA,NA,IOP,http://edoc.gfz-potsdam.de/pik/8598,FALSE
2019,"1,490.00 €",10.1038/s41598-019-56931-9 ,(Nature) Scientific Reports,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8730,FALSE
2019,"2,463.30 €",10.5194/esd-10-741-2019,Earth System Dynamics,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8349,FALSE
2019,"1,001.00 €",10.5194/tc-13-1621-2019 ,The Cryosphere,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8383,FALSE
2019,"1,463.00 €",10.5194/gmd-12-1299-2019 ,Geoscientific Model Development,NA,NA,Copernicus,http://edoc.gfz-potsdam.de/pik/8362,FALSE
2019,"4,290.00 €",10.1038/s41467-019-13961-1 ,Nature Communications,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8658,FALSE
2019,"4,290.00 €",10.1038/s41467-019-13067-8 ,Nature Communications,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8674,FALSE
2019,"1,800.00 €",10.1088/1748-9326/ab19e1 ,Environmental Research Letters,NA,NA,IOP,http://edoc.gfz-potsdam.de/pik/8508,FALSE
2019,"1,490.00 €",10.1038/s41598-019-43867-3 ,(Nature) Scientific Reports,NA,NA,Nature Publ. Group,http://edoc.gfz-potsdam.de/pik/8791,FALSE
2019,"2,624.00 €", 10.1093/treephys/tpz105 ,Tree Physiology,NA,NA,Oxford University Press,http://edoc.gfz-potsdam.de/pik/8603,TRUE
2019,"2,800.00 €", 10.1016/j.ecolmodel.2019.108870 ,Ecological Modelling,NA,NA,Elsevier,http://edoc.gfz-potsdam.de/pik/8635,TRUE
