"edpsname","eissn","journal_title","acceptation_date","online_publication_date","doi","reference","first_name","last_name","institution","zipcode","city"
"aa","1432-0746","Astronomy & Astrophysics",1/9/2019,"2019-09-20 09:09:47+02","10.1051/0004-6361/201834764","aa34764-18","Dominique","Bockelée-Morvan","LESIA, Observatoire de Meudon","\N","92195 MEUDON Cedex"
"aa","1432-0746","Astronomy & Astrophysics",1/10/2019,"2019-08-13 09:08:27+02","10.1051/0004-6361/201730492","aa30492-17","Jacques","Laskar","Astronomie et Systèmes Dynamiques,","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",1/12/2019,"2019-02-25 09:02:49+01","10.1051/0004-6361/201834749","aa34749-18","Romain","Fétick","Laboratoire d'Astrophysique de Marseille","13388","Marseille"
"aa","1432-0746","Astronomy & Astrophysics",1/13/2019,"2019-02-21 09:02:45+01","10.1051/0004-6361/201833843","aa33843-18","Claude","Aime","Université de Nice Sophia Antipolis","06108","Nice cedex 2"
"aa","1432-0746","Astronomy & Astrophysics",1/15/2019,"2019-03-06 09:03:42+01","10.1051/0004-6361/201834522","aa34522-18","Antonello","Calabrò","INAF - Osservatorio Astronomico di Roma","00078","Monte Porzio Catone"
"aa","1432-0746","Astronomy & Astrophysics",1/16/2019,"2019-03-13 09:03:49+01","10.1051/0004-6361/201833869","aa33869-18","D.","Gillet","Observatoire de Haute Provence","04870","Saint Michel l'Observatoire"
"aa","1432-0746","Astronomy & Astrophysics",1/16/2019,"2019-09-02 09:09:06+02","10.1051/0004-6361/201834882","aa34882-18","Jean-Marc","Delouis","Laboratoire d'Oceanographie Physique et Spatiale (LOPS)","29280","Plouzane"
"aa","1432-0746","Astronomy & Astrophysics",1/17/2019,"2019-03-20 09:03:16+01","10.1051/0004-6361/201834016","aa34016-18","Thomas","Boutéraon","Institut d'astrophysique spatiale","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",1/17/2019,"2019-07-12 12:07:38+02","10.1051/0004-6361/201834674","aa34674-18","Morgane","Cousin","Laboratoire d'Astrophysique de Marseille","13388","Marseille cedex 13"
"aa","1432-0746","Astronomy & Astrophysics",1/18/2019,"2019-05-16 09:05:00+02","10.1051/0004-6361/201834911","aa34911-18","Jeremy","Fensch","European Southern Observatory","85748","Garching"
"aa","1432-0746","Astronomy & Astrophysics",1/23/2019,"2019-03-14 09:03:22+01","10.1051/0004-6361/201834210","aa34210-18","Pierre","Kervella","Observatoire de Paris","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",1/23/2019,"2019-03-27 09:03:24+01","10.1051/0004-6361/201834384","aa34384-18","Jeremy","Leconte","Université de Bordeaux","33615","Bordeaux"
"aa","1432-0746","Astronomy & Astrophysics",1/23/2019,"2019-09-20 09:09:14+02","10.1051/0004-6361/201833940","aa33940-18","Pedro Henrique","Hasselmann","Observatoire de Paris","92190","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",1/26/2019,"2019-03-06 09:03:29+01","10.1051/0004-6361/201834371","aa34371-18","Pierre","Kervella","Observatoire de Paris","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",1/26/2019,"2019-03-07 09:03:43+01","10.1051/0004-6361/201834560","aa34560-18","Francoise","Combes","Observatoire de Paris","\N","\N"
"aa","1432-0746","Astronomy & Astrophysics",1/26/2019,"2019-04-11 09:04:12+02","10.1051/0004-6361/201834745","aa34745-18","Marco","Delbo","Observatoire de la Côte d'Azur","06304","Nice Cedex 4"
"aa","1432-0746","Astronomy & Astrophysics",1/26/2019,"2019-05-21 09:05:24+02","10.1051/0004-6361/201834155","aa34155-18","M.","Haywood","Observatoire de Meudon","\N","\N"
"aa","1432-0746","Astronomy & Astrophysics",1/28/2019,"2019-03-07 09:03:58+01","10.1051/0004-6361/201833732","aa33732-18","Cécile","Renault","LPSC","38000","Grenoble"
"aa","1432-0746","Astronomy & Astrophysics",1/29/2019,"2019-07-12 12:07:16+02","10.1051/0004-6361/201834673","aa34673-18","Morgane","Cousin","Laboratoire d'Astrophysique de Marseille","13388","Marseille cedex 13"
"aa","1432-0746","Astronomy & Astrophysics",1/31/2019,"2019-04-03 09:04:47+02","10.1051/0004-6361/201834134","aa34134-18","Gerrit","van der Plas","IPAG (Institut de Planetologie et d'Astrophysique de Grenoble)","38400","Grenoble"
"aa","1432-0746","Astronomy & Astrophysics",2/3/2019,"2019-03-19 09:03:44+01","10.1051/0004-6361/201834855","aa34855-18","Thomas","Pino","Laboratoire de Photophysique Moléculaire - CNRS","F-91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",2/4/2019,"2019-04-08 09:04:15+02","10.1051/0004-6361/201834946","aa34946-18","Frédéric","Vincent","LESIA - Observatoire de Paris - CNRS","92190","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",2/4/2019,"2019-05-07 09:05:49+02","10.1051/0004-6361/201834721","aa34721-18","Orlagh","Creevey","Observatoire de la Cote d'Azur","06304","Nice"
"aa","1432-0746","Astronomy & Astrophysics",2/6/2019,"2019-03-29 09:03:30+01","10.1051/0004-6361/201834800","aa34800-18","Marion","Villenave","IPAG, Grenoble, France","38400","Saint-Martin-d'Hères"
"aa","1432-0746","Astronomy & Astrophysics",2/6/2019,"2019-04-22 09:04:32+02","10.1051/0004-6361/201833410","aa33410-18","Jan","Orkisz","Universite Grenoble Alpes","38400","Saint-Martin-d'Heres"
"aa","1432-0746","Astronomy & Astrophysics",2/7/2019,"2019-04-26 09:04:04+02","10.1051/0004-6361/201834955","aa34955-18","Jean","Souchay","Observatoire de Paris","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",2/11/2019,"2019-03-19 09:03:41+01","10.1051/0004-6361/201834020e","aa34020e-18","Caroline","Soubiran","Observatoire Aquitain des Sciences de l'Univers","33271","Floriac cedex"
"aa","1432-0746","Astronomy & Astrophysics",2/11/2019,"2019-04-09 09:04:01+02","10.1051/0004-6361/201834861","aa34861-18","Olivia","Venot","Laboratoire Interuniversitaire des Systèmes Atmosphériques (LISA)","94010","Créteil"
"aa","1432-0746","Astronomy & Astrophysics",2/12/2019,"2019-05-01 09:05:35+02","10.1051/0004-6361/201834890","aa34890-18","Melissa","Hobson","Laboratoire d'Astrophysique de Marseille","13388","Marseille"
"aa","1432-0746","Astronomy & Astrophysics",2/12/2019,"2019-06-18 09:06:26+02","10.1051/0004-6361/201833674","aa33674-18","Quentin","André","AIM, CEA, CNRS, Université Paris-Saclay, Université Paris-Diderot, Sorbonne Paris Cité","F-91191","Gif-sur-Yvette"
"aa","1432-0746","Astronomy & Astrophysics",2/12/2019,"2019-08-01 09:08:30+02","10.1051/0004-6361/201834266","aa34266-18","Elisson","de Almeida","Laboratoire Lagrange/Observatoire de la Côte d'Azur","06108","Nice"
"aa","1432-0746","Astronomy & Astrophysics",2/13/2019,"2019-03-27 09:03:03+01","10.1051/0004-6361/201935032","aa35032-19","Marie-Aline","Martin-Drumel","Institut des Sciences Moléculaires d'Orsay","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",2/13/2019,"2019-05-29 09:05:41+02","10.1051/0004-6361/201834069","aa34069-18","Anne-Laure","Melchior","LERMA","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",2/14/2019,"2019-03-19 09:03:57+01","10.1051/0004-6361/201935057","aa35057-19","Francoise","Combes","Observatoire de Paris","\N","\N"
"aa","1432-0746","Astronomy & Astrophysics",2/14/2019,"2019-04-05 09:04:35+02","10.1051/0004-6361/201834741","aa34741-18","Monique","Spite","Observatoire de Paris-Meudon","92125","Meudon Cedex"
"aa","1432-0746","Astronomy & Astrophysics",2/14/2019,"2019-04-12 09:04:34+02","10.1051/0004-6361/201834259","aa34259-18","Ping","Zhang","IAS, CNRS/Univ. Paris-Sud","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",2/14/2019,"2019-05-22 09:05:51+02","10.1051/0004-6361/201834924","aa34924-18","Javier","Olivares","Laboratoire d'Astrophysique de Bordeaux","33615","Bordeaux"
"aa","1432-0746","Astronomy & Astrophysics",2/17/2019,"2019-03-22 09:03:25+01","10.1051/0004-6361/201832673","aa32673-18","Jean-Michel","Deharveng","Laboratoire de Astrophysique de Marseille","\N","Marseille"
"aa","1432-0746","Astronomy & Astrophysics",2/17/2019,"2019-04-12 09:04:28+02","10.1051/0004-6361/201834827","aa34827-18","Laurent","Coudert","Institut des Sciences Moléculaires d'Orsay","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",2/19/2019,"2019-04-09 09:04:12+02","10.1051/0004-6361/201834249","aa34249-18","Jean-Claude","Vial","IAS- Institut d'Astrophysique Spatiale","F-91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",2/19/2019,"2019-05-28 09:05:49+02","10.1051/0004-6361/201834695","aa34695-18","Rosine","Lallement","GEPI/Observatoire de Paris","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",2/22/2019,"2019-04-08 09:04:38+02","10.1051/0004-6361/201834668","aa34668-18","Kostas","Moraitis","LESIA, Observatoire de Paris","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",2/22/2019,"2019-09-20 09:09:48+02","10.1051/0004-6361/201834766","aa34766-18","Jérémie","Lasue","Institut de Recherche en Astrophysique et Planétologie","31400","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",2/25/2019,"2019-04-19 09:04:50+02","10.1051/0004-6361/201834780","aa34780-18","Lisa","Bugnet","CEA Saclay","91191","Gif-sur-Yvette CEDEX"
"aa","1432-0746","Astronomy & Astrophysics",2/25/2019,"2019-04-22 09:04:34+02","10.1051/0004-6361/201834822","aa34822-18","Reza","Samadi","Observatoire de Meudon","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",2/26/2019,"2019-04-17 09:04:35+02","10.1051/0004-6361/201730677","aa30677-17","Kevin","Baillié","Institut de Mécanique Céleste et de Calcul des Ephémérides","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",2/28/2019,"\N","10.1051/0004-6361/201833885","aa33885-18","François","Levrier","LERMA / LRA","75005","Paris"
"aa","1432-0746","Astronomy & Astrophysics",2/28/2019,"2019-03-14 09:03:28+01","10.1051/0004-6361/201935082","aa35082-19","Elias","Koulouridis","CEA Saclay","F-91191","Gif-sur-Yvette"
"aa","1432-0746","Astronomy & Astrophysics",2/28/2019,"2019-03-27 09:03:33+01","10.1051/0004-6361/201935253","aa35253-19","Sylvestre","Lacour","LESIA","92195","Paris"
"aa","1432-0746","Astronomy & Astrophysics",2/28/2019,"2019-05-30 09:05:15+02","10.1051/0004-6361/201834979","aa34979-18","Paula","Tarrío Alonso",,"91191","Gif-sur-Yvette"
"aa","1432-0746","Astronomy & Astrophysics",3/1/2019,"2019-05-10 09:05:58+02","10.1051/0004-6361/201834281","aa34281-18","Bruno","Sicardy","Observatoire de Meudon","\N","\N"
"aa","1432-0746","Astronomy & Astrophysics",3/1/2019,"2019-09-20 09:09:12+02","10.1051/0004-6361/201834960","aa34960-18","Nicolas","Biver","LESIA, Observatoire de Paris","92190","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",3/2/2019,"2019-09-20 09:09:26+02","10.1051/0004-6361/201834872","aa34872-18","Gaetan","Wattieaux","LAPLACE CNRS/Toulouse University","31062","Toulouse Cedex 9"
"aa","1432-0746","Astronomy & Astrophysics",3/4/2019,"2019-04-02 09:04:33+02","10.1051/0004-6361/201834344e","aa34344e-18","Melaine","Saillenfest","Institut de Mecanique Celeste et de Calcul des Ephemerides","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/4/2019,"2019-04-18 09:04:40+02","10.1051/0004-6361/201935196","aa35196-19","Thierry","Appourchaux","IAS","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",3/5/2019,"2019-05-21 09:05:37+02","10.1051/0004-6361/201834502","aa34502-18","Daniel","Rouan","Observatoire de Paris","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/5/2019,"2019-09-20 09:09:03+02","10.1051/0004-6361/201834797","aa34797-18","Robin","Isnard","Laboratoire Interuniversitaire des Systèmes Atmosphériques","94010","Créteil"
"aa","1432-0746","Astronomy & Astrophysics",3/5/2019,"2019-09-20 09:09:48+02","10.1051/0004-6361/201834894","aa34894-18","Anny-Chantal","Levasseur-Regourd","LATMOS, Sorbonne Univ.","75005","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/5/2019,"2019-09-20 09:09:49+02","10.1051/0004-6361/201834824","aa34824-18","Sonia","Fornasier","Paris 7 University-LESIA","F - 92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",3/7/2019,"2019-03-25 09:03:00+01","10.1051/0004-6361/201935040","aa35040-19","Audrey","Coutens","Laboratoire d'Astrophysique de Bordeaux","33615","Pessac"
"aa","1432-0746","Astronomy & Astrophysics",3/7/2019,"2019-04-25 09:04:41+02","10.1051/0004-6361/201834754","aa34754-18","Emmanuel","Jacquet","Muséum national d'Histoire naturelle","\N","\N"
"aa","1432-0746","Astronomy & Astrophysics",3/7/2019,"2019-05-07 09:05:19+02","10.1051/0004-6361/201834953","aa34953-18","Alain","Omont","Institut d'Astrophysique, Paris","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/7/2019,"2019-05-15 09:05:42+02","10.1051/0004-6361/201834295","aa34295-18","Joana","Frontera-Pons","IRFU - Service d'Astrophysique/SEDI, CEA Saclay","91191","Gif-sur-Yvette"
"aa","1432-0746","Astronomy & Astrophysics",3/8/2019,"2019-04-18 09:04:34+02","10.1051/0004-6361/201834981","aa34981-18","Sylvestre","Lacour","LESIA","92195","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/8/2019,"2019-05-10 09:05:42+02","10.1051/0004-6361/201834958","aa34958-18","Josselin","Desmars","Laboratoire d'Etudes Spatiales et d'Instrumentation en Astrophysique","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",3/12/2019,"2019-05-01 09:05:53+02","10.1051/0004-6361/201834223","aa34223-18","Kévin","Belkacem","Institut d'astrophysique spatiale","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",3/12/2019,"2019-05-30 09:05:28+02","10.1051/0004-6361/201935250","aa35250-19","Élie","Sezestre","IPAG","38000","Grenoble"
"aa","1432-0746","Astronomy & Astrophysics",3/12/2019,"2019-07-03 09:07:37+02","10.1051/0004-6361/201834990","aa34990-18","Mirel","Birlan","Observatoire de Paris / IMCCE","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/13/2019,"2019-04-29 09:04:37+02","10.1051/0004-6361/201935259","aa35259-19","Gabriele","Pichierri","Observatoire de la Côte d'Azur","06304","Nice"
"aa","1432-0746","Astronomy & Astrophysics",3/13/2019,"2019-05-08 09:05:05+02","10.1051/0004-6361/201834013","aa34013-18","Guy","Perrin","Observatoire de Paris","92190","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",3/15/2019,"2019-05-07 09:05:05+02","10.1051/0004-6361/201935043","aa35043-19","Cyprien","Lanthermann","Institut de Planétologie et d'Astrophysique de Grenoble","38400","St-Martin d'Hères"
"aa","1432-0746","Astronomy & Astrophysics",3/16/2019,"2019-04-09 09:04:29+02","10.1051/0004-6361/201935267","aa35267-19","Laurent","Pagani","LERMA, Observatoire de Paris","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/17/2019,"2019-06-21 09:06:50+02","10.1051/0004-6361/201832607","aa32607-18","R.M.","Ouazzani","Observatoire de Meudon","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",3/18/2019,"2019-05-10 09:05:21+02","10.1051/0004-6361/201732197","aa32197-17","Olivier","Le Fèvre","Laboratoire d'Astrophysique de Marseille","13388","Marseille cedex 13"
"aa","1432-0746","Astronomy & Astrophysics",3/18/2019,"2019-05-14 09:05:11+02","10.1051/0004-6361/201833413","aa33413-18","Hideki","Tanimura","L'Institut d'Astrophysique Spatiale (IAS)","91405","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",3/18/2019,"2019-05-24 09:05:11+02","10.1051/0004-6361/201834997","aa34997-18","Hélène","Frisch","Universite de la Cote d'Azur, Observatoire de la Coted'Azur, CNRS, Laboratoire Lagrange","06304","Nice Cedex 4"
"aa","1432-0746","Astronomy & Astrophysics",3/18/2019,"2019-07-02 09:07:03+02","10.1051/0004-6361/201834796","aa34796-18","Nadège","Meunier","Observatoire de Grenoble","38041","Grenoble cedex"
"aa","1432-0746","Astronomy & Astrophysics",3/19/2019,"2019-06-27 09:06:44+02","10.1051/0004-6361/201834473","aa34473-18","Johanna","Pasquet Itam","Centre de Physique des Particules de Marseille","13009","Marseille"
"aa","1432-0746","Astronomy & Astrophysics",3/23/2019,"2019-05-17 09:05:46+02","10.1051/0004-6361/201935010","aa35010-19","Charlotte","Vastel","IRAP","31028","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",3/25/2019,"2019-04-09 09:04:33+02","10.1051/0004-6361/201935463","aa35463-19","Oliver","Müller","Observatoire astronomique de Strasbourg","67000","Strasbourg"
"aa","1432-0746","Astronomy & Astrophysics",3/25/2019,"2019-05-01 09:05:46+02","10.1051/0004-6361/201935135","aa35135-19","Anthony","Boccaletti","Observatoire de Meudon","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",3/25/2019,"2019-05-10 09:05:08+02","10.1051/0004-6361/201935147","aa35147-19","Susanna","Parenti","Institut d'astrophysique spatiale","\N","Paris"
"aa","1432-0746","Astronomy & Astrophysics",3/25/2019,"2019-05-17 09:05:24+02","10.1051/0004-6361/201832581","aa32581-18","Damien","Gagnier","IRAP","31400","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",3/27/2019,"2019-06-20 09:06:47+02","10.1051/0004-6361/201834089","aa34089-18","Nicolas","Mauron","Lab. Univers et Particules de Montpellier","34095","MONTPELLIER"
"aa","1432-0746","Astronomy & Astrophysics",3/29/2019,"2019-09-20 09:09:31+02","10.1051/0004-6361/201834226","aa34226-18","Margaux","Hoang","Institut de Recherche en Astrophysique et Planétologie","31028","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",3/31/2019,"2019-08-07 09:08:40+02","10.1051/0004-6361/201834452","aa34452-18","Meriem","ElYajouri",,"92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",4/1/2019,"2019-05-17 09:05:27+02","10.1051/0004-6361/201834599","aa34599-18","Damien","Gagnier","IRAP","31400","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",4/2/2019,"2019-05-28 09:05:58+02","10.1051/0004-6361/201833870","aa33870-18","Delphine","Russeil","Laboratoire d'Astrophysique de Marseille","13388","Marseille"
"aa","1432-0746","Astronomy & Astrophysics",4/3/2019,"2019-06-05 09:06:51+02","10.1051/0004-6361/201834457","aa34457-18","Diane","Cormier","AIM, DAp","91191","Gif-sur-Yvette"
"aa","1432-0746","Astronomy & Astrophysics",4/6/2019,"2019-06-21 09:06:31+02","10.1051/0004-6361/201834781","aa34781-18","Nicolas","Scepi","Institut de Planétologie et d'Astrophysique de Grenoble (IPAG)","38400","Saint Martin d'Hères"
"aa","1432-0746","Astronomy & Astrophysics",4/7/2019,"2019-05-21 09:05:16+02","10.1051/0004-6361/201834408","aa34408-18","Jesse","Bublitz","Institut de Planétologie et d'Astrophysique de Grenoble","38400","Grenoble"
"aa","1432-0746","Astronomy & Astrophysics",4/7/2019,"2019-06-06 09:06:37+02","10.1051/0004-6361/201935041","aa35041-19","Laura","Salvati","Institute D'astrophysique Spatiale","91440","Orsay"
"aa","1432-0746","Astronomy & Astrophysics",4/8/2019,"2020-01-10 09:01:22+01","10.1051/0004-6361/201935345","aa35345-19","Hugh","Osborn","Laboratoire d'Astrophysique de Marseille","13388","Marseille"
"aa","1432-0746","Astronomy & Astrophysics",4/10/2019,"2019-05-15 09:05:52+02","10.1051/0004-6361/201935099","aa35099-19","Nadège","Meunier","Observatoire de Grenoble","38041","Grenoble cedex"
"aa","1432-0746","Astronomy & Astrophysics",4/10/2019,"2019-06-05 09:06:26+02","10.1051/0004-6361/201935341","aa35341-19","Philippe","Thébault","LESIA, Observatoire de Paris","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",4/12/2019,"2019-05-22 09:05:04+02","10.1051/0004-6361/201935208","aa35208-19","Peggy","Varniere","Paris 7","75205","Paris"
"aa","1432-0746","Astronomy & Astrophysics",4/13/2019,"2019-07-29 09:07:19+02","10.1051/0004-6361/201935127","aa35127-19","Francois","Dulieu","Laboratoire d'Etudes du Rayonnement et de la Matiere en Astrophysique","95000","Cergy Pontoise"
"aa","1432-0746","Astronomy & Astrophysics",4/14/2019,"2019-05-22 09:05:29+02","10.1051/0004-6361/201834813","aa34813-18","Antoine","Riols","Université de Grenoble","\N","\N"
"aa","1432-0746","Astronomy & Astrophysics",4/15/2019,"2019-06-19 09:06:07+02","10.1051/0004-6361/201834687","aa34687-18","Clément","Perrot","LESIA","92195","Meudon Cedex"
"aa","1432-0746","Astronomy & Astrophysics",4/19/2019,"2019-09-20 09:09:44+02","10.1051/0004-6361/201834865","aa34865-18","Sonia","Zine","IPAG / Universite Grenoble Alpes","38058","Grenoble Cedex 9"
"aa","1432-0746","Astronomy & Astrophysics",4/22/2019,"2019-06-10 09:06:37+02","10.1051/0004-6361/201935102","aa35102-19","Jihane","Moultaka","Observatoire Midi-Pyrénées Laboratoire d","31400","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",4/23/2019,"2019-07-10 09:07:17+02","10.1051/0004-6361/201935344","aa35344-19","Mickael","Rigault","Laboratoire de Physique de Clermont","63178","Aubiere"
"aa","1432-0746","Astronomy & Astrophysics",4/24/2019,"2019-06-17 09:06:26+02","10.1051/0004-6361/201832923","aa32923-18","Pierre","Ocvirk","Observatoire astronomique de Strasbourg","67000","Strasbourg"
"aa","1432-0746","Astronomy & Astrophysics",4/25/2019,"2019-07-01 09:07:56+02","10.1051/0004-6361/201833216","aa33216-18","Sebastien","Charnoz","Institut de Physique du Globe / Université Paris Diderot / USPC","75005","Paris"
"aa","1432-0746","Astronomy & Astrophysics",4/26/2019,"2019-06-14 09:06:09+02","10.1051/0004-6361/201834199","aa34199-18","Celine","Gouin","Institut d'Astrophysique de Paris","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",4/27/2019,"2019-07-17 09:07:20+02","10.1051/0004-6361/201834916","aa34916-18","Pratyush","Pranav","ENS de Lyon","69007","Lyon"
"aa","1432-0746","Astronomy & Astrophysics",4/29/2019,"2019-06-21 09:06:45+02","10.1051/0004-6361/201935335","aa35335-19","A.","Marchal","CEA","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",4/30/2019,"2019-06-12 09:06:03+02","10.1051/0004-6361/201935553","aa35553-19","Lorenzo","Posti","Observatoire de Strasbourg","67000","Strasbourg"
"aa","1432-0746","Astronomy & Astrophysics",5/1/2019,"2019-05-17 09:05:07+02","10.1051/0004-6361/201834943","aa34943-18","Aude","Simon","Laboratoire de Chimie et Physique Quantiques (LCPQ) UMR 5626 CNRS & Unviv. Toulouse","31062","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",5/2/2019,"2019-07-12 12:07:29+02","10.1051/0004-6361/201834629","aa34629-18","Eric","Jullo","LAM","\N","\N"
"aa","1432-0746","Astronomy & Astrophysics",5/3/2019,"\N","10.1051/0004-6361/201935201","aa35201-19","A.J.","Banday","Institut de Recherche en Astrophysique et Planétologie","31028","Toulouse"
"aa","1432-0746","Astronomy & Astrophysics",5/3/2019,"2019-06-27 09:06:11+02","10.1051/0004-6361/201935371","aa35371-19","Pasquier","Noterdaeme","Institut d'Astrophysique de Paris","75014","Paris"
"aa","1432-0746","Astronomy & Astrophysics",5/6/2019,"2019-06-19 09:06:19+02","10.1051/0004-6361/201834147","aa34147-18","Ugo","Lebreuilly","École normale supérieure de Lyon, CRAL, UMR CNRS 5574, Université de Lyon","69364","Lyon Cedex 07"
"aa","1432-0746","Astronomy & Astrophysics",5/7/2019,"2019-06-10 09:06:16+02","10.1051/0004-6361/201833685e","aa33685e-18","Vincent","Deo","LESIA","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",5/11/2019,"2019-06-24 09:06:37+02","10.1051/0004-6361/201935497","aa35497-19","Jordan","Molet","Laboratoire d'Astrophysique de Bordeaux","33615","Pessac"
"aa","1432-0746","Astronomy & Astrophysics",5/11/2019,"2019-07-01 09:07:45+02","10.1051/0004-6361/201935300","aa35300-19","Thérèse","Encrenaz","Observatoire de Meudon","92195","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",5/14/2019,"2019-07-01 09:07:36+02","10.1051/0004-6361/201935462","aa35462-19","Vincent","Prat","CEA","91191","Gif-sur-Yvette"
"aa","1432-0746","Astronomy & Astrophysics",5/14/2019,"2019-07-03 09:07:46+02","10.1051/0004-6361/201935269","aa35269-19","Victor Atilio","Marchiori","Observatoire de Paris","92190","Meudon"
"aa","1432-0746","Astronomy & Astrophysics",5/14/2019,"2019-10-10 09:10:40+02","10.1051/0004-6361/201834485","aa34485-18","Nadège","Lemarchand","Institut d'astrophysique spatiale","91405","ORSAY cedex"
"aa","1432-0746","Astronomy & Astrophysics",5/15/2019,"2019-06-21 09:06:35+02","10.1051/0004-6361/201935060","aa35060-19","Grégoire","Marcel","Institut de Planétologie et d'Astrophysique de Grenoble","26000","Valence"
"aa","1432-0746","Astronomy & Astrophysics",5/15/2019,"2019-06-24 09:06:13+02","10.1051/0004-6361/201834898","aa34898-18","Florian","Gallet","Institut de Planétologie et d'Astrophysique de Grenoble (IPAG)","38400","Saint Martin d'Heres"
