institution;Period;doi;journal_title;is_hybrid;
French institutions;2023;10.1051/0004-6361/202346270;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245723;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345969;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346481;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346440;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346506;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345848;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346271;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346472;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245013;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245611;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346645;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345882;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346403;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245756;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346621;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346171;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245799;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245711;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245549;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245763;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346446;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346173;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245346;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245622;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202243611;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346178;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245626;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346215;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245120;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346228;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244777;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245107;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346017;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346039;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245609;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245193;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245705;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245660;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202243922;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245831;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345995;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245256;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245450;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202040267;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245619;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345845;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346115;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245825;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346295;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202243624;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245103;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244657;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245779;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245554;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245143;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346119;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245684;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244898;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245128;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245173;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245683;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245471;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245131;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245292;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244977;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245578;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202346311;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245672;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244694;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245172;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245642;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245061;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245376;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244722;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245480;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245766;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245208;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245614;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245140;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245097;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245625;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245039;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244429;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202243514;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244936;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245538;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244560;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245458;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245089;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244773;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244757;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245491;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202345839;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244887;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244851;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245049;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202142147e;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245383;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245236;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245342;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245331;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245374;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244908;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244914;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245094;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245472;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245715;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244485;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245298;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244603;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245573;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245282;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202244993;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/0004-6361/202245381;Astronomy & Astrophysics;TRUE;
French institutions;2023;10.1051/cocv/2023048;ESAIM: Control, Optimisation and Calculus of Variations;TRUE;
French institutions;2023;10.1051/cocv/2023034;ESAIM: Control, Optimisation and Calculus of Variations;TRUE;
French institutions;2023;10.1051/cocv/2023021;ESAIM: Control, Optimisation and Calculus of Variations;TRUE;
French institutions;2023;10.1051/cocv/2023019;ESAIM: Control, Optimisation and Calculus of Variations;TRUE;
French institutions;2023;10.1051/cocv/2023016;ESAIM: Control, Optimisation and Calculus of Variations;TRUE;
French institutions;2023;10.1051/cocv/2023008;ESAIM: Control, Optimisation and Calculus of Variations;TRUE;
French institutions;2023;10.1051/cocv/2023005;ESAIM: Control, Optimisation and Calculus of Variations;TRUE;
French institutions;2023;10.1051/emsci/2023003;Emergent Scientist;FALSE;
French institutions;2023;10.1051/epjap/2023220304;EPJ AP;TRUE;
French institutions;2023;10.1051/epjap/2023230060;EPJ AP;TRUE;
French institutions;2023;10.1051/epjap/2023230018;EPJ AP;TRUE;
French institutions;2023;10.1051/epjap/2023230004;EPJ AP;TRUE;
French institutions;2023;10.1051/epjap/2023230024;EPJ AP;TRUE;
French institutions;2023;10.1051/epjn/2023010;EPJ Nuclear Sciences & Technologies;FALSE;
French institutions;2023;10.1051/epjn/2023006;EPJ Nuclear Sciences & Technologies;FALSE;
French institutions;2023;10.1051/epjn/2023004;EPJ Nuclear Sciences & Technologies;FALSE;
French institutions;2023;10.1051/epjpv/2023014;EPJ Photovoltaics;FALSE;
French institutions;2023;10.1051/epjpv/2023013;EPJ Photovoltaics;FALSE;
French institutions;2023;10.1051/epjpv/2023012;EPJ Photovoltaics;FALSE;
French institutions;2023;10.1051/epjpv/2023011;EPJ Photovoltaics;FALSE;
French institutions;2023;10.1051/epjpv/2023010;EPJ Photovoltaics;FALSE;
French institutions;2023;10.1051/fopen/2023006;4open;FALSE;
French institutions;2023;10.1051/jeos/2023026;Journal of the European Optical Society-Rapid Publications;FALSE;
French institutions;2023;10.1051/limn/2023008;International Journal of Limnology;TRUE;
French institutions;2023;10.1051/m2an/2023059;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023051;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023046;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023045;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023043;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023041;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023040;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023039;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023034;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023027;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023023;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023019;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023013;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023010;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023008;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023006;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/m2an/2023004;ESAIM: Mathematical Modelling and Numerical Analysis;TRUE;
French institutions;2023;10.1051/mattech/2023016;Matériaux & Techniques;TRUE;
French institutions;2023;10.1051/mattech/2023013;Matériaux & Techniques;TRUE;
French institutions;2023;10.1051/mattech/2023005;Matériaux & Techniques;TRUE;
French institutions;2023;10.1051/mattech/2023004;Matériaux & Techniques;TRUE;
French institutions;2023;10.1051/mattech/2023001;Matériaux & Techniques;TRUE;
French institutions;2023;10.1051/meca/2023016;Mechanics & Industry;FALSE;
French institutions;2023;10.1051/meca/2023014;Mechanics & Industry;FALSE;
French institutions;2023;10.1051/meca/2023012;Mechanics & Industry;FALSE;
French institutions;2023;10.1051/meca/2023008;Mechanics & Industry;FALSE;
French institutions;2023;10.1051/meca/2023003;Mechanics & Industry;FALSE;
French institutions;2023;10.1051/medsci/2023102;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023101;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023100;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023099;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023098;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023097;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023096;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023092;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023090;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023089;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023088;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023087;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023085;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023083;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023082;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023081;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023080;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023079;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023078;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023077;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023076;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023074;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023072;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023071;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023070;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023069;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023068;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023067;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023066;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023065;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023063;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023062;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023061;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023060;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023059;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023058;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023056;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023053;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023050;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023049;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023041;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023040;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023038;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023037;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023036;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023035;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023033;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023030;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023029;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023028;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023027;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023026;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023024;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023022;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023021;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023020;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023019;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023013;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023009;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023007;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023006;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023005;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023002;médecine/sciences;TRUE;
French institutions;2023;10.1051/medsci/2023001;médecine/sciences;TRUE;
French institutions;2023;10.1051/metal/2023043;Metallurgical Research & Technology;TRUE;
French institutions;2023;10.1051/mmnp/2023019;Mathematical Modelling of Natural Phenomena;TRUE;
French institutions;2023;10.1051/mmnp/2023018;Mathematical Modelling of Natural Phenomena;TRUE;
French institutions;2023;10.1051/mmnp/2023017;Mathematical Modelling of Natural Phenomena;TRUE;
French institutions;2023;10.1051/mmnp/2023016;Mathematical Modelling of Natural Phenomena;TRUE;
French institutions;2023;10.1051/parasite/2023027;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023026;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023021;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023018;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023016;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023014;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023013;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023011;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023008;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023003;Parasite;FALSE;
French institutions;2023;10.1051/parasite/2023001;Parasite;FALSE;
French institutions;2023;10.1051/photon/202311822;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311825;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311830;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311840;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311846;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311921;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311931;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311936;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311941;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202311952;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202312023;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202312047;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202312051;Photoniques;TRUE;
French institutions;2023;10.1051/photon/202312056;Photoniques;TRUE;
French institutions;2023;10.1051/ps/2023011;ESAIM: Probability and Statistics;TRUE;
French institutions;2023;10.1051/ps/2023010;ESAIM: Probability and Statistics;TRUE;
French institutions;2023;10.1051/ps/2023008;ESAIM: Probability and Statistics;TRUE;
French institutions;2023;10.1051/ps/2023006;ESAIM: Probability and Statistics;TRUE;
French institutions;2023;10.1051/ps/2023002;ESAIM: Probability and Statistics;TRUE;
French institutions;2023;10.1051/sicotj/2023017;Sicot-J;FALSE;
French institutions;2023;10.1051/sicotj/2023012;Sicot-J;FALSE;
French institutions;2023;10.1051/sicotj/2023007;Sicot-J;FALSE;
French institutions;2023;10.1051/sicotj/2023001;Sicot-J;FALSE;
French institutions;2023;10.1051/smdo/2023005;International Journal for Simulation and Multidisciplinary Design Optimization;FALSE;
French institutions;2023;10.1051/smdo/2023004;International Journal for Simulation and Multidisciplinary Design Optimization;FALSE;
French institutions;2023;10.1051/swsc/2023016;Journal of Space Weather and Space Climate;FALSE;
French institutions;2023;10.1051/swsc/2023008;Journal of Space Weather and Space Climate;FALSE;
