"institution","openapc_institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
Technische Universität Wien,TU Wien,2024,,10.1145/3632872,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the ACM on Programming Languages,,,2475-1421,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3634713.3634718,TRUE,FALSE,Association for Computing Machinery (ACM),18th International Working Conference on Variability Modelling of Software-Intensive Systems,,,,,CC BY,,,,,,,acm2022kemoe,
IMC Hochschule für Angewandte Wissenschaften Krems GmbH,IMC University of Applied Sciences Krems,2024,,10.1145/3634713.3634720,TRUE,FALSE,Association for Computing Machinery (ACM),18th International Working Conference on Variability Modelling of Software-Intensive Systems,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3634713.3634723,TRUE,FALSE,Association for Computing Machinery (ACM),18th International Working Conference on Variability Modelling of Software-Intensive Systems,,,,,CC BY-NC-SA,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3634737.3656283,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Asia Conference on Computer and Communications Security,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3634737.3661135,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Asia Conference on Computer and Communications Security,,,,,CC BY,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3636501.3636949,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 13th ACM SIGPLAN International Conference on Certified Programs and Proofs,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3637528.3671890,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3637528.3671978,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3638036.3640802,TRUE,FALSE,Association for Computing Machinery (ACM),Mile-High Video Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3638529.3654057,TRUE,FALSE,Association for Computing Machinery (ACM),Genetic and Evolutionary Computation Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3638529.3654128,TRUE,FALSE,Association for Computing Machinery (ACM),Genetic and Evolutionary Computation Conference,,,,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3638530.3664161,TRUE,FALSE,Association for Computing Machinery (ACM),Genetic and Evolutionary Computation Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3639474.3640061,TRUE,FALSE,Association for Computing Machinery (ACM),46th International Conference on Software Engineering: Software Engineering Education and Training,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3639476.3639758,TRUE,FALSE,Association for Computing Machinery (ACM),New Ideas and Emerging Results,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3639478.3639783,TRUE,FALSE,Association for Computing Machinery (ACM),2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3639478.3639793,TRUE,FALSE,Association for Computing Machinery (ACM),2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3639478.3639800,TRUE,FALSE,Association for Computing Machinery (ACM),2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,,,,,CC BY,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3639478.3643123,TRUE,FALSE,Association for Computing Machinery (ACM),2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,,,,,CC BY-NC,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3639708,TRUE,FALSE,Association for Computing Machinery (ACM),Journal of Data and Information Quality,1936-1955,,1936-1963,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3640010,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Human-Robot Interaction,,,2573-9522,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3640457.3688138,TRUE,FALSE,Association for Computing Machinery (ACM),18th ACM Conference on Recommender Systems,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3640457.3688163,TRUE,FALSE,Association for Computing Machinery (ACM),18th ACM Conference on Recommender Systems,,,,,CC BY-NC-ND,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3640457.3688187,TRUE,FALSE,Association for Computing Machinery (ACM),18th ACM Conference on Recommender Systems,,,,,CC BY-NC,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3640792.3675721,TRUE,FALSE,Association for Computing Machinery (ACM),16th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,,,,,CC BY-ND,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3641545,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Modeling and Computer Simulation,1049-3301,,1558-1195,,CC BY-SA,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3641825.3687731,TRUE,FALSE,Association for Computing Machinery (ACM),30th ACM Symposium on Virtual Reality Software and Technology,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3641825.3687734,TRUE,FALSE,Association for Computing Machinery (ACM),30th ACM Symposium on Virtual Reality Software and Technology,,,,,CC BY-NC,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3641825.3687741,TRUE,FALSE,Association for Computing Machinery (ACM),30th ACM Symposium on Virtual Reality Software and Technology,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3642968.3654813,TRUE,FALSE,Association for Computing Machinery (ACM),"7th International Workshop on Edge Systems, Analytics and Networking",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3643489.3661123,TRUE,FALSE,Association for Computing Machinery (ACM),The 7th Annual ACM Lifelog Search Challenge,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3643786.3648026,TRUE,FALSE,Association for Computing Machinery (ACM),2024 IEEE/ACM International Workshop on Deep Learning for Testing and Testing for Deep Learning,,,,,CC BY-SA,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3643832.3661883,TRUE,FALSE,Association for Computing Machinery (ACM),"The 22nd Annual International Conference on Mobile Systems, Applications and Services",,,,,CC BY-SA,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3643991.3644896,TRUE,FALSE,Association for Computing Machinery (ACM),21st International Conference on Mining Software Repositories,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3643991.3644922,TRUE,FALSE,Association for Computing Machinery (ACM),21st International Conference on Mining Software Repositories,,,,,CC BY-SA,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3644032.3644468,TRUE,FALSE,Association for Computing Machinery (ACM),5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),,,,,CC BY,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3646547.3688420,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 ACM Internet Measurement Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3646548.3672588,TRUE,FALSE,Association for Computing Machinery (ACM),28th ACM International Systems and Software Product Line Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3646548.3676543,TRUE,FALSE,Association for Computing Machinery (ACM),28th ACM International Systems and Software Product Line Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3646548.3676597,TRUE,FALSE,Association for Computing Machinery (ACM),28th ACM International Systems and Software Product Line Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3648115.3648136,TRUE,FALSE,Association for Computing Machinery (ACM),International Workshop on OpenCL and SYCL,,,,,CC BY-SA,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3649153.3649195,TRUE,FALSE,Association for Computing Machinery (ACM),21st ACM International Conference on Computing Frontiers,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3649217.3653531,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 Innovation and Technology in Computer Science Education V. 1,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3649217.3653561,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 Innovation and Technology in Computer Science Education V. 1,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3649217.3653565,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 Innovation and Technology in Computer Science Education V. 1,,,,,CC BY-NC,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3649217.3653572,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 Innovation and Technology in Computer Science Education V. 1,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3649329.3658250,TRUE,FALSE,Association for Computing Machinery (ACM),61st ACM/IEEE Design Automation Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3649329.3661852,TRUE,FALSE,Association for Computing Machinery (ACM),61st ACM/IEEE Design Automation Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3649921.3649992,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 19th International Conference on the Foundations of Digital Games,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3649921.3649997,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 19th International Conference on the Foundations of Digital Games,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3649921.3650004,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 19th International Conference on the Foundations of Digital Games,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3649921.3656973,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 19th International Conference on the Foundations of Digital Games,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3649921.3656980,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 19th International Conference on the Foundations of Digital Games,,,,,CC BY,,,,,,,acm2022kemoe,
AIT Austrian Institute of Technology GmbH,AIT Austrian Institute of Technology,2024,,10.1145/3650212.3685299,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,,,,,CC BY,,,,,,,acm2022kemoe,
