institution,period,euro,doi,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,snsf_title
Swiss National Science Foundation (SNSF),2021-06-16,2622.3126142595975,10.3389/fbioe.2021.688467,Frontiers in Bioengineering and Biotechnology ,Frontiers Media SA,FALSE,NA,NA,2868.81,1.094,107943 - 10239 - 16.06.2021,31AC-0_205946,182357,Robust angiogenesis and arteriogenesis in the skin of diabetic mice by transient delivery of engineered VEGF and PDGF-BB proteins in fibrin hydrogels
Swiss National Science Foundation (SNSF),2021-06-10,1783.3638025594148,10.1186/s12862-021-01822-9,BMC Ecology and Evolution,,FALSE,2730-7182,NA,1951,1.094,107897 - 10669 - 10.06.2021,31AC-0_205795,184934,Prevalence and relationship of endosymbiotic Wolbachia in the butterfly genus Erebia
Swiss National Science Foundation (SNSF),2021-06-09,1683.7294332723948,10.2196/26264,JMIR Research Protocols,JMIR Publications Inc.,FALSE,NA,NA,1842,1.094,107882 - 10669 - 09.06.2021,IZAC-0_205030,188408,Using a tailored digital health intervention for family communication and cascade genetic testing in Swiss and Korean families with hereditary breast/ovarian cancer: The DIALOGUE Protocol
Swiss National Science Foundation (SNSF),2021-06-08,1841.36197440585,10.21203/rs.3.rs-245480/v1,Scientific Reports,,FALSE,NA,NA,2014.45,1.094,107866 - 10859 - 08.06.2021,20AC-1_205773,172700,"Giant Mesozoic coelacanths (Osteichthyes, Actinistia) reveal high body size disparity decoupled from taxic diversity"
Swiss National Science Foundation (SNSF),2021-06-07,1058.8482632541134,10.1098/rsos.202050,Royal Society Open Sciene,Royal Society,FALSE,NA,NA,1158.38,1.094,107847 - 10977 - 07.06.2021,31AC-0_205733,160328,Experiments confirm a dispersive phenotype associated with a natural gene drive system
Swiss National Science Foundation (SNSF),2021-06-07,1414.597806215722,10.1371/journal.pone.0252433,PLOS ONE,PLOS,FALSE,NA,NA,1547.57,1.094,107845 - 10850 - 07.06.2021,40AC-0_205771,194003,Health impacts of industrial mining on surrounding communities: local perspectives from three sub-Saharan African countries
Swiss National Science Foundation (SNSF),2021-06-07,1456.745886654479,10.1029/2020EA001454,Earth and Space Science,,FALSE,2333-5084,NA,1593.68,1.094,107846 - 10764 - 07.06.2021,20AC-1_205739,146512,Assessing reduced‐dynamic parametrizations for GRAIL orbit determination and the recovery of independent lunar gravity field solutions
Swiss National Science Foundation (SNSF),2021-06-07,1459.6617915904933,10.1371/journal.pone.0252336,PLOS One,PLOS,FALSE,NA,NA,1596.87,1.094,107844 - 10850 - 07.06.2021,40AC-0_205765,194003,Short-term effects of national-level natural resource rents on life expectancy: A cross-country panel data analysis
Swiss National Science Foundation (SNSF),2021-06-07,1575.1371115173674,10.3390/ijms22115734,International Journal of Molecular Sciences,MDPI,FALSE,1422-0067,NA,1723.2,1.094,107841 - 10415 - 07.06.2021,31AC-0_205769,182573,Lymphatic Connexins and Pannexins in Health and Disease
Swiss National Science Foundation (SNSF),2021-06-07,1811.4076782449724,10.3390/ijerph18115502,International Journal of Environmental Research and Public Health,MDPI,FALSE,1660-4601,NA,1981.68,1.094,107843 - 10415 - 07.06.2021,40AC-0_205747,167499,Adjusting Client-Level Risks Impacts on Home Care Organization Ranking
Swiss National Science Foundation (SNSF),2021-06-07,1876.5996343692868,10.1038/s41598-021-90144-3,Scientific Reports,Nature Research,FALSE,NA,NA,2053,1.094,107850 - 12311 - 07.06.2021,40AC-0_205731,167326,CoolMomentum: a method for stochastic optimization by Langevin dynamics with simulated annealing
Swiss National Science Foundation (SNSF),2021-06-07,2471.7915904936012,10.2147/jaa.s304126,Journal of Asthma and Allergy,,FALSE,NA,NA,2704.14,1.094,107849 - 10892 - 07.06.2021,PRAC-3_205285,179727,Healthy and patient type 2 innate lymphoid cells are differently affected by in vitro culture conditions 
Swiss National Science Foundation (SNSF),2021-06-07,2386.142595978062,10.1016/j.jbc.2021.100682,Journal of Biological Chemistry,Elsevier,FALSE,NA,NA,2610.44,1.094,107839 - 10822 - 07.06.2021,31AC-0_205762,173094,Structural diversity of the coenzyme methylofuran and identification of enzymes for the biosynthesis of its polyglutamate side chain
Swiss National Science Foundation (SNSF),2021-06-07,2651.5539305301645,10.3389/fpsyg.2021.685491,Frontiers in psychology: language sciences,,FALSE,NA,NA,2900.8,1.094,107836 - 10239 - 07.06.2021,10AC-D_205754,184882,Lexical and structural cues to discourse processing in first and second language
Swiss National Science Foundation (SNSF),2021-06-07,2651.5539305301645,10.3389/fmolb.2021.683132,"Frontiers in Molecular Biosciences-Protein Folding, Misfolding and Degradation",Frontiers,FALSE,NA,NA,2900.8,1.094,107840 - 10239 - 07.06.2021,31AC-0_205764,185388,Redefining molecular chaperones as chaotropes
