"Institution","Period","CHF","DOI","is hybrid","currency","Euro"
"University of Bern","2023-06-02","1.606,88","10.1161/JAHA.122.028956","false","CHF","1646.73"
"University of Bern","2023-05-22","1.723,20","10.3390/diagnostics13101668","false","CHF","1776.49"
"University of Bern","2023-05-16","1.550,88","10.3390/ani13091444","false","CHF","1593.59"
"University of Bern","2023-05-31","1.788,46","10.1371/journal.pone.0285931","false","CHF","1839.22"
"University of Bern","2023-05-22","2.633,27","10.1186/s12903-023-03008-9","false","CHF","2714.71"
"University of Bern","2023-06-12","1.615,50","10.3390/ijms24119172","false","CHF","1656.75"
"University of Bern","2023-06-28","1.647,33","10.1007/s44253-023-00006-1","false","CHF","1677.18"
"University of Bern","2023-06-28","2.120,18","10.3390/pharmaceutics15051413","false","CHF","2158.6"
"University of Bern","2023-06-14","1.502,41","10.1128/msphere.00239-23","false","CHF","1540.78"
"University of Bern","2023-06-14","2.713,56","10.1186/s13037-023-00366-9","false","CHF","2782.85"
"University of Bern","2023-06-30","1.878,29","10.2196/47656","false","CHF","1918.97"
"University of Bern","2023-06-16","2.287,06","10.1038/s41598-023-35334-x","false","CHF","2340.9"
"University of Bern","2023-07-28","826,32","10.1080/15487733.2023.2222595","false","CHF","864.89"
"University of Bern","2023-06-28","2.722,08","10.1093/eurpub/ckad098","false","CHF","2771.41"
"University of Bern","2023-06-28","1.895,52","10.3390/coatings13061106 ","false","CHF","1929.87"
"University of Bern","2023-06-28","2.803,50","10.2196/45063","false","CHF","2854.31"
"University of Bern","2023-07-14","2.704,34","10.1371/journal.pgen.1010805","false","CHF","2802.72"
"University of Bern","2023-08-11","2.209,76","10.1186/s12940-023-01003-9","false","CHF","2297.76"
"University of Bern","2023-07-14","1.167,52","10.1007/S44163-023-00072-6","false","CHF","1209.99"
"University of Bern","2023-07-28","2.715,49","10.7189/jogh.13.04111","false","CHF","2842.25"
"University of Bern","2023-08-30","2.067,84","10.3390/polym15112557","false","CHF","2161.2"
"University of Bern","2023-08-11","2.052,49","10.5194/acp-23-7321-2023","false","CHF","2134.23"
"University of Bern","2023-09-01","2.240,15","10.3390/jcm12113657","false","CHF","2339.83"
"University of Bern","2023-09-01","2.240,15","10.3390/jcm12134554","false","CHF","2339.83"
"University of Bern","2023-08-11","1.550,88","10.3390/ani13152404","false","CHF","1612.64"
"University of Bern","2023-08-11","1.648,87","10.2196/47254","false","CHF","1714.54"
"University of Bern","2023-10-11","1.400,10","10 10.3390/jcm12103410","false","CHF","1462.09"
"University of Bern","2023-08-11","1.599,34","10.1530/EOR-2023-0006","false","CHF","1663.03"
"University of Bern","2023-08-30","1.550,88","10.3390/ani13142393","false","CHF","1620.9"
"University of Bern","2023-08-30","1.676,46","10.1371/journal.pone.0288842","false","CHF","1752.15"
"University of Bern","2023-10-06","2.449,80","10.1186/s13028-023-00697-8","false","CHF","2544.19"
"University of Bern","2023-09-08","2.498,64","10.20944/preprints202308.0882.v1","false","CHF","2618.3"
"University of Bern","2023-09-08","2.110,92","10.1002/ueg2.12454","false","CHF","2212.01"
"University of Bern","2023-09-08","2.154,00","10.3390/polym15173559","false","CHF","2257.15"
"University of Bern","2023-09-04","1.796,50","10.2196/42154","false","CHF","1881.55"
"University of Bern","2023-10-27","1.956,50","10.1177/20417314231201071","false","CHF","2059.04"
"University of Bern","2023-10-06","1.871,71","10.1371/journal.pone.0291152","false","CHF","1943.83"
"University of Bern","2023-09-15","2.763,20","10.1186/S12888-023-05142-8","false","CHF","2892.19"
"University of Bern","2023-09-19","1.388,90","10.1111/jvim.16856","false","CHF","1447.52"
"University of Bern","2023-09-19","1.903,20","10.1111/jvim.16865","false","CHF","1983.53"
"University of Bern","2023-10-06","1.871,71","10.1371/journal.pone.0291630","false","CHF","1943.83"
"University of Bern","2023-10-06","2.240,16","10.3390/v15091942","false","CHF","2326.47"
"University of Bern","2023-10-27","1.787,82","10.3390/cells12182314","false","CHF","1881.52"
"University of Bern","2023-10-06","2.154,00","10.3390/ijms241814091","false","CHF","2236.99"
"University of Bern","2023-09-29","1.292,40","10.3390/environments10090152","false","CHF","1336.64"
"University of Bern","2023-10-27","2.475,05","10.1186/S12938-023-01155-2","false","CHF","2604.77"
"University of Bern","2023-10-06","1.615,50","10.3390/ani13193048","false","CHF","1677.74"
"University of Bern","2023-11-01","2.240,16","10.3390/vetsci10100602","false","CHF","2340.33"
"University of Bern","2023-11-01","2.696,70","10.1186/s12913-023-10028-2","false","CHF","2817.28"
"University of Bern","2023-11-01","2.369,51","10.1038/s41598-023-44412-z","false","CHF","2475.46"
"University of Bern","2023-11-01","1.873,98","10.3390/app132011418","false","CHF","1957.77"
"University of Bern","2023-10-27","2.498,64","10.3390/cancers15205071","false","CHF","2629.59"
"University of Bern","2023-10-27","2.369,51","10.1038/s41598-023-44250-z","false","CHF","2493.7"
"University of Bern","2023-11-01","2.369,51","10.1038/s41598-023-44902-0","false","CHF","2475.46"
"University of Bern","2023-10-27","2.305,60","10.1038/s41598-023-32272-6","false","CHF","2426.44"
"University of Bern","2023-11-01","1.880,28","10.1136/bmjgh-2023-012906","false","CHF","1964.35"
"University of Bern","2023-11-17","1.981,68","10.3390/app132111849","false","CHF","2055.05"
"University of Bern","2023-11-17","2.240,16","10.3390/jcm12216762","false","CHF","2323.09"
"University of Bern","2023-11-17","2.752,76","10.1186/s12889-023-17056-x","false","CHF","2854.67"
"University of Bern","2023-11-17","2.240,16","10.3390/coatings13111942","false","CHF","2323.09"
"University of Bern","2023-12-22","871,72","10.5334/gh.1273","false","CHF","925.69"
"University of Bern","2024-01-17","2.525,57","10.1186/s12245-023-00545-6","false","CHF","2685.06"
"University of Bern","2023-12-06","1.913,31","10.1371/journal.pone.0294528","false","CHF","2029.18"
"University of Bern","2023-12-01","1.270,86","10.3390/jimaging9120257","false","CHF","1333.54"
"University of Bern","2023-12-08","1.809,36","10.3390/biomedicines11123188 ","false","CHF","1917.1"
"University of Bern","2023-12-01","1.292,40","10.3390/children10121838","false","CHF","1356.14"
"University of Bern","2023-12-06","1.852,44","10.3390/atmos14121743","false","CHF","1964.62"
"University of Bern","2023-12-15","2.554,27","10.1186/s11556-023-00332-5","false","CHF","2692.11"
"University of Bern","2023-12-08","2.345,33","10.1038/s41598-023-48320-0","false","CHF","2484.99"
"University of Bern","2023-12-22","1.550,88","10.3390/medicina59122118","false","CHF","1646.89"
"University of Bern","2023-12-20","1.948,69","10.2196/51820","false","CHF","2059.93"
"University of Bern","2023-12-22","2.031,92","10.1186/s42238-023-00210-y","false","CHF","2157.71"
"University of Bern","2023-12-22","2.475,91","10.1002/edn3.501","false","CHF","2629.19"
"University of Bern","2023-12-29","2.136,39","10.1186/S40662-023-00369-8","false","CHF","2307.12"
"University of Bern","2023-12-22","2.345,33","10.1038/S41598-023-49127-9","false","CHF","2490.53"
"University of Bern","2023-12-22","2.031,92","10.1038/S41597-023-02733-8","false","CHF","2157.71"
"University of Bern","2024-01-12","2.345,33","10.21203/rs.3.rs-3147347/v1","false","CHF","2508.37"
"University of Bern","2023-12-29","1.206,24","10.3390/rel15010011","false","CHF","1302.63"
"University of Bern","2024-01-10","1.671,50","10.1002/gdj3.237","false","CHF","1790.38"
"University of Bern","2024-01-12","2.390,94","10.3390/cancers16010067 ","false","CHF","2557.16"
"University of Bern","2024-01-01","2.004,10","10.1136/bmjopen-2023-077716","false","CHF","2153.79"
"University of Bern","2024-01-17","1.970,91","10.3390/genes14122222","false","CHF","2095.38"
"University of Bern","2023-07-13","2446.95","10.3389/froh.2023.1229931","false","CHF","2537.28"
"University of Bern","2023-06-13","2446.95","10.3389/fmed.2023.1219257","false","CHF","2500.97"
"University of Bern","2023-07-03","2446.95","10.3389/fpsyt.2023.1206226","false","CHF","2496.89"
"University of Bern","2023-05-04","2446.95","10.3389/fbioe.2023.1199651","false","CHF","2496.38"
"University of Bern","2023-05-22","2446.95","10.3389/fmed.2023.1198078","false","CHF","2522.63"
"University of Bern","2023-07-03","2446.95","10.3389/fspor.2023.1192401","false","CHF","2496.89"
"University of Bern","2023-03-21","2446.95","10.3389/fbioe.2023.1191104","false","CHF","2454.31"
"University of Bern","2023-07-03","2446.95","10.3389/fneur.2023.1183810","false","CHF","2496.89"
"University of Bern","2023-06-19","2446.95","10.3389/fneur.2023.1183265","false","CHF","2504.04"
"University of Bern","2023-04-25","2446.95","10.3389/fneur.2023.1183116","false","CHF","2500.46"
"University of Bern","2023-06-26","2446.95","10.3389/fneur.2023.1181539","false","CHF","2513.04"
"University of Bern","2023-05-08","2446.95","10.3389/fimmu.2023.1179195","false","CHF","2493.58"
"University of Bern","2023-04-17","2446.95","10.3389/fpsyg.2023.1176573","false","CHF","2493.83"
"University of Bern","2023-04-12","2446.95","10.3389/fsoc.2023.1172553","false","CHF","2483.46"
"University of Bern","2023-06-19","2446.95","10.3389/fsoc.2023.1170447","false","CHF","2504.04"
"University of Bern","2023-05-02","2446.95","10.3389/fimmu.2023.1165758","false","CHF","2486.49"
"University of Bern","2023-03-27","2446.95","10.3389/fsoc.2023.1158071","false","CHF","2477.92"
"University of Bern","2023-03-28","2446.95","10.3389/fsoc.2023.1154324","false","CHF","2459.99"
"University of Bern","2023-03-02","2446.95","10.3389/fneur.2023.1148152","false","CHF","2449.89"
"University of Bern","2023-06-13","2446.95","10.3389/fspor.2023.1145247","false","CHF","2500.97"
"University of Bern","2023-03-23","2446.95","10.3389/feduc.2023.1141586","false","CHF","2454.56"
"University of Bern","2023-01-18","2446.95","10.3389/fmed.2023.1133381","false","CHF","2470.17"
"University of Bern","2023-05-31","2446.95","10.3389/fneur.2023.1130090","false","CHF","2516.4"
"University of Bern","2023-05-16","2446.95","10.3389/fpsyg.2023.1130051","false","CHF","2514.33"
"University of Bern","2023-02-28","2446.95","10.3389/fvets.2023.1125806","false","CHF","2459.99"
"University of Bern","2023-03-03","2446.95","10.3389/fcogn.2023.1125700","false","CHF","2457.27"
"University of Bern","2023-06-05","2446.95","10.3389/fevo.2023.1122304","false","CHF","2514.33"
"University of Bern","2023-01-26","2446.95","10.3389/fvets.2023.1122092","false","CHF","2446.46"
"University of Bern","2023-05-24","2446.95","10.3389/fpsyt.2023.1116306","false","CHF","2514.33"
"University of Bern","2023-01-27","2446.95","10.3389/fvets.2023.1115783","false","CHF","2442.8"
"University of Bern","2023-02-07","2446.95","10.3389/fphar.2023.1114739","false","CHF","2470.17"
"University of Bern","2023-03-06","2446.95","10.3389/fmicb.2023.1104752","false","CHF","2459.99"
"University of Bern","2023-03-01","2446.95","10.3389/fncel.2023.1086895","false","CHF","2447.68"
"University of Bern","2023-01-17","2446.95","10.3389/feart.2023.1079510","false","CHF","2447.44"
"University of Bern","2023-03-06","2446.95","10.3389/fpubh.2023.1076217","false","CHF","2459.99"
"University of Bern","2023-03-20","2446.95","10.3389/fsurg.2023.1033010","false","CHF","2464.7"
"University of Bern","2023-01-18","2446.95","10.3389/fped.2023.1070685","false","CHF","2470.17"
"University of Bern","2023-04-24","2446.95","10.3389/fcvm.2023.1004003","false","CHF","2496.89"
"University of Bern","2023-01-16","2446.95","10.3389/fsurg.2023.967407","false","CHF","2440.6"
"University of Bern","2023-01-24","2446.95","10.3389/frvir.2023.897034","false","CHF","2434.05"
"University of Bern","2022-11-10","2446.95","0.3389/fnins.2022.1028915","false","CHF","2488.26"
"University of Bern","2023-03-21","2446.95","10.3389/ijph.2023.1605772","false","CHF","2454.31"
