"Institution","Period","CHF","DOI","Is hybrid","","","","","currency","euro"
"University of Bern","2024-12-06","2.408,20","10.1038/s41598-024-71918-x","false","","","","","CHF","2593.93"
"University of Bern","2024-12-06","1.854,99","10.1167/tvst.13.10.21","false","","","","","CHF","1998.05"
"University of Bern","2024-12-06","2.408,20","10.1186/S12875-024-02605-Z","false","","","","","CHF","2593.93"
"University of Bern","2024-12-06","427,02","10.1093/ehjcr/ytae380","false","","","","","CHF","459.95"
"University of Bern","2024-12-06","1.246,17","10.3168/jdsc.2024-0610","false","","","","","CHF","1342.28"
"University of Bern","2024-12-06","1.643,02","10.1177/1098612X241296416","false","","","","","CHF","1769.73"
"University of Bern","2024-12-06","1.252,87","10.1002/ccr3.9625","false","","","","","CHF","1349.49"
"University of Bern","2024-12-11","2.507,92","10.3390/ijms252313071","false","","","","","CHF","2702.5"
"University of Bern","2024-12-13","2.484,46","10.1186/S12887-024-05234-8","false","","","","","CHF","2647.27"
"University of Bern","2024-12-18","493,26","10.52768/3065-0011/1059","false","","","","","CHF","525.75"
"University of Bern","2024-12-19","1.343,30","10.1186/S00015-024-00470-7","false","","","","","CHF","1441.46"
"University of Bern","2024-12-20","534,07","10.1111/jvim.17265","false","","","","","CHF","574.45"
"University of Bern","2024-12-31","912,79","10.1177/25152459241287123","false","","","","","CHF","969.82"
"University of Bern","2024-12-31","2.698,00","10.1186/s13034-024-00846-5","false","","","","","CHF","2866.55"
"University of Bern","2024-12-31","2.382,85","10.1038/S41598-024-82446-Z","false","","","","","CHF","2531.71"
