Institution,Period,EUR,currency,doi,is hybrid,Publisher,ISSN,Journal,Article title,euro
Universität Bern,2021-06-14,1500.00,CHF,https://doi.org/10.1371/journal.pone.0253200,false,,,,,1377.54
Universität Bern,2021-08-02,1640.00,GBP,10.1088/1748-9326/ac08c0,false,,,,,1916.6
Universität Bern,2021-06-23,3177.15,USD,10.3389/fcell.2021.682944,false,,,,,2658.48
Universität Bern,2021-07-15,1023.15,CHF,10.3390/su13137040,false,,,,,944.91
Universität Bern,2021-06-28,1500.00,CHF,10.3390/min11070664,false,,,,,1367.49
Universität Bern,2021-07-01,1507.80,CHF,10.3390/diagnostics11061033,false,,,,,1372.6
Universität Bern,2021-07-01,1895.52,CHF,https://doi.org/10.3390/jcm10132797,false,,,,,1725.55
Universität Bern,2021-07-08,1206.24,CHF,doi.org/10.3390/sports9070092,false,,,,,1111.64
Universität Bern,2021-07-09,1825.50,USD,https://doi.org/10.1371/journal.pone.0247387,false,,,,,1539.47
Universität Bern,2021-07-15,3177.15,USD,doi: 10.3389/fneur.2021.699838,false,,,,,2690.45
Universität Bern,2021-07-12,1378.56,CHF,https://www.mdpi.com/2075-4450/12/6/536,false,,,,,1270.33
