Institution name;Date of Submission;Date of Acceptance;DOI;Article Title;Article Type;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN(s);Article License
Agroscope;27.05.2024;28.08.2024;10.1016/j.gfs.2024.100800;How do non-reciprocal trade preferences affect the food exports and food availability per capita of Global South countries?;FLA;TRUE;Hybrid Open Access;Elsevier;Global Food Security;2211-9124;CC BY
Agroscope;19.08.2023;23.05.2024;10.1016/j.geoderma.2024.116927;Effects of conventional, organic and conservation agriculture on soil physical properties, root growth and microbial habitats in a long-term field experiment;FLA;FALSE;Full Open Access;Elsevier;Geoderma;0016-7061;CC BY
Agroscope;28.11.2023;17.03.2024;10.1016/j.foodres.2024.114249;Identification of potato varieties suitable for cold storage and reconditioning: a safer alternative to anti-sprouting chemicals for potato sprouting control.;FLA;TRUE;Hybrid Open Access;Elsevier;Food Research International;0963-9969;CC BY
Agroscope;10.11.2023;02.01.2024;10.1016/j.foodres.2024.113947;In vitro DIAAS of Swiss soybean cultivars using the INFOGEST model: increase in protein quality from soybean to soymilk and tofu;FLA;TRUE;Hybrid Open Access;Elsevier;Food Research International;0963-9969;CC BY
Agroscope;08.08.2024;11.12.2024;10.1016/j.foodqual.2024.105416;Reducing meat consumption using a diet-related written prompt and the Swiss food pyramid: A field study;FLA;TRUE;Hybrid Open Access;Elsevier;Food Quality and Preference;0950-3293;CC BY
Agroscope;27.06.2024;27.09.2024;10.1016/j.foodqual.2024.105338;A food waste information-framing can help promote purchase of suboptimal potatoes;FLA;TRUE;Hybrid Open Access;Elsevier;Food Quality and Preference;0950-3293;CC BY
Agroscope;24.01.2024;27.03.2024;10.1016/j.foodqual.2024.105179;Consumers across five European countries prioritise animal welfare above environmental sustainability when buying meat and dairy products;FLA;TRUE;Hybrid Open Access;Elsevier;Food Quality and Preference;0950-3293;CC BY
Agroscope;29.09.2023;08.01.2024;10.1016/j.foodqual.2024.105105;A diet-related health prompt with the Swiss Food Pyramid as a nudge to reduce meat consumption;FLA;TRUE;Hybrid Open Access;Elsevier;Food Quality and Preference;0950-3293;CC BY
Agroscope;13.04.2023;24.04.2024;10.1016/j.foodpol.2024.102643;Citizens’ perceptions of agricultural policy goals—Evidence from Switzerland;FLA;TRUE;Hybrid Open Access;Elsevier;Food Policy;0306-9192;CC BY
Agroscope;21.12.2023;08.07.2024;10.1016/j.fcr.2024.109506;Field trials reveal trade-offs between grain size and grain number in wheat ectopically expressing a barley sucrose transporter;FLA;TRUE;Hybrid Open Access;Elsevier;Field Crops Research;0378-4290;CC BY
Agroscope;15.06.2023;01.01.2024;10.1016/j.fcr.2024.109251;Evaluating nitrogen fertilization strategies to optimize yield and grain nitrogen content in top winter wheat varieties across Switzerland;FLA;TRUE;Hybrid Open Access;Elsevier;Field Crops Research;0378-4290;CC BY
Agroscope;24.07.2024;28.12.2024;10.1016/j.eja.2024.127504;Multi-trait assessment of wheat variety mixtures performance and stability: mixtures for the win!;FLA;TRUE;Hybrid Open Access;Elsevier;European Journal of Agronomy;1161-0301;CC BY-NC
Agroscope;30.04.2024;16.07.2024;10.1016/j.eja.2024.127284;Reducing tillage and herbicide use intensity while limiting weed-related wheat yield loss;FLA;TRUE;Hybrid Open Access;Elsevier;European Journal of Agronomy;1161-0301;CC BY
Agroscope;07.05.2023;09.01.2024;10.1016/j.eja.2024.127097;Winter oilseed rape intercropped with complex service plant mixtures: Do all species matter?;FLA;TRUE;Hybrid Open Access;Elsevier;European Journal of Agronomy;1161-0301;CC BY
Agroscope;17.07.2024;11.11.2024;10.1016/j.ecolind.2024.112846;Indicators for assessing the multifunctionality of agriculturally used grasslands;FLA;FALSE;Full Open Access;Elsevier;Ecological Indicators;1470-160X;CC BY
Agroscope;24.10.2023;30.04.2024;10.1016/j.ecolind.2024.112104;Upscaling of ecosystem service and biodiversity indicators from field to farm to inform agri-environmental decision- and policy-making;FLA;FALSE;Full Open Access;Elsevier;Ecological Indicators;1470-160X;CC BY
Agroscope;18.03.2024;03.12.2024;10.1016/j.dib.2024.111212;Data on Swiss public’s acceptance and sustainability perceptions of food produced with chemical, digital and mechanical weed control measures and the influence of information source on technology perception in agriculture;DAT;FALSE;Full Open Access;Elsevier;Data in Brief;2352-3409;CC BY
Agroscope;07.03.2024;25.11.2024;10.1016/j.dib.2024.111186;Data on the administrative workload and perceived administrative burden of farmers in Switzerland;DAT;FALSE;Full Open Access;Elsevier;Data in Brief;2352-3409;CC BY
Agroscope;18.12.2023;05.01.2024;10.1016/j.dib.2024.110042;Data on Swiss citizens preferences and perceptions of agricultural policy;DAT;FALSE;Full Open Access;Elsevier;Data in Brief;2352-3409;CC BY
Agroscope;28.06.2023;01.02.2024;10.1016/j.cropro.2024.106617;A parasitoid wasp allied with an entomopathogenic virus to control Tuta absoluta;FLA;TRUE;Hybrid Open Access;Elsevier;Crop Protection;0261-2194;CC BY
Agroscope;22.10.2023;22.01.2024;10.1016/j.cropro.2024.106603;Transversal distribution of a spray drone applying different nozzles and measuring methods;FLA;TRUE;Hybrid Open Access;Elsevier;Crop Protection;0261-2194;CC BY
Agroscope;05.02.2023;08.02.2024;10.1016/j.baae.2024.02.004;Spatial analysis of the potential exposure of amphibians to plant protection products at the landscape scale;FLA;FALSE;Full Open Access;Elsevier;Basic and Applied Ecology;1439-1791;CC BY
Agroscope;04.11.2024;11.07.2024;10.1016/j.atech.2024.100506;ASPEN study case: real time in situ apples detection and characterization;FLA;FALSE;Full Open Access;Elsevier;Smart Agricultural Technology;2772-3755;CC BY-NC
Agroscope;15.01.2024;30.03.2024;10.1016/j.atech.2024.100447;Enhancing culling decisions in Swiss dairy farming: Introducing a tool for improved replacement choices;FLA;FALSE;Full Open Access;Elsevier;Smart Agricultural Technology;2772-3755;CC BY
Agroscope;28.09.2023;14.03.2024;10.1016/j.applanim.2024.106236;Which affiliative behaviour can be used as a valid, reliable and feasible indicator of positive welfare in horse husbandry?;REV;TRUE;Hybrid Open Access;Elsevier;Applied Animal Behaviour Science;0168-1591;CC BY
Agroscope;10.02.2023;15.02.2024;10.1016/j.applanim.2024.106202;Comparison of head–neck positions and conflict behaviour in ridden elite dressage horses between warm-up and competition;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Animal Behaviour Science;0168-1591;CC BY
Agroscope;13.10.2023;03.09.2024;10.1016/j.animal.2024.101325;How do different amounts of straw as well as compost in the home pen affect the rooting motivation of growing-finishing pigs?;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;22.04.2024;17.08.2024;10.1016/j.animal.2024.101314;Cubicle design and dairy cow rising and lying down behaviours in free-stalls with insufficient lunge space;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;20.11.2023;12.07.2024;10.1016/j.animal.2024.101262;Morphometric traits to estimate brain and liver weight and their ratio for the diagnosis of intrauterine growth restriction in newborn piglets;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;01.12.2024;28.06.2024;10.1016/j.animal.2024.101241;Development of the mineralization of individual bones and bone regions in replacement gilts according to dietary calcium and phosphorus;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;12.04.2023;17.06.2024;10.1016/j.animal.2024.101225;Animal Board Invited Review: Heritability of nitrogen use efficiency in fattening pigs: Current state and possible directions;REV;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY-NC-ND
Agroscope;13.06.2023;28.05.2024;10.1016/j.animal.2024.101211;Assessing short-term feed efficiency and its association with biological markers in herbage-fed dairy cows;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;21.12.2023;19.04.2024;10.1016/j.animal.2024.101174;Three-dimensional imaging to estimate in vivo body and carcass chemical composition of growing beef-on-dairy crossbred bulls;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;29.06.2023;05.03.2024;10.1016/j.animal.2024.101130;Dynamics of bone mineralization in primiparous sows as a function of dietary phosphorus and calcium during lactation;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;09.11.2023;23.01.2024;10.1016/j.animal.2024.101097;Behavioural responses related to increasing core body temperature of grazing dairy cows experiencing moderate heat stress;FLA;FALSE;Full Open Access;Elsevier;animal;1751-7311;CC BY
Agroscope;05.03.2024;23.08.2024;10.1016/j.agsy.2024.104107;Modelling cow longevity policies: Impacts on GHG emissions of the Swiss agricultural sector;FLA;TRUE;Hybrid Open Access;Elsevier;Agricultural Systems;0308-521X;CC BY
Agroscope;03.12.2024;15.08.2024;10.1016/j.agsy.2024.104101;How does pesticide reduction affect labour time and profitability? A crop production case study;FLA;TRUE;Hybrid Open Access;Elsevier;Agricultural Systems;0308-521X;CC BY
Agroscope;22.04.2024;08.06.2024;10.1016/j.agsy.2024.104036;Reducing N fertilization in the framework of the European Farm to Fork strategy under global change: Impacts on yields, N2O emissions and N leaching of temperate grasslands in the Alpine region;FLA;TRUE;Hybrid Open Access;Elsevier;Agricultural Systems;0308-521X;CC BY
Agroscope;23.04.2024;19.10.2024;10.1016/j.agrformet.2024.110278;Partitioning and driver analysis of eddy covariance derived N2O emissions from a grazed and fertilized pasture;FLA;TRUE;Hybrid Open Access;Elsevier;Agricultural and Forest Meteorology;0168-1923;CC BY
Agroscope;04.03.2024;23.08.2024;10.1016/j.agee.2024.109272;Ecosystem services in mountain pastures: a complex network of site conditions, climate and management;FLA;TRUE;Hybrid Open Access;Elsevier;Agriculture, Ecosystems and Environment;0167-8809;CC BY
Agroscope;27.03.2024;30.07.2024;10.1016/j.agee.2024.109224;A review of soil tillage impacts on ground-nesting wild bees – mechanisms, implications, and future research perspectives;REV;TRUE;Hybrid Open Access;Elsevier;Agriculture, Ecosystems and Environment;0167-8809;CC BY
Agroscope;24.11.2023;17.07.2024;10.1016/j.agee.2024.109197;Can mineral soil coverage be a suitable option to mitigate greenhouse gas emissions from agriculturally managed peatlands?;FLA;TRUE;Hybrid Open Access;Elsevier;Agriculture, Ecosystems and Environment;0167-8809;CC BY
Agroscope;23.12.2023;24.05.2024;10.1016/j.agee.2024.109100;The impact of climate and potassium nutrition on crop yields: Insights from a 30-year Swiss long-term fertilization experiment;FLA;TRUE;Hybrid Open Access;Elsevier;Agriculture, Ecosystems and Environment;0167-8809;CC BY-NC
Agroscope;09.08.2023;19.04.2024;10.1016/j.agee.2024.109049;Use of agricultural fields by Natterjack toads: implications for pesticide exposure;FLA;TRUE;Hybrid Open Access;Elsevier;Agriculture, Ecosystems and Environment;0167-8809;CC BY
Agroscope;27.04.2023;19.02.2024;10.1016/j.agee.2024.108948;Collaborative approaches at the landscape scale increase the benefits of agri-environmental measures for farmland biodiversity;FLA;TRUE;Hybrid Open Access;Elsevier;Agriculture, Ecosystems and Environment;0167-8809;CC BY
Agroscope;16.06.2023;04.01.2024;10.1016/j.agee.2024.108884;Alnus viridis: an encroaching species with valuable nutritional value reducing livestock greenhouse gas emissions;FLA;TRUE;Hybrid Open Access;Elsevier;Agriculture, Ecosystems and Environment;0167-8809;CC BY
Bern University of Applied Sciences;24.04.2024;26.07.2024;10.3168/jds.2024-25090;Suitability of different machine learning algorithms for the classification of the proportion of grassland-based forages at herd level using mid-infrared spectral information from routine milk control;FLA;FALSE;Full Open Access;Elsevier;Journal of Dairy Science;0022-0302;CC BY
Bern University of Applied Sciences;22.10.2024;30.12.2024;10.1016/j.tifs.2024.104861;From insoluble to soluble: An overview of processing methods for dietary fibers in Okara;REV;TRUE;Hybrid Open Access;Elsevier;Trends in Food Science & Technology;0924-2244;CC BY
Bern University of Applied Sciences;07.11.2023;15.08.2024;10.1016/j.techfore.2024.123675;A blueprint for success? Exploring business models of additive manufacturing ventures;FLA;TRUE;Hybrid Open Access;Elsevier;Technological Forecasting & Social Change;0040-1625;CC BY
Bern University of Applied Sciences;24.02.2023;28.02.2024;10.1016/j.pursup.2024.100906;Change agents’ cognitive maps of circular supply chain transition – An investigation of barriers, actions, and outcomes;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Purchasing and Supply Management;1478-4092;CC BY
Bern University of Applied Sciences;21.01.2024;20.10.2024;10.1016/j.pecinn.2024.100352;Patients' and health professionals' perspectives regarding shared decision making in the psychiatric inpatient setting – A multiple qualitative case study;FLA;FALSE;Full Open Access;Elsevier;PEC Innovation;2772-6282;CC BY
Bern University of Applied Sciences;14.08.2023;17.03.2024;10.1016/j.nut.2024.112429;Should handgrip strength be considered when choosing the administration mode of oral nutritional supplements in geriatric patients? - A secondary analysis of the MEDPass Trial;FLA;TRUE;Hybrid Open Access;Elsevier;Nutrition;0899-9007;CC BY
Bern University of Applied Sciences;08.08.2024;03.12.2024;10.1016/j.nedt.2024.106535;Trans-Atlantic collaboration to establish a nurse practitioner-program in Switzerland;FLA;TRUE;Hybrid Open Access;Elsevier;Nurse Education Today;0260-6917;CC BY
Bern University of Applied Sciences;20.11.2023;22.01.2024;10.1016/j.jnha.2024.100170;The influence of patients’ nutritional risk, nutritional status, and energy density in MEDPass versus conventional administration of oral nutritional supplements – A secondary analysis of a randomized controlled trial;FLA;FALSE;Full Open Access;Elsevier;The Journal of nutrition, health and aging;1279-7707;CC BY
Bern University of Applied Sciences;06.02.2023;07.08.2024;10.1016/j.jneb.2024.08.002;Outcomes of Children’s Cooking Programs: A Systematic Review of Intervention Studies;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Nutrition Education and Behavior;1499-4046;CC BY
Bern University of Applied Sciences;08.04.2023;19.02.2024;10.1016/j.jclepro.2024.141376;How circular is the European photovoltaic industry? Practical insights on current circular economy barriers, enablers, and goals;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Cleaner Production;0959-6526;CC BY
Bern University of Applied Sciences;11.09.2023;07.03.2024;10.1016/j.jbmt.2024.03.020;Effects of ankle joint mobilization on dynamic balance muscle activity and dynamic balance in persons with chronic ankle instability - Feasibility of a cross-over study;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Bodywork & Movement Therapies;1360-8592;CC BY
Bern University of Applied Sciences;25.06.2024;27.09.2024;10.1016/j.jbiomech.2024.112352;Intervertebral disc deformation  in the lower lumbar spine during object lifting  measured in vivo using indwelling bone pins;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Biomechanics;0021-9290;CC BY
Bern University of Applied Sciences;08.11.2023;29.01.2024;10.1016/j.jbiomech.2024.111975;Conventional video recordings dependably quantify whole-body lifting strategy using the Stoop-Squat-Index: A methods comparison against motion capture and a reliability study;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Biomechanics;0021-9290;CC BY
Bern University of Applied Sciences;30.11.2023;16.01.2024;10.1016/j.jafr.2024.100998;Determinants of the intention to increase vegetable consumption in Vietnam and Switzerland;SCO;FALSE;Full Open Access;Elsevier;Journal of Agriculture and Food Research;2666-1543;CC BY
Bern University of Applied Sciences;22.08.2024;27.10.2024;10.1016/j.ijnsa.2024.100261;Presenteeism among nurses: An integrative review;FLA;FALSE;Full Open Access;Elsevier;International Journal of Nursing Studies Advances;2666-142X;CC BY
Bern University of Applied Sciences;29.01.2024;12.06.2024;10.1016/j.ijgfs.2024.100974;Factors influencing the willingness to purchase and consume microalgae-based foods: An exploratory consumer study;FLA;TRUE;Hybrid Open Access;Elsevier;International Journal of Gastronomy and Food Science;1878-450X;CC BY
Bern University of Applied Sciences;22.12.2023;15.08.2024;10.1016/j.ijadhadh.2024.103815;Low-temperature adhesive curing in timber engineering: About the relationship between curing kinetics and mechanical properties;FLA;TRUE;Hybrid Open Access;Elsevier;International Journal of Adhesion and Adhesives;0143-7496;CC BY
Bern University of Applied Sciences;13.07.2023;08.01.2024;10.1016/j.heliyon.2024.e24364;Bilateral neuromuscular control in patients one year after unilateral ACL rupture or reconstruction. A cross-sectional study;FLA;FALSE;Full Open Access;Elsevier;Heliyon;2405-8440;CC BY
Bern University of Applied Sciences;08.09.2023;27.04.2024;10.1016/j.fsidi.2024.301769;Forensic Analysis of Hook Android Malware;FLA;TRUE;Hybrid Open Access;Elsevier;Forensic Science International: Digital Investigation;2666-2817;CC BY
Bern University of Applied Sciences;16.05.2024;06.12.2024;10.1016/j.forpol.2024.103386;Community engagement in the governance of Cambodian recreation forests;FLA;TRUE;Hybrid Open Access;Elsevier;Forest Policy and Economics;1389-9341;CC BY
Bern University of Applied Sciences;14.08.2023;21.04.2024;10.1016/j.eswa.2024.124100;Leveraging Network Topology for Credit Risk Assessment in P2P Lending: A Comparative Study under the Lens of Machine Learning;FLA;TRUE;Hybrid Open Access;Elsevier;Expert Systems With Applications;0957-4174;CC BY
Bern University of Applied Sciences;02.07.2024;04.05.2024;10.1016/j.egyai.2024.100375;A review of federated learning in renewable energy applications: Potential, challenges, and future directions;REV;FALSE;Full Open Access;Elsevier;Energy and AI;2666-5468;CC BY
Bern University of Applied Sciences;26.10.2022;16.09.2024;10.1016/j.ecolind.2024.112632;The White-backed Woodpecker (Dendrocopos leucotos) as an umbrella species for threatened saproxylic beetle communities in Central European beech forests;FLA;FALSE;Full Open Access;Elsevier;Ecological Indicators;1470-160X;CC BY
Bern University of Applied Sciences;07.03.2023;07.05.2024;10.1016/j.earscirev.2024.104804;Key processes and timescales of tropical earth formation;REV;TRUE;Hybrid Open Access;Elsevier;Earth-Science Reviews;0012-8252;CC BY
Bern University of Applied Sciences;13.07.2023;17.01.2024;10.1016/j.drugpo.2024.104333;The Confluence of Legacy, Corporate Social Responsibility, and Public Health: The Case of Migros and Alcohol-free Retailing in Switzerland;FLA;TRUE;Hybrid Open Access;Elsevier;International Journal of Drug Policy;0955-3959;CC BY
Bern University of Applied Sciences;20.12.2023;05.05.2024;10.1016/j.clnu.2024.05.014;The efficacy and real-world effectiveness of a diet low in fermentable oligo-, di-, monosaccharides and polyols in irritable bowel syndrome: a systematic review and meta-analysis;FLA;TRUE;Hybrid Open Access;Elsevier;Clinical Nutrition;0261-5614;CC BY
Bern University of Applied Sciences;30.11.2023;29.03.2024;10.1016/j.buildenv.2024.111475;"Wooden basements; hygrothermal performance analysis using in-field measurements and numerical simulations";FLA;TRUE;Hybrid Open Access;Elsevier;Building and Environment;0360-1323;CC BY
Bern University of Applied Sciences;14.12.2023;30.04.2024;10.1016/j.agrformet.2024.110041;Validation of a short-range dispersion and deposition model using field-scale ammonia and methane release experiments;FLA;TRUE;Hybrid Open Access;Elsevier;Agricultural and Forest Meteorology;0168-1923;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;25.04.2024;26.09.2024;10.1016/j.wroa.2024.100261;The impact of blue-green infrastructure on trace contaminants: A catchment-wide assessment;FLA;FALSE;Full Open Access;Elsevier;Water Research X;2589-9147;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;22.01.2024;21.02.2024;10.1016/j.wroa.2024.100215;Ensuring Microbial Water Quality for On-site Water Reuse: Importance of Online Sensors for Reliable Operation;FLA;FALSE;Full Open Access;Elsevier;Water Research X;2589-9147;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;08.09.2024;15.11.2024;10.1016/j.watres.2024.122806;Unveiling the reaction chemistry of sulfoxides during water chlorination;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;27.06.2024;02.11.2024;10.1016/j.watres.2024.122745;Unveiling industrial emissions in a large European river: Insights from data mining of high-frequency measurements;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;17.02.2024;08.10.2024;10.1016/j.watres.2024.122604;Online monitoring of greywater reuse system using excitation-emission matrix (EEM) and K-PARAFACs;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;31.05.2024;10.09.2024;10.1016/j.watres.2024.122431;Adaptation towards catabolic biodegradation of trace organic contaminants in activated sludge;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;27.03.2024;06.09.2024;10.1016/j.watres.2024.122412;Tracing pesticide dynamics: high resolution offers new insights to karst groundwater quality;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;02.10.2024;03.08.2024;10.1016/j.watres.2024.122216;Greywater recycling for diverse collection scales and appliances: enteric pathogen log-removal targets and treatment trains;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;16.04.2024;27.06.2024;10.1016/j.watres.2024.122019;Increasing urine nitrification performance with sequential membrane aerated biofilm reactors;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;20.12.2023;08.06.2024;10.1016/j.watres.2024.121917;Achieving Realistic Ozonation Conditions with Synthetic Water Matrices comprising Low-Molecular-Weight Scavenger Compounds;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;01.12.2024;14.05.2024;10.1016/j.watres.2024.121790;Impact of long-term temperature shifts on activated sludge microbiome dynamics and micropollutant removal;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;06.07.2023;17.04.2024;10.1016/j.watres.2024.121640;Exploring Transitions of Sewer Wastewater Infrastructure Towards Decentralisation using the Modular Model TURN-Sewers;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;22.01.2024;14.04.2024;10.1016/j.watres.2024.121615;Comparing the adsorption of micropollutants on activated carbon from anaerobically stored, organics-depleted, and nitrified urine;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
Eawag - Swiss Federal Institute of Aquatic Science and Technology;27.11.2023;08.04.2024;10.1016/j.watres.2024.121593;Substrate promiscuity of xenobiotic-transforming hydrolases from stream biofilms impacted by treated wastewater;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
