institution;doi;is_hybrid;agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsami.4c03329;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.est.3c10409;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.nanolett.4c02446;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.chemmater.3c02726;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.nanolett.4c02564;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.jpcb.4c01086;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsnano.4c07189;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acssensors.3c02406;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.orglett.4c01078;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.jpclett.4c01657;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsami.4c16445;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.energyfuels.4c00936;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsnano.3c11400;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acscatal.4c00192;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsnano.3c09775;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.jpclett.4c02317;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.jctc.4c00116;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acssuschemeng.4c03799;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.langmuir.4c02714;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/jacs.4c11947;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acs.nanolett.4c02903;TRUE;Swiss Consortium ACS agreement
École Polytechnique Fédérale de Lausanne;10.1021/acsnano.4c05554;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acssuschemeng.4c05494;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acs.analchem.4c01723;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acs.jpclett.4c02442;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsapm.4c00439;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsami.4c14689;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsomega.4c02510;FALSE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsnano.3c10146;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/jasms.4c00140;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acssuschemeng.4c03939;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsapm.4c00758;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acs.jctc.4c00702;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsestwater.3c00817;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsanm.3c06178;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsapm.3c03053;TRUE;Swiss Consortium ACS agreement
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsnano.4c08502;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.3c07795;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacs.4c10661;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsnano.3c09576;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsnano.3c10679;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c03979;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacs.4c01786;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.3c10041;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acssuschemeng.4c00306;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acscatal.4c04105;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jcim.4c00049;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacs.4c07690;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acscatal.4c03533;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.iecr.4c01287;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.chemmater.3c01622;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsnano.4c10870;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.nanolett.4c01791;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jpclett.4c00497;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsnano.3c11856;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.chemrestox.4c00119;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jpclett.4c00516;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acssensors.4c00652;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsami.3c14422;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacsau.4c00213;FALSE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.chemrev.4c00375;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c09261;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsbiomaterials.4c01373;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acscatal.4c00025;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsanm.4c02096;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.analchem.4c01777;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c04164;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acssuschemeng.3c07081;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.analchem.4c01924;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.analchem.3c05849;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c01519;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c01947;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.iecr.3c04110;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsphotonics.3c01898;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jcim.4c01133;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.langmuir.3c03499;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.molpharmaceut.4c00754;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.langmuir.3c03798;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c03980;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.cgd.4c00277;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsami.3c17115;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacs.4c00200;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.cgd.4c00233;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacs.4c05621;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.iecr.4c01649;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jced.4c00347;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsnano.4c03840;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsphotonics.4c00507;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.analchem.4c02099;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.langmuir.4c01582;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacs.4c04000;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acssuschemeng.4c04652;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jpclett.3c03197;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/jacs.3c12119;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c03005;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.bioconjchem.4c00079;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsphotonics.4c00721;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.iecr.3c03044;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.est.4c06818;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acscatal.4c02625;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsearthspacechem.3c00174;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acscatal.3c03956;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jchemed.4c00024;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsmacrolett.4c00286;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsami.4c10550;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.macromol.4c00174;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsnano.3c12989;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jpca.3c06357;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jpca.3c08386;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acscatal.4c03531;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jcim.4c01513;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.jcim.4c01120;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acsnano.3c11373;TRUE;Swiss Consortium ACS agreement
ETH Zurich;10.1021/acs.iecr.4c02215;TRUE;Swiss Consortium ACS agreement
Medicines for Malaria Venture;10.1021/acsinfecdis.4c00700;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acssensors.4c00153;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acsnano.4c03939;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acsami.4c01827;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acs.jpclett.4c00343;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acscatal.4c03185;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acsearthspacechem.3c00187;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acssuschemeng.4c00522;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acsaem.4c01862;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acs.chemmater.4c00879;TRUE;Swiss Consortium ACS agreement
PSI - Paul Scherrer Institute;10.1021/acs.jpca.4c05855;TRUE;Swiss Consortium ACS agreement
Università della Svizzera italiana;10.1021/acs.jctc.4c00127;TRUE;Swiss Consortium ACS agreement
University of Applied Sciences and Arts Northwestern Switzerland;10.1021/acs.molpharmaceut.4c00592;TRUE;Swiss Consortium ACS agreement
University of Applied Sciences and Arts Northwestern Switzerland;10.1021/acsomega.3c09459;FALSE;Swiss Consortium ACS agreement
University of Applied Sciences and Arts Western Switzerland;10.1021/acs.oprd.3c00424;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/jacs.4c04701;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/acsaelm.4c00654;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/acs.chemrev.4c00031;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/jacs.4c00678;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/acs.biomac.4c00526;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/acs.est.3c08364;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/acs.analchem.4c03622;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/acs.orglett.4c00386;TRUE;Swiss Consortium ACS agreement
University of Basel;10.1021/jacs.4c02224;TRUE;Swiss Consortium ACS agreement
University of Bern;10.1021/acs.jpcc.3c08509;TRUE;Swiss Consortium ACS agreement
University of Bern;10.1021/acscatal.3c05915;TRUE;Swiss Consortium ACS agreement
University of Bern;10.1021/jacs.4c08149;TRUE;Swiss Consortium ACS agreement
University of Bern;10.1021/acssynbio.4c00058;TRUE;Swiss Consortium ACS agreement
University of Bern;10.1021/acsptsci.4c00096;TRUE;Swiss Consortium ACS agreement
University of Fribourg;10.1021/acs.jctc.4c00529;TRUE;Swiss Consortium ACS agreement
University of Fribourg;10.1021/acsmacrolett.4c00519;TRUE;Swiss Consortium ACS agreement
University of Fribourg;10.1021/acs.biomac.3c01196;TRUE;Swiss Consortium ACS agreement
University of Geneva;10.1021/acsinfecdis.4c00086;TRUE;Swiss Consortium ACS agreement
University of Geneva;10.1021/acs.estlett.4c00279;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acs.inorgchem.4c00788;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acssynbio.4c00036;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acsomega.3c09226;FALSE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acschemneuro.4c00067;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acs.inorgchem.3c04052;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acsagscitech.4c00386;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acs.organomet.3c00513;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acs.inorgchem.4c03018;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/acs.jctc.3c01400;TRUE;Swiss Consortium ACS agreement
University of Zurich;10.1021/jacsau.4c00680;FALSE;Swiss Consortium ACS agreement
ZHAW Zurich University of Applied Sciences;10.1021/acsfoodscitech.4c00238;TRUE;Swiss Consortium ACS agreement
ZHAW Zurich University of Applied Sciences;10.1021/acs.est.4c02538;TRUE;Swiss Consortium ACS agreement
ZHAW Zurich University of Applied Sciences;10.1021/acscatal.4c04474;TRUE;Swiss Consortium ACS agreement
