Institution name;APC Payment Year;DOI;article_is_hybrid;agreement
ETH Zurich;2022;10.1088/1367-2630/ac6d6f;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac6ada;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1475-7516/2022/04/053;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac97f6;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac52c7;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1741-2552/ac8765;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6463/ac7dcd;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6579/ac89cb;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1758-5090/ac73b9;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/ac583d;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/aca16d;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1751-8121/ac6995;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/2058-9565/ac98dd;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6420/ac7acd;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-0221/17/10/C10015;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1367-2630/aca8c5;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1741-2552/ac883b;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1367-2630/ac7db6;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1742-5468/ac7e4c;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6463/acaab7;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1475-7516/2023/01/033;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-0221/17/06/P06024;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/2516-1091/ac6b96;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/aca9e1;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-9326/acacb3;FALSE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1748-0221/18/01/P01014;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1751-8121/ac845c;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1209/0295-5075/ac949a;TRUE;Swiss Consortium IOP agreement
ETH Zurich;2022;10.1088/1361-6382/ac987d;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1751-8121/ac8b46;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-6587/ac5ca2;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-2552/ac7d0e;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac47b8;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-6587/aca4f7;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/2516-1091/ac812c;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1748-3190/ac8632;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-2552/ac636c;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-2552/aca1e4;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac7ed7;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1367-2630/ac6b4c;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.35848/1347-4065/ac54fe;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1742-5468/ac9cc8;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac7ac2;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-665X/ac97d4;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1367-2630/aca556;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-2552/aca35f;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac544e;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.35848/1347-4065/ac980f;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1742-5468/ac9829;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac6ad2;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-6587/ac91f3;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac94e5;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/2632-2153/aca1f8;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1742-5468/ac59ac;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1742-5468/ac9825;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-6587/ac73eb;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-6587/aca826;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-6587/aca715;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1742-5468/ac98ab;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/2632-2153/ac9bca;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/2632-2153/ac8e4f;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1367-2630/ac5130;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/2399-6528/ac7a01;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac82fd;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/2632-2153/ac8f1a;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1361-6587/acad26;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1475-7516/2022/09/015;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1742-5468/ac98ac;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/2632-2153/ac8393;FALSE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1402-4896/ac95dc;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-2552/ac6d7e;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/aca213;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-2552/ac5a5c;TRUE;Swiss Consortium IOP agreement
École Polytechnique Fédérale de Lausanne;2022;10.1088/1741-4326/ac8692;TRUE;Swiss Consortium IOP agreement
University of Fribourg;2022;10.1088/1361-6528/ac6087;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1475-7516/2022/09/003;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1361-6560/ac7fd8;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1748-0221/18/01/P01037;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1475-7516/2022/09/039;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1475-7516/2022/11/055;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1361-6668/ac86ac;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/2058-9565/acacbf;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1748-0221/17/06/P06031;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1361-6668/ac7b4d;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1475-7516/2022/09/055;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1751-8121/ac8fc4;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1475-7516/2023/01/035;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/2057-1976/ac9f4e;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1367-2630/ac71bc;FALSE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1475-7516/2022/09/065;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1748-0221/18/02/C02002;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/2399-6528/ac72f8;FALSE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/1748-0221/17/12/P12020;TRUE;Swiss Consortium IOP agreement
University of Geneva;2022;10.1088/2633-1357/ac54bf;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/17/09/C09027;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/2058-8585/acacab;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-9326/ac74d5;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/18/01/C01027;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-9326/ac6966;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/17/12/C12004;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/17/11/C11011;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/2516-1075/ac4e74;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-651X/ac5ebc;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/17/11/C11012;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6560/aca515;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6560/ac96c5;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6668/ac6123;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6501/ac8fae;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6560/aca9b6;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-648X/ac9813;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1367-2630/aca8c6;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-9326/ac9008;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-648X/ac6d3a;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/17/06/P06035;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/2058-8585/ac6f34;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/17/10/C10017;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6668/ac782a;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6641/ac9f60;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/2515-7620/acacef;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-9326/aca039;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/18/01/C01073;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6501/ac7cca;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1748-0221/17/04/P04007;TRUE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/2515-7655/aca9fe;FALSE;Swiss Consortium IOP agreement
Lib4RI – Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;2022;10.1088/1361-6560/ac9d1f;TRUE;Swiss Consortium IOP agreement
University of Applied Sciences and Arts of Southern Switzerland;2022;10.1088/1751-8121/ac91b2;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/2057-1976/ac8a9f;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1361-6560/ac858f;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1748-0221/17/09/C09004;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1748-9326/ac5271;FALSE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1748-0221/17/09/C09017;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1361-6382/ac9724;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1475-7516/2022/08/077;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1748-9326/aca5a1;FALSE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1475-7516/2022/08/050;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1361-6498/ac6274;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1475-7516/2022/09/071;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;;TRUE;Swiss Consortium IOP agreement
University of Zurich;2022;10.1088/1748-0221/17/08/P08010;TRUE;Swiss Consortium IOP agreement
