"institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
"University of Basel",2025,NA,"10.1097/mou.0000000000001337",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Current Opinion in Urology","0963-0643","0963-0643","1473-6586","0963-0643","http://creativecommons.org/licenses/by/4.0",TRUE,"40905239","PMC12517713",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/qad.0000000000004432",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","AIDS","0269-9370","0269-9370","1473-5571","0269-9370","http://creativecommons.org/licenses/by/4.0",TRUE,"41467721","PMC13034765",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1212/nxi.0000000000200459",FALSE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Neurology: Neuroimmunology & Neuroinflammation","2332-7812",NA,"2332-7812","2332-7812",NA,TRUE,"40829091","PMC12366035",NA,NA,TRUE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1212/nxi.0000000000200388",FALSE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Neurology: Neuroimmunology & Neuroinflammation","2332-7812",NA,"2332-7812","2332-7812",NA,TRUE,"40239130","PMC12007938",NA,NA,TRUE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Bern",2025,NA,"10.1212/wnl.0000000000207922",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Neurology","0028-3878","0028-3878","1526-632X","0028-3878",NA,TRUE,"38165324","PMC12337051",NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1097/aln.0000000000005762",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Anesthesiology","0003-3022","0003-3022","1528-1175","0003-3022","http://creativecommons.org/licenses/by/4.0/",TRUE,"41147620","PMC12677326",NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1227/ons.0000000000001808",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Operative Neurosurgery","2332-4252","2332-4252","2332-4260","2332-4252","http://creativecommons.org/licenses/by/4.0/",TRUE,"41070955",NA,NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1097/ccm.0000000000006655",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Critical Care Medicine","0090-3493","0090-3493","1530-0293","0090-3493","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"40162868","PMC12203981",NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1097/aco.0000000000001521",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Current Opinion in Anaesthesiology","0952-7907","0952-7907","1473-6500","0952-7907","http://creativecommons.org/licenses/by/4.0/",TRUE,"40421501","PMC12382741",NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1161/circulationaha.125.073748",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Circulation","0009-7322","0009-7322","1524-4539","0009-7322","https://creativecommons.org/licenses/by/4.0/",TRUE,"40623072","PMC12382728",NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1097/md.0000000000042891",FALSE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Medicine","1536-5964",NA,"1536-5964","0025-7974","http://creativecommons.org/licenses/by/4.0/",TRUE,"40922273","PMC12419356",NA,NA,TRUE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1213/ane.0000000000007783",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Anesthesia & Analgesia","0003-2999","0003-2999","1526-7598","0003-2999","http://creativecommons.org/licenses/by/4.0/",TRUE,"41182083","PMC12959588",NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
"University of Bern",2025,NA,"10.1097/eja.0000000000002153",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","European Journal of Anaesthesiology","0265-0215","0265-0215","1365-2346","0265-0215","http://creativecommons.org/licenses/by/4.0",TRUE,"40308052",NA,NA,NA,FALSE,"lww2025csal","02k7v4d05_lww2025csal_2025"
