Institution name;APC Payment Year;Date of Submission;Date of Acceptance;DOI;DOI URL;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN electronic;journal_issn_l ;Article License;agreement
ETH Zurich;;21.01.2022;14.11.2023;10.1016/j.gloenvcha.2023.102775;10.1016/j.gloenvcha.2023.102775;TRUE;Hybrid;Elsevier;Global Environmental Change;0959-3780;;CC BY;
ETH Zurich;;01.12.2022;26.07.2023;10.1016/j.learninstruc.2023.101821;10.1016/j.learninstruc.2023.101821;TRUE;Hybrid;Elsevier;Learning and Instruction;0959-4752;;CC BY;
ETH Zurich;;06.09.2022;29.06.2023;10.1016/j.conengprac.2023.105615;10.1016/j.conengprac.2023.105615;TRUE;Hybrid;Elsevier;Control Engineering Practice;0967-0661;;CC BY;
ETH Zurich;;04.10.2022;06.10.2023;10.1016/j.euromechsol.2023.105156;10.1016/j.euromechsol.2023.105156;TRUE;Hybrid;Elsevier;European Journal of Mechanics / A Solids;0997-7538;;CC BY;
ETH Zurich;;09.12.2022;14.07.2023;10.1016/j.cnsns.2023.107438;10.1016/j.cnsns.2023.107438;TRUE;Hybrid;Elsevier;Communications in Nonlinear Science and Numerical Simulation;1007-5704;;CC BY;
ETH Zurich;;29.09.2022;24.04.2023;10.1016/j.compositesb.2023.110764;10.1016/j.compositesb.2023.110764;TRUE;Hybrid;Elsevier;Composites Part B;1359-8368;;CC BY;
ETH Zurich;;21.12.2022;18.10.2023;10.1016/j.media.2023.103012;10.1016/j.media.2023.103012;TRUE;Hybrid;Elsevier;Medical Image Analysis;1361-8415;;CC BY;
ETH Zurich;;28.12.2022;11.01.2024;10.1016/j.tics.2024.01.003;10.1016/j.tics.2024.01.003;TRUE;Hybrid;Elsevier;Trends in Cognitive Sciences;1364-6613;;CC BY-NC-ND;
ETH Zurich;;22.12.2022;01.06.2023;10.1016/j.ecoinf.2023.102151;10.1016/j.ecoinf.2023.102151;TRUE;Hybrid;Elsevier;Ecological Informatics;1574-9541;;CC BY-NC-ND;
ETH Zurich;;21.11.2022;07.05.2023;10.1016/j.jmbbm.2023.105900;10.1016/j.jmbbm.2023.105900;TRUE;Hybrid;Elsevier;Journal of the Mechanical Behavior of Biomedical Materials;1751-6161;;CC BY;
ETH Zurich;;10.11.2022;28.04.2023;10.1016/j.jocs.2023.102061;10.1016/j.jocs.2023.102061;TRUE;Hybrid;Elsevier;Journal of Computational Science;1877-7503;;CC BY;
ETH Zurich;;06.12.2022;08.01.2024;10.1016/j.eist.2024.100811;10.1016/j.eist.2024.100811;TRUE;Hybrid;Elsevier;Environmental Innovation and Societal Transitions;2210-4224;;CC BY;
ETH Zurich;;13.12.2022;22.02.2024;10.1016/j.eist.2024.100824;10.1016/j.eist.2024.100824;TRUE;Hybrid;Elsevier;Environmental Innovation and Societal Transitions;2210-4224;;CC BY;
ETH Zurich;;25.08.2022;19.05.2023;10.1016/j.crm.2023.100525;10.1016/j.crm.2023.100525;FALSE;Full Open Access;Elsevier;Climate Risk Management;2212-0963;;CC BY;
