institution;doi;is_hybrid;agreement;period
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.est.3c00304;TRUE;Swiss Consortium ACS agreement;2023
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.est.3c04431;TRUE;Swiss Consortium ACS agreement;2023
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.estlett.3c00154;TRUE;Swiss Consortium ACS agreement;2023
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.estlett.3c00526;TRUE;Swiss Consortium ACS agreement;2023
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acs.inorgchem.2c04395;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acs.inorgchem.3c00179;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acs.jpca.3c04688;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acs.jpcc.3c02108;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acs.jpcc.3c02264;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acs.jpcc.3c03225;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acs.jpclett.2c03192;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acs.nanolett.2c04045;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsami.2c23026;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsami.2c23158;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acsami.3c04151;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsanm.2c05252;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acsapm.3c01007;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acscatal.2c04791;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acscatal.3c01448;TRUE;Swiss Consortium ACS agreement;2023
PSI - Paul Scherrer Institute;10.1021/acsearthspacechem.3c00136;TRUE;Swiss Consortium ACS agreement;2023
Eawag - Swiss Federal Institute of Aquatic Science and Technology;10.1021/acsestengg.3c00320;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsnano.2c11180;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsnano.3c06879;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsnanoscienceau.3c00004;FALSE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acsphotonics.3c00555;TRUE;Swiss Consortium ACS agreement;2023
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.1021/acssuschemeng.3c01113;TRUE;Swiss Consortium ACS agreement;2023
Università della Svizzera italiana;10.1021/acs.jctc.3c00641;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.jchemed.2c01167;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.langmuir.3c01546;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.jpcb.3c03558;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.orglett.3c02389;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/jacsau.3c00216;FALSE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.analchem.3c01898;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.orglett.3c00195;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/jacsau.3c00351;FALSE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.jpcb.3c00882;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.jafc.3c01861;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acs.chemmater.3c00638;TRUE;Swiss Consortium ACS agreement;2023
University of Basel;10.1021/acsestwater.2c00404;TRUE;Swiss Consortium ACS agreement;2023
University of Bern;10.1021/acs.molpharmaceut.3c00306;TRUE;Swiss Consortium ACS agreement;2023
University of Bern;10.1021/acscatal.3c01193;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acs.inorgchem.3c01177;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/jacs.3c01030;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acs.langmuir.3c00289;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acs.inorgchem.2c04346;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acs.jproteome.2c00441;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acs.organomet.3c00136;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acs.inorgchem.3c01620;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acs.inorgchem.3c02925;TRUE;Swiss Consortium ACS agreement;2023
University of Zurich;10.1021/acsenergylett.3c00578;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.orglett.3c02627;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.jpca.3c02879;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.jctc.3c00285;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.analchem.3c01934;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.analchem.3c02069;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.jchemed.2c00941;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.jpcb.3c04497;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.jmedchem.3c01116;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.jcim.2c01407;TRUE;Swiss Consortium ACS agreement;2023
University of Geneva;10.1021/acs.jpca.3c02442;TRUE;Swiss Consortium ACS agreement;2023
